banner	effect_bundle
wh3_main_banner_magic_standard_father_niklas_mantle	wh3_main_bundle_anc_magic_standard_father_niklas_mantle
wh3_main_banner_magic_standard_great_icon_of_despair	wh3_main_bundle_anc_magic_standard_great_icon_of_despair
wh3_main_banner_magic_standard_great_standard_of_sundering	wh3_main_bundle_anc_magic_standard_great_standard_of_sundering
wh3_main_banner_magic_standard_icon_of_endless_war	wh3_main_bundle_anc_magic_standard_icon_of_endless_war
wh3_main_banner_magic_standard_icon_of_eternal_virulence	wh3_main_bundle_anc_magic_standard_icon_of_eternal_virulence
wh3_main_banner_magic_standard_icon_of_sorcery	wh3_main_bundle_anc_magic_standard_icon_of_sorcery
wh3_main_banner_magic_standard_khornes_gift	wh3_main_bundle_anc_magic_standard_khornes_gift
wh3_main_banner_magic_standard_lifetaker_banner	wh3_main_bundle_anc_magic_standard_lifetaker_banner
wh3_main_banner_magic_standard_ragbanner	wh3_main_bundle_anc_magic_standard_ragbanner
wh3_main_banner_magic_standard_rune_maw	wh3_main_bundle_anc_magic_standard_rune_maw
wh3_main_banner_magic_standard_siren_standard	wh3_main_bundle_anc_magic_standard_siren_standard
wh3_main_banner_magic_standard_skull_totem	wh3_main_bundle_anc_magic_standard_skull_totem
wh3_main_banner_magic_standard_standard_of_chaos_glory	wh3_main_bundle_anc_magic_standard_standard_of_chaos_glory
wh3_main_banner_magic_standard_standard_of_seeping_decay	wh3_main_bundle_anc_magic_standard_standard_of_seeping_decay
wh3_main_banner_magic_standard_standard_of_the_empty_steppe	wh3_main_bundle_anc_magic_standard_standard_of_the_empty_steppe
wh3_main_banner_magic_standard_the_great_celestial_banner	wh3_main_bundle_anc_magic_standard_the_great_celestial_banner
wh3_main_banner_magic_standard_trophy_of_killers	wh3_main_bundle_anc_magic_standard_trophy_of_killers
wh_dlc03_banner_magic_standard_banner_of_outrage	wh_dlc03_bundle_anc_magic_standard_banner_of_outrage
wh_dlc03_banner_magic_standard_banner_of_the_fallen_kings	wh_dlc03_bundle_anc_magic_standard_banner_of_the_fallen_kings
wh_dlc03_banner_magic_standard_manbane_standard	wh_dlc03_bundle_anc_magic_standard_manbane_standard
wh_dlc03_banner_magic_standard_the_beast_banner	wh_dlc03_bundle_anc_magic_standard_the_beast_banner
wh_dlc03_banner_magic_standard_totem_of_rust	wh_dlc03_bundle_anc_magic_standard_totem_of_rust
wh_dlc03_banner_mark_of_chaos_crown_of_horns	wh_dlc03_bundle_anc_mark_of_chaos_crown_of_horns
wh_dlc03_banner_mark_of_chaos_gnarled_hide	wh_dlc03_bundle_anc_mark_of_chaos_gnarled_hide
wh_dlc03_banner_mark_of_chaos_gouge_tusks	wh_dlc03_bundle_anc_mark_of_chaos_gouge_tusks
wh_dlc03_banner_mark_of_chaos_many_limbed_fiend	wh_dlc03_bundle_anc_mark_of_chaos_many_limbed_fiend
wh_dlc03_banner_mark_of_chaos_shadow_hide	wh_dlc03_bundle_anc_mark_of_chaos_shadow_hide
wh_dlc03_banner_mark_of_chaos_slug_skin	wh_dlc03_bundle_anc_mark_of_chaos_slug_skin
wh_dlc03_banner_mark_of_chaos_uncanny_senses	wh_dlc03_bundle_anc_mark_of_chaos_uncanny_senses
wh_dlc05_banner_magic_standard_the_banner_of_the_eternal_queen	wh_dlc05_bundle_anc_magic_standard_the_banner_of_the_eternal_queen
wh_dlc05_banner_magic_standard_the_banner_of_the_hunter_king	wh_dlc05_bundle_anc_magic_standard_the_banner_of_the_hunter_king
wh_dlc06_banner_magic_standard_skarsniks_boyz	wh_dlc06_bundle_anc_magic_standard_skarsniks_boyz
wh_dlc07_banner_magic_standard_banner_of_defence	wh_dlc07_bundle_anc_magic_standard_banner_of_defence
wh_dlc07_banner_magic_standard_errantry_banner	wh_dlc07_bundle_anc_magic_standard_errantry_banner
wh_dlc07_banner_magic_standard_twilight_banner	wh_dlc07_bundle_anc_magic_standard_twilight_banner
wh_dlc07_banner_magic_standard_valorous_standard	wh_dlc07_bundle_anc_magic_standard_valorous_standard
wh_dlc08_banner_magic_standard_ancient_mammoth_cub	wh_dlc08_bundle_anc_magic_standard_ancient_mammoth_cub
wh_dlc08_banner_magic_standard_banner_of_wolfclaw	wh_dlc08_bundle_anc_magic_standard_banner_of_wolfclaw
wh_dlc08_banner_magic_standard_black_iron_reavers	wh_dlc08_bundle_anc_magic_standard_black_iron_reavers
wh_dlc08_banner_magic_standard_crimson_reapers	wh_dlc08_bundle_anc_magic_standard_crimson_reapers
wh_dlc08_banner_magic_standard_drake_hunters	wh_dlc08_bundle_anc_magic_standard_drake_hunters
wh_main_banner_magic_standard_banner_of_eternal_flame	wh_main_bundle_anc_magic_standard_banner_of_eternal_flame
wh_main_banner_magic_standard_banner_of_lost_holds	wh_main_bundle_anc_magic_standard_banner_of_lost_holds
wh_main_banner_magic_standard_banner_of_rage	wh_main_bundle_anc_magic_standard_banner_of_rage
wh_main_banner_magic_standard_banner_of_swiftness	wh_main_bundle_anc_magic_standard_banner_of_swiftness
wh_main_banner_magic_standard_banner_of_the_barrows	wh_main_bundle_anc_magic_standard_banner_of_the_barrows
wh_main_banner_magic_standard_blasted_standard	wh_main_bundle_anc_magic_standard_blasted_standard
wh_main_banner_magic_standard_da_immortulz	wh_main_bundle_anc_magic_standard_da_immortulz
wh_main_banner_magic_standard_gleaming_pennant	wh_main_bundle_anc_magic_standard_gleaming_pennant
wh_main_banner_magic_standard_griffon_banner	wh_main_bundle_anc_magic_standard_griffon_banner
wh_main_banner_magic_standard_lichbone_pennant	wh_main_bundle_anc_magic_standard_lichbone_pennant
wh_main_banner_magic_standard_morks_war_banner	wh_main_bundle_anc_magic_standard_morks_war_banner
wh_main_banner_magic_standard_rampagers_standard	wh_main_bundle_anc_magic_standard_rampagers_standard
wh_main_banner_magic_standard_rangers_standard	wh_main_bundle_anc_magic_standard_rangers_standard
wh_main_banner_magic_standard_razor_standard	wh_main_bundle_anc_magic_standard_razor_standard
wh_main_banner_magic_standard_scarecrow_banner	wh_main_bundle_anc_magic_standard_scarecrow_banner
wh_main_banner_magic_standard_spider_banner	wh_main_bundle_anc_magic_standard_spider_banner
wh_main_banner_magic_standard_standard_of_discipline	wh_main_bundle_anc_magic_standard_standard_of_discipline
wh_main_banner_magic_standard_steel_standard	wh_main_bundle_anc_magic_standard_steel_standard
wh_main_banner_magic_standard_the_bad_moon_banner	wh_main_bundle_anc_magic_standard_the_bad_moon_banner
wh_main_banner_magic_standard_the_screaming_banner	wh_main_bundle_anc_magic_standard_the_screaming_banner
wh_main_banner_magic_standard_wailing_banner	wh_main_bundle_anc_magic_standard_wailing_banner
wh_main_banner_magic_standard_war_banner	wh_main_bundle_anc_magic_standard_war_banner
wh_main_banner_mark_of_chaos_mark_of_khorne	wh_main_bundle_anc_mark_of_chaos_mark_of_khorne
wh_main_banner_mark_of_chaos_mark_of_nurgle	wh_main_bundle_anc_mark_of_chaos_mark_of_nurgle
wh_main_banner_mark_of_chaos_mark_of_slaanesh	wh_main_bundle_anc_mark_of_chaos_mark_of_slaanesh
wh_main_banner_mark_of_chaos_mark_of_tzeentch	wh_main_bundle_anc_mark_of_chaos_mark_of_tzeentch
wh_main_banner_rune_ancestor_rune	wh_main_bundle_anc_rune_ancestor_rune
wh_main_banner_rune_master_rune_of_battle	wh_main_bundle_anc_rune_master_rune_of_battle
wh_main_banner_rune_master_rune_of_courage	wh_main_bundle_anc_rune_master_rune_of_courage
wh_main_banner_rune_master_rune_of_groth_one-eye	wh_main_bundle_anc_rune_master_rune_of_groth_one-eye
wh_main_banner_rune_master_rune_of_grungni	wh_main_bundle_anc_rune_master_rune_of_grungni
wh_main_banner_rune_master_rune_of_sanctuary	wh_main_bundle_anc_rune_master_rune_of_sanctuary
wh_main_banner_rune_master_rune_of_slowness	wh_main_bundle_anc_rune_master_rune_of_slowness
wh_main_banner_rune_master_rune_of_stoicism	wh_main_bundle_anc_rune_master_rune_of_stoicism
wh_main_banner_rune_master_rune_of_stromni_redbeard	wh_main_bundle_anc_rune_master_rune_of_stromni_redbeard
wh_main_banner_rune_master_rune_of_valaya	wh_main_bundle_anc_rune_master_rune_of_valaya
wh_main_banner_rune_strollaz_rune	wh_main_bundle_anc_rune_strollaz_rune
