battle_set_piece_army	effect_bundle
wh2_dlc15_hef_imrik_sun_dragon_stage_1	wh2_dlc15_quest_effect_bundle_spell_cooldown_cost_sun_dragon
wh2_dlc16_qb_wef_sisters_dragon_stage_3_witch_wood_hollow_attacker_01	wh2_dlc16_call_to_ceithin_har_enable
wh2_main_qb_lzd_kroqgar_hand_of_gods_stage_3_fallen_gates_attacker_01	wh2_main_bundle_quest_battle_feral_cold_ones
wh2_main_qb_lzd_kroqgar_hand_of_gods_stage_3_fallen_gates_e3_easy_attacker_01	wh2_main_bundle_quest_battle_feral_cold_ones
wh2_main_qb_lzd_kroqgar_hand_of_gods_stage_3_fallen_gates_e3_hard_attacker_01	wh2_main_bundle_quest_battle_feral_cold_ones
wh2_main_qb_skv_queek_dwarf_gouger_stage_4_gouger_gully_defender_01	wh2_main_bundle_pre_battle_purchase_menace_below_2
wh2_main_qb_skv_queek_headtaker_warp_shard_armour_stage_6_warp_shard_caverns_attacker_01	wh2_main_bundle_pre_battle_purchase_menace_below_2
wh3_dlc20_chs_azazel_survival_player_qb	wh3_main_bundle_sla_quest_battle_army_abilities
wh3_dlc20_chs_festus_survival_player_qb	wh3_main_bundle_nur_quest_battle_army_abilities
wh3_dlc20_chs_valkia_survival_player_qb	wh3_main_bundle_kho_quest_battle_army_abilities
wh3_dlc20_chs_vilitch_survival_player_qb	wh3_main_bundle_tze_quest_battle_army_abilities
wh3_dlc20_qb_chs_azazel_daemonblade_player	wh3_main_bundle_sla_quest_battle_army_abilities
wh3_dlc20_qb_chs_festus_pestilent_potions_player	wh3_main_bundle_nur_quest_battle_army_abilities
wh3_dlc20_qb_chs_valkia_the_spear_slaupnir_player	wh3_main_bundle_kho_quest_battle_army_abilities
wh3_dlc20_qb_chs_vilitch_vessel_of_chaos_player	wh3_main_bundle_tze_quest_battle_army_abilities
wh3_main_qb_greasus_overtyrants_crown_fire_mouth_volcano_player	wh3_main_bundle_ogr_quest_battle_army_abilities
wh3_main_qb_kairos_staff_of_tomorrow_floating_chaos_island_player	wh3_main_bundle_tze_quest_battle_army_abilities
wh3_main_qb_kugath_necrotic_missiles_underway_player	wh3_main_bundle_nur_quest_battle_army_abilities
wh3_main_qb_nkari_sword_sea_of_dreams_player	wh3_main_bundle_sla_quest_battle_army_abilities
wh3_main_qb_skarbrand_slaughter_and_carnage_player	wh3_main_bundle_kho_quest_battle_army_abilities
wh3_main_qb_skrag_cauldron_of_the_great_maw_caverns_of_mourn_attacker_01	wh2_main_bundle_pre_battle_purchase_menace_below_2
wh3_main_qb_skrag_cauldron_of_the_great_maw_caverns_of_mourn_attacker_02	wh2_main_bundle_pre_battle_purchase_menace_below_2
wh3_main_qb_skrag_cauldron_of_the_great_maw_caverns_of_mourn_player	wh3_main_bundle_ogr_quest_battle_army_abilities
wh_dlc08_qb_nor_monster_hunt_10_reinforcement	wh2_dlc10_bundle_monster_hunt_army_rampage
wh_dlc08_qb_nor_monster_hunt_10	wh2_dlc10_bundle_monster_hunt_army_rampage
wh_dlc08_qb_nor_monster_hunt_8_reinforcement_2	wh_main_bundle_military_upkeep_free_force_unbreakable_all
wh_dlc08_qb_nor_monster_hunt_8_reinforcement	wh_main_bundle_military_upkeep_free_force_unbreakable_all
wh_dlc08_qb_nor_monster_hunt_8	wh_main_bundle_military_upkeep_free_force_unbreakable_all
wh_dlc15_qb_grn_grom_axe_of_grom_git_guzzler_enemy	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_dlc15_qb_grn_grom_axe_of_grom_player	wh2_dlc15_bundle_groms_big_waaagh_army_ability
wh_dlc15_qb_grn_grom_axe_of_grom_skarsniks_skulkers_enemy_reinforcements	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_dlc15_qb_grn_grom_axe_of_grom_skarsniks_skulkers_enemy_reinforcements	wh2_dlc15_bundle_skarsniks_big_waaagh_army_ability
wh_dlc15_qb_grn_grom_axe_of_grom_squig_stampede_enemy_reinforcements	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_dlc15_qb_qb_hef_eltharion_talisman_of_hoeth_stage_3_player	wh2_dlc15_bundle_talisman_of_hoeth_army_ability
