item_type	currency_type	cost_value
cth_tower_placement_02	supplies_currency	900.0
cth_tower_placement_03	supplies_currency	1400.0
cth_tower_placement_04	supplies_currency	2000.0
def_barricade_blocker_01	supplies_currency	500.0
def_barricade_monument_01	supplies_currency	400.0
def_barricade_platform_01	supplies_currency	300.0
def_barricade_trap_01	supplies_currency	400.0
def_barricade_trap_02	supplies_currency	400.0
def_tower_placement_01	supplies_currency	500.0
def_tower_placement_02	supplies_currency	900.0
def_tower_placement_03	supplies_currency	1400.0
def_tower_placement_04	supplies_currency	2000.0
dwf_barricade_blocker_01	supplies_currency	500.0
dwf_barricade_monument_01	supplies_currency	400.0
dwf_barricade_platform_01	supplies_currency	300.0
dwf_barricade_trap_01	supplies_currency	400.0
dwf_barricade_trap_02	supplies_currency	400.0
dwf_tower_placement_01	supplies_currency	500.0
dwf_tower_placement_02	supplies_currency	900.0
dwf_tower_placement_03	supplies_currency	1400.0
dwf_tower_placement_04	supplies_currency	2000.0
emp_barricade_blocker_01	supplies_currency	500.0
emp_barricade_monument_01	supplies_currency	400.0
emp_barricade_platform_01	supplies_currency	300.0
emp_barricade_trap_01	supplies_currency	400.0
emp_prop_barricade_large_01	supplies_currency	0.0
emp_prop_barricade_small_01	supplies_currency	0.0
emp_tower_placement_01	supplies_currency	500.0
emp_tower_placement_02	supplies_currency	900.0
emp_tower_placement_03	supplies_currency	1400.0
emp_tower_placement_04	supplies_currency	2000.0
grn_barricade_blocker_01	supplies_currency	500.0
grn_barricade_monument_01	supplies_currency	400.0
grn_barricade_platform_01	supplies_currency	300.0
grn_barricade_trap_01	supplies_currency	400.0
grn_tower_placement_01	supplies_currency	500.0
grn_tower_placement_02	supplies_currency	900.0
grn_tower_placement_03	supplies_currency	1400.0
grn_tower_placement_04	supplies_currency	2000.0
hef_barricade_blocker_01	supplies_currency	500.0
hef_barricade_monument_01	supplies_currency	400.0
hef_barricade_platform_01	supplies_currency	300.0
hef_barricade_trap_01	supplies_currency	400.0
hef_tower_placement_01	supplies_currency	500.0
hef_tower_placement_02	supplies_currency	900.0
hef_tower_placement_03	supplies_currency	1400.0
hef_tower_placement_04	supplies_currency	2000.0
kho_barricade_blocker_01	supplies_currency	500.0
kho_barricade_monument_01	supplies_currency	400.0
kho_barricade_platform_01	supplies_currency	300.0
kho_barricade_trap_01	supplies_currency	400.0
kho_tower_placement_01	supplies_currency	500.0
kho_tower_placement_02	supplies_currency	900.0
kho_tower_placement_03	supplies_currency	1400.0
kho_tower_placement_04	supplies_currency	2000.0
ksl_barricade_blocker_01	supplies_currency	500.0
ksl_barricade_monument_01	supplies_currency	400.0
ksl_barricade_platform_01	supplies_currency	300.0
ksl_barricade_trap_01	supplies_currency	400.0
ksl_tower_placement_01	supplies_currency	500.0
ksl_tower_placement_02	supplies_currency	900.0
ksl_tower_placement_03	supplies_currency	1400.0
ksl_tower_placement_04	supplies_currency	2000.0
lzd_barricade_blocker_01	supplies_currency	500.0
lzd_barricade_monument_01	supplies_currency	400.0
lzd_barricade_platform_01	supplies_currency	300.0
lzd_barricade_trap_01	supplies_currency	400.0
lzd_tower_placement_01	supplies_currency	500.0
lzd_tower_placement_02	supplies_currency	900.0
lzd_tower_placement_03	supplies_currency	1400.0
lzd_tower_placement_04	supplies_currency	2000.0
mrb_barricade_blocker_01	supplies_currency	500.0
mrb_barricade_monument_01	supplies_currency	400.0
mrb_barricade_platform_01	supplies_currency	300.0
mrb_barricade_trap_01	supplies_currency	400.0
nor_barricade_blocker_01	supplies_currency	500.0
nor_barricade_monument_01	supplies_currency	400.0
nor_barricade_platform_01	supplies_currency	300.0
nor_barricade_trap_01	supplies_currency	400.0
nor_tower_placement_01	supplies_currency	500.0
nor_tower_placement_02	supplies_currency	900.0
nor_tower_placement_03	supplies_currency	1400.0
nor_tower_placement_04	supplies_currency	2000.0
nur_barricade_blocker_01	supplies_currency	500.0
nur_barricade_monument_01	supplies_currency	400.0
nur_barricade_platform_01	supplies_currency	300.0
nur_barricade_trap_01	supplies_currency	400.0
nur_barricade_trap_02	supplies_currency	400.0
nur_tower_placement_01	supplies_currency	500.0
nur_tower_placement_02	supplies_currency	900.0
nur_tower_placement_03	supplies_currency	1400.0
nur_tower_placement_04	supplies_currency	2000.0
occupiable_barricade	supplies_currency	0.0
ogr_barricade_blocker_01	supplies_currency	500.0
ogr_barricade_monument_01	supplies_currency	400.0
ogr_barricade_platform_01	supplies_currency	300.0
ogr_barricade_trap_01	supplies_currency	400.0
ogr_tower_placement_01	supplies_currency	500.0
ogr_tower_placement_02	supplies_currency	900.0
ogr_tower_placement_03	supplies_currency	1400.0
ogr_tower_placement_04	supplies_currency	2000.0
skv_barricade_blocker_01	supplies_currency	500.0
skv_barricade_monument_01	supplies_currency	400.0
skv_barricade_platform_01	supplies_currency	300.0
skv_barricade_trap_01	supplies_currency	400.0
skv_barricade_trap_02	supplies_currency	400.0
skv_tower_placement_01	supplies_currency	500.0
skv_tower_placement_02	supplies_currency	900.0
skv_tower_placement_03	supplies_currency	1400.0
skv_tower_placement_04	supplies_currency	2000.0
sla_barricade_blocker_01	supplies_currency	500.0
sla_barricade_monument_01	supplies_currency	400.0
sla_barricade_platform_01	supplies_currency	300.0
sla_barricade_trap_01	supplies_currency	400.0
sla_barricade_trap_02	supplies_currency	400.0
sla_tower_placement_01	supplies_currency	500.0
sla_tower_placement_02	supplies_currency	900.0
sla_tower_placement_03	supplies_currency	1400.0
sla_tower_placement_04	supplies_currency	2000.0
tmb_barricade_blocker_01	supplies_currency	500.0
tmb_barricade_monument_01	supplies_currency	400.0
tmb_barricade_platform_01	supplies_currency	300.0
tmb_barricade_trap_01	supplies_currency	400.0
tmb_tower_placement_01	supplies_currency	500.0
tmb_tower_placement_02	supplies_currency	900.0
tmb_tower_placement_03	supplies_currency	1400.0
tmb_tower_placement_04	supplies_currency	2000.0
tze_barricade_blocker_01	supplies_currency	500.0
tze_barricade_monument_01	supplies_currency	400.0
tze_barricade_platform_01	supplies_currency	300.0
tze_barricade_trap_01	supplies_currency	400.0
tze_barricade_trap_02	supplies_currency	400.0
tze_tower_placement_01	supplies_currency	500.0
tze_tower_placement_02	supplies_currency	900.0
tze_tower_placement_03	supplies_currency	1400.0
tze_tower_placement_04	supplies_currency	2000.0
vmp_barricade_blocker_01	supplies_currency	500.0
vmp_barricade_monument_01	supplies_currency	400.0
vmp_barricade_platform_01	supplies_currency	300.0
vmp_barricade_trap_01	supplies_currency	400.0
vmp_tower_placement_01	supplies_currency	500.0
vmp_tower_placement_02	supplies_currency	900.0
vmp_tower_placement_03	supplies_currency	1400.0
vmp_tower_placement_04	supplies_currency	2000.0
wef_barricade_blocker_01	supplies_currency	500.0
wef_barricade_monument_01	supplies_currency	400.0
wef_barricade_platform_01	supplies_currency	300.0
wef_barricade_trap_01	supplies_currency	400.0
wef_tower_placement_01	supplies_currency	500.0
wef_tower_placement_02	supplies_currency	900.0
wef_tower_placement_03	supplies_currency	1400.0
wef_tower_placement_04	supplies_currency	2000.0
