faction	ownership_content_pack
wh2_main_lzd_itza	wh2_dlc13_gor_rok_free
wh2_main_lzd_last_defenders	wh2_base_game
wh2_main_lzd_lizardmen	wh2_base_game
wh2_main_lzd_sentinels_of_xeti	wh2_base_game
wh2_main_lzd_southern_sentinels	wh2_base_game
wh2_main_lzd_teotiqua	wh2_base_game
wh2_main_lzd_tlaqua	wh2_dlc12_tiktaqto_free
wh2_main_lzd_tlaxtlan	wh2_base_game
wh2_main_lzd_xlanhuapec	wh2_base_game
wh2_main_lzd_zlatan	wh2_base_game
wh2_main_nor_aghol	wh1_norsca
wh2_main_nor_mung	wh1_norsca
wh2_main_nor_skeggi	wh1_norsca
wh2_main_skv_clan_eshin	wh2_dlc14_shadow
wh2_main_skv_clan_gnaw	wh2_base_game
wh2_main_skv_clan_mordkin	wh2_base_game
wh2_main_skv_clan_mors	wh2_base_game
wh2_main_skv_clan_moulder	wh2_dlc16_twilight
wh2_main_skv_clan_pestilens	wh2_base_game
wh2_main_skv_clan_septik	wh2_base_game
wh2_main_skv_clan_skryre	wh2_dlc12_prophet
wh2_main_skv_clan_spittel	wh2_base_game
wh2_main_skv_grey_seer_clan	wh2_base_game
wh2_main_skv_skaven	wh2_base_game
wh2_main_vmp_necrarch_brotherhood	wh1_base_game
wh2_main_vmp_strygos_empire	wh1_base_game
wh2_main_vmp_the_silver_host	wh1_base_game
wh2_main_wef_bowmen_of_oreon	wh1_wood_elves
wh2_twa03_def_rakarth	wh2_rakarth
wh3_dlc20_chs_azazel	wh3_dlc20_champions
wh3_dlc20_chs_festus	wh3_dlc20_champions
wh3_dlc20_chs_kholek	wh1_chaos
wh3_dlc20_chs_sigvald	wh1_chaos
wh3_dlc20_chs_valkia	wh3_dlc20_champions
wh3_dlc20_chs_vilitch	wh3_dlc20_champions
wh3_main_brt_aquitaine	wh1_bretonnia_free
wh3_main_chs_shadow_legion	wh3_immortal_empires_campaign
wh3_main_dwf_the_ancestral_throng	wh1_grombrindal
wh3_main_emp_cult_of_sigmar	wh1_lords_and_units_1
wh3_main_ogr_disciples_of_the_maw	wh3_ogre_kingdoms
wh3_main_ogr_goldtooth	wh3_ogre_kingdoms
wh3_main_ogr_ogre_kingdoms	wh3_ogre_kingdoms
wh3_main_vmp_caravan_of_blue_roses	wh1_lords_and_units_1
wh_dlc03_bst_beastmen	wh1_beastmen
wh_dlc03_bst_jagged_horn	wh1_beastmen
wh_dlc03_bst_redhorn	wh1_beastmen
wh_dlc03_grn_black_pit	wh1_beastmen
wh_dlc05_bst_morghur_herd	wh1_beastmen
wh_dlc05_wef_argwylon	wh1_wood_elves
wh_dlc05_wef_torgovann	wh1_wood_elves
wh_dlc05_wef_wood_elves	wh1_wood_elves
wh_dlc05_wef_wydrioth	wh1_wood_elves
wh_dlc08_nor_goromadny_tribe	wh1_norsca
wh_dlc08_nor_helspire_tribe	wh1_norsca
wh_dlc08_nor_naglfarlings	wh1_norsca
wh_dlc08_nor_norsca	wh1_norsca
wh_dlc08_nor_vanaheimlings	wh1_norsca
wh_dlc08_nor_wintertooth	wh1_norsca
wh_main_brt_artois	wh1_bretonnia_free
wh_main_brt_bastonne	wh1_bretonnia_free
wh_main_brt_bordeleaux	wh1_bretonnia_free
wh_main_brt_bretonnia	wh1_bretonnia_free
wh_main_brt_carcassonne	wh1_bretonnia_free
wh_main_brt_lyonesse	wh1_bretonnia_free
wh_main_brt_parravon	wh1_bretonnia_free
wh_main_chs_chaos	wh1_chaos
wh_main_dwf_barak_varr	wh1_base_game
wh_main_dwf_dwarfs	wh1_base_game
wh_main_dwf_karak_azul	wh1_base_game
wh_main_dwf_karak_hirn	wh1_base_game
wh_main_dwf_karak_izor	wh1_lords_and_units_2
wh_main_dwf_karak_kadrin	wh1_base_game
wh_main_dwf_karak_norn	wh1_base_game
wh_main_dwf_karak_ziflin	wh1_base_game
wh_main_dwf_kraka_drak	wh1_base_game
wh_main_dwf_zhufbar	wh1_base_game
wh_main_emp_averland	wh1_base_game
wh_main_emp_empire	wh1_base_game
wh_main_emp_hochland	wh1_base_game
wh_main_emp_middenland	wh1_base_game
wh_main_emp_nordland	wh1_base_game
wh_main_emp_ostermark	wh1_base_game
wh_main_emp_ostland	wh1_base_game
wh_main_emp_stirland	wh1_base_game
wh_main_emp_talabecland	wh1_base_game
wh_main_emp_wissenland	wh1_base_game
wh_main_grn_black_venom	wh1_base_game
wh_main_grn_bloody_spearz	wh1_base_game
wh_main_grn_broken_nose	wh1_base_game
wh_main_grn_crooked_moon	wh1_lords_and_units_2
wh_main_grn_greenskins	wh1_base_game
wh_main_grn_orcs_of_the_bloody_hand	wh1_lords_and_units_2_free
wh_main_grn_red_eye	wh1_base_game
wh_main_grn_red_fangs	wh1_base_game
wh_main_grn_scabby_eye	wh1_base_game
wh_main_grn_skullsmasherz	wh1_base_game
wh_main_grn_teef_snatchaz	wh1_base_game
wh_main_nor_aesling	wh1_norsca
wh_main_nor_baersonling	wh1_norsca
wh_main_nor_bjornling	wh1_norsca
wh_main_nor_graeling	wh1_norsca
wh_main_nor_sarl	wh1_norsca
wh_main_nor_skaeling	wh1_norsca
wh_main_nor_varg	wh1_norsca
wh_main_vmp_mousillon	wh1_base_game
wh_main_vmp_schwartzhafen	wh1_isabella_free
wh_main_vmp_vampire_counts	wh1_base_game
wh_main_vmp_waldenhof	wh1_base_game
