product	requirement_set
TW_WH2_BASE_GAME	wh2_dlc12_tiktaqto_free_req
TW_WH2_DLC12_TIKTAQTO_FREE	wh2_dlc12_tiktaqto_free_req
TW_WH1_BASE_GAME	wh2_dlc13_gor_rok_free_req
TW_WH2_BASE_GAME	wh2_dlc13_gor_rok_free_req
TW_WH2_DLC13_GOR_ROK_FREE	wh2_dlc13_gor_rok_free_req
TW_WH1_BASE_GAME	wh2_dlc13_hunter_req
TW_WH2_BASE_GAME	wh2_dlc13_hunter_req
TW_WH2_DLC13_HUNTER	wh2_dlc13_hunter_req
TW_WH1_BASE_GAME	wh2_dlc14_repanse_free_req
TW_WH2_BASE_GAME	wh2_dlc14_repanse_free_req
TW_WH2_DLC14_REPANSE_FREE	wh2_dlc14_repanse_free_req
TW_WH1_BASE_GAME	wh2_dlc14_shadow_req
TW_WH2_BASE_GAME	wh2_dlc14_shadow_req
TW_WH2_DLC14_SHADOW	wh2_dlc14_shadow_req
TW_WH1_BASE_GAME	wh2_dlc15_imrik_free_req
TW_WH2_BASE_GAME	wh2_dlc15_imrik_free_req
TW_WH2_DLC15_IMRIK_FREE	wh2_dlc15_imrik_free_req
TW_WH1_BASE_GAME	wh2_dlc15_warden_req
TW_WH2_BASE_GAME	wh2_dlc15_warden_req
TW_WH2_DLC15_WARDEN	wh2_dlc15_warden_req
TW_WH1_BASE_GAME	wh2_dlc16_chieftan_free_req
TW_WH2_BASE_GAME	wh2_dlc16_chieftan_free_req
TW_WH2_DLC16_CHIEFTAIN_FREE	wh2_dlc16_chieftan_free_req
TW_WH1_BASE_GAME	wh2_dlc16_twilight_req
TW_WH2_BASE_GAME	wh2_dlc16_twilight_req
TW_WH2_DLC16_TWILIGHT	wh2_dlc16_twilight_req
TW_WH1_BASE_GAME	wh2_dlc17_silence_req
TW_WH2_BASE_GAME	wh2_dlc17_silence_req
TW_WH2_DLC17_SILENCE	wh2_dlc17_silence_req
TW_WH1_BASE_GAME	wh2_dlc17_thorek_free_req
TW_WH2_BASE_GAME	wh2_dlc17_thorek_free_req
TW_WH2_DLC17_THOREK_FREE	wh2_dlc17_thorek_free_req
TW_WH1_BASE_GAME	wh2_glade_captain_twilight_req
TW_WH2_BASE_GAME	wh2_glade_captain_twilight_req
TW_WH2_DLC16_TWILIGHT	wh2_glade_captain_twilight_req
TW_WH2_TWA_02_GLADE_CAPTAIN	wh2_glade_captain_twilight_req
TW_WH1_BASE_GAME	wh2_glade_captain_wood_elves_req
TW_WH1_WOOD_ELVES	wh2_glade_captain_wood_elves_req
TW_WH2_BASE_GAME	wh2_glade_captain_wood_elves_req
TW_WH2_TWA_02_GLADE_CAPTAIN	wh2_glade_captain_wood_elves_req
TW_WH1_BASE_GAME	wh2_gotek_felix_req
TW_WH2_BASE_GAME	wh2_gotek_felix_req
TW_WH2_GOTREK_FELIX	wh2_gotek_felix_req
TW_WH1_BASE_GAME	wh2_great_bray_shaman_beastmen_req
TW_WH1_BEASTMEN	wh2_great_bray_shaman_beastmen_req
TW_WH2_BASE_GAME	wh2_great_bray_shaman_beastmen_req
TW_WH2_TWA_04_GREAT_BRAY_SHAMAN	wh2_great_bray_shaman_beastmen_req
TW_WH1_BASE_GAME	wh2_great_bray_shaman_silence_req
TW_WH2_BASE_GAME	wh2_great_bray_shaman_silence_req
TW_WH2_DLC17_SILENCE	wh2_great_bray_shaman_silence_req
TW_WH2_TWA_04_GREAT_BRAY_SHAMAN	wh2_great_bray_shaman_silence_req
TW_WH1_BASE_GAME	wh2_rakarth_req
TW_WH2_BASE_GAME	wh2_rakarth_req
TW_WH2_TWA_03_RAKARTH	wh2_rakarth_req
TW_WH1_BASE_GAME	wh2_spider_shrine_req
TW_WH2_BASE_GAME	wh2_spider_shrine_req
TW_WH2_TWA_01_SPIDER_SHRINE	wh2_spider_shrine_req
TW_WH1_BASE_GAME	wh2_tomb_kings_req
TW_WH2_BASE_GAME	wh2_tomb_kings_req
TW_WH2_TOMB_KINGS	wh2_tomb_kings_req
TW_WH1_BASE_GAME	wh2_tretch_free_req
TW_WH2_BASE_GAME	wh2_tretch_free_req
TW_WH2_TRETCH_FREE	wh2_tretch_free_req
TW_WH3_DLC20_CHAMPIONS	wh3_dlc20_champions_req
TW_WH3_CHAOS_WARRIORS_FREE	wh3_dlc20_chaos_warriors_free_req
TW_WH1_BASE_GAME	wh3_immortal_empires_campaign_req
TW_WH2_BASE_GAME	wh3_immortal_empires_campaign_req
TW_WH3_OGRE_KINGDOMS	wh3_ogre_kingdoms_req
