unit	unit_pool	weight
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_gnoblar_country	4
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_gnoblar_country	3
wh_main_grn_mon_giant	grn_faction_boost_pool_province_gnoblar_country	2
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_goromadny_mountains	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_goromadny_mountains	4
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_goromadny_mountains	3
wh_main_grn_mon_giant	grn_faction_boost_pool_province_goromadny_mountains	2
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_hochland	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_hochland	4
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_hochland	3
wh_main_grn_mon_arachnarok_spider_0	grn_faction_boost_pool_province_hochland	1
wh2_dlc15_grn_mon_feral_hydra_waaagh_0	grn_faction_boost_pool_province_iron_mountains	1
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_iron_mountains	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_iron_mountains	4
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_iron_mountains	3
wh_main_grn_cav_forest_goblin_spider_riders_0	grn_faction_boost_pool_province_kingdom_of_beasts	2
wh_main_grn_cav_forest_goblin_spider_riders_1	grn_faction_boost_pool_province_kingdom_of_beasts	2
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_kingdom_of_beasts	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_kingdom_of_beasts	4
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_kingdom_of_beasts	3
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_marches_of_couronne	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_marches_of_couronne	6
wh_main_grn_inf_orc_arrer_boyz	grn_faction_boost_pool_province_marches_of_couronne	1
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_marches_of_couronne	4
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_middenland	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_middenland	4
wh_main_grn_inf_orc_arrer_boyz	grn_faction_boost_pool_province_middenland	2
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_middenland	3
wh2_dlc15_grn_cav_forest_goblin_spider_riders_waaagh_0	grn_faction_boost_pool_province_mountains_of_hel	2
wh_dlc15_grn_mon_arachnarok_spider_waaagh_0	grn_faction_boost_pool_province_mountains_of_hel	1
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_mountains_of_hel	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_mountains_of_hel	4
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_mountains_of_hel	3
wh_dlc15_grn_mon_arachnarok_spider_waaagh_0	grn_faction_boost_pool_province_nagarythe	1
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_nagarythe	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_nagarythe	4
wh_main_grn_inf_orc_arrer_boyz	grn_faction_boost_pool_province_nagarythe	2
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_nagarythe	3
wh2_dlc15_grn_cav_squig_hoppers_waaagh_0	grn_faction_boost_pool_province_northern_grey_mountains	1
wh_dlc06_grn_inf_squig_explosive_0	grn_faction_boost_pool_province_northern_grey_mountains	1
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_northern_grey_mountains	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_northern_grey_mountains	4
wh_main_grn_inf_night_goblin_archers	grn_faction_boost_pool_province_northern_grey_mountains	2
wh_main_grn_inf_night_goblins	grn_faction_boost_pool_province_northern_grey_mountains	2
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_northern_grey_mountains	3
wh2_dlc15_grn_cav_forest_goblin_spider_riders_waaagh_0	grn_faction_boost_pool_province_northern_worlds_edge_mountains	2
wh_dlc15_grn_mon_arachnarok_spider_waaagh_0	grn_faction_boost_pool_province_northern_worlds_edge_mountains	1
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_northern_worlds_edge_mountains	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_northern_worlds_edge_mountains	4
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_northern_worlds_edge_mountains	3
wh2_dlc15_grn_mon_feral_hydra_waaagh_0	grn_faction_boost_pool_province_obsidian_peaks	1
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_obsidian_peaks	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_obsidian_peaks	4
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_obsidian_peaks	3
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_ostermark	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_ostermark	4
wh_main_grn_inf_orc_arrer_boyz	grn_faction_boost_pool_province_ostermark	2
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_ostermark	3
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_ostland	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_ostland	4
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_ostland	3
wh2_dlc15_grn_cav_forest_goblin_spider_riders_waaagh_0	grn_faction_boost_pool_province_path_to_the_east	2
wh_dlc15_grn_mon_arachnarok_spider_waaagh_0	grn_faction_boost_pool_province_path_to_the_east	1
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_path_to_the_east	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_path_to_the_east	4
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_path_to_the_east	3
wh_main_grn_cav_goblin_wolf_chariot	grn_faction_boost_pool_province_peak_pass	1
wh_main_grn_cav_goblin_wolf_riders_0	grn_faction_boost_pool_province_peak_pass	2
wh_main_grn_cav_goblin_wolf_riders_1	grn_faction_boost_pool_province_peak_pass	2
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_peak_pass	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_peak_pass	4
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_peak_pass	3
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_river_brienne	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_river_brienne	6
wh_main_grn_inf_orc_arrer_boyz	grn_faction_boost_pool_province_river_brienne	1
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_river_brienne	4
wh_main_grn_cav_savage_orc_boar_boyz	grn_faction_boost_pool_province_southern_badlands	1
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_southern_badlands	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_southern_badlands	4
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_southern_badlands	3
wh_main_grn_inf_savage_orc_arrer_boyz	grn_faction_boost_pool_province_southern_badlands	1
wh_main_grn_inf_savage_orcs	grn_faction_boost_pool_province_southern_badlands	3
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_southern_oblast	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_southern_oblast	4
wh_main_grn_inf_orc_arrer_boyz	grn_faction_boost_pool_province_southern_oblast	2
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_southern_oblast	3
wh_main_grn_mon_trolls	grn_faction_boost_pool_province_southern_oblast	2
wh2_dlc15_grn_cav_squig_hoppers_waaagh_0	grn_faction_boost_pool_province_southlands_worlds_edge_mountains	1
wh_dlc06_grn_inf_squig_explosive_0	grn_faction_boost_pool_province_southlands_worlds_edge_mountains	1
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_southlands_worlds_edge_mountains	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_southlands_worlds_edge_mountains	4
wh_main_grn_inf_night_goblin_archers	grn_faction_boost_pool_province_southlands_worlds_edge_mountains	2
wh_main_grn_inf_night_goblins	grn_faction_boost_pool_province_southlands_worlds_edge_mountains	2
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_southlands_worlds_edge_mountains	3
wh2_dlc15_grn_cav_forest_goblin_spider_riders_waaagh_0	grn_faction_boost_pool_province_spine_of_sotek	2
wh_dlc15_grn_mon_arachnarok_spider_waaagh_0	grn_faction_boost_pool_province_spine_of_sotek	1
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_spine_of_sotek	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_spine_of_sotek	4
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_spine_of_sotek	3
wh_main_grn_cav_forest_goblin_spider_riders_0	grn_faction_boost_pool_province_talabecland	2
wh_main_grn_cav_forest_goblin_spider_riders_1	grn_faction_boost_pool_province_talabecland	2
wh_main_grn_cav_orc_boar_boyz	grn_faction_boost_pool_province_talabecland	1
wh_main_grn_cav_orc_boar_chariot	grn_faction_boost_pool_province_talabecland	1
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_talabecland	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_talabecland	4
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_talabecland	3
wh2_dlc15_grn_cav_forest_goblin_spider_riders_waaagh_0	grn_faction_boost_pool_province_the_black_flood	2
wh2_dlc15_grn_mon_feral_hydra_waaagh_0	grn_faction_boost_pool_province_the_black_flood	1
wh_dlc15_grn_mon_arachnarok_spider_waaagh_0	grn_faction_boost_pool_province_the_black_flood	1
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_the_black_flood	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_the_black_flood	4
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_the_black_flood	3
wh_main_grn_cav_goblin_wolf_riders_0	grn_faction_boost_pool_province_the_blasted_wastes	2
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_the_blasted_wastes	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_the_blasted_wastes	6
wh_main_grn_inf_orc_arrer_boyz	grn_faction_boost_pool_province_the_blasted_wastes	1
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_the_blasted_wastes	4
wh_main_grn_cav_forest_goblin_spider_riders_0	grn_faction_boost_pool_province_the_creeping_jungle	2
wh_main_grn_cav_forest_goblin_spider_riders_1	grn_faction_boost_pool_province_the_creeping_jungle	2
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_the_creeping_jungle	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_the_creeping_jungle	4
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_the_creeping_jungle	3
wh_main_grn_cav_orc_boar_boyz	grn_faction_boost_pool_province_the_desolation_of_azgorh	1
wh_main_grn_cav_orc_boar_chariot	grn_faction_boost_pool_province_the_desolation_of_azgorh	1
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_the_desolation_of_azgorh	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_the_desolation_of_azgorh	6
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_the_desolation_of_azgorh	3
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_the_howling_wastes	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_the_howling_wastes	6
wh_main_grn_inf_orc_arrer_boyz	grn_faction_boost_pool_province_the_howling_wastes	1
wh_main_grn_inf_orc_big_uns	grn_faction_boost_pool_province_the_howling_wastes	2
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_the_howling_wastes	3
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_the_plain_of_bones	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_the_plain_of_bones	4
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_the_plain_of_bones	3
wh_main_grn_mon_trolls	grn_faction_boost_pool_province_the_plain_of_bones	2
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_the_plain_of_zharr	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_the_plain_of_zharr	6
wh_main_grn_inf_orc_arrer_boyz	grn_faction_boost_pool_province_the_plain_of_zharr	1
wh_main_grn_inf_orc_big_uns	grn_faction_boost_pool_province_the_plain_of_zharr	2
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_the_plain_of_zharr	3
wh2_dlc15_grn_mon_feral_hydra_waaagh_0	grn_faction_boost_pool_province_the_vaults	1
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_the_vaults	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_the_vaults	4
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_the_vaults	3
wh2_dlc15_grn_cav_squig_hoppers_waaagh_0	grn_faction_boost_pool_province_the_wolf_lands	1
wh_dlc06_grn_inf_squig_explosive_0	grn_faction_boost_pool_province_the_wolf_lands	1
wh_main_grn_cav_goblin_wolf_chariot	grn_faction_boost_pool_province_the_wolf_lands	1
wh_main_grn_cav_goblin_wolf_riders_0	grn_faction_boost_pool_province_the_wolf_lands	2
wh_main_grn_cav_goblin_wolf_riders_1	grn_faction_boost_pool_province_the_wolf_lands	2
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_the_wolf_lands	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_the_wolf_lands	4
wh_main_grn_inf_night_goblin_archers	grn_faction_boost_pool_province_the_wolf_lands	2
wh_main_grn_inf_night_goblins	grn_faction_boost_pool_province_the_wolf_lands	2
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_the_wolf_lands	3
wh2_dlc15_grn_mon_feral_hydra_waaagh_0	grn_faction_boost_pool_province_titan_peaks	1
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_titan_peaks	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_titan_peaks	4
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_titan_peaks	3
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_troll_country	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_troll_country	4
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_troll_country	3
wh_main_grn_mon_trolls	grn_faction_boost_pool_province_troll_country	2
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_trollheim_mountains	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_trollheim_mountains	4
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_trollheim_mountains	3
wh_main_grn_mon_trolls	grn_faction_boost_pool_province_trollheim_mountains	2
wh2_dlc15_grn_cav_forest_goblin_spider_riders_waaagh_0	grn_faction_boost_pool_province_volcanic_islands	2
wh_dlc15_grn_mon_arachnarok_spider_waaagh_0	grn_faction_boost_pool_province_volcanic_islands	1
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_volcanic_islands	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_volcanic_islands	4
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_volcanic_islands	3
wh2_dlc15_grn_mon_wyvern_waaagh_0	grn_faction_boost_pool_province_western_badlands	1
wh_main_grn_cav_orc_boar_boyz	grn_faction_boost_pool_province_western_badlands	1
wh_main_grn_cav_orc_boar_chariot	grn_faction_boost_pool_province_western_badlands	1
wh_main_grn_cav_savage_orc_boar_boyz	grn_faction_boost_pool_province_western_badlands	1
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_western_badlands	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_western_badlands	4
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_western_badlands	3
wh_main_grn_inf_savage_orc_arrer_boyz	grn_faction_boost_pool_province_western_badlands	1
wh_main_grn_inf_savage_orcs	grn_faction_boost_pool_province_western_badlands	3
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_western_border_princes	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_western_border_princes	4
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_western_border_princes	3
wh_main_grn_inf_goblin_archers	grn_faction_boost_pool_province_zorn_uzkul	2
wh_main_grn_inf_goblin_spearmen	grn_faction_boost_pool_province_zorn_uzkul	6
wh_main_grn_inf_orc_arrer_boyz	grn_faction_boost_pool_province_zorn_uzkul	1
wh_main_grn_inf_orc_big_uns	grn_faction_boost_pool_province_zorn_uzkul	2
wh_main_grn_inf_orc_boyz	grn_faction_boost_pool_province_zorn_uzkul	3
wh3_main_kho_inf_flesh_hounds_of_khorne_0	wh3_main_kho_transport_army_pool_hounds	1
