armory_item	category_set
wh3_main_dae_cha_daemon_prince_head_bird_6	tzeentch
wh3_main_dae_cha_daemon_prince_head_bird_7	generic
wh3_main_dae_cha_daemon_prince_head_bird_8	generic
wh3_main_dae_cha_daemon_prince_head_corpulent_1	nurgle
wh3_main_dae_cha_daemon_prince_head_corpulent_2	nurgle
wh3_main_dae_cha_daemon_prince_head_corpulent_3	nurgle
wh3_main_dae_cha_daemon_prince_head_corpulent_4	nurgle
wh3_main_dae_cha_daemon_prince_head_corpulent_5	nurgle
wh3_main_dae_cha_daemon_prince_head_corpulent_6	nurgle
wh3_main_dae_cha_daemon_prince_legs_base_1	generic
wh3_main_dae_cha_daemon_prince_legs_base_2	generic
wh3_main_dae_cha_daemon_prince_legs_base_3	generic
wh3_main_dae_cha_daemon_prince_legs_base_4	generic
wh3_main_dae_cha_daemon_prince_legs_base_5	generic
wh3_main_dae_cha_daemon_prince_legs_base_6	generic
wh3_main_dae_cha_daemon_prince_legs_beast_1	khorne
wh3_main_dae_cha_daemon_prince_legs_beast_2	khorne
wh3_main_dae_cha_daemon_prince_legs_beast_3	khorne
wh3_main_dae_cha_daemon_prince_legs_beast_4	khorne
wh3_main_dae_cha_daemon_prince_legs_beast_5	khorne
wh3_main_dae_cha_daemon_prince_legs_beast_6	khorne
wh3_main_dae_cha_daemon_prince_legs_beast_7	generic
wh3_main_dae_cha_daemon_prince_legs_beast_8	generic
wh3_main_dae_cha_daemon_prince_legs_bird_1	tzeentch
wh3_main_dae_cha_daemon_prince_legs_bird_2	tzeentch
wh3_main_dae_cha_daemon_prince_legs_bird_3	tzeentch
wh3_main_dae_cha_daemon_prince_legs_bird_4	tzeentch
wh3_main_dae_cha_daemon_prince_legs_bird_5	tzeentch
wh3_main_dae_cha_daemon_prince_legs_bird_6	tzeentch
wh3_main_dae_cha_daemon_prince_legs_bird_7	generic
wh3_main_dae_cha_daemon_prince_legs_bird_8	generic
wh3_main_dae_cha_daemon_prince_legs_corpulent_1	nurgle
wh3_main_dae_cha_daemon_prince_legs_corpulent_2	nurgle
wh3_main_dae_cha_daemon_prince_legs_corpulent_3	nurgle
wh3_main_dae_cha_daemon_prince_legs_corpulent_4	nurgle
wh3_main_dae_cha_daemon_prince_legs_corpulent_5	nurgle
wh3_main_dae_cha_daemon_prince_legs_corpulent_6	generic
wh3_main_dae_cha_daemon_prince_legs_corpulent_7	generic
wh3_main_dae_cha_daemon_prince_legs_daemonette_1	slaanesh
wh3_main_dae_cha_daemon_prince_legs_daemonette_2	slaanesh
wh3_main_dae_cha_daemon_prince_legs_daemonette_3	slaanesh
wh3_main_dae_cha_daemon_prince_legs_daemonette_4	slaanesh
wh3_main_dae_cha_daemon_prince_legs_daemonette_5	slaanesh
wh3_main_dae_cha_daemon_prince_legs_daemonette_6	slaanesh
wh3_main_dae_cha_daemon_prince_legs_daemonette_7	generic
wh3_main_dae_cha_daemon_prince_legs_daemonette_8	generic
wh3_main_dae_cha_daemon_prince_tail_base_1	generic
wh3_main_dae_cha_daemon_prince_tail_base_2	generic
wh3_main_dae_cha_daemon_prince_tail_base_3	generic
wh3_main_dae_cha_daemon_prince_tail_base_4	generic
wh3_main_dae_cha_daemon_prince_tail_base_5	generic
wh3_main_dae_cha_daemon_prince_tail_base_6	generic
wh3_main_dae_cha_daemon_prince_tail_corpulent_1	nurgle
wh3_main_dae_cha_daemon_prince_tail_corpulent_2	nurgle
wh3_main_dae_cha_daemon_prince_tail_corpulent_3	generic
wh3_main_dae_cha_daemon_prince_tail_corpulent_4	nurgle
wh3_main_dae_cha_daemon_prince_tail_corpulent_5	nurgle
wh3_main_dae_cha_daemon_prince_tail_corpulent_6	generic
wh3_main_dae_cha_daemon_prince_tail_fiend_1	generic
wh3_main_dae_cha_daemon_prince_tail_fiend_2	slaanesh
wh3_main_dae_cha_daemon_prince_tail_fiend_3	slaanesh
wh3_main_dae_cha_daemon_prince_tail_fiend_4	generic
wh3_main_dae_cha_daemon_prince_tail_fiend_5	slaanesh
wh3_main_dae_cha_daemon_prince_tail_fiend_6	slaanesh
wh3_main_dae_cha_daemon_prince_tail_living_1	generic
wh3_main_dae_cha_daemon_prince_tail_living_2	generic
wh3_main_dae_cha_daemon_prince_tail_living_3	generic
wh3_main_dae_cha_daemon_prince_tail_living_4	generic
wh3_main_dae_cha_daemon_prince_tail_living_5	generic
wh3_main_dae_cha_daemon_prince_tail_living_6	khorne
wh3_main_dae_cha_daemon_prince_tail_snapping_1	generic
wh3_main_dae_cha_daemon_prince_tail_snapping_2	generic
wh3_main_dae_cha_daemon_prince_tail_snapping_3	tzeentch
wh3_main_dae_cha_daemon_prince_tail_snapping_4	generic
wh3_main_dae_cha_daemon_prince_tail_snapping_5	generic
wh3_main_dae_cha_daemon_prince_tail_snapping_6	tzeentch
wh3_main_dae_cha_daemon_prince_torso_adornedarmour_1	slaanesh
wh3_main_dae_cha_daemon_prince_torso_adornedarmour_2	slaanesh
wh3_main_dae_cha_daemon_prince_torso_adornedarmour_3	slaanesh
wh3_main_dae_cha_daemon_prince_torso_adornedarmour_4	slaanesh
wh3_main_dae_cha_daemon_prince_torso_adornedarmour_5	slaanesh
wh3_main_dae_cha_daemon_prince_torso_adornedarmour_6	slaanesh
wh3_main_dae_cha_daemon_prince_torso_base_10	generic
wh3_main_dae_cha_daemon_prince_torso_base_1	generic
wh3_main_dae_cha_daemon_prince_torso_base_2	khorne
wh3_main_dae_cha_daemon_prince_torso_base_3	nurgle
wh3_main_dae_cha_daemon_prince_torso_base_4	slaanesh
wh3_main_dae_cha_daemon_prince_torso_base_5	tzeentch
wh3_main_dae_cha_daemon_prince_torso_base_6	generic
wh3_main_dae_cha_daemon_prince_torso_base_7	generic
wh3_main_dae_cha_daemon_prince_torso_base_8	generic
wh3_main_dae_cha_daemon_prince_torso_base_9	generic
wh3_main_dae_cha_daemon_prince_torso_bird_1	generic
wh3_main_dae_cha_daemon_prince_torso_bird_2	generic
wh3_main_dae_cha_daemon_prince_torso_bird_3	generic
wh3_main_dae_cha_daemon_prince_torso_bird_4	generic
wh3_main_dae_cha_daemon_prince_torso_bird_5	generic
wh3_main_dae_cha_daemon_prince_torso_bird_6	tzeentch
wh3_main_dae_cha_daemon_prince_torso_brasscollar_1	generic
wh3_main_dae_cha_daemon_prince_torso_brasscollar_2	generic
wh3_main_dae_cha_daemon_prince_torso_brasscollar_3	khorne
wh3_main_dae_cha_daemon_prince_torso_brasscollar_4	generic
wh3_main_dae_cha_daemon_prince_torso_brasscollar_5	generic
wh3_main_dae_cha_daemon_prince_torso_brasscollar_6	khorne
wh3_main_dae_cha_daemon_prince_torso_corpulent_1	nurgle
wh3_main_dae_cha_daemon_prince_torso_corpulent_2	nurgle
wh3_main_dae_cha_daemon_prince_torso_corpulent_3	nurgle
wh3_main_dae_cha_daemon_prince_torso_corpulent_4	nurgle
wh3_main_dae_cha_daemon_prince_torso_corpulent_5	nurgle
wh3_main_dae_cha_daemon_prince_torso_corpulent_6	nurgle
wh3_main_dae_cha_daemon_prince_torso_magical_heavy_1	generic
wh3_main_dae_cha_daemon_prince_torso_magical_heavy_2	generic
wh3_main_dae_cha_daemon_prince_torso_magical_heavy_3	generic
wh3_main_dae_cha_daemon_prince_torso_magical_heavy_4	generic
wh3_main_dae_cha_daemon_prince_torso_magical_heavy_5	generic
wh3_main_dae_cha_daemon_prince_torso_magical_heavy_6	generic
wh3_main_dae_cha_daemon_prince_torso_magical_medium_1	generic
wh3_main_dae_cha_daemon_prince_torso_magical_medium_2	generic
wh3_main_dae_cha_daemon_prince_torso_magical_medium_3	generic
wh3_main_dae_cha_daemon_prince_torso_magical_medium_4	generic
wh3_main_dae_cha_daemon_prince_torso_magical_medium_5	generic
wh3_main_dae_cha_daemon_prince_torso_magical_medium_6	generic
wh3_main_dae_cha_daemon_prince_weapon_bloodletter_sword_1	khorne
wh3_main_dae_cha_daemon_prince_weapon_bloodletter_sword_1	weapon_2_handed
wh3_main_dae_cha_daemon_prince_weapon_bloodletter_sword_2	khorne
wh3_main_dae_cha_daemon_prince_weapon_bloodletter_sword_2	weapon_2_handed
wh3_main_dae_cha_daemon_prince_weapon_bloodletter_sword_3	khorne
wh3_main_dae_cha_daemon_prince_weapon_bloodletter_sword_3	weapon_2_handed
wh3_main_dae_cha_daemon_prince_weapon_bloodthirster_axe_1	khorne
wh3_main_dae_cha_daemon_prince_weapon_bloodthirster_axe_1	weapon_1_handed
wh3_main_dae_cha_daemon_prince_weapon_bloodthirster_axe_2	khorne
wh3_main_dae_cha_daemon_prince_weapon_bloodthirster_axe_2	weapon_1_handed
wh3_main_dae_cha_daemon_prince_weapon_bloodthirster_axe_3	khorne
wh3_main_dae_cha_daemon_prince_weapon_bloodthirster_axe_3	weapon_1_handed
wh3_main_dae_cha_daemon_prince_weapon_bloodthirster_great_axe_1	khorne
wh3_main_dae_cha_daemon_prince_weapon_bloodthirster_great_axe_1	weapon_2_handed
wh3_main_dae_cha_daemon_prince_weapon_bloodthirster_great_axe_2	khorne
wh3_main_dae_cha_daemon_prince_weapon_bloodthirster_great_axe_2	weapon_2_handed
wh3_main_dae_cha_daemon_prince_weapon_bloodthirster_great_axe_3	khorne
wh3_main_dae_cha_daemon_prince_weapon_bloodthirster_great_axe_3	weapon_2_handed
wh3_main_dae_cha_daemon_prince_weapon_chaos_knight_lance_1	generic
wh3_main_dae_cha_daemon_prince_weapon_chaos_knight_lance_1	weapon_1_handed
wh3_main_dae_cha_daemon_prince_weapon_chaos_knight_lance_2	generic
wh3_main_dae_cha_daemon_prince_weapon_chaos_knight_lance_2	weapon_1_handed
wh3_main_dae_cha_daemon_prince_weapon_chaos_knight_lance_3	generic
wh3_main_dae_cha_daemon_prince_weapon_chaos_knight_lance_3	weapon_1_handed
wh3_main_dae_cha_daemon_prince_weapon_chaos_knight_sword_1	generic
wh3_main_dae_cha_daemon_prince_weapon_chaos_knight_sword_1	weapon_1_handed
wh3_main_dae_cha_daemon_prince_weapon_chaos_knight_sword_2	generic
wh3_main_dae_cha_daemon_prince_weapon_chaos_knight_sword_2	weapon_1_handed
wh3_main_dae_cha_daemon_prince_weapon_chaos_knight_sword_3	generic
wh3_main_dae_cha_daemon_prince_weapon_chaos_knight_sword_3	weapon_1_handed
wh3_main_dae_cha_daemon_prince_weapon_chaos_shield_1	generic
wh3_main_dae_cha_daemon_prince_weapon_chaos_shield_1	weapon_shield
wh3_main_dae_cha_daemon_prince_weapon_chaos_shield_2	generic
wh3_main_dae_cha_daemon_prince_weapon_chaos_shield_2	weapon_shield
wh3_main_dae_cha_daemon_prince_weapon_chaos_shield_3	generic
wh3_main_dae_cha_daemon_prince_weapon_chaos_shield_3	weapon_shield
wh3_main_dae_cha_daemon_prince_weapon_chaos_sorcerer_staff_1	generic
wh3_main_dae_cha_daemon_prince_weapon_chaos_sorcerer_staff_1	weapon_1_handed
wh3_main_dae_cha_daemon_prince_weapon_chaos_sorcerer_staff_2	generic
wh3_main_dae_cha_daemon_prince_weapon_chaos_sorcerer_staff_2	weapon_1_handed
wh3_main_dae_cha_daemon_prince_weapon_chaos_sorcerer_staff_3	generic
wh3_main_dae_cha_daemon_prince_weapon_chaos_sorcerer_staff_3	weapon_1_handed
wh3_main_dae_cha_daemon_prince_weapon_chaos_sword_1	generic
wh3_main_dae_cha_daemon_prince_weapon_chaos_sword_1	weapon_1_handed
wh3_main_dae_cha_daemon_prince_weapon_chaos_sword_2	generic
wh3_main_dae_cha_daemon_prince_weapon_chaos_sword_2	weapon_1_handed
wh3_main_dae_cha_daemon_prince_weapon_chaos_sword_3	generic
wh3_main_dae_cha_daemon_prince_weapon_chaos_sword_3	weapon_1_handed
wh3_main_dae_cha_daemon_prince_weapon_chaos_warrior_sword_1	generic
wh3_main_dae_cha_daemon_prince_weapon_chaos_warrior_sword_1	weapon_1_handed
wh3_main_dae_cha_daemon_prince_weapon_chaos_warrior_sword_2	generic
wh3_main_dae_cha_daemon_prince_weapon_chaos_warrior_sword_2	weapon_1_handed
wh3_main_dae_cha_daemon_prince_weapon_chaos_warrior_sword_3	generic
wh3_main_dae_cha_daemon_prince_weapon_chaos_warrior_sword_3	weapon_1_handed
wh3_main_dae_cha_daemon_prince_weapon_chaos_warrior_sword_4	generic
wh3_main_dae_cha_daemon_prince_weapon_chaos_warrior_sword_4	weapon_1_handed
wh3_main_dae_cha_daemon_prince_weapon_chaos_warrior_sword_5	generic
wh3_main_dae_cha_daemon_prince_weapon_chaos_warrior_sword_5	weapon_1_handed
wh3_main_dae_cha_daemon_prince_weapon_chosen_halberd_1	generic
wh3_main_dae_cha_daemon_prince_weapon_chosen_halberd_1	weapon_2_handed
wh3_main_dae_cha_daemon_prince_weapon_chosen_halberd_2	generic
wh3_main_dae_cha_daemon_prince_weapon_chosen_halberd_2	weapon_2_handed
wh3_main_dae_cha_daemon_prince_weapon_chosen_halberd_3	generic
wh3_main_dae_cha_daemon_prince_weapon_chosen_halberd_3	weapon_2_handed
wh3_main_dae_cha_daemon_prince_weapon_cultist_club_1	nurgle
wh3_main_dae_cha_daemon_prince_weapon_cultist_club_1	weapon_1_handed
wh3_main_dae_cha_daemon_prince_weapon_cultist_club_2	nurgle
wh3_main_dae_cha_daemon_prince_weapon_cultist_club_2	weapon_1_handed
wh3_main_dae_cha_daemon_prince_weapon_doom_knight_lance_1	tzeentch
wh3_main_dae_cha_daemon_prince_weapon_doom_knight_lance_1	weapon_1_handed
wh3_main_dae_cha_daemon_prince_weapon_doom_knight_lance_2	tzeentch
wh3_main_dae_cha_daemon_prince_weapon_doom_knight_lance_2	weapon_1_handed
wh3_main_dae_cha_daemon_prince_weapon_doom_knight_lance_3	tzeentch
wh3_main_dae_cha_daemon_prince_weapon_doom_knight_lance_3	weapon_1_handed
wh3_main_dae_cha_daemon_prince_weapon_doom_knight_shield_1	tzeentch
wh3_main_dae_cha_daemon_prince_weapon_doom_knight_shield_1	weapon_shield
wh3_main_dae_cha_daemon_prince_weapon_doom_knight_shield_2	tzeentch
wh3_main_dae_cha_daemon_prince_weapon_doom_knight_shield_2	weapon_shield
wh3_main_dae_cha_daemon_prince_weapon_doom_knight_shield_3	tzeentch
wh3_main_dae_cha_daemon_prince_weapon_doom_knight_shield_3	weapon_shield
wh3_main_dae_cha_daemon_prince_weapon_dragon_ogre_hammer_1	generic
wh3_main_dae_cha_daemon_prince_weapon_dragon_ogre_hammer_1	weapon_2_handed
wh3_main_dae_cha_daemon_prince_weapon_dragon_ogre_hammer_2	generic
wh3_main_dae_cha_daemon_prince_weapon_dragon_ogre_hammer_2	weapon_2_handed
wh3_main_dae_cha_daemon_prince_weapon_dragon_ogre_hammer_3	generic
wh3_main_dae_cha_daemon_prince_weapon_dragon_ogre_hammer_3	weapon_2_handed
wh3_main_dae_cha_daemon_prince_weapon_dragon_ogre_hammer_4	generic
wh3_main_dae_cha_daemon_prince_weapon_dragon_ogre_hammer_4	weapon_2_handed
wh3_main_dae_cha_daemon_prince_weapon_dragon_ogre_shaggoth_axe_1	generic
wh3_main_dae_cha_daemon_prince_weapon_dragon_ogre_shaggoth_axe_1	weapon_2_handed
wh3_main_dae_cha_daemon_prince_weapon_exalted_great_unclean_one_bell_1	nurgle
wh3_main_dae_cha_daemon_prince_weapon_exalted_great_unclean_one_bell_1	weapon_shield
wh3_main_dae_cha_daemon_prince_weapon_exalted_keeper_of_secrets_shield_1	slaanesh
wh3_main_dae_cha_daemon_prince_weapon_exalted_keeper_of_secrets_shield_1	weapon_shield
wh3_main_dae_cha_daemon_prince_weapon_exalted_keeper_of_secrets_shield_2	slaanesh
wh3_main_dae_cha_daemon_prince_weapon_exalted_keeper_of_secrets_shield_2	weapon_shield
wh3_main_dae_cha_daemon_prince_weapon_exalted_keeper_of_secrets_shield_3	slaanesh
wh3_main_dae_cha_daemon_prince_weapon_exalted_keeper_of_secrets_shield_3	weapon_shield
wh3_main_dae_cha_daemon_prince_weapon_exalted_keeper_of_secrets_spear_1	slaanesh
wh3_main_dae_cha_daemon_prince_weapon_exalted_keeper_of_secrets_spear_1	weapon_1_handed
wh3_main_dae_cha_daemon_prince_weapon_exalted_lord_of_change_staff_1	tzeentch
wh3_main_dae_cha_daemon_prince_weapon_exalted_lord_of_change_staff_1	weapon_1_handed
wh3_main_dae_cha_daemon_prince_weapon_exalted_lord_of_change_staff_2	tzeentch
wh3_main_dae_cha_daemon_prince_weapon_exalted_lord_of_change_staff_2	weapon_1_handed
wh3_main_dae_cha_daemon_prince_weapon_great_unclean_one_sword_1	nurgle
wh3_main_dae_cha_daemon_prince_weapon_great_unclean_one_sword_1	weapon_1_handed
wh3_main_dae_cha_daemon_prince_weapon_great_unclean_one_sword_2	nurgle
wh3_main_dae_cha_daemon_prince_weapon_great_unclean_one_sword_2	weapon_1_handed
wh3_main_dae_cha_daemon_prince_weapon_great_unclean_one_sword_3	nurgle
wh3_main_dae_cha_daemon_prince_weapon_great_unclean_one_sword_3	weapon_1_handed
wh3_main_dae_cha_daemon_prince_weapon_keeper_of_secrets_sword_1	slaanesh
wh3_main_dae_cha_daemon_prince_weapon_keeper_of_secrets_sword_1	weapon_1_handed
wh3_main_dae_cha_daemon_prince_weapon_keeper_of_secrets_sword_2	slaanesh
wh3_main_dae_cha_daemon_prince_weapon_keeper_of_secrets_sword_2	weapon_1_handed
wh3_main_dae_cha_daemon_prince_weapon_keeper_of_secrets_sword_3	slaanesh
wh3_main_dae_cha_daemon_prince_weapon_keeper_of_secrets_sword_3	weapon_1_handed
wh3_main_dae_cha_daemon_prince_weapon_pink_horror_dagger_1	tzeentch
wh3_main_dae_cha_daemon_prince_weapon_pink_horror_dagger_1	weapon_1_handed
wh3_main_dae_cha_daemon_prince_weapon_pink_horror_dagger_2	tzeentch
wh3_main_dae_cha_daemon_prince_weapon_pink_horror_dagger_2	weapon_1_handed
wh3_main_dae_cha_daemon_prince_weapon_pink_horror_dagger_3	tzeentch
wh3_main_dae_cha_daemon_prince_weapon_pink_horror_dagger_3	weapon_1_handed
wh3_main_dae_cha_daemon_prince_weapon_skullcrusher_halberd_1	khorne
wh3_main_dae_cha_daemon_prince_weapon_skullcrusher_halberd_1	weapon_2_handed
wh3_main_dae_cha_daemon_prince_weapon_skullcrusher_halberd_2	khorne
wh3_main_dae_cha_daemon_prince_weapon_skullcrusher_halberd_2	weapon_2_handed
