key	long_description	short_description	order
wh3_cai_displayed_trait_sentinel	personality_desc_long_sentinel	personality_desc_short_sentinel	0
wh3_cai_displayed_trait_slaver	personality_desc_long_slaver	personality_desc_short_slaver	0
wh3_cai_displayed_trait_sorcerer	personality_desc_long_sorcerer	personality_desc_short_sorcerer	0
wh3_cai_displayed_trait_spineless	personality_desc_long_spineless	personality_desc_short_spineless	0
wh3_cai_displayed_trait_subjugator	personality_desc_long_subjugator	personality_desc_short_subjugator	0
wh3_cai_displayed_trait_subterranean_empire	personality_desc_long_subterranean_empire	personality_desc_short_subterranean_empire	0
wh3_cai_displayed_trait_tombking_endgame	personality_desc_long_tombking_endgame	personality_desc_short_tombking_endgame	0
wh3_cai_displayed_trait_unpredictable	personality_desc_long_unpredictable	personality_desc_short_unpredictable	0
wh3_cai_displayed_trait_vampire_endgame	personality_desc_long_vampire_endgame	personality_desc_short_vampire_endgame	0
wh3_cai_displayed_trait_vengeful	personality_desc_long_vengeful	personality_desc_short_vengeful	0
wh3_cai_displayed_trait_warbringer	personality_desc_long_warbringer	personality_desc_short_warbringer	0
wh3_cai_displayed_trait_wise	personality_desc_long_wise	personality_desc_short_wise	0
wh3_cai_displayed_trait_woodelf_endgame	personality_desc_long_woodelf_endgame	personality_desc_short_woodelf_endgame	0
