region	region_group
wh3_main_chaos_region_realm_of_the_sorcerer_5	Region_Group_Tzeentch
wh3_main_chaos_region_realm_of_the_sorcerer_6	Region_Group_Tzeentch
wh3_main_chaos_region_realm_of_the_sorcerer_7	Region_Group_Tzeentch
wh3_main_chaos_region_shang_wu	Region_Group_Cathay
wh3_main_chaos_region_shi_long	Region_Group_Cathay
wh3_main_chaos_region_slaanesh_fifth	Region_Group_Slaanesh
wh3_main_chaos_region_slaanesh_first	Region_Group_Slaanesh
wh3_main_chaos_region_slaanesh_fourth	Region_Group_Slaanesh
wh3_main_chaos_region_slaanesh_second	Region_Group_Slaanesh
wh3_main_chaos_region_slaanesh_sixth	Region_Group_Slaanesh
wh3_main_chaos_region_slaanesh_start_01	Region_Group_Slaanesh
wh3_main_chaos_region_slaanesh_start_02	Region_Group_Slaanesh
wh3_main_chaos_region_slaanesh_start_03	Region_Group_Slaanesh
wh3_main_chaos_region_slaanesh_start_04	Region_Group_Slaanesh
wh3_main_chaos_region_slaanesh_start_05	Region_Group_Slaanesh
wh3_main_chaos_region_slaanesh_start_06	Region_Group_Slaanesh
wh3_main_chaos_region_slaanesh_start_07	Region_Group_Slaanesh
wh3_main_chaos_region_slaanesh_start_08	Region_Group_Slaanesh
wh3_main_chaos_region_slaanesh_third	Region_Group_Slaanesh
wh3_main_chaos_region_snake_gate	Region_Group_Cathay
wh3_main_chaos_region_terracotta_graveyard	Region_Group_Cathay
wh3_main_chaos_region_the_bleeding_spire	Region_Group_Blood_Marsh
wh3_main_chaos_region_the_blood_gods_domain	Region_Group_Khorne
wh3_main_chaos_region_the_daemons_stump	Region_Group_Darklands
wh3_main_chaos_region_the_falls_of_doom	Region_Group_Darklands
wh3_main_chaos_region_the_forge_of_souls	Region_Group_Chaos_Realm
wh3_main_chaos_region_the_fortress_of_vorag	Region_Group_Darklands
wh3_main_chaos_region_the_gates_of_zharr	Region_Group_Darklands
wh3_main_chaos_region_the_sentinels	Region_Group_Darklands
wh3_main_chaos_region_the_tower_of_gorgoth	Region_Group_Darklands
wh3_main_chaos_region_the_vale_of_nightmares	Region_Group_Blood_Marsh
wh3_main_chaos_region_the_writhing_fortress	Region_Group_Blood_Marsh
wh3_main_chaos_region_tower_of_grief	Region_Group_Darklands
wh3_main_chaos_region_tree_of_damned_shades	Region_Group_Blood_Marsh
wh3_main_chaos_region_turtle_gate	Region_Group_Cathay
wh3_main_chaos_region_uzkulak	Region_Group_Darklands
wh3_main_chaos_region_uzkulany	Region_Group_Darklands
wh3_main_chaos_region_village_of_the_moon	Region_Group_Cathay
wh3_main_chaos_region_waldenhof	Region_Group_Vampires
wh3_main_chaos_region_wei_jin	Region_Group_Cathay
wh3_main_chaos_region_xing_po	Region_Group_Cathay
wh3_main_chaos_region_zhanshi	Region_Group_Cathay
wh3_main_chaos_region_zharr_naggrund	Region_Group_Darklands
wh3_main_combi_region_baleful_hills	Region_Group_Cathay
wh3_main_combi_region_beichai	Region_Group_Cathay
wh3_main_combi_region_black_fortress	Region_Group_Darklands
wh3_main_combi_region_black_tower_of_arkhan	Region_Group_Blood_Marsh
wh3_main_combi_region_bridge_of_heaven	Region_Group_Cathay
wh3_main_combi_region_city_of_the_shugengan	Region_Group_Cathay
wh3_main_combi_region_crookback_mountain	Region_Group_Darklands
wh3_main_combi_region_dai_cheng	Region_Group_Cathay
wh3_main_combi_region_darkhold	Region_Group_Darklands
wh3_main_combi_region_desolation_of_drakenmoor	Region_Group_Darklands
wh3_main_combi_region_dragon_gate	Region_Group_Cathay
wh3_main_combi_region_floating_village	Region_Group_Blood_Marsh
wh3_main_combi_region_fu_chow	Region_Group_Cathay
wh3_main_combi_region_fu_hung	Region_Group_Cathay
wh3_main_combi_region_gor_gazan	Region_Group_Blood_Marsh
wh3_main_combi_region_great_river	Region_Group_Cathay
wh3_main_combi_region_great_skull_lakes	Region_Group_Darklands
wh3_main_combi_region_haichai	Region_Group_Cathay
wh3_main_combi_region_jade_river	Region_Group_Cathay
wh3_main_combi_region_jade_wind_mountain	Region_Group_Cathay
wh3_main_combi_region_jungles_of_chian	Region_Group_Cathay
wh3_main_combi_region_kunlan	Region_Group_Cathay
wh3_main_combi_region_li_temple	Region_Group_Cathay
wh3_main_combi_region_li_zhu	Region_Group_Cathay
wh3_main_combi_region_ming_zhu	Region_Group_Cathay
wh3_main_combi_region_morgheim	Region_Group_Blood_Marsh
wh3_main_combi_region_mount_grey_hag	Region_Group_Darklands
wh3_main_combi_region_mount_gunbad	Region_Group_Darklands
wh3_main_combi_region_nan_gau	Region_Group_Cathay
wh3_main_combi_region_nan_li	Region_Group_Cathay
wh3_main_combi_region_nonchang	Region_Group_Cathay
wh3_main_combi_region_po_mei	Region_Group_Cathay
wh3_main_combi_region_shang_wu	Region_Group_Cathay
wh3_main_combi_region_shi_long	Region_Group_Cathay
wh3_main_combi_region_shi_wu	Region_Group_Cathay
wh3_main_combi_region_shiyamas_rest	Region_Group_Cathay
wh3_main_combi_region_snake_gate	Region_Group_Cathay
wh3_main_combi_region_sunken_khernarch	Region_Group_Blood_Marsh
wh3_main_combi_region_tai_tzu	Region_Group_Cathay
wh3_main_combi_region_temple_of_elemental_winds	Region_Group_Cathay
wh3_main_combi_region_terracotta_graveyard	Region_Group_Cathay
wh3_main_combi_region_the_daemons_stump	Region_Group_Darklands
wh3_main_combi_region_the_falls_of_doom	Region_Group_Darklands
wh3_main_combi_region_the_fortress_of_vorag	Region_Group_Darklands
wh3_main_combi_region_the_gates_of_zharr	Region_Group_Darklands
wh3_main_combi_region_the_sentinels	Region_Group_Darklands
wh3_main_combi_region_tower_of_gorgoth	Region_Group_Darklands
wh3_main_combi_region_turtle_gate	Region_Group_Cathay
wh3_main_combi_region_village_of_the_moon	Region_Group_Cathay
wh3_main_combi_region_village_of_the_tigermen	Region_Group_Cathay
wh3_main_combi_region_waili_village	Region_Group_Cathay
wh3_main_combi_region_wei_jin	Region_Group_Cathay
wh3_main_combi_region_weng_chang	Region_Group_Cathay
wh3_main_combi_region_xing_po	Region_Group_Cathay
wh3_main_combi_region_zandri	Region_Group_Blood_Marsh
wh3_main_combi_region_zhanshi	Region_Group_Cathay
wh3_main_combi_region_zharr_naggrund	Region_Group_Darklands
wh3_main_combi_region_zhizhu	Region_Group_Cathay
