identifier	region_group_key	region_group_policy_key
1	cai_region_hint_sub_area_western_chaos_wastes	wh3_combi_region_hint_policy_darkelf_malus
2	cai_region_hint_area_ulthuan	wh3_combi_region_hint_policy_darkelf_morathi
3	cai_region_hint_area_ulthuan	wh3_combi_region_hint_policy_darkelf_morathi
1	cai_region_hint_sub_area_southern_naggarond	wh3_combi_region_hint_policy_darkelf_morathi
2	cai_region_hint_sub_area_southern_naggarond	wh3_combi_region_hint_policy_darkelf_morathi
3	cai_region_hint_sub_area_southern_naggarond	wh3_combi_region_hint_policy_darkelf_morathi
3	cai_region_hint_area_dwarf_empire	wh3_combi_region_hint_policy_dwarf_belegar
2	cai_region_hint_sub_area_southern_worlds_edge_mountains	wh3_combi_region_hint_policy_dwarf_belegar
1	cai_region_hint_sub_area_western_mountains	wh3_combi_region_hint_policy_dwarf_belegar
3	cai_region_hint_area_naggarond	wh3_combi_region_hint_policy_dwarf_grombrindal
2	cai_region_hint_sub_area_eastern_naggarond	wh3_combi_region_hint_policy_dwarf_grombrindal
2	cai_region_hint_sub_area_southern_naggarond	wh3_combi_region_hint_policy_dwarf_grombrindal
1	cai_region_hint_sub_area_western_naggarond	wh3_combi_region_hint_policy_dwarf_grombrindal
2	cai_region_hint_sub_area_western_naggarond	wh3_combi_region_hint_policy_dwarf_grombrindal
3	cai_region_hint_area_dwarf_empire	wh3_combi_region_hint_policy_dwarf_thorek
1	cai_region_hint_sub_area_mangrove_coast	wh3_combi_region_hint_policy_dwarf_thorek
2	cai_region_hint_sub_area_mangrove_coast	wh3_combi_region_hint_policy_dwarf_thorek
3	cai_region_hint_sub_area_mangrove_coast	wh3_combi_region_hint_policy_dwarf_thorek
2	cai_region_hint_sub_area_southern_worlds_edge_mountains	wh3_combi_region_hint_policy_dwarf_thorek
3	cai_region_hint_area_dwarf_empire	wh3_combi_region_hint_policy_dwarf_thorgrim
1	cai_region_hint_sub_area_northern_worlds_edge_mountains	wh3_combi_region_hint_policy_dwarf_thorgrim
2	cai_region_hint_sub_area_northern_worlds_edge_mountains	wh3_combi_region_hint_policy_dwarf_thorgrim
1	cai_region_hint_sub_area_southern_worlds_edge_mountains	wh3_combi_region_hint_policy_dwarf_thorgrim
2	cai_region_hint_sub_area_southern_worlds_edge_mountains	wh3_combi_region_hint_policy_dwarf_thorgrim
3	cai_region_hint_area_dwarf_empire	wh3_combi_region_hint_policy_dwarf_ungrim
1	cai_region_hint_sub_area_northern_worlds_edge_mountains	wh3_combi_region_hint_policy_dwarf_ungrim
2	cai_region_hint_sub_area_northern_worlds_edge_mountains	wh3_combi_region_hint_policy_dwarf_ungrim
2	cai_region_hint_sub_area_southern_worlds_edge_mountains	wh3_combi_region_hint_policy_dwarf_ungrim
2	cai_region_hint_area_empire	wh3_combi_region_hint_policy_empire_franz
3	cai_region_hint_area_empire	wh3_combi_region_hint_policy_empire_franz
3	cai_region_hint_area_kislev	wh3_combi_region_hint_policy_empire_franz
1	cai_region_hint_sub_area_eastern_empire	wh3_combi_region_hint_policy_empire_franz
1	cai_region_hint_sub_area_northern_empire	wh3_combi_region_hint_policy_empire_franz
1	cai_region_hint_sub_area_southern_empire	wh3_combi_region_hint_policy_empire_franz
3	cai_region_hint_area_empire	wh3_combi_region_hint_policy_empire_gelt
2	cai_region_hint_sub_area_eastern_empire	wh3_combi_region_hint_policy_empire_gelt
1	cai_region_hint_sub_area_southern_empire	wh3_combi_region_hint_policy_empire_gelt
2	cai_region_hint_sub_area_southern_empire	wh3_combi_region_hint_policy_empire_gelt
2	cai_region_hint_sub_area_sylvania	wh3_combi_region_hint_policy_empire_gelt
1	cai_region_hint_area_empire	wh3_combi_region_hint_policy_empire_minor
2	cai_region_hint_area_empire	wh3_combi_region_hint_policy_empire_minor
3	cai_region_hint_area_empire	wh3_combi_region_hint_policy_empire_minor
3	cai_region_hint_area_badlands	wh3_combi_region_hint_policy_empire_volkmar
2	cai_region_hint_sub_area_araby	wh3_combi_region_hint_policy_empire_volkmar
3	cai_region_hint_sub_area_araby	wh3_combi_region_hint_policy_empire_volkmar
1	cai_region_hint_sub_area_nehekara	wh3_combi_region_hint_policy_empire_volkmar
2	cai_region_hint_sub_area_nehekara	wh3_combi_region_hint_policy_empire_volkmar
3	cai_region_hint_sub_area_nehekara	wh3_combi_region_hint_policy_empire_volkmar
3	cai_region_hint_area_lustria	wh3_combi_region_hint_policy_empire_wulfhart
1	cai_region_hint_sub_area_eastern_lustria	wh3_combi_region_hint_policy_empire_wulfhart
2	cai_region_hint_sub_area_eastern_lustria	wh3_combi_region_hint_policy_empire_wulfhart
1	cai_region_hint_sub_area_eastern_empire	wh3_combi_region_hint_policy_greenskin_azhag
2	cai_region_hint_sub_area_eastern_empire	wh3_combi_region_hint_policy_greenskin_azhag
3	cai_region_hint_sub_area_eastern_empire	wh3_combi_region_hint_policy_greenskin_azhag
1	cai_region_hint_sub_area_northern_worlds_edge_mountains	wh3_combi_region_hint_policy_greenskin_azhag
2	cai_region_hint_sub_area_northern_worlds_edge_mountains	wh3_combi_region_hint_policy_greenskin_azhag
3	cai_region_hint_sub_area_northern_worlds_edge_mountains	wh3_combi_region_hint_policy_greenskin_azhag
2	cai_region_hint_area_darklands	wh3_combi_region_hint_policy_greenskin_grimgor
3	cai_region_hint_area_dwarf_empire	wh3_combi_region_hint_policy_greenskin_grimgor
1	cai_region_hint_area_mountains_of_mourn	wh3_combi_region_hint_policy_greenskin_grimgor
1	cai_region_hint_area_bretonnia	wh3_combi_region_hint_policy_greenskin_grom
2	cai_region_hint_area_ulthuan	wh3_combi_region_hint_policy_greenskin_grom
3	cai_region_hint_area_ulthuan	wh3_combi_region_hint_policy_greenskin_grom
3	cai_region_hint_area_dwarf_empire	wh3_combi_region_hint_policy_greenskin_skarsnik
1	cai_region_hint_sub_area_southern_worlds_edge_mountains	wh3_combi_region_hint_policy_greenskin_skarsnik
2	cai_region_hint_sub_area_southern_worlds_edge_mountains	wh3_combi_region_hint_policy_greenskin_skarsnik
3	cai_region_hint_area_naggarond	wh3_combi_region_hint_policy_highelf_alarielle
1	cai_region_hint_area_ulthuan	wh3_combi_region_hint_policy_highelf_alarielle
2	cai_region_hint_area_ulthuan	wh3_combi_region_hint_policy_highelf_alarielle
3	cai_region_hint_area_ulthuan	wh3_combi_region_hint_policy_highelf_alarielle
2	cai_region_hint_sub_area_eastern_naggarond	wh3_combi_region_hint_policy_highelf_alarielle
3	cai_region_hint_area_naggarond	wh3_combi_region_hint_policy_highelf_alithanar
1	cai_region_hint_sub_area_eastern_naggarond	wh3_combi_region_hint_policy_highelf_alithanar
2	cai_region_hint_sub_area_eastern_naggarond	wh3_combi_region_hint_policy_highelf_alithanar
2	cai_region_hint_sub_area_western_naggarond	wh3_combi_region_hint_policy_highelf_alithanar
1	cai_region_hint_area_ulthuan	wh3_combi_region_hint_policy_highelf_eltharion
2	cai_region_hint_area_ulthuan	wh3_combi_region_hint_policy_highelf_eltharion
3	cai_region_hint_area_ulthuan	wh3_combi_region_hint_policy_highelf_eltharion
1	cai_region_hint_area_ulthuan	wh3_combi_region_hint_policy_highelf_minor
2	cai_region_hint_area_ulthuan	wh3_combi_region_hint_policy_highelf_minor
3	cai_region_hint_area_ulthuan	wh3_combi_region_hint_policy_highelf_minor
3	cai_region_hint_area_naggarond	wh3_combi_region_hint_policy_highelf_tyrion
1	cai_region_hint_area_ulthuan	wh3_combi_region_hint_policy_highelf_tyrion
2	cai_region_hint_area_ulthuan	wh3_combi_region_hint_policy_highelf_tyrion
3	cai_region_hint_area_ulthuan	wh3_combi_region_hint_policy_highelf_tyrion
2	cai_region_hint_sub_area_southern_naggarond	wh3_combi_region_hint_policy_highelf_tyrion
2	cai_region_hint_area_kislev	wh3_combi_region_hint_policy_kislev_boris
3	cai_region_hint_area_kislev	wh3_combi_region_hint_policy_kislev_boris
1	cai_region_hint_sub_area_eastern_chaos_wastes	wh3_combi_region_hint_policy_kislev_boris
1	cai_region_hint_area_kislev	wh3_combi_region_hint_policy_kislev_katarin
2	cai_region_hint_area_kislev	wh3_combi_region_hint_policy_kislev_katarin
3	cai_region_hint_area_kislev	wh3_combi_region_hint_policy_kislev_katarin
1	cai_region_hint_area_kislev	wh3_combi_region_hint_policy_kislev_kostaltyn
2	cai_region_hint_area_kislev	wh3_combi_region_hint_policy_kislev_kostaltyn
3	cai_region_hint_area_kislev	wh3_combi_region_hint_policy_kislev_kostaltyn
3	cai_region_hint_area_southlands	wh3_combi_region_hint_policy_lizardmen_kroqgar
1	cai_region_hint_sub_area_mangrove_coast	wh3_combi_region_hint_policy_lizardmen_kroqgar
2	cai_region_hint_sub_area_mangrove_coast	wh3_combi_region_hint_policy_lizardmen_kroqgar
2	cai_region_hint_sub_area_southern_southlands	wh3_combi_region_hint_policy_lizardmen_kroqgar
3	cai_region_hint_area_lustria	wh3_combi_region_hint_policy_lizardmen_mazdamundi
2	cai_region_hint_sub_area_eastern_lustria	wh3_combi_region_hint_policy_lizardmen_mazdamundi
1	cai_region_hint_sub_area_isthmus_of_lustria	wh3_combi_region_hint_policy_lizardmen_mazdamundi
2	cai_region_hint_sub_area_isthmus_of_lustria	wh3_combi_region_hint_policy_lizardmen_mazdamundi
1	cai_region_hint_area_southern_wastes	wh3_combi_region_hint_policy_lizardmen_oxyotl
2	cai_region_hint_area_southern_wastes	wh3_combi_region_hint_policy_lizardmen_oxyotl
3	cai_region_hint_empty	wh3_combi_region_hint_policy_lizardmen_oxyotl
3	cai_region_hint_area_southlands	wh3_combi_region_hint_policy_lizardmen_tiktaqto
2	cai_region_hint_sub_area_mangrove_coast	wh3_combi_region_hint_policy_lizardmen_tiktaqto
1	cai_region_hint_sub_area_southern_southlands	wh3_combi_region_hint_policy_lizardmen_tiktaqto
2	cai_region_hint_sub_area_southern_southlands	wh3_combi_region_hint_policy_lizardmen_tiktaqto
2	cai_region_hint_area_kislev	wh3_combi_region_hint_policy_norsca_throgg
3	cai_region_hint_area_kislev	wh3_combi_region_hint_policy_norsca_throgg
1	cai_region_hint_area_norsca	wh3_combi_region_hint_policy_norsca_throgg
2	cai_region_hint_area_norsca	wh3_combi_region_hint_policy_norsca_throgg
3	cai_region_hint_area_norsca	wh3_combi_region_hint_policy_norsca_throgg
3	cai_region_hint_area_empire	wh3_combi_region_hint_policy_norsca_wulfrik
1	cai_region_hint_area_norsca	wh3_combi_region_hint_policy_norsca_wulfrik
2	cai_region_hint_area_norsca	wh3_combi_region_hint_policy_norsca_wulfrik
3	cai_region_hint_area_norsca	wh3_combi_region_hint_policy_norsca_wulfrik
2	cai_region_hint_sub_area_northern_empire	wh3_combi_region_hint_policy_norsca_wulfrik
3	cai_region_hint_area_dwarf_empire	wh3_combi_region_hint_policy_skaven_queek
1	cai_region_hint_sub_area_southern_worlds_edge_mountains	wh3_combi_region_hint_policy_skaven_queek
2	cai_region_hint_sub_area_southern_worlds_edge_mountains	wh3_combi_region_hint_policy_skaven_queek
1	cai_region_hint_sub_area_araby	wh3_combi_region_hint_policy_tombking_arkhan
2	cai_region_hint_sub_area_araby	wh3_combi_region_hint_policy_tombking_arkhan
3	cai_region_hint_sub_area_araby	wh3_combi_region_hint_policy_tombking_arkhan
3	cai_region_hint_sub_area_mangrove_coast	wh3_combi_region_hint_policy_tombking_arkhan
2	cai_region_hint_sub_area_nehekara	wh3_combi_region_hint_policy_tombking_arkhan
3	cai_region_hint_sub_area_nehekara	wh3_combi_region_hint_policy_tombking_arkhan
1	cai_region_hint_sub_area_mangrove_coast	wh3_combi_region_hint_policy_tombking_khalida
2	cai_region_hint_sub_area_mangrove_coast	wh3_combi_region_hint_policy_tombking_khalida
3	cai_region_hint_sub_area_mangrove_coast	wh3_combi_region_hint_policy_tombking_khalida
3	cai_region_hint_sub_area_nehekara	wh3_combi_region_hint_policy_tombking_khalida
2	cai_region_hint_sub_area_araby	wh3_combi_region_hint_policy_tombking_settra
3	cai_region_hint_sub_area_araby	wh3_combi_region_hint_policy_tombking_settra
3	cai_region_hint_sub_area_mangrove_coast	wh3_combi_region_hint_policy_tombking_settra
1	cai_region_hint_sub_area_nehekara	wh3_combi_region_hint_policy_tombking_settra
2	cai_region_hint_sub_area_nehekara	wh3_combi_region_hint_policy_tombking_settra
3	cai_region_hint_sub_area_nehekara	wh3_combi_region_hint_policy_tombking_settra
3	cai_region_hint_area_empire	wh3_combi_region_hint_policy_vampire_vlad
2	cai_region_hint_sub_area_southern_empire	wh3_combi_region_hint_policy_vampire_vlad
1	cai_region_hint_sub_area_sylvania	wh3_combi_region_hint_policy_vampire_vlad
2	cai_region_hint_sub_area_sylvania	wh3_combi_region_hint_policy_vampire_vlad
1	wh3_wood_elf_forests	wh3_combi_region_hint_policy_woodelf
2	wh3_wood_elf_forests	wh3_combi_region_hint_policy_woodelf
3	wh3_wood_elf_forests	wh3_combi_region_hint_policy_woodelf
