deal_component	personality_component	best_friends_value	bitter_enemies_value	friendly_value	neutral_value	total_war_balance_factor	last_stand_balance_factor	unfriendly_value	very_friendly_value	very_unfriendly_value	war_balance_factor	tension_balance_factor	peace_balance_factor	treachery_value	opponent_treachery_modifier	opponent_respect_modifier	main_threat	have_common_threat	long_distance_penalty_min	long_distance_penalty_max	main_threat_ally	diplomatic_score_bound_lower	diplomatic_score_bound_upper	same_subculture_modifier	war_losses_multiplier	war_losses_value_cap	existing_treaties_multiplier	recent_ultimatum_penalty_modifier	recent_ultimatum_penalty_max_turns	vassal_master_strength_multiplier
REQUEST_DIPLOMATIC_MARRIAGE	wh3_deal_eval_beastmen	-1.0	-40.0	-2.0	-6.0	5.0	5.0	-15.0	-2.0	-25.0	5.0	5.0	5.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
REQUEST_JOIN_WAR	wh3_deal_eval_beastmen	-5.0	-2.0	-5.0	-5.0	8.0	10.0	-4.0	-5.0	-2.0	7.0	6.0	5.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
REQUEST_VASSALAGE	wh3_deal_eval_beastmen	-10.0	-10.0	-10.0	-10.0	40.0	50.0	-10.0	-10.0	-10.0	30.0	20.0	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
STRATEGIC_BALANCE_CHANGE	wh3_deal_eval_beastmen	0.0	0.0	0.0	0.0	70.0	90.0	0.0	0.0	0.0	55.0	40.0	35.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
TRADE_AGREEMENT	wh3_deal_eval_beastmen	-3.0	-70.0	-6.0	-11.0	9.0	9.0	-25.0	-4.0	-55.0	9.0	10.0	10.0	1.0	1.0	1.0	-3.0	2.0	0.0	-2.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
WAR	wh3_deal_eval_beastmen_major	-100.0	10.0	-10.0	-2.0	-30.0	-35.0	0.0	-20.0	5.0	0.0	12.0	25.0	-0.15	1.0	1.0	8.0	-12.0	-3.0	-20.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	30.0	10	1.0
OFFER_JOIN_CONFEDERATION	wh3_deal_eval_beastmen_minor	-40.0	-135.0	-100.0	-105.0	48.0	51.0	-135.0	-50.0	-135.0	45.0	40.0	35.0	0.0	1.0	1.0	0.0	10.0	0.0	0.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
WAR	wh3_deal_eval_beastmen_minor	-100.0	10.0	-6.0	-1.0	-30.0	-35.0	2.0	-20.0	5.0	-10.0	10.0	50.0	-0.15	1.0	1.0	8.0	-12.0	-3.0	-15.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	30.0	10	1.0
BREAK_DEFENSIVE_ALLIANCE	wh3_deal_eval_bretonnia	-95.0	20.0	-30.0	-20.0	35.0	45.0	5.0	-55.0	10.0	15.0	15.0	10.0	-2.0	1.0	1.0	15.0	-12.0	0.0	7.0	15.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
BREAK_MILITARY_ALLIANCE	wh3_deal_eval_bretonnia	-95.0	20.0	-25.0	-5.0	35.0	45.0	5.0	-55.0	10.0	15.0	15.0	10.0	-2.0	1.0	1.0	15.0	-12.0	0.0	7.0	15.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
BREAK_NON_AGGRESSION_PACT	wh3_deal_eval_bretonnia	-60.0	15.0	-20.0	-10.0	12.0	15.0	2.0	-35.0	12.0	7.0	5.0	4.0	-2.0	1.0	1.0	15.0	-10.0	0.0	0.0	15.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
CANCEL_CLIENT_STATE	wh3_deal_eval_bretonnia	-85.0	10.0	-40.0	-25.0	25.0	30.0	-15.0	-55.0	-8.0	15.0	15.0	15.0	-2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
CANCEL_MILITARY_ACCESS	wh3_deal_eval_bretonnia	-55.0	5.0	-30.0	-15.0	12.0	15.0	-3.0	-35.0	0.0	6.0	5.0	4.0	-2.0	1.0	1.0	15.0	-10.0	0.0	0.0	10.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
CANCEL_TRADE_AGREEMENT	wh3_deal_eval_bretonnia	-50.0	15.0	-35.0	-10.0	8.0	10.0	3.0	-40.0	10.0	6.0	5.0	4.0	-2.0	1.0	1.0	15.0	0.0	0.0	0.0	10.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
CANCEL_VASSALAGE	wh3_deal_eval_bretonnia	-200.0	-200.0	-200.0	-200.0	25.0	30.0	-200.0	-200.0	-200.0	15.0	15.0	15.0	-2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
DEFENSIVE_ALLIANCE	wh3_deal_eval_bretonnia	-11.0	-300.0	-23.0	-35.0	25.0	25.0	-45.0	-15.0	-60.0	25.0	20.0	20.0	0.3	1.0	1.0	-15.0	6.0	0.0	-6.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
MILITARY_ACCESS	wh3_deal_eval_bretonnia	-2.0	-300.0	-5.0	-30.0	12.0	12.0	-40.0	-3.0	-60.0	8.0	8.0	8.0	1.0	1.0	1.0	-4.0	5.0	0.0	-6.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
MILITARY_ALLIANCE	wh3_deal_eval_bretonnia	-22.0	-500.0	-36.0	-58.0	32.0	35.0	-65.0	-27.0	-200.0	23.0	23.0	23.0	1.0	1.0	1.0	-15.0	6.0	0.0	-6.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
NON_AGGRESSION_PACT	wh3_deal_eval_bretonnia	0.0	-40.0	-2.0	-5.0	12.0	20.0	-20.0	-1.0	-30.0	8.0	8.0	8.0	0.25	1.0	1.0	-2.0	5.0	0.0	-6.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
OFFER_BREAK_DEFENSIVE_ALLIANCE	wh3_deal_eval_bretonnia	-95.0	20.0	-25.0	0.0	20.0	20.0	5.0	-55.0	10.0	15.0	15.0	15.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
OFFER_BREAK_MILITARY_ALLIANCE	wh3_deal_eval_bretonnia	-95.0	20.0	-25.0	0.0	20.0	20.0	5.0	-55.0	10.0	15.0	15.0	15.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
OFFER_BREAK_NON_AGGRESSION_PACT	wh3_deal_eval_bretonnia	-60.0	15.0	-15.0	-5.0	5.0	5.0	2.0	-35.0	12.0	5.0	5.0	5.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
OFFER_CANCEL_CLIENT_STATE	wh3_deal_eval_bretonnia	-85.0	10.0	-40.0	-25.0	20.0	20.0	-15.0	-55.0	-8.0	15.0	15.0	15.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
OFFER_CANCEL_MILITARY_ACCESS	wh3_deal_eval_bretonnia	-55.0	5.0	-30.0	-25.0	5.0	5.0	-10.0	-35.0	0.0	5.0	5.0	5.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
OFFER_CANCEL_TRADE_AGREEMENT	wh3_deal_eval_bretonnia	-50.0	15.0	-30.0	-10.0	5.0	5.0	5.0	-40.0	10.0	5.0	5.0	5.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
OFFER_CLIENT_STATE	wh3_deal_eval_bretonnia	-80.0	-65.0	-70.0	-65.0	20.0	30.0	-65.0	-75.0	-65.0	10.0	5.0	0.0	3.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
OFFER_DECLARE_WAR	wh3_deal_eval_bretonnia	-50.0	-12.0	-35.0	-30.0	-35.0	-40.0	-25.0	-40.0	-19.0	-25.0	0.0	45.0	-0.5	1.0	1.0	8.0	-12.0	-3.0	-20.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
OFFER_DIPLOMATIC_MARRIAGE	wh3_deal_eval_bretonnia	-3.0	-40.0	-5.0	-10.0	4.0	5.0	-15.0	-5.0	-25.0	3.0	3.0	2.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
OFFER_GIFT	wh3_deal_eval_bretonnia	3.0	-50.0	1.0	-7.0	1.0	1.0	-10.0	2.0	-20.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
OFFER_JOIN_WAR	wh3_deal_eval_bretonnia	-50.0	-12.0	-35.0	-30.0	-35.0	-40.0	-25.0	-40.0	-19.0	-25.0	0.0	45.0	-0.5	1.0	1.0	8.0	-12.0	-3.0	-20.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
OFFER_VASSALAGE	wh3_deal_eval_bretonnia	-75.0	-55.0	-65.0	-65.0	45.0	50.0	-65.0	-70.0	-60.0	40.0	35.0	35.0	0.0	1.0	1.0	-12.0	8.0	0.0	-10.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
PEACE	wh3_deal_eval_bretonnia	0.0	-28.0	-8.0	-13.0	40.0	50.0	-19.0	-2.0	-23.0	30.0	20.0	10.0	2.0	1.0	1.0	-6.0	12.0	0.0	-7.0	0.0	-5.0	5.0	0.0	0.00040000002	15.0	0.0	0.0	0	1.0
REQUEST_CLIENT_STATE	wh3_deal_eval_bretonnia	-10.0	-10.0	-10.0	-10.0	40.0	50.0	-10.0	-10.0	-10.0	30.0	20.0	10.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
REQUEST_DECLARE_WAR	wh3_deal_eval_bretonnia	-3.0	-1.0	-3.0	-2.0	10.0	10.0	-2.0	-3.0	-1.0	8.0	6.0	5.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
REQUEST_DIPLOMATIC_MARRIAGE	wh3_deal_eval_bretonnia	-1.0	-40.0	-2.0	-6.0	5.0	5.0	-15.0	-2.0	-25.0	5.0	5.0	5.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
REQUEST_GIFT	wh3_deal_eval_bretonnia	2.0	5.0	1.0	1.0	1.0	1.0	3.0	1.0	4.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
REQUEST_JOIN_WAR	wh3_deal_eval_bretonnia	-5.0	-2.0	-5.0	-5.0	8.0	10.0	-4.0	-5.0	-2.0	7.0	6.0	5.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
REQUEST_VASSALAGE	wh3_deal_eval_bretonnia	-10.0	-10.0	-10.0	-10.0	40.0	50.0	-10.0	-10.0	-10.0	30.0	20.0	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
TRADE_AGREEMENT	wh3_deal_eval_bretonnia	-1.0	-70.0	-5.0	-11.0	5.0	5.0	-25.0	-3.0	-55.0	5.0	10.0	10.0	1.0	1.0	1.0	-3.0	2.0	0.0	-2.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
OFFER_DECLARE_WAR	wh3_deal_eval_bretonnia_major	-35.0	5.0	-17.0	-10.0	-30.0	-35.0	-5.0	-23.0	0.0	10.0	20.0	65.0	-0.5	1.0	1.0	8.0	-12.0	-3.0	-20.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
OFFER_JOIN_WAR	wh3_deal_eval_bretonnia_major	-35.0	5.0	-17.0	-10.0	-30.0	-35.0	-5.0	-23.0	0.0	10.0	20.0	65.0	-0.5	1.0	1.0	8.0	-12.0	-3.0	-20.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
PEACE	wh3_deal_eval_bretonnia_major	-5.0	-40.0	-9.0	-16.0	40.0	50.0	-25.0	-7.0	-35.0	17.0	10.0	5.0	2.0	1.0	1.0	-6.0	12.0	0.0	-7.0	0.0	-5.0	5.0	0.0	0.00040000002	15.0	0.0	0.0	0	1.0
STRATEGIC_BALANCE_CHANGE	wh3_deal_eval_bretonnia_major	0.0	0.0	0.0	0.0	50.0	60.0	0.0	0.0	0.0	35.0	30.0	20.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
WAR	wh3_deal_eval_bretonnia_major	-100.0	10.0	-10.0	-2.0	-30.0	-35.0	0.0	-20.0	5.0	0.0	12.0	25.0	-0.15	1.0	1.0	8.0	-12.0	-3.0	-20.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	30.0	10	1.0
OFFER_JOIN_CONFEDERATION	wh3_deal_eval_bretonnia_minor	-40.0	-135.0	-100.0	-105.0	48.0	51.0	-135.0	-50.0	-135.0	45.0	40.0	35.0	0.0	1.0	1.0	0.0	10.0	0.0	0.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
TRADE_AGREEMENT	wh3_deal_eval_cathay	0.0	-50.0	0.0	-2.0	3.0	3.0	-7.0	0.0	-16.0	3.0	3.0	3.0	0.1	1.0	1.0	-3.0	2.0	0.0	0.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
OFFER_JOIN_CONFEDERATION	wh3_deal_eval_cathay_minor	-40.0	-135.0	-100.0	-105.0	48.0	51.0	-135.0	-50.0	-135.0	45.0	40.0	35.0	0.0	1.0	1.0	0.0	10.0	0.0	0.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
OFFER_VASSALAGE	wh3_deal_eval_cathay_minor	-65.0	-200.0	-80.0	-85.0	60.0	75.0	-85.0	-75.0	-150.0	50.0	50.0	50.0	0.75	1.0	1.0	-12.0	10.0	0.0	-15.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
WAR	wh3_deal_eval_cathay_minor	-100.0	10.0	-6.0	-1.0	-30.0	-35.0	2.0	-20.0	5.0	-10.0	10.0	35.0	-0.15	1.0	1.0	8.0	-12.0	-3.0	-20.0	0.0	-5.0	5.0	-10.0	0.0	0.0	0.0	30.0	10	1.0
BREAK_DEFENSIVE_ALLIANCE	wh3_deal_eval_chaos	-55.0	45.0	-5.0	16.0	15.0	20.0	25.0	-30.0	35.0	15.0	10.0	10.0	-0.5	1.0	1.0	15.0	-12.0	0.0	7.0	15.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
BREAK_MILITARY_ALLIANCE	wh3_deal_eval_chaos	-55.0	60.0	32.0	35.0	15.0	20.0	40.0	-30.0	50.0	15.0	10.0	10.0	-0.5	1.0	1.0	15.0	-12.0	0.0	7.0	15.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
BREAK_NON_AGGRESSION_PACT	wh3_deal_eval_chaos	-40.0	25.0	-2.0	4.0	15.0	20.0	12.0	-15.0	18.0	15.0	10.0	10.0	-0.5	1.0	1.0	15.0	-10.0	0.0	0.0	15.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
CANCEL_MILITARY_ACCESS	wh3_deal_eval_chaos	-50.0	43.0	-25.0	14.0	15.0	20.0	23.0	-30.0	33.0	15.0	10.0	10.0	-0.5	1.0	1.0	15.0	-10.0	0.0	0.0	10.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
CANCEL_TRADE_AGREEMENT	wh3_deal_eval_chaos	-35.0	27.0	-10.0	4.0	15.0	20.0	14.0	-20.0	20.0	15.0	10.0	10.0	-0.5	1.0	1.0	15.0	0.0	0.0	0.0	10.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
DEFENSIVE_ALLIANCE	wh3_deal_eval_chaos	-11.0	-300.0	-23.0	-35.0	25.0	25.0	-45.0	-15.0	-60.0	25.0	20.0	20.0	0.3	1.0	1.0	-15.0	6.0	0.0	-6.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
MILITARY_ALLIANCE	wh3_deal_eval_chaos	-22.0	-500.0	-36.0	-58.0	32.0	35.0	-65.0	-27.0	-200.0	23.0	23.0	23.0	1.0	1.0	1.0	-15.0	6.0	0.0	-6.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
OFFER_DECLARE_WAR	wh3_deal_eval_chaos	-45.0	-2.0	-25.0	-19.0	-30.0	-35.0	-14.0	-30.0	-9.0	-14.0	15.0	65.0	-0.5	1.0	1.0	8.0	-12.0	-3.0	-20.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
OFFER_JOIN_WAR	wh3_deal_eval_chaos	-45.0	-2.0	-25.0	-19.0	-30.0	-35.0	-14.0	-30.0	-9.0	-14.0	15.0	65.0	-0.5	1.0	1.0	8.0	-12.0	-3.0	-20.0	0.0	-5.0	5.0	0.0	0.0	0.0	0.0	0.0	0	1.0
PEACE	wh3_deal_eval_chaos	-5.0	-40.0	-9.0	-16.0	40.0	50.0	-25.0	-7.0	-35.0	17.0	10.0	5.0	2.0	1.0	1.0	-6.0	12.0	0.0	-7.0	0.0	-5.0	5.0	5.0	0.00040000002	15.0	0.0	0.0	0	1.0
