key	fire_start_event	fire_stop_event	fire_max_attenuation	group_fire	switch	only_trigger_once_per_volley	fire_use_reverb	fire_obstruction_size	group_fire_start	group_fire_stop
repeater_gun_LH	Battle_Individual_Small_Arms_Repeater_Gun_Fire_LH		300.0		repeater_gun	false	true	0.0		
repeater_rifle	Battle_Individual_Small_Arms_Repeater_Rifle_Fire		300.0	wh_grp_projectile_repeater_rifle_fire	repeater_rifle	false	true	0.0		
repeater_rifle_LH	Battle_Individual_Small_Arms_Repeater_Rifle_Fire_LH		300.0		repeater_rifle	false	true	0.0		
rocket_battery	Battle_Individual_Artillery_Rocket_Launch		350.0		rocket_battery	false	true	0.0		
steamgun_copter	Battle_Individual_Artillery_Copter_Steamgun_Fire		100.0		steamgun	false	false	0.0		
steamgun_tank	Battle_Individual_Artillery_Steam_Tank_Steamgun_Fire		100.0		steamgun	false	false	0.0		
troll_hammer	Battle_Individual_Small_Arms_Troll_Hammer_Fire		200.0		troll_hammer	false	true	0.0		
warpfiregun			200.0		drakegun	false	false	0.0	wh2_grp_warpfiregun_fire_start	wh2_grp_warpfiregun_fire_stop
wh2_dlc11_deck_dropper_bomb	Battle_Individual_Projectile_Grenade_fuse_throw		40.0		rocket_battery	false	true	0.0		
wh2_dlc11_necrofex_cannon	Battle_Individual_Melee_Necrofex_Colossus_Cannon_Fire		400.0		rocket_battery	false	true	0.0		
wh2_dlc12_ikit_warpfiregun	Battle_Individual_Ikit_Claw_Warpfire_Start	Battle_Individual_Ikit_Claw_Warpfire_Stop	200.0		drakegun	false	false	0.0		
wh2_dlc12_ratling_gun			400.0	wh2_grp_ratling_gun_fire_loop	gatling_gun	true	true	0.0		
wh2_dlc12_warplock_jezzails	Battle_Individual_Small_Arms_Jezzails_Sniper_Rifle_Fire		300.0		repeater_rifle	false	true	0.0		
wh2_dlc14_medusa_gaze	Battle_Individual_Projectile_dlc14_Medusa_Launch		400.0		organ_gun	true	true	0.0		
wh2_dlc14_scourge_harpoon	Battle_Individual_Small_Arms_Harpoon_Release		125.0	wh_grp_projectile_crossbow_fire	crossbow	false	false	0.0		
