key	effect_1	effect_2
wh3_nur_plague_component_2_settlement	wh3_nur_plague_component_2_settlement_1	wh3_nur_plague_component_2_settlement_2
wh3_nur_plague_component_3_force		wh3_nur_plague_component_3_force_2
wh3_nur_plague_component_3_settlement		
wh3_nur_plague_component_4_force		wh3_nur_plague_component_4_force_2
wh3_nur_plague_component_4_settlement		
wh3_nur_plague_component_5_force		wh3_nur_plague_component_5_force_2
wh3_nur_plague_component_5_settlement		
wh3_nur_plague_component_6_force		wh3_nur_plague_component_6_force_2
wh3_nur_plague_component_6_settlement		
wh3_nur_plague_component_7_force		
wh3_nur_plague_component_7_settlement	wh3_nur_plague_component_7_settlement_1	
wh3_nur_plague_component_8_force		
wh3_nur_plague_component_8_settlement		wh3_nur_plague_component_8_settlement_2
wh3_nur_plague_component_9_force	wh3_nur_plague_component_9_force_1	wh3_nur_plague_component_9_force_2
wh3_nur_plague_component_9_settlement	wh3_nur_plague_component_9_settlement_1	wh3_nur_plague_component_9_settlement_2
wh3_nur_plague_recipe_1_force	wh3_nur_plague_recipe_1_force_1	wh3_nur_plague_recipe_1_force_2
wh3_nur_plague_recipe_1_settlement	wh3_nur_plague_recipe_1_settlement_1	wh3_nur_plague_recipe_1_settlement_2
wh3_nur_plague_recipe_2_force	wh3_nur_plague_recipe_2_force_1	wh3_nur_plague_recipe_2_force_2
wh3_nur_plague_recipe_2_settlement	wh3_nur_plague_recipe_2_settlement_1	wh3_nur_plague_recipe_2_settlement_2
wh3_nur_plague_recipe_3_force	wh3_nur_plague_recipe_3_force_1	wh3_nur_plague_recipe_3_force_2
wh3_nur_plague_recipe_3_settlement	wh3_nur_plague_recipe_3_settlement_1	wh3_nur_plague_recipe_3_settlement_2
wh3_nur_plague_recipe_4_force	wh3_nur_plague_recipe_4_force_1	wh3_nur_plague_recipe_4_force_2
wh3_nur_plague_recipe_4_settlement	wh3_nur_plague_recipe_4_settlement_1	wh3_nur_plague_recipe_4_settlement_2
wh3_nur_plague_recipe_5_force	wh3_nur_plague_recipe_5_force_1	wh3_nur_plague_recipe_5_force_2
wh3_nur_plague_recipe_5_settlement	wh3_nur_plague_recipe_5_settlement_1	wh3_nur_plague_recipe_5_settlement_2
