key	hit_points	model	battle_entity	gun_type	docking_clearance	engine	image_path	recruitment_cap	uses_8m_wall	uses_15m_wall	cost	category_image_path	special_edition_mask	ignition_threshold	attack_damage	selection_priority	sort_order	autoresolver_effectiveness	audio_type
sla_batteringram	500	sla_batteringram	battering_ram		2.0		UI/Battle UI/siege_vehicle_icons/siege_tower.png	-1	false	false	0	PLACEHOLDER	0	100	0.0	1.0	0	0.0	
sla_siege_tower_15m	12000	sla_siege_tower_15m	siege_tower		3.2		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0	2.0	6	1.0	wh_war_machine_wef_large
tmb_battering_ram	16000	tmb_batteringram	battering_ram		2.0		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	3000.0	1.0	3	0.5	
tmb_siege_tower_15m	12000	tmb_siege_tower_15m	siege_tower		3.2		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0	2.0	10	1.0	wh_war_machine_wood_large
tze_battering_ram	16000	tze_batteringram	battering_ram		2.0		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	3000.0	1.0	3	0.5	
tze_batteringram	500	tze_batteringram	battering_ram		2.0		UI/Battle UI/siege_vehicle_icons/siege_tower.png	-1	false	false	0	PLACEHOLDER	0	100	0.0	1.0	0	0.0	
tze_siege_tower_15m	12000	tze_siege_tower_15m	siege_tower		3.2		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0	2.0	6	1.0	wh_war_machine_wef_large
vmp_battering_ram	16000	vmp_batteringram	battering_ram		2.0		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	3000.0	1.0	5	0.5	wh_war_machine_vampire_large
vmp_siege_tower_15m	12000	vmp_siege_tower_15m	siege_tower		3.2		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0	2.0	12	1.0	wh_war_machine_vampire_large
wef_battering_ram	16000	wef_batteringram	battering_ram		2.0		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	3000.0	1.0	0	0.5	wh_war_machine_wef_large
wef_siege_tower_15m	12000	wef_siege_tower_15m	siege_tower		3.2		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0	2.0	6	1.0	wh_war_machine_wef_large
