key	intensity_rtpc	start_event	stop_event	reverb	obstruction	culling_distance
Loop_Forest_Faction_Lizardmen		Campaign_Environment_Lizardmen_Forest_Play	Campaign_Environment_Lizardmen_Forest_Stop	true	true	40.0000
Loop_Forest_Faction_Norsca		Campaign_Environment_Nordic_Forest_Play	Campaign_Environment_Nordic_Forest_Stop	true	true	40.0000
Loop_Forest_Faction_Nurgle		Campaign_Environment_Nurgle_Forest_Play	Campaign_Environment_Nurgle_Forest_Stop	true	true	40.0000
Loop_Forest_Faction_Ogres		Campaign_Environment_Ogres_Forest_Play	Campaign_Environment_Ogres_Forest_Stop	true	true	40.0000
Loop_Forest_Faction_Skaven		Campaign_Environment_Skaven_Forest_Play	Campaign_Environment_Skaven_Forest_Stop	true	true	40.0000
Loop_Forest_Faction_Slaanesh		Campaign_Environment_Slaanesh_Forest_Play	Campaign_Environment_Slaanesh_Forest_Stop	true	true	40.0000
Loop_Forest_Faction_Tomb_Kings		Campaign_Environment_Tomb_Kings_Forest_Play	Campaign_Environment_Tomb_Kings_Forest_Stop	true	true	40.0000
Loop_Forest_Faction_Tzeentch		Campaign_Environment_Tzeentch_Forest_Play	Campaign_Environment_Tzeentch_Forest_Stop	true	true	40.0000
Loop_Forest_Faction_Vampires		Campaign_Environment_Vampire_Forest_Play	Campaign_Environment_Vampire_Forest_Stop	true	true	40.0000
Loop_Forest_Faction_Wood_Elves		Campaign_Environment_Woold_Elves_Forest_Generic_Play	Campaign_Environment_Woold_Elves_Forest_Generic_Stop	true	true	40.0000
Loop_Ground_Type_Chaotic_Wasteland	Campaign_Chaos_Wastelands_Intensity	Campaign_Environment_Generic_Chaotic_Wasteland_Play	Campaign_Environment_Generic_Chaotic_Wasteland_Stop	true	false	100.0000
Loop_Ground_Type_Desert	Campaign_Desert_Intensity	Campaign_Environment_Generic_Desert_Play	Campaign_Environment_Generic_Desert_Stop	true	false	100.0000
Loop_Ground_Type_Marsh	Campaign_Marsh_Intensity	Campaign_Environment_Ground_Type_Marsh_Play	Campaign_Environment_Ground_Type_Marsh_Stop	true	false	100.0000
Loop_Ground_Type_Mountain	Campaign_Mountain_Intensity	Campaign_Environment_Generic_Mountains_Play	Campaign_Environment_Generic_Mountains_Stop	true	false	100.0000
Loop_Ground_Type_Sea	Campaign_Sea_Intensity	Campaign_Environment_Element_Water_Sea_Play	Campaign_Environment_Element_Water_Sea_Stop	true	false	100.0000
Loop_Ground_Type_Tundra	Campaign_Tundra_Intensity	Campaign_Environment_Element_Wind_Tundra_Play	Campaign_Environment_Element_Wind_Tundra_Stop	true	false	100.0000
Loop_Static_Corruption		Campaign_Environment_Corruption_Ambience_Play	Campaign_Environment_Corruption_Ambience_Stop	true	false	100.0000
Loop_Static_Shroud		Campaign_Environment_Generic_Shroud_Play	Campaign_Environment_Generic_Shroud_Stop	true	false	100.0000
Loop_Static_Wind		Campaign_Environment_Element_Wind_Play	Campaign_Environment_Element_Wind_Stop	true	false	100.0000
Loop_Static_Wind_Prologue		Campaign_Environment_Element_Wind_Prologue_Play	Campaign_Environment_Element_Wind_Prologue_Stop	true	false	100.0000
Loop_Test_Loop		UI_GBL_Test_Tone_Loop_Play	UI_GBL_Test_Tone_Loop_Stop	true	false	40.0000
