key	dilemma_key	index
wh3_main_character_training_dilemma_ice_witch_fight_fire_with_ice_second	wh3_main_character_training_dilemma_ice_witch_fight_fire_with_ice	SECOND
wh3_main_character_training_dilemma_ice_witch_fight_or_build_first	wh3_main_character_training_dilemma_ice_witch_fight_or_build	FIRST
wh3_main_character_training_dilemma_ice_witch_fight_or_build_second	wh3_main_character_training_dilemma_ice_witch_fight_or_build	SECOND
wh3_main_character_training_dilemma_ice_witch_guardians_of_the_ice_first	wh3_main_character_training_dilemma_ice_witch_guardians_of_the_ice	FIRST
wh3_main_character_training_dilemma_ice_witch_guardians_of_the_ice_second	wh3_main_character_training_dilemma_ice_witch_guardians_of_the_ice	SECOND
wh3_main_character_training_dilemma_ice_witch_ice_raider_first	wh3_main_character_training_dilemma_ice_witch_ice_raider	FIRST
wh3_main_character_training_dilemma_ice_witch_ice_raider_second	wh3_main_character_training_dilemma_ice_witch_ice_raider	SECOND
wh3_main_character_training_dilemma_ice_witch_icy_discipline_first	wh3_main_character_training_dilemma_ice_witch_icy_discipline	FIRST
wh3_main_character_training_dilemma_ice_witch_icy_discipline_second	wh3_main_character_training_dilemma_ice_witch_icy_discipline	SECOND
wh3_main_character_training_dilemma_ice_witch_lessons_in_war_first	wh3_main_character_training_dilemma_ice_witch_lessons_in_war	FIRST
wh3_main_character_training_dilemma_ice_witch_lessons_in_war_second	wh3_main_character_training_dilemma_ice_witch_lessons_in_war	SECOND
wh3_main_character_training_dilemma_ice_witch_mothers_army_first	wh3_main_character_training_dilemma_ice_witch_mothers_army	FIRST
wh3_main_character_training_dilemma_ice_witch_mothers_army_second	wh3_main_character_training_dilemma_ice_witch_mothers_army	SECOND
wh3_main_character_training_dilemma_ice_witch_provincial_aid_first	wh3_main_character_training_dilemma_ice_witch_provincial_aid	FIRST
wh3_main_character_training_dilemma_ice_witch_provincial_aid_second	wh3_main_character_training_dilemma_ice_witch_provincial_aid	SECOND
wh3_main_character_training_dilemma_ice_witch_provincial_matters_first	wh3_main_character_training_dilemma_ice_witch_provincial_matters	FIRST
wh3_main_character_training_dilemma_ice_witch_provincial_matters_second	wh3_main_character_training_dilemma_ice_witch_provincial_matters	SECOND
wh3_main_character_training_dilemma_ice_witch_summon_the_ice_first	wh3_main_character_training_dilemma_ice_witch_summon_the_ice	FIRST
wh3_main_character_training_dilemma_ice_witch_summon_the_ice_second	wh3_main_character_training_dilemma_ice_witch_summon_the_ice	SECOND
wh3_main_character_training_dilemma_ice_witch_the_visit_first	wh3_main_character_training_dilemma_ice_witch_the_visit	FIRST
wh3_main_character_training_dilemma_ice_witch_the_visit_second	wh3_main_character_training_dilemma_ice_witch_the_visit	SECOND
wh3_main_character_training_dilemma_ice_witch_tzarinas_favour_first	wh3_main_character_training_dilemma_ice_witch_tzarinas_favour	FIRST
wh3_main_character_training_dilemma_ice_witch_tzarinas_favour_second	wh3_main_character_training_dilemma_ice_witch_tzarinas_favour	SECOND
wh3_main_character_training_dilemma_ice_witch_will_or_wild_first	wh3_main_character_training_dilemma_ice_witch_will_or_wild	FIRST
wh3_main_character_training_dilemma_ice_witch_will_or_wild_second	wh3_main_character_training_dilemma_ice_witch_will_or_wild	SECOND
