group	member
event_feed_layout_data_diplomatic_war_faction_1_left_joining_faction_right	joining_faction:right
event_feed_layout_data_diplomatic_war_faction_1_left_joining_faction_right	war_faction_1:left
event_feed_layout_data_event_caravan_completed	caravan_master
event_feed_layout_data_event_caravan_completed	caravan_master.faction:acting
event_feed_layout_data_event_caravan_completed	caravan_master.faction:target
event_feed_layout_data_event_dilemma	dilemma
event_feed_layout_data_event_incident	event_id
event_feed_layout_data_event_incident	incident
event_feed_layout_data_event_incident	payload
event_feed_layout_data_event_mission	mission
event_feed_layout_data_event_subject	dilemma
event_feed_layout_data_event_subject	subject
event_feed_layout_data_event_winds_of_magic	winds_of_magic_status
event_feed_layout_data_faction_ancillary_gained	ancillary
event_feed_layout_data_faction_ancillary_gained	faction
event_feed_layout_data_faction_civil_war_character	instigator
event_feed_layout_data_faction_civil_war_character	instigator.faction:acting
event_feed_layout_data_faction_civil_war_character	instigator.faction:target
event_feed_layout_data_faction_ignores_trespass_warning	trespasser:left
event_feed_layout_data_faction_ignores_trespass_warning	trespasser:right
event_feed_layout_data_faction_joins_confederation	confederated:right
event_feed_layout_data_faction_joins_confederation	confederation:left
event_feed_layout_data_faction_joins_confederation	event_type
event_feed_layout_data_fame	faction
event_feed_layout_data_fame	faction.fame_level
event_feed_layout_data_hidden_settlement_exposed	settlement.faction:left
event_feed_layout_data_hidden_settlement_exposed	settlement.faction:right
event_feed_layout_data_horde_unrest_imminent_disband	force.faction:acting
event_feed_layout_data_horde_unrest_imminent_disband	force.faction:target
event_feed_layout_data_horde_unrest_imminent_disband	force.general
event_feed_layout_data_mercenary_unit_character_level_restriction_lifted	unit_record.description
event_feed_layout_data_military_ambusher_discovered_yours	ambusher.faction:acting
event_feed_layout_data_military_ambusher_discovered_yours	ambusher.faction:target
event_feed_layout_data_military_ambusher_discovered_yours	ambusher.general
event_feed_layout_data_military_ambusher_discovered	ambusher.faction:acting
event_feed_layout_data_military_ambusher_discovered	ambusher.general
event_feed_layout_data_military_ambusher_discovered	discovered_by:target
event_feed_layout_data_military_army_destroyed	force.faction:acting
event_feed_layout_data_military_army_destroyed	force.faction:target
event_feed_layout_data_military_army_destroyed	force.general
event_feed_layout_data_military_army_founded	force.faction:acting
event_feed_layout_data_military_army_founded	force.faction:target
event_feed_layout_data_military_army_founded	force.general
event_feed_layout_data_military_army_withdraws	force.faction:acting
event_feed_layout_data_military_army_withdraws	force.faction:target
event_feed_layout_data_military_army_withdraws	force.general
event_feed_layout_data_military_attrition	force.faction:acting
event_feed_layout_data_military_attrition	force.faction:target
event_feed_layout_data_military_attrition	force.general
event_feed_layout_data_military_companion_army_ours	companion.faction:target
event_feed_layout_data_military_companion_army_ours	companion.general:target
event_feed_layout_data_military_companion_army_ours	parent.faction:acting
event_feed_layout_data_military_companion_army_ours	parent.general:actor
event_feed_layout_data_military_companion_army	parent.faction:left
event_feed_layout_data_military_companion_army	parent.faction:right
event_feed_layout_data_plague_spreads_force_to_force	to.faction:acting
event_feed_layout_data_plague_spreads_force_to_force	to.faction:target
event_feed_layout_data_plague_spreads_force_to_force	to.general
event_feed_layout_data_ritual_started	faction:left
event_feed_layout_data_ritual_started	faction:right
event_feed_layout_data_spawnable_force_spawned_from_parent	parent_force.faction:acting
event_feed_layout_data_spawnable_force_spawned_from_parent	parent_force.faction:target
event_feed_layout_data_spawnable_force_spawned_from_parent	parent_force.general
event_feed_layout_data_technology_researched	faction
event_feed_layout_data_technology_researched	next_technology:next_technology
event_feed_layout_data_technology_researched	technology:technology
event_feed_layout_data_technology_researched	technology_tier
event_feed_layout_data_training_dilemma_available	character_family_name:family_name
event_feed_layout_data_training_dilemma_available	character_forename:forename
event_feed_layout_data_training_dilemma_available	faction
event_feed_layout_data_trait_gained	character
event_feed_layout_data_trait_gained	character.profession
event_feed_layout_data_trait_gained	trait
event_feed_layout_data_unit_recruited	unit.description
event_feed_layout_data_unit_recruited	unit.faction
event_feed_layout_data_win_streak_lost	force.faction:acting
event_feed_layout_data_win_streak_lost	force.faction:target
event_feed_layout_data_win_streak_lost	force.general
event_feed_location_ambusher_general	ambusher.general
event_feed_location_blockaded	blockaded
event_feed_location_building_force	building.force
event_feed_location_building_region_and_province	building.region_and_province
event_feed_location_building	building
event_feed_location_character_battle_attacker_primary_general	attacker.primary_general
event_feed_location_character_battle_defender_primary_general	defender.primary_general
event_feed_location_character_heir	heir
event_feed_location_character_new_leader	new_leader
event_feed_location_character_occupier	occupier
event_feed_location_companion_general	companion.general
event_feed_location_confederation_province	confederation.province
event_feed_location_data_loaned_army_returned_after_alliance_broke	agent
event_feed_location_data_loaned_army_returned_after_alliance_broke	owning_faction:acting
event_feed_location_data_loaned_army_returned_after_alliance_broke	owning_faction:target
event_feed_location_faction_1	faction_1
event_feed_location_faction_2	faction_2
event_feed_location_faction_actor	actor
event_feed_location_faction_joining_faction	joining_faction
event_feed_location_faction_recipient	recipient
event_feed_location_faction_war_faction_1	war_faction_1
event_feed_location_faction_war_faction_2	war_faction_2
event_feed_location_faction	faction
event_feed_location_instigator_general	instigator.general
event_feed_location_instigator	instigator
event_feed_location_military_force_faction	force.faction
event_feed_location_military_force_general	force.general
event_feed_location_mission_faction	mission.faction
event_feed_location_objective_settlement	objective_settlement
event_feed_location_parent_general	parent.general
event_feed_location_position	position
event_feed_location_province_capital	province.capital
event_feed_location_province	province
event_feed_location_raided_province	raided.province
event_feed_location_raided	raided
event_feed_location_raider_general	raider.general
event_feed_location_recipient_province	recipient.province
event_feed_location_region	region
event_feed_location_settlement	settlement
event_feed_location_spawned_force_general	spawned_force.general
event_feed_location_target_general	target.general
event_feed_location_target_region	target_region
event_feed_location_target	target
event_feed_location_to_general	to.general
event_feed_location_to	to
event_feed_location_trespasser	trespasser
event_feed_scripted_event_target	index
event_feed_target_actor_known_to	actor.known_to
event_feed_target_agent_faction	agent.faction
event_feed_target_allied_faction	allied_faction
event_feed_target_ally	ally
event_feed_target_ambusher_faction	ambusher.faction
event_feed_target_attacked_by_faction	attacked_by.faction
event_feed_target_building_faction	building.faction
event_feed_target_capital_faction	capital.faction
event_feed_target_caravan_completed	caravan_master
event_feed_target_character_attacker_faction	attacker.faction
event_feed_target_character_child_faction	child.faction
event_feed_target_character_faction	character.faction
event_feed_target_character_heir_faction	heir.faction
event_feed_target_companion_culture	companion.culture
event_feed_target_confederation_known_to	confederation.known_to
event_feed_target_conquest_battle_attacker_parent_army_faction	attacker.parent_army_faction
event_feed_target_conquest_battle_attacker	attacker
event_feed_target_conquest_battle_defender_parent_army_faction	defender.parent_army_faction
event_feed_target_conquest_battle_defender	defender
event_feed_target_conquest_besieged_faction	settlement.faction
event_feed_target_conquest_besieger_faction	besieger.faction
event_feed_target_conquest_blockaded_faction	blockaded.faction
event_feed_target_conquest_blockader_faction	blockader.faction
event_feed_target_conquest_captured_from	captured_from
event_feed_target_conquest_occupier_faction	occupier.faction
event_feed_target_conquest_raider_faction	raider.faction
event_feed_target_conquest_region_faction	region.faction
event_feed_target_contesting	contesting
event_feed_target_criteria_actor_culture	actor.culture
event_feed_target_criteria_agent	agent
event_feed_target_criteria_attack_outcome	attack_outcome
event_feed_target_criteria_attrition	attrition
event_feed_target_criteria_caravan_master_character	caravan_master
event_feed_target_criteria_caravan_master	caravan_master
event_feed_target_criteria_character_culture	character.culture
event_feed_target_criteria_character	character
event_feed_target_criteria_child	child
event_feed_target_criteria_confederation_culture	confederation.culture
event_feed_target_criteria_faction_2_culture	faction_2.culture
event_feed_target_criteria_faction_culture	faction.culture
event_feed_target_criteria_faction_state_religion	faction.state_religion
event_feed_target_criteria_recipient_culture	recipient.culture
event_feed_target_criteria_resource	resource
event_feed_target_criteria_result_and_agent	agent
event_feed_target_criteria_result_and_agent	result
event_feed_target_dilemma_faction	dilemma.faction
event_feed_target_diplomacy_actor	actor
event_feed_target_diplomacy_faction_1	faction_1
event_feed_target_diplomacy_faction_2	faction_2
event_feed_target_diplomacy_faction	faction
event_feed_target_diplomacy_joining_faction	joining_faction
event_feed_target_diplomacy_known_to	actor.known_to
event_feed_target_diplomacy_known_to	recipient.known_to
event_feed_target_diplomacy_negotiated_by	negotiated_by
event_feed_target_diplomacy_recipient	recipient
event_feed_target_diplomacy_war_faction_1_a	war_faction_1
event_feed_target_diplomacy_war_faction_1_b	war_faction_1
event_feed_target_diplomacy_war_faction_2	war_faction_2
event_feed_target_discovered_by	discovered_by
event_feed_target_faction_former_leader_faction	former_leader.faction
event_feed_target_faction_instigator_faction	instigator.faction
event_feed_target_faction_known_to	faction.known_to
event_feed_target_faction_new_leader_faction	new_leader.faction
event_feed_target_faction	faction
event_feed_target_family_member_faction	family_member.faction
event_feed_target_force_parent_army_faction	force.parent_army_faction
event_feed_target_from	from
event_feed_target_human_faction	human_faction
event_feed_target_incident_faction	faction
event_feed_target_military_character_faction	character.faction
event_feed_target_military_force_faction	force.faction
event_feed_target_military_unit_faction	unit.faction
event_feed_target_mission_faction	mission.faction
event_feed_target_opponent	opponent
event_feed_target_owner_faction	owner_faction
event_feed_target_owner	owner
event_feed_target_parent_faction_known_to	parent.faction_known_to
event_feed_target_parent_faction	parent.faction
event_feed_target_party_faction	party.faction
event_feed_target_province_faction	province.faction
event_feed_target_raided_faction	raided.faction
event_feed_target_recipient_known_to	recipient.known_to
event_feed_target_region_faction	region.faction
event_feed_target_ritual_target_faction	target_faction
event_feed_target_settlement_faction	settlement.faction
event_feed_target_source_faction	source_faction
event_feed_target_subject_faction	subject.faction
event_feed_target_target_faction	target.faction
event_feed_target_target_region_faction	target_region.faction
event_feed_target_territory_owner	territory_owner
event_feed_target_to_faction	to.faction
event_feed_target_world_player_faction	player.faction
