member	context	subculture
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionDwarf_&_Negative	ACTOR	wh_main_sc_dwf_dwarfs
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionDwarf_&_Positive	ACTOR	wh_main_sc_dwf_dwarfs
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionEmpire	ACTOR	wh_main_sc_emp_empire
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionEmpire_&_Negative	ACTOR	wh_main_sc_emp_empire
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionEmpire_&_Positive	ACTOR	wh_main_sc_emp_empire
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionGreenskin	ACTOR	wh_main_sc_grn_greenskins
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionGreenskin_&_Negative	ACTOR	wh_main_sc_grn_greenskins
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionGreenskin_&_Positive	ACTOR	wh_main_sc_grn_greenskins
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionHighElves	ACTOR	wh2_main_sc_hef_high_elves
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionHighElves_&_Negative	ACTOR	wh2_main_sc_hef_high_elves
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionHighElves_&_Positive	ACTOR	wh2_main_sc_hef_high_elves
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionLizardmen	ACTOR	wh2_main_sc_lzd_lizardmen
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionLizardmen_&_Negative	ACTOR	wh2_main_sc_lzd_lizardmen
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionLizardmen_&_Positive	ACTOR	wh2_main_sc_lzd_lizardmen
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionSkaven	ACTOR	wh2_main_sc_skv_skaven
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionSkaven_&_Negative	ACTOR	wh2_main_sc_skv_skaven
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionSkaven_&_Positive	ACTOR	wh2_main_sc_skv_skaven
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionTombKings	ACTOR	wh2_dlc09_sc_tmb_tomb_kings
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionTombKings_&_Negative	ACTOR	wh2_dlc09_sc_tmb_tomb_kings
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionTombKings_&_Positive	ACTOR	wh2_dlc09_sc_tmb_tomb_kings
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionVamp	ACTOR	wh_main_sc_vmp_vampire_counts
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionVamp_&_Negative	ACTOR	wh_main_sc_vmp_vampire_counts
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionVamp_&_Positive	ACTOR	wh_main_sc_vmp_vampire_counts
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionVampireCoast	ACTOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionVampireCoast_&_Negative	ACTOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionVampireCoast_&_Positive	ACTOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionWoodElves	ACTOR	wh_dlc05_sc_wef_wood_elves
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionWoodElves_&_Negative	ACTOR	wh_dlc05_sc_wef_wood_elves
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionWoodElves_&_Positive	ACTOR	wh_dlc05_sc_wef_wood_elves
DLC11_diplomacy_Subcult_VampireCoast	ORIGINATOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_Negative	ORIGINATOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBeastmen	ACTOR	wh_dlc03_sc_bst_beastmen
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBeastmen	ORIGINATOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBeastmen_&_Negative	ACTOR	wh_dlc03_sc_bst_beastmen
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBeastmen_&_Negative	ORIGINATOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBeastmen_&_Positive	ACTOR	wh_dlc03_sc_bst_beastmen
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBeastmen_&_Positive	ORIGINATOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBretonnia	ACTOR	wh_main_sc_brt_bretonnia
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBretonnia	ORIGINATOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBretonnia_&_Negative	ACTOR	wh_main_sc_brt_bretonnia
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBretonnia_&_Negative	ORIGINATOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBretonnia_&_Positive	ACTOR	wh_main_sc_brt_bretonnia
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBretonnia_&_Positive	ORIGINATOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionChaos	ACTOR	wh_main_sc_chs_chaos
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionChaos	ORIGINATOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionChaos_&_Negative	ACTOR	wh_main_sc_chs_chaos
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionChaos_&_Negative	ORIGINATOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionChaos_&_Positive	ACTOR	wh_main_sc_chs_chaos
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionChaos_&_Positive	ORIGINATOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionDarkElves	ACTOR	wh2_main_sc_def_dark_elves
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionDarkElves	ORIGINATOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionDarkElves_&_Negative	ACTOR	wh2_main_sc_def_dark_elves
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionDarkElves_&_Negative	ORIGINATOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionDarkElves_&_Positive	ACTOR	wh2_main_sc_def_dark_elves
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionDarkElves_&_Positive	ORIGINATOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionDwarf	ACTOR	wh_main_sc_dwf_dwarfs
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionDwarf	ORIGINATOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionDwarf_&_Negative	ACTOR	wh_main_sc_dwf_dwarfs
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionDwarf_&_Negative	ORIGINATOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionDwarf_&_Positive	ACTOR	wh_main_sc_dwf_dwarfs
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionDwarf_&_Positive	ORIGINATOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionEmpire	ACTOR	wh_main_sc_emp_empire
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionEmpire	ORIGINATOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionEmpire_&_Negative	ACTOR	wh_main_sc_emp_empire
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionEmpire_&_Negative	ORIGINATOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionEmpire_&_Positive	ACTOR	wh_main_sc_emp_empire
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionEmpire_&_Positive	ORIGINATOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionGreenskin	ACTOR	wh_main_sc_grn_greenskins
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionGreenskin	ORIGINATOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionGreenskin_&_Negative	ACTOR	wh_main_sc_grn_greenskins
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionGreenskin_&_Negative	ORIGINATOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionGreenskin_&_Positive	ACTOR	wh_main_sc_grn_greenskins
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionGreenskin_&_Positive	ORIGINATOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionHighElves	ACTOR	wh2_main_sc_hef_high_elves
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionHighElves	ORIGINATOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionHighElves_&_Negative	ACTOR	wh2_main_sc_hef_high_elves
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionHighElves_&_Negative	ORIGINATOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionHighElves_&_Positive	ACTOR	wh2_main_sc_hef_high_elves
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionHighElves_&_Positive	ORIGINATOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionLizardmen	ACTOR	wh2_main_sc_lzd_lizardmen
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionLizardmen	ORIGINATOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionLizardmen_&_Negative	ACTOR	wh2_main_sc_lzd_lizardmen
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionLizardmen_&_Negative	ORIGINATOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionLizardmen_&_Positive	ACTOR	wh2_main_sc_lzd_lizardmen
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionLizardmen_&_Positive	ORIGINATOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionSkaven	ACTOR	wh2_main_sc_skv_skaven
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionSkaven	ORIGINATOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionSkaven_&_Negative	ACTOR	wh2_main_sc_skv_skaven
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionSkaven_&_Negative	ORIGINATOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionSkaven_&_Positive	ACTOR	wh2_main_sc_skv_skaven
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionSkaven_&_Positive	ORIGINATOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionTombKings	ACTOR	wh2_dlc09_sc_tmb_tomb_kings
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionTombKings	ORIGINATOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionTombKings_&_Negative	ACTOR	wh2_dlc09_sc_tmb_tomb_kings
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionTombKings_&_Negative	ORIGINATOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionTombKings_&_Positive	ACTOR	wh2_dlc09_sc_tmb_tomb_kings
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionTombKings_&_Positive	ORIGINATOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionVamp	ACTOR	wh_main_sc_vmp_vampire_counts
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionVamp	ORIGINATOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionVamp_&_Negative	ACTOR	wh_main_sc_vmp_vampire_counts
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionVamp_&_Negative	ORIGINATOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionVamp_&_Positive	ACTOR	wh_main_sc_vmp_vampire_counts
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionVamp_&_Positive	ORIGINATOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionVampireCoast	ACTOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionVampireCoast	ORIGINATOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionVampireCoast_&_Negative	ACTOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionVampireCoast_&_Negative	ORIGINATOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionVampireCoast_&_Positive	ACTOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionVampireCoast_&_Positive	ORIGINATOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionWoodElves	ACTOR	wh_dlc05_sc_wef_wood_elves
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionWoodElves	ORIGINATOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionWoodElves_&_Negative	ACTOR	wh_dlc05_sc_wef_wood_elves
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionWoodElves_&_Negative	ORIGINATOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionWoodElves_&_Positive	ACTOR	wh_dlc05_sc_wef_wood_elves
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionWoodElves_&_Positive	ORIGINATOR	wh2_dlc11_sc_cst_vampire_coast
DLC11_diplomacy_Subcult_VampireCoast_&_Positive	ORIGINATOR	wh2_dlc11_sc_cst_vampire_coast
diplomacy_FactionGroup_Boyar2_Faction_Ropsmenn_Clan_&_OtherFactionCathay	ACTOR	wh3_main_sc_cth_cathay
diplomacy_FactionGroup_Boyar2_Faction_Ropsmenn_Clan_&_OtherFactionCathay_&_Negative	ACTOR	wh3_main_sc_cth_cathay
diplomacy_FactionGroup_Boyar2_Faction_Ropsmenn_Clan_&_OtherFactionCathay_&_Positive	ACTOR	wh3_main_sc_cth_cathay
diplomacy_FactionGroup_Boyar2_Faction_Ropsmenn_Clan_&_OtherFactionDaemon	ACTOR	wh3_main_sc_dae_daemons
diplomacy_FactionGroup_Boyar2_Faction_Ropsmenn_Clan_&_OtherFactionDaemon_&_Negative	ACTOR	wh3_main_sc_dae_daemons
diplomacy_FactionGroup_Boyar2_Faction_Ropsmenn_Clan_&_OtherFactionDaemon_&_Positive	ACTOR	wh3_main_sc_dae_daemons
diplomacy_FactionGroup_Boyar2_Faction_Ropsmenn_Clan_&_OtherFactionKhorne	ACTOR	wh3_main_sc_kho_khorne
diplomacy_FactionGroup_Boyar2_Faction_Ropsmenn_Clan_&_OtherFactionKhorne_&_Negative	ACTOR	wh3_main_sc_kho_khorne
diplomacy_FactionGroup_Boyar2_Faction_Ropsmenn_Clan_&_OtherFactionKhorne_&_Positive	ACTOR	wh3_main_sc_kho_khorne
diplomacy_FactionGroup_Boyar2_Faction_Ropsmenn_Clan_&_OtherFactionKislev	ACTOR	wh3_main_sc_ksl_kislev
diplomacy_FactionGroup_Boyar2_Faction_Ropsmenn_Clan_&_OtherFactionKislev_&_Negative	ACTOR	wh3_main_sc_ksl_kislev
diplomacy_FactionGroup_Boyar2_Faction_Ropsmenn_Clan_&_OtherFactionKislev_&_Positive	ACTOR	wh3_main_sc_ksl_kislev
diplomacy_FactionGroup_Boyar2_Faction_Ropsmenn_Clan_&_OtherFactionNurgle	ACTOR	wh3_main_sc_nur_nurgle
diplomacy_FactionGroup_Boyar2_Faction_Ropsmenn_Clan_&_OtherFactionNurgle_&_Negative	ACTOR	wh3_main_sc_nur_nurgle
diplomacy_FactionGroup_Boyar2_Faction_Ropsmenn_Clan_&_OtherFactionNurgle_&_Positive	ACTOR	wh3_main_sc_nur_nurgle
diplomacy_FactionGroup_Boyar2_Faction_Ropsmenn_Clan_&_OtherFactionOgre	ACTOR	wh3_main_sc_ogr_ogre_kingdoms
diplomacy_FactionGroup_Boyar2_Faction_Ropsmenn_Clan_&_OtherFactionOgre_&_Negative	ACTOR	wh3_main_sc_ogr_ogre_kingdoms
diplomacy_FactionGroup_Boyar2_Faction_Ropsmenn_Clan_&_OtherFactionOgre_&_Positive	ACTOR	wh3_main_sc_ogr_ogre_kingdoms
diplomacy_FactionGroup_Boyar2_Faction_Ropsmenn_Clan_&_OtherFactionSlaanesh	ACTOR	wh3_main_sc_sla_slaanesh
diplomacy_FactionGroup_Boyar2_Faction_Ropsmenn_Clan_&_OtherFactionSlaanesh_&_Negative	ACTOR	wh3_main_sc_sla_slaanesh
diplomacy_FactionGroup_Boyar2_Faction_Ropsmenn_Clan_&_OtherFactionSlaanesh_&_Positive	ACTOR	wh3_main_sc_sla_slaanesh
diplomacy_FactionGroup_Boyar2_Faction_Ropsmenn_Clan_&_OtherFactionTzeentch	ACTOR	wh3_main_sc_tze_tzeentch
diplomacy_FactionGroup_Boyar2_Faction_Ropsmenn_Clan_&_OtherFactionTzeentch_&_Negative	ACTOR	wh3_main_sc_tze_tzeentch
diplomacy_FactionGroup_Boyar2_Faction_Ropsmenn_Clan_&_OtherFactionTzeentch_&_Positive	ACTOR	wh3_main_sc_tze_tzeentch
diplomacy_FactionGroup_Boyar2_Faction_Ungol_Kindred_&_OtherFactionCathay	ACTOR	wh3_main_sc_cth_cathay
diplomacy_FactionGroup_Boyar2_Faction_Ungol_Kindred_&_OtherFactionCathay_&_Negative	ACTOR	wh3_main_sc_cth_cathay
diplomacy_FactionGroup_Boyar2_Faction_Ungol_Kindred_&_OtherFactionCathay_&_Positive	ACTOR	wh3_main_sc_cth_cathay
diplomacy_FactionGroup_Boyar2_Faction_Ungol_Kindred_&_OtherFactionDaemon	ACTOR	wh3_main_sc_dae_daemons
diplomacy_FactionGroup_Boyar2_Faction_Ungol_Kindred_&_OtherFactionDaemon_&_Negative	ACTOR	wh3_main_sc_dae_daemons
diplomacy_FactionGroup_Boyar2_Faction_Ungol_Kindred_&_OtherFactionDaemon_&_Positive	ACTOR	wh3_main_sc_dae_daemons
diplomacy_FactionGroup_Boyar2_Faction_Ungol_Kindred_&_OtherFactionKhorne	ACTOR	wh3_main_sc_kho_khorne
diplomacy_FactionGroup_Boyar2_Faction_Ungol_Kindred_&_OtherFactionKhorne_&_Negative	ACTOR	wh3_main_sc_kho_khorne
diplomacy_FactionGroup_Boyar2_Faction_Ungol_Kindred_&_OtherFactionKhorne_&_Positive	ACTOR	wh3_main_sc_kho_khorne
diplomacy_FactionGroup_Boyar2_Faction_Ungol_Kindred_&_OtherFactionKislev	ACTOR	wh3_main_sc_ksl_kislev
diplomacy_FactionGroup_Boyar2_Faction_Ungol_Kindred_&_OtherFactionKislev_&_Negative	ACTOR	wh3_main_sc_ksl_kislev
diplomacy_FactionGroup_Boyar2_Faction_Ungol_Kindred_&_OtherFactionKislev_&_Positive	ACTOR	wh3_main_sc_ksl_kislev
diplomacy_FactionGroup_Boyar2_Faction_Ungol_Kindred_&_OtherFactionNurgle	ACTOR	wh3_main_sc_nur_nurgle
diplomacy_FactionGroup_Boyar2_Faction_Ungol_Kindred_&_OtherFactionNurgle_&_Negative	ACTOR	wh3_main_sc_nur_nurgle
diplomacy_FactionGroup_Boyar2_Faction_Ungol_Kindred_&_OtherFactionNurgle_&_Positive	ACTOR	wh3_main_sc_nur_nurgle
diplomacy_FactionGroup_Boyar2_Faction_Ungol_Kindred_&_OtherFactionOgre	ACTOR	wh3_main_sc_ogr_ogre_kingdoms
diplomacy_FactionGroup_Boyar2_Faction_Ungol_Kindred_&_OtherFactionOgre_&_Negative	ACTOR	wh3_main_sc_ogr_ogre_kingdoms
diplomacy_FactionGroup_Boyar2_Faction_Ungol_Kindred_&_OtherFactionOgre_&_Positive	ACTOR	wh3_main_sc_ogr_ogre_kingdoms
diplomacy_FactionGroup_Boyar2_Faction_Ungol_Kindred_&_OtherFactionSlaanesh	ACTOR	wh3_main_sc_sla_slaanesh
diplomacy_FactionGroup_Boyar2_Faction_Ungol_Kindred_&_OtherFactionSlaanesh_&_Negative	ACTOR	wh3_main_sc_sla_slaanesh
diplomacy_FactionGroup_Boyar2_Faction_Ungol_Kindred_&_OtherFactionSlaanesh_&_Positive	ACTOR	wh3_main_sc_sla_slaanesh
diplomacy_FactionGroup_Boyar2_Faction_Ungol_Kindred_&_OtherFactionTzeentch	ACTOR	wh3_main_sc_tze_tzeentch
diplomacy_FactionGroup_Boyar2_Faction_Ungol_Kindred_&_OtherFactionTzeentch_&_Negative	ACTOR	wh3_main_sc_tze_tzeentch
diplomacy_FactionGroup_Boyar2_Faction_Ungol_Kindred_&_OtherFactionTzeentch_&_Positive	ACTOR	wh3_main_sc_tze_tzeentch
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionBeastmen	ACTOR	wh_dlc03_sc_bst_beastmen
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionBeastmen_&_Negative	ACTOR	wh_dlc03_sc_bst_beastmen
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionBeastmen_&_Positive	ACTOR	wh_dlc03_sc_bst_beastmen
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionBretonnia	ACTOR	wh_main_sc_brt_bretonnia
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionBretonnia_&_Negative	ACTOR	wh_main_sc_brt_bretonnia
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionBretonnia_&_Positive	ACTOR	wh_main_sc_brt_bretonnia
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionChaos	ACTOR	wh_main_sc_chs_chaos
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionChaos_&_Negative	ACTOR	wh_main_sc_chs_chaos
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionChaos_&_Positive	ACTOR	wh_main_sc_chs_chaos
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionDarkElves	ACTOR	wh2_main_sc_def_dark_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionDarkElves_&_Negative	ACTOR	wh2_main_sc_def_dark_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionDarkElves_&_Positive	ACTOR	wh2_main_sc_def_dark_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionDwarf	ACTOR	wh_main_sc_dwf_dwarfs
