bonus_value_id	effect	special_ability_group
recharge_rate_percentage_mod	wh2_dlc12_effect_magic_cooldown_all_lores	wh_main_lore_lil_waaagh
recharge_rate_percentage_mod	wh2_dlc12_effect_magic_cooldown_all_lores	wh_main_lore_metal
recharge_rate_percentage_mod	wh2_dlc12_effect_magic_cooldown_all_lores	wh_main_lore_vampires
recharge_rate_percentage_mod	wh2_dlc12_effect_magic_cooldown_all_lores	wh_pro03_lore_kemmler
cost_percentage_mod	wh2_dlc14_effect_magic_cost_all_lores_percentage	wh2_dlc09_lore_nehekhara
cost_percentage_mod	wh2_dlc14_effect_magic_cost_all_lores_percentage	wh2_dlc11_lore_deep
cost_percentage_mod	wh2_dlc14_effect_magic_cost_all_lores_percentage	wh2_dlc12_lore_lord_kroak
cost_percentage_mod	wh2_dlc14_effect_magic_cost_all_lores_percentage	wh2_dlc14_lore_stealth
cost_percentage_mod	wh2_dlc14_effect_magic_cost_all_lores_percentage	wh2_dlc17_lore_rune
cost_percentage_mod	wh2_dlc14_effect_magic_cost_all_lores_percentage	wh2_main_lore_dark_magic
cost_percentage_mod	wh2_dlc14_effect_magic_cost_all_lores_percentage	wh2_main_lore_high_magic
cost_percentage_mod	wh2_dlc14_effect_magic_cost_all_lores_percentage	wh2_main_lore_plague
cost_percentage_mod	wh2_dlc14_effect_magic_cost_all_lores_percentage	wh2_main_lore_ruin
cost_percentage_mod	wh2_dlc14_effect_magic_cost_all_lores_percentage	wh3_main_lore_nurgle
cost_percentage_mod	wh2_dlc14_effect_magic_cost_all_lores_percentage	wh3_main_lore_of_great_maw
cost_percentage_mod	wh2_dlc14_effect_magic_cost_all_lores_percentage	wh3_main_lore_of_ice
cost_percentage_mod	wh2_dlc14_effect_magic_cost_all_lores_percentage	wh3_main_lore_of_tempest
cost_percentage_mod	wh2_dlc14_effect_magic_cost_all_lores_percentage	wh3_main_lore_of_yang
cost_percentage_mod	wh2_dlc14_effect_magic_cost_all_lores_percentage	wh3_main_lore_of_yin
cost_percentage_mod	wh2_dlc14_effect_magic_cost_all_lores_percentage	wh3_main_lore_slaanesh
cost_percentage_mod	wh2_dlc14_effect_magic_cost_all_lores_percentage	wh3_main_lore_tzeentch
cost_percentage_mod	wh2_dlc14_effect_magic_cost_all_lores_percentage	wh_dlc03_lore_beasts
cost_percentage_mod	wh2_dlc14_effect_magic_cost_all_lores_percentage	wh_dlc03_lore_wild
cost_percentage_mod	wh2_dlc14_effect_magic_cost_all_lores_percentage	wh_dlc05_lore_life
cost_percentage_mod	wh2_dlc14_effect_magic_cost_all_lores_percentage	wh_dlc05_lore_shadows
cost_percentage_mod	wh2_dlc14_effect_magic_cost_all_lores_percentage	wh_main_lore_big_waaagh
cost_percentage_mod	wh2_dlc14_effect_magic_cost_all_lores_percentage	wh_main_lore_death
cost_percentage_mod	wh2_dlc14_effect_magic_cost_all_lores_percentage	wh_main_lore_fire
cost_percentage_mod	wh2_dlc14_effect_magic_cost_all_lores_percentage	wh_main_lore_heavens
cost_percentage_mod	wh2_dlc14_effect_magic_cost_all_lores_percentage	wh_main_lore_light
cost_percentage_mod	wh2_dlc14_effect_magic_cost_all_lores_percentage	wh_main_lore_lil_waaagh
cost_percentage_mod	wh2_dlc14_effect_magic_cost_all_lores_percentage	wh_main_lore_metal
cost_percentage_mod	wh2_dlc14_effect_magic_cost_all_lores_percentage	wh_main_lore_vampires
cost_percentage_mod	wh2_dlc14_effect_magic_cost_all_lores_percentage	wh_pro03_lore_kemmler
cost_percentage_mod	wh3_dlc20_effect_ability_wom_cost_pct_nurgle_spells	wh3_main_lore_nurgle
recharge_rate_percentage_mod	wh3_main_effect_ability_cooldown_lore_of_beasts	wh_dlc03_lore_beasts
recharge_rate_percentage_mod	wh3_main_effect_ability_cooldown_lore_of_fire	wh_main_lore_fire
recharge_rate_percentage_mod	wh3_main_effect_ability_cooldown_lore_of_heavens	wh_main_lore_heavens
recharge_rate_percentage_mod	wh3_main_effect_ability_cooldown_lore_of_light	wh_main_lore_light
recharge_rate_percentage_mod	wh3_main_effect_ability_cooldown_lore_of_shadows	wh_dlc05_lore_shadows
cost_percentage_mod	wh3_main_effect_ability_wom_cost_pct_death_spells	wh_main_lore_death
cost_percentage_mod	wh3_main_effect_ability_wom_cost_pct_fire_spells	wh_main_lore_fire
cost_percentage_mod	wh3_main_effect_ability_wom_cost_pct_heavens_spells	wh_main_lore_heavens
cost_percentage_mod	wh3_main_effect_ability_wom_cost_pct_light_spells	wh_main_lore_light
cost_percentage_mod	wh3_main_effect_ability_wom_cost_pct_shadows_spells	wh_dlc05_lore_shadows
cost_percentage_mod	wh3_main_effect_ability_wom_cost_pct_tzeentch_spells	wh3_main_lore_tzeentch
