faction	campaign	hint_profile_group_key
wh3_main_kho_bloody_sword	wh3_main_chaos	wh3_region_hint_profile_group_Khorne
wh3_main_kho_brazen_throne	wh3_main_chaos	wh3_region_hint_profile_group_Khorne
wh3_main_kho_crimson_skull	wh3_main_chaos	wh3_region_hint_profile_group_Khorne
wh3_main_kho_exiles_of_khorne	wh3_main_chaos	wh3_region_hint_profile_group_Khorne
wh3_main_kho_karneths_sons	wh3_main_chaos	wh3_region_hint_profile_group_Khorne
wh3_main_ksl_brotherhood_of_the_bear	wh3_main_chaos	wh3_region_hint_profile_group_Kislev
wh3_main_ksl_druzhina_enclave	wh3_main_chaos	wh3_region_hint_profile_group_Kislev
wh3_main_ksl_ropsmenn_clan	wh3_main_chaos	wh3_region_hint_profile_group_Kislev
wh3_main_ksl_the_great_orthodoxy	wh3_main_chaos	wh3_region_hint_profile_group_Kislev
wh3_main_ksl_the_ice_court	wh3_main_chaos	wh3_region_hint_profile_group_Kislev
wh3_main_ksl_ungol_kindred	wh3_main_chaos	wh3_region_hint_profile_group_Kislev
wh3_main_ksl_ursun_revivalists	wh3_main_chaos	wh3_region_hint_profile_group_Kislev
wh3_main_nur_bubonic_swarm	wh3_main_chaos	wh3_region_hint_profile_group_Nurgle
wh3_main_nur_maggoth_kin	wh3_main_chaos	wh3_region_hint_profile_group_Nurgle
wh3_main_nur_poxmakers_of_nurgle	wh3_main_chaos	wh3_region_hint_profile_group_Nurgle
wh3_main_nur_septic_claw	wh3_main_chaos	wh3_region_hint_profile_group_Nurgle
wh3_main_ogr_blood_guzzlers	wh3_main_chaos	wh3_region_hint_profile_group_Ogre
wh3_main_ogr_bloodmaw	wh3_main_chaos	wh3_region_hint_profile_group_Ogre
wh3_main_ogr_crossed_clubs	wh3_main_chaos	wh3_region_hint_profile_group_Ogre
wh3_main_ogr_eyebiter	wh3_main_chaos	wh3_region_hint_profile_group_Ogre
wh3_main_ogr_feastmaster	wh3_main_chaos	wh3_region_hint_profile_group_Ogre
wh3_main_ogr_fleshgreeders	wh3_main_chaos	wh3_region_hint_profile_group_Ogre
wh3_main_ogr_fulg	wh3_main_chaos	wh3_region_hint_profile_group_Ogre
wh3_main_ogr_goldtooth	wh3_main_chaos	wh3_region_hint_profile_group_Ogre
wh3_main_ogr_lazarghs	wh3_main_chaos	wh3_region_hint_profile_group_Ogre
wh3_main_ogr_loose_tooth	wh3_main_chaos	wh3_region_hint_profile_group_Ogre
wh3_main_ogr_mountaineaters	wh3_main_chaos	wh3_region_hint_profile_group_Ogre
wh3_main_ogr_rock_skulls	wh3_main_chaos	wh3_region_hint_profile_group_Ogre
wh3_main_ogr_sabreskin	wh3_main_chaos	wh3_region_hint_profile_group_Ogre
wh3_main_ogr_sons_of_the_mountain	wh3_main_chaos	wh3_region_hint_profile_group_Ogre
wh3_main_ogr_thunderguts	wh3_main_chaos	wh3_region_hint_profile_group_Ogre
wh3_main_ogr_treehammers	wh3_main_chaos	wh3_region_hint_profile_group_Ogre
wh3_main_rogue_kurgan_warband	wh3_main_chaos	wh3_region_hint_profile_group_Chaos_vs_Cathay
wh3_main_sla_exquisite_pain	wh3_main_chaos	wh3_region_hint_profile_group_Slaanesh
wh3_main_sla_rapturous_excess	wh3_main_chaos	wh3_region_hint_profile_group_Slaanesh
wh3_main_sla_seducers_of_slaanesh	main_warhammer	wh3_region_hint_theatre_ulthuan
wh3_main_sla_seducers_of_slaanesh	wh3_main_chaos	wh3_region_hint_profile_group_Slaanesh
wh3_main_sla_subtle_torture	wh3_main_chaos	wh3_region_hint_profile_group_Slaanesh
wh3_main_tmb_deserters_of_khatep	main_warhammer	HINT_PROFILE_TMB
wh3_main_tze_all_seeing_eye	wh3_main_chaos	wh3_region_hint_profile_group_Tzeentch
wh3_main_tze_broken_wheel	wh3_main_chaos	wh3_region_hint_profile_group_Tzeentch
wh3_main_tze_flaming_scribes	wh3_main_chaos	wh3_region_hint_profile_group_Tzeentch
wh3_main_tze_oracles_of_tzeentch	wh3_main_chaos	wh3_region_hint_profile_group_Tzeentch
wh3_main_tze_sarthoraels_watchers	wh3_main_chaos	wh3_region_hint_profile_group_Tzeentch
wh_dlc03_bst_beastmen_ally	main_warhammer	HINT_PROFILE_BST_ALLY
wh_dlc03_bst_beastmen_chaos	main_warhammer	HINT_PROFILE_BST_CHAOS
wh_dlc03_bst_beastmen	main_warhammer	HINT_PROFILE_BST
wh_dlc03_bst_jagged_horn	main_warhammer	HINT_PROFILE_COMMON_OAK
wh_dlc03_bst_redhorn	main_warhammer	HINT_PROFILE_COMMON_OAK
wh_main_brt_artois	main_warhammer	HINT_PROFILE_COMMON_OAK
wh_main_brt_bastonne	main_warhammer	HINT_PROFILE_COMMON_OAK
wh_main_brt_bordeleaux	main_warhammer	HINT_PROFILE_COMMON_OAK
wh_main_brt_bretonnia	main_warhammer	HINT_PROFILE_BRT
wh_main_brt_carcassonne	main_warhammer	HINT_PROFILE_COMMON_OAK
wh_main_brt_lyonesse	main_warhammer	HINT_PROFILE_COMMON_OAK
wh_main_brt_parravon	main_warhammer	HINT_PROFILE_COMMON_OAK
wh_main_dwf_karak_izor	main_warhammer	HINT_PROFILE_DWF
wh_main_emp_empire	main_warhammer	HINT_PROFILE_EMP
wh_main_emp_nordland	wh3_main_chaos	wh3_region_hint_profile_group_Norsca
wh_main_grn_crooked_moon	main_warhammer	HINT_PROFILE_DWF
wh_main_grn_red_eye	wh3_main_chaos	wh3_region_hint_profile_group_Greenskin
wh_main_nor_aesling	wh3_main_chaos	wh3_region_hint_profile_group_Norsca
wh_main_nor_baersonling	wh3_main_chaos	wh3_region_hint_profile_group_Norsca
wh_main_nor_bjornling	wh3_main_chaos	wh3_region_hint_profile_group_Norsca
wh_main_nor_graeling	wh3_main_chaos	wh3_region_hint_profile_group_Norsca
wh_main_nor_sarl	wh3_main_chaos	wh3_region_hint_profile_group_Norsca
wh_main_nor_skaeling	wh3_main_chaos	wh3_region_hint_profile_group_Norsca
