event	subcategory	suppress_in_startpos
character_loyalty_not_low_anymore	wh_event_subcategory_character_development	true
character_rank_gained	wh_event_subcategory_character_development	false
character_ready_for_duty	wh_event_subcategory_character_development	false
character_ready_for_duty_starting_general	wh_event_subcategory_character_development	false
character_training_complete	wh_event_subcategory_agent_action	false
character_training_dilemma_available	wh_event_subcategory_agent_action	false
character_trait_gained	wh_event_subcategory_character_traits	true
character_trait_lost	wh_event_subcategory_character_traits	true
character_wounded	wh_event_subcategory_character_deaths	false
conquest_battle	wh_event_subcategory_conquest_battle	false
conquest_blockade_established	wh_event_subcategory_conquest_siege_blockade	false
conquest_blockade_lifted	wh_event_subcategory_conquest_siege_blockade	false
conquest_enemy_raid_settlement	wh_event_subcategory_conquest_enemy_raids	false
conquest_province_contested	wh_event_subcategory_conquest_territorial_disputes	false
conquest_province_secured	wh_event_subcategory_conquest_territorial_disputes	true
conquest_sea_region_contested	wh_event_subcategory_conquest_territorial_disputes	true
conquest_sea_region_controlled	wh_event_subcategory_conquest_territorial_disputes	true
conquest_settlement_capital_captured	wh_event_subcategory_conquest_occupation	false
conquest_settlement_captured	wh_event_subcategory_conquest_occupation	false
conquest_settlement_surrender_warning	wh_event_subcategory_conquest_occupation	false
conquest_siege_established	wh_event_subcategory_conquest_siege_blockade	false
conquest_siege_lifted	wh_event_subcategory_conquest_siege_blockade	false
diplomacy_enemy_discovered	wh_event_subcategory_diplomacy_war_peace	true
diplomacy_faction_destroyed	wh_event_subcategory_diplomacy_war_peace	true
diplomacy_faction_emerges	wh_event_subcategory_diplomacy_state_matters	true
diplomacy_faction_encountered	wh_event_subcategory_diplomacy_state_matters	true
diplomacy_faction_joins_war	wh_event_subcategory_diplomacy_war_peace	true
diplomacy_manipulation_complete_break_alliance	wh_event_subcategory_diplomacy_manipulation	false
diplomacy_manipulation_complete_force_war	wh_event_subcategory_diplomacy_manipulation	false
diplomacy_manipulation_complete_give_war_coordination_military_force_target	wh_event_subcategory_diplomacy_manipulation	false
diplomacy_manipulation_complete_give_war_coordination_region_target	wh_event_subcategory_diplomacy_manipulation	false
diplomacy_manipulation_complete_transfer_settlement	wh_event_subcategory_diplomacy_manipulation	false
diplomacy_region_trade	wh_event_subcategory_conquest_occupation	true
diplomacy_treaty_broken_client_state	wh_event_subcategory_diplomacy_treaty_broken	true
diplomacy_treaty_broken_client_state_manipulated	wh_event_subcategory_diplomacy_treaty_broken_manipulated	true
diplomacy_treaty_broken_defensive_alliance	wh_event_subcategory_diplomacy_treaty_broken	true
diplomacy_treaty_broken_defensive_alliance_manipulated	wh_event_subcategory_diplomacy_treaty_broken_manipulated	true
diplomacy_treaty_broken_military_alliance	wh_event_subcategory_diplomacy_treaty_broken	true
diplomacy_treaty_broken_military_alliance_manipulated	wh_event_subcategory_diplomacy_treaty_broken_manipulated	true
diplomacy_treaty_broken_non_aggression_pact	wh_event_subcategory_diplomacy_treaty_broken	true
diplomacy_treaty_broken_non_aggression_pact_manipulated	wh_event_subcategory_diplomacy_treaty_broken_manipulated	true
diplomacy_treaty_broken_soft_military_access	wh_event_subcategory_diplomacy_treaty_broken	true
diplomacy_treaty_broken_soft_military_access_manipulated	wh_event_subcategory_diplomacy_treaty_broken_manipulated	true
diplomacy_treaty_broken_trade	wh_event_subcategory_diplomacy_treaty_broken	true
diplomacy_treaty_broken_trade_dissolved	wh_event_subcategory_diplomacy_treaty_broken	true
diplomacy_treaty_broken_trade_manipulated	wh_event_subcategory_diplomacy_treaty_broken_manipulated	true
diplomacy_treaty_broken_vassal	wh_event_subcategory_diplomacy_treaty_broken	true
diplomacy_treaty_broken_vassal_manipulated	wh_event_subcategory_diplomacy_treaty_broken_manipulated	true
diplomacy_treaty_negotiated_client_state	wh_event_subcategory_diplomacy_treaty_negotiated	true
diplomacy_treaty_negotiated_defensive_alliance	wh_event_subcategory_diplomacy_treaty_negotiated	true
diplomacy_treaty_negotiated_military_alliance	wh_event_subcategory_diplomacy_treaty_negotiated	true
diplomacy_treaty_negotiated_non_aggression_pact	wh_event_subcategory_diplomacy_treaty_negotiated	true
diplomacy_treaty_negotiated_peace	wh_event_subcategory_diplomacy_war_peace	true
diplomacy_treaty_negotiated_soft_military_access	wh_event_subcategory_diplomacy_treaty_negotiated	true
diplomacy_treaty_negotiated_trade	wh_event_subcategory_diplomacy_treaty_negotiated	true
diplomacy_treaty_negotiated_vassal	wh_event_subcategory_diplomacy_treaty_negotiated	true
diplomacy_trespass_warning_issued	wh_event_subcategory_diplomacy_state_matters	false
diplomacy_trespassing	wh_event_subcategory_diplomacy_state_matters	true
diplomacy_war_coordination_ally_mobilisation_vs_force	wh_event_subcategory_diplomacy_war_coordination	true
diplomacy_war_coordination_ally_mobilisation_vs_region	wh_event_subcategory_diplomacy_war_coordination	true
diplomacy_war_coordination_defensive_target_force_invalidated	wh_event_subcategory_diplomacy_war_coordination	false
diplomacy_war_coordination_defensive_target_force_pursued	wh_event_subcategory_diplomacy_war_coordination	false
diplomacy_war_coordination_defensive_target_force_success	wh_event_subcategory_diplomacy_war_coordination	false
diplomacy_war_coordination_defensive_target_region_invalidated	wh_event_subcategory_diplomacy_war_coordination	false
diplomacy_war_coordination_defensive_target_region_pursued	wh_event_subcategory_diplomacy_war_coordination	false
diplomacy_war_coordination_defensive_target_region_success	wh_event_subcategory_diplomacy_war_coordination	false
diplomacy_war_coordination_target_available	wh_event_subcategory_diplomacy_war_coordination	true
diplomacy_war_coordination_target_force_invalidated	wh_event_subcategory_diplomacy_war_coordination	false
diplomacy_war_coordination_target_force_pursued	wh_event_subcategory_diplomacy_war_coordination	false
diplomacy_war_coordination_target_force_success	wh_event_subcategory_diplomacy_war_coordination	false
diplomacy_war_coordination_target_not_available	wh_event_subcategory_diplomacy_war_coordination	true
diplomacy_war_coordination_target_region_invalidated	wh_event_subcategory_diplomacy_war_coordination	false
diplomacy_war_coordination_target_region_occupation_invalidated	wh_event_subcategory_diplomacy_war_coordination	false
diplomacy_war_coordination_target_region_occupation_pursued	wh_event_subcategory_diplomacy_war_coordination	false
diplomacy_war_coordination_target_region_occupation_success	wh_event_subcategory_diplomacy_war_coordination	false
diplomacy_war_coordination_target_region_pursued	wh_event_subcategory_diplomacy_war_coordination	false
diplomacy_war_coordination_target_region_success	wh_event_subcategory_diplomacy_war_coordination	false
diplomacy_war_declared	wh_event_subcategory_diplomacy_war_peace	true
faction_ancillary_gained	wh_event_subcategory_character_ancillaries	true
faction_ancillary_gained_stolen	wh_event_subcategory_character_ancillaries	true
faction_bankruptcy	wh_event_subcategory_faction_crises	false
faction_campaign_chapter_objective_complete	wh_event_subcategory_faction_missions_objectives	false
faction_campaign_lost	wh_event_subcategory_faction_missions_objectives	false
faction_campaign_victory_objective_complete	wh_event_subcategory_faction_missions_objectives	false
faction_character_tag_added	wh_event_subcategory_character_development	true
faction_character_tag_removed	wh_event_subcategory_character_development	true
faction_civil_war_character	wh_event_subcategory_faction_developments	false
faction_civil_war_ends	wh_event_subcategory_faction_developments	false
faction_civil_war_force	wh_event_subcategory_faction_developments	false
faction_civil_war_province	wh_event_subcategory_faction_developments	false
faction_event_character_incident	wh_event_subcategory_faction_event_dilemma_incident	false
faction_event_dilemma	wh_event_subcategory_faction_event_dilemma_incident	false
faction_event_faction_incident	wh_event_subcategory_faction_event_dilemma_incident	false
faction_event_incident	wh_event_subcategory_faction_event_dilemma_incident	false
faction_event_mission_aborted	wh_event_subcategory_faction_missions_objectives	false
faction_event_mission_failed	wh_event_subcategory_faction_missions_objectives	false
faction_event_mission_issued	wh_event_subcategory_faction_missions_objectives	false
faction_event_mission_success	wh_event_subcategory_faction_missions_objectives	false
faction_event_region_incident	wh_event_subcategory_faction_event_dilemma_incident	false
faction_famine	wh_event_subcategory_faction_crises	true
faction_heir_nominated	wh_event_subcategory_faction_developments	true
faction_horde_begins	wh_event_subcategory_faction_developments	false
faction_horde_ends	wh_event_subcategory_faction_developments	false
faction_ignores_trespass_warning	wh_event_subcategory_diplomacy_state_matters	false
faction_imperium_level_increase	wh_event_subcategory_faction_developments	false
faction_infects_force	wh_event_subcategory_military_army_developments	false
faction_infects_region	wh_event_subcategory_provinces_crises	false
faction_joins_confederation	wh_event_subcategory_diplomacy_treaty_negotiated	true
faction_resource_gained	wh_event_subcategory_faction_developments	false
faction_resource_lost	wh_event_subcategory_faction_developments	false
faction_succession	wh_event_subcategory_faction_developments	false
faction_succession_heir_comes_of_age	wh_event_subcategory_faction_developments	true
faction_succession_regency	wh_event_subcategory_faction_developments	true
faction_technology_researched	wh_event_subcategory_faction_developments	false
foreign_slot_building_constructed	wh_event_subcategory_provinces_buildings	false
foreign_slot_building_demolished	wh_event_subcategory_provinces_buildings	false
foreign_slot_manager_removed_from_region	wh_event_subcategory_provinces_buildings	false
foreign_slot_manager_removed_from_region_by_faction	wh_event_subcategory_provinces_buildings	false
hidden_settlement_exposed	wh_event_subcategory_diplomacy_state_matters	true
horde_building_constructed	wh_event_subcategory_provinces_buildings	false
horde_building_demolished	wh_event_subcategory_provinces_buildings	false
horde_development_points_available	wh_event_subcategory_faction_developments	false
horde_food_shortage	wh_event_subcategory_faction_crises	true
horde_food_shortage_ends	wh_event_subcategory_faction_crises	true
horde_unrest_imminent_disband	wh_event_subcategory_military_army_developments	false
horde_unrest_imminent_rebellion	wh_event_subcategory_faction_crises	false
loaned_army_returned_after_alliance_broke	wh_event_subcategory_diplomacy_war_coordination	false
loaned_army_returned_after_general_died	wh_event_subcategory_diplomacy_war_coordination	false
mercenary_unit_character_level_restriction_lifted	wh_event_subcategory_faction_developments	true
military_ambusher_discovered	wh_event_subcategory_military_ambushes	false
military_ambusher_discovered_yours	wh_event_subcategory_military_ambushes	false
military_army_destroyed	wh_event_subcategory_military_army_developments	false
military_army_disbanded	wh_event_subcategory_military_army_developments	false
military_army_founded	wh_event_subcategory_military_army_developments	false
military_army_raised	wh_event_subcategory_military_army_developments	false
military_army_rank_gained	wh_event_subcategory_military_army_developments	false
military_army_withdraws	wh_event_subcategory_military_army_developments	false
military_attrition	wh_event_subcategory_military_attrition	false
military_companion_army	wh_event_subcategory_military_army_developments	false
military_companion_army_destroyed	wh_event_subcategory_military_army_developments	false
military_companion_army_dispands	wh_event_subcategory_military_army_developments	false
military_companion_army_ours	wh_event_subcategory_military_army_developments	false
military_force_decimation	wh_event_subcategory_faction_developments	false
military_navy_destroyed	wh_event_subcategory_military_army_developments	false
military_navy_disbanded	wh_event_subcategory_military_army_developments	false
military_navy_founded	wh_event_subcategory_military_army_developments	false
military_navy_raised	wh_event_subcategory_military_army_developments	false
military_navy_rank_gained	wh_event_subcategory_military_army_developments	false
military_navy_withdraws	wh_event_subcategory_military_army_developments	false
military_path_blocked	wh_event_subcategory_military_army_developments	false
military_unit_recruited	wh_event_subcategory_military_unit_recruited	false
plague_spreads_force_to_force	wh_event_subcategory_military_army_developments	false
plague_spreads_force_to_region	wh_event_subcategory_provinces_crises	false
plague_spreads_region_to_force	wh_event_subcategory_military_army_developments	false
plague_spreads_region_to_region	wh_event_subcategory_provinces_crises	false
provinces_building_constructed	wh_event_subcategory_provinces_buildings	false
provinces_building_demolished	wh_event_subcategory_provinces_buildings	false
provinces_cannot_abandon_settlement	wh_event_subcategory_provinces_developments	false
provinces_development_points_available	wh_event_subcategory_provinces_developments	false
provinces_edict_cancelled_no_governor	wh_event_subcategory_faction_developments	false
provinces_edict_issued_no_governor	wh_event_subcategory_faction_developments	false
provinces_food_shortage	wh_event_subcategory_provinces_crises	true
provinces_food_shortage_ends	wh_event_subcategory_provinces_crises	true
provinces_governor_slot_available	wh_event_subcategory_provinces_developments	true
provinces_settlement_abandoned	wh_event_subcategory_provinces_developments	false
provinces_settlement_colonised	wh_event_subcategory_conquest_occupation	false
provinces_settlement_establish_foreign_slot	wh_event_subcategory_conquest_occupation	false
provinces_settlement_looted	wh_event_subcategory_conquest_occupation	false
provinces_settlement_razed	wh_event_subcategory_conquest_occupation	false
provinces_settlement_remove_foreign_slot	wh_event_subcategory_provinces_developments	false
provinces_settlement_sacked	wh_event_subcategory_conquest_occupation	false
provinces_settlement_treasure_hunt_failure	wh_event_subcategory_conquest_occupation	false
provinces_settlement_treasure_hunt_success	wh_event_subcategory_conquest_occupation	false
provinces_slums	wh_event_subcategory_provinces_crises	false
provinces_unrest_imminent_rebellion	wh_event_subcategory_provinces_crises	false
provinces_unrest_rebellion	wh_event_subcategory_provinces_crises	false
provinces_unseasonal_conditions	wh_event_subcategory_provinces_developments	false
ritual_cancelled	wh_event_subcategory_faction_rituals	false
ritual_cancelled_ours	wh_event_subcategory_faction_rituals	false
ritual_failed	wh_event_subcategory_faction_rituals	false
ritual_failed_ours	wh_event_subcategory_faction_rituals	false
ritual_started	wh_event_subcategory_faction_rituals	false
ritual_started_ours	wh_event_subcategory_faction_rituals	false
ritual_succeeded	wh_event_subcategory_faction_rituals	false
ritual_succeeded_ours	wh_event_subcategory_faction_rituals	false
scripted_persistent_event	wh_event_subcategory_faction_event_dilemma_incident	false
scripted_persistent_located_event	wh_event_subcategory_faction_event_dilemma_incident	false
scripted_transient_event	wh_event_subcategory_faction_event_dilemma_incident	false
scripted_transient_located_event	wh_event_subcategory_faction_event_dilemma_incident	false
spawnable_force_spawned	wh_event_subcategory_military_army_developments	false
spawnable_force_spawned_from_parent	wh_event_subcategory_military_army_developments	false
spawnable_force_spawned_from_parent_to_foreign_territory	wh_event_subcategory_military_army_developments	false
spawnable_force_spawned_to_foreign_territory	wh_event_subcategory_military_army_developments	false
unique_agent_despawned	wh_event_subcategory_character_deaths	true
unique_agent_spawned	wh_event_subcategory_agent_recruited	true
win_streak_lost	wh_event_subcategory_military_army_developments	false
wom_compass_manipulation_available	wh_event_subcategory_faction_developments	false
world_climate_change	wh_event_subcategory_faction_developments	false
world_winds_of_magic_change	wh_event_subcategory_world_climate	true
