invalid_target	special_ability
climbing_manning_eq_on_platform	wh2_dlc16_item_abilities_dreaming_cloak_ii
climbing_manning_eq_on_platform	wh2_dlc16_item_abilities_dreaming_cloak_iii
hasnt_casting_ability	wh2_dlc16_item_passive_fang_of_taalroth
climbing_manning_eq_on_platform	wh2_dlc16_lord_abilities_beast_pack
unit_is_moulder_monster	wh2_dlc16_lord_abilities_remouldered
climbing_manning_eq_on_platform	wh2_dlc16_lord_abilities_roused_to_wrath_2
climbing_manning_eq_on_platform	wh2_dlc16_lord_abilities_roused_to_wrath_3
climbing_manning_eq_on_platform	wh2_dlc16_lord_abilities_roused_to_wrath
hp_replenish_cap_reached	wh2_dlc16_spell_bound_earth_blood
hp_replenish_cap_reached	wh2_dlc16_spell_bound_regrowth
climbing_manning_eq_on_platform	wh2_dlc16_spell_bound_vampires_lesser_raise_dead
hp_replenish_cap_reached	wh2_dlc16_unit_abilities_neuroparasites
on_a_platform	wh2_dlc16_unit_abilities_neuroparasites
flying_currently	wh2_dlc17_army_abilities_soteks_sanctum
unit_is_commander_class	wh2_dlc17_army_abilities_touched_by_the_moon
flying_currently	wh2_dlc17_army_abilities_viletide
on_a_platform	wh2_dlc17_army_abilities_zhufbar_42_pounders_engineer
unit_is_not_commander_class	wh2_dlc17_character_abilities_hunter_of_champions_upgraded
other_abilities_none_on_wind_up	wh2_dlc17_lord_passive_greater_locus_of_power
morale_is_higher_than_wavering	wh2_dlc17_lord_passive_shattering_aura
on_a_platform	wh2_dlc17_spell_bound_lesser_chain_lightning
climbing_manning_eq_on_platform	wh2_dlc17_spell_bound_savage_dominion
morale_is_higher_than_half_of_base_morale	wh2_dlc17_unit_passive_aura_of_madness
flying_currently	wh2_dlc17_unit_passive_master_of_the_sacred_places
hasnt_casting_ability	wh2_main_army_abilities_channeling_spire
climbing_manning_eq_on_platform	wh2_main_army_abilities_eagle_sanctuary
on_a_platform	wh2_main_army_abilities_eshin_clanstone
climbing_manning_eq_on_platform	wh2_main_army_abilities_feral_cold_ones
climbing_manning_eq_on_platform	wh2_main_army_abilities_geomantic_nexus
on_a_platform	wh2_main_army_abilities_holy_stela
on_a_platform	wh2_main_army_abilities_mors_clanstone
on_a_platform	wh2_main_army_abilities_moulder_clanstone
unit_is_not_skaven	wh2_main_army_abilities_moulder_clanstone
on_a_platform	wh2_main_army_abilities_pestilens_clanstone
on_a_platform	wh2_main_army_abilities_shadows_of_anlec
on_a_platform	wh2_main_army_abilities_temple_of_mists
climbing_manning_eq_on_platform	wh2_main_army_abilities_the_menace_below
health_above_50%	wh2_main_army_abilities_warpbomb
unit_is_commander_class	wh2_main_army_abilities_warpbomb
unit_is_not_commander_class	wh2_main_character_abilities_assassins_trophy
unit_is_not_a_lizard_unit	wh2_main_character_abilities_cold_blooded
ground_unit	wh2_main_item_abilities_warpstorm_scroll
flying_currently	wh2_main_item_bound_gilded_horn_of_galon_konook
on_a_platform	wh2_main_item_bound_gilded_horn_of_galon_konook
unit_is_not_commander_class	wh2_main_item_passive_ring_of_hotek
hasnt_casting_ability	wh2_main_item_passive_supreme_spellshield
on_a_platform	wh2_main_lord_abilities_gaze_of_malice
flying_currently	wh2_main_lord_abilities_the_ruination_of_cities
on_a_platform	wh2_main_lord_abilities_the_ruination_of_cities
unit_is_not_commander_class	wh2_main_lord_abilities_trophy_heads
unit_is_not_skaven	wh2_main_mount_abilities_unholy_clamour
on_a_platform	wh2_main_mount_bound_pestilent_breath
on_a_platform	wh2_main_mount_bound_scorch
unit_is_not_skaven	wh2_main_mount_passive_wall_of_unholy_sound
climbing	wh2_main_spell_bound_khaines_ring_of_fury
on_a_platform	wh2_main_spell_bound_khaines_ring_of_fury
unit_is_not_large	wh2_main_spell_bound_whip_of_agony
climbing	wh2_main_spell_dark_magic_bladewind_upgraded
on_a_platform	wh2_main_spell_dark_magic_bladewind_upgraded
climbing	wh2_main_spell_dark_magic_bladewind
on_a_platform	wh2_main_spell_dark_magic_bladewind
climbing	wh2_main_spell_dark_magic_chillwind_upgraded
on_a_platform	wh2_main_spell_dark_magic_chillwind_upgraded
climbing	wh2_main_spell_dark_magic_chillwind
on_a_platform	wh2_main_spell_dark_magic_chillwind
climbing_manning_eq_on_platform	wh2_main_spell_grey_seer_the_dreaded_thirteenth_spell
climbing	wh2_main_spell_high_magic_fiery_convocation_upgraded
on_a_platform	wh2_main_spell_high_magic_fiery_convocation_upgraded
climbing	wh2_main_spell_high_magic_fiery_convocation
on_a_platform	wh2_main_spell_high_magic_fiery_convocation
ground_unit	wh2_main_spell_high_magic_tempest_upgraded
ground_unit	wh2_main_spell_high_magic_tempest
climbing_manning_eq_on_platform	wh2_main_spell_plague_pestilent_birth
on_a_platform	wh2_main_spell_plague_pestilent_breath_upgraded
on_a_platform	wh2_main_spell_plague_pestilent_breath
climbing_manning_eq_on_platform	wh2_main_spell_plague_vermintide
flying_currently	wh2_main_spell_ruin_cracks_call_upgraded
on_a_platform	wh2_main_spell_ruin_cracks_call_upgraded
flying_currently	wh2_main_spell_ruin_cracks_call
on_a_platform	wh2_main_spell_ruin_cracks_call
ground_unit	wh2_main_spell_ruin_howling_warpgale_upgraded
ground_unit	wh2_main_spell_ruin_howling_warpgale
on_a_platform	wh2_main_spell_ruin_scorch_upgraded
on_a_platform	wh2_main_spell_ruin_scorch
climbing_manning_eq_on_platform	wh2_main_unit_passive_the_rats_emerge
on_a_platform	wh2_main_weapon_abilities_sunfang
unit_is_not_commander_class	wh2_pro08_character_abilities_helping_hand
unit_is_not_commander_class	wh2_pro08_character_passive_blood_oath
unit_is_not_large	wh2_twa03_lord_passive_beastlords_presence
morale_is_higher_than_half_of_base_morale	wh3_demo_survival_khorne_blood
out_of_melee	wh3_demo_survival_khorne_torment
flying_currently	wh3_dlc20_cataclysm_bound_storm_of_renewal
hp_replenish_cap_reached	wh3_dlc20_cataclysm_bound_storm_of_renewal
on_a_platform	wh3_dlc20_spell_bound_flame_storm
flying_currently	wh3_dlc20_spell_bound_gehennas_golden_hounds
on_a_platform	wh3_dlc20_spell_bound_gehennas_golden_hounds
on_a_platform	wh3_dlc20_spell_bound_infernal_gateway
flying_currently	wh3_dlc20_spell_bound_pink_fire_of_tzeentch
on_a_platform	wh3_dlc20_spell_bound_pink_fire_of_tzeentch
flying_currently	wh3_dlc20_spell_bound_stream_of_corruption
on_a_platform	wh3_dlc20_spell_bound_stream_of_corruption
flying_currently	wh3_dlc20_spell_bound_the_penumbral_pendulum
on_a_platform	wh3_dlc20_spell_bound_the_penumbral_pendulum
climbing_manning_eq_on_platform	wh3_dlc20_unit_passive_gift_of_chaos
unit_is_not_commander_class	wh3_dlc20_unit_passive_supreme_vanity
flying_currently	wh3_dlc20_weapon_abilities_the_spear_slaupnir
on_a_platform	wh3_dlc20_weapon_abilities_the_spear_slaupnir
hasnt_casting_ability	wh3_main_army_abilities_arcane_surge
flying_currently	wh3_main_army_abilities_blade_of_khorne
climbing_manning_eq_on_platform	wh3_main_army_abilities_summoned_from_beyond_khorne
climbing_manning_eq_on_platform	wh3_main_army_abilities_summoned_from_beyond_nurgle
climbing_manning_eq_on_platform	wh3_main_army_abilities_summoned_from_beyond_slaanesh
climbing_manning_eq_on_platform	wh3_main_army_abilities_summoned_from_beyond_tzeentch
climbing_manning_eq_on_platform	wh3_main_army_abilities_the_land_awakened
health_above_20%	wh3_main_banner_abilities_banner_of_change
unit_is_commander_class	wh3_main_banner_abilities_banner_of_change
hasnt_casting_ability	wh3_main_banner_passive_great_standard_of_sundering
not_docked	wh3_main_barricade_platform
flying_currently	wh3_main_barricade_trap
flying_currently	wh3_main_cataclysm_life_storm_of_renewal
hp_replenish_cap_reached	wh3_main_cataclysm_life_storm_of_renewal
climbing_manning_eq_on_platform	wh3_main_character_abilities_gate_of_khorne
climbing_manning_eq_on_platform	wh3_main_character_abilities_gate_of_slaanesh
climbing_manning_eq_on_platform	wh3_main_character_abilities_gate_of_tzeentch
climbing_manning_eq_on_platform	wh3_main_character_abilities_guardian_call_ii
climbing_manning_eq_on_platform	wh3_main_character_abilities_guardian_call_iii
climbing_manning_eq_on_platform	wh3_main_character_abilities_guardian_call
health_above_25%	wh3_main_character_passive_the_courage_of_sacrifice
unit_is_not_commander_class	wh3_main_daemon_arms_passive_for_the_slaughter_upgraded
unit_is_not_commander_class	wh3_main_daemon_arms_passive_for_the_slaughter
hasnt_casting_ability	wh3_main_daemon_head_abilities_word_of_change
on_a_platform	wh3_main_item_abilities_bloodstone
on_a_platform	wh3_main_item_abilities_deaths_head
flying_currently	wh3_main_item_abilities_kovsh_breath
on_a_platform	wh3_main_item_abilities_kovsh_breath
on_a_platform	wh3_main_item_abilities_the_portalglyph
hasnt_casting_ability	wh3_main_item_abilities_void_pendulum
unit_is_not_gorger	wh3_main_item_passive_cauldron_of_the_great_maw_ii
unit_is_not_gorger	wh3_main_item_passive_cauldron_of_the_great_maw_i
hasnt_casting_ability	wh3_main_item_passive_icon_of_sorcery
grounded	wh3_main_item_passive_kite_of_the_uttermost_airs
climbing_manning_eq_on_platform	wh3_main_lord_abilities_gorger_onslaught
cannot_perform_missile_attack	wh3_main_lord_abilities_inspired_marksmanship_i
cannot_perform_missile_attack	wh3_main_lord_abilities_inspired_marksmanship_ii
cannot_perform_missile_attack	wh3_main_lord_abilities_inspired_marksmanship_iii
unit_is_not_commander_class	wh3_main_lord_passive_aura_of_majesty
unit_is_commander_class	wh3_main_lord_passive_disdain_of_the_dragons
unit_is_not_nurgling	wh3_main_lord_passive_nurgling_infestation
morale_is_higher_than_wavering	wh3_main_lord_passive_soul_siphon
morale_is_lower_than_half_of_base_morale	wh3_main_lord_passive_whisper_of_glory
other_abilities_none_on_wind_up	wh3_main_lord_passive_wrath_of_khorne
health_below_25%	wh3_main_siege_defender
unit_is_out_fort	wh3_main_siege_defender
on_a_platform	wh3_main_spell_bound_pestilent_breath
flying_currently	wh3_main_spell_great_maw_bonecrusher_upgraded
on_a_platform	wh3_main_spell_great_maw_bonecrusher_upgraded
flying_currently	wh3_main_spell_great_maw_bonecrusher
on_a_platform	wh3_main_spell_great_maw_bonecrusher
flying_currently	wh3_main_spell_great_maw_the_maw_upgraded
on_a_platform	wh3_main_spell_great_maw_the_maw_upgraded
flying_currently	wh3_main_spell_great_maw_the_maw
on_a_platform	wh3_main_spell_great_maw_the_maw
flying_currently	wh3_main_spell_ice_ice_maidens_kiss_upgraded
on_a_platform	wh3_main_spell_ice_ice_maidens_kiss_upgraded
flying_currently	wh3_main_spell_ice_ice_maidens_kiss
on_a_platform	wh3_main_spell_ice_ice_maidens_kiss
flying_currently	wh3_main_spell_ice_ice_sheet
on_a_platform	wh3_main_spell_nurgle_pestilent_pustule_bound
on_a_platform	wh3_main_spell_nurgle_pestilent_pustule_upgraded
on_a_platform	wh3_main_spell_nurgle_pestilent_pustule
flying_currently	wh3_main_spell_nurgle_stream_of_corruption_bound
on_a_platform	wh3_main_spell_nurgle_stream_of_corruption_bound
flying_currently	wh3_main_spell_nurgle_stream_of_corruption_upgraded
on_a_platform	wh3_main_spell_nurgle_stream_of_corruption_upgraded
flying_currently	wh3_main_spell_nurgle_stream_of_corruption
on_a_platform	wh3_main_spell_nurgle_stream_of_corruption
on_a_platform	wh3_main_spell_tempest_biting_wind_upgraded
on_a_platform	wh3_main_spell_tempest_biting_wind
on_a_platform	wh3_main_spell_tempest_blizzard_upgraded
on_a_platform	wh3_main_spell_tempest_blizzard
cannot_perform_missile_attack	wh3_main_spell_tempest_gust_of_true_flight_upgraded
cannot_perform_missile_attack	wh3_main_spell_tempest_gust_of_true_flight
on_a_platform	wh3_main_spell_tempest_hawks_of_miska_upgraded
on_a_platform	wh3_main_spell_tempest_hawks_of_miska
hasnt_casting_ability	wh3_main_spell_tzeentch_glean_magic_bound
hasnt_casting_ability	wh3_main_spell_tzeentch_glean_magic_upgraded
hasnt_casting_ability	wh3_main_spell_tzeentch_glean_magic
on_a_platform	wh3_main_spell_tzeentch_infernal_gateway_bound
on_a_platform	wh3_main_spell_tzeentch_infernal_gateway_upgraded
on_a_platform	wh3_main_spell_tzeentch_infernal_gateway
flying_currently	wh3_main_spell_tzeentch_pink_fire_of_tzeentch_bound
on_a_platform	wh3_main_spell_tzeentch_pink_fire_of_tzeentch_bound
flying_currently	wh3_main_spell_tzeentch_pink_fire_of_tzeentch_upgraded
on_a_platform	wh3_main_spell_tzeentch_pink_fire_of_tzeentch_upgraded
flying_currently	wh3_main_spell_tzeentch_pink_fire_of_tzeentch
on_a_platform	wh3_main_spell_tzeentch_pink_fire_of_tzeentch
on_a_platform	wh3_main_spell_tzeentch_tzeentchs_firestorm_bound
on_a_platform	wh3_main_spell_tzeentch_tzeentchs_firestorm_upgraded
on_a_platform	wh3_main_spell_tzeentch_tzeentchs_firestorm
on_a_platform	wh3_main_spell_yang_constellation_of_the_dragon_upgraded
on_a_platform	wh3_main_spell_yang_constellation_of_the_dragon
on_a_platform	wh3_main_spell_yang_dragons_breath_upgraded
on_a_platform	wh3_main_spell_yang_dragons_breath
on_a_platform	wh3_main_spell_yang_wall_of_wind_and_fire_upgraded
on_a_platform	wh3_main_spell_yang_wall_of_wind_and_fire
on_a_platform	wh3_main_spell_yin_blossom_wind_upgraded
on_a_platform	wh3_main_spell_yin_blossom_wind
is_not_missile_unit	wh3_main_spell_yin_missile_mirror_upgraded
is_not_missile_unit	wh3_main_spell_yin_missile_mirror
flying_currently	wh3_main_unit_abilities_gnoblar_traps
flying_currently	wh3_main_weapon_abilities_frost_fang
not_climbing_manning_eq_on_platform	wh3_main_weapon_abilities_siegebreaker
health_above_20%	wh3_main_weapon_passive_staff_of_change
unit_is_commander_class	wh3_main_weapon_passive_staff_of_change
hasnt_casting_ability	wh3_supplies_replenishment_ability_recharge_01
is_not_missile_unit	wh3_supplies_replenishment_ammunition_01
morale_is_higher_than_half_of_base_morale	wh3_supplies_replenishment_encourage_01
unit_is_fearless	wh3_supplies_replenishment_encourage_01
hp_replenish_cap_reached	wh3_supplies_replenishment_full_restore_01
hp_replenish_cap_reached	wh3_supplies_replenishment_regen_01
living_unit	wh3_supplies_replenishment_regen_magical_01
hasnt_casting_ability	wh3_supplies_replenishment_winds_of_magic_01
is_not_missile_unit	wh3_supplies_upgrade_missiles_01
is_not_missile_unit	wh3_supplies_upgrade_missiles_02
is_not_missile_unit	wh3_supplies_upgrade_missiles_03
unit_is_not_shielded	wh3_supplies_upgrade_shields_01
unit_is_not_shielded	wh3_supplies_upgrade_shields_02
unit_is_not_shielded	wh3_supplies_upgrade_shields_03
health_above_50%	wh3_survival_forge_2_soul_of_the_forge
out_of_melee	wh3_survival_forge_2_soul_of_the_forge
morale_is_higher_than_half_of_base_morale	wh3_survival_khorne_2_icon_of_blood
out_of_melee	wh3_survival_khorne_3_icon_of_torment
unit_in_forest	wh3_survival_nurgle_2_seeping_tree
unit_is_not_in_forest	wh3_survival_nurgle_3_stinging_tree
out_of_melee	wh3_survival_slaanesh_3_scent_of_indolency
flying_currently	wh3_survival_tzeentch_2_deviating_crystal
out_of_melee	wh3_survival_tzeentch_2_deviating_crystal
hasnt_casting_ability	wh3_survival_tzeentch_3_everclimbing_crystal
other_abilities_none_on_wind_up	wh3_survival_tzeentch_3_everclimbing_crystal
unit_is_not_commander_class	wh3_survival_tzeentch_3_everclimbing_crystal
health_above_50%	wh3_twa07_unit_passive_miasma_of_rot
unit_is_not_commander_class	wh3_twa07_unit_passive_obsessive_adoration
climbing_manning_eq_on_platform	wh_dlc01_weapon_abilities_sword_of_change
morale_is_higher_than_half_of_base_morale	wh_dlc03_lord_passive_crush_the_weak
climbing_manning_eq_on_platform	wh_dlc03_spell_beasts_transformation_of_kadon
flying_currently	wh_dlc03_spell_bound_viletide
on_a_platform	wh_dlc03_spell_wild_bray_scream_upgraded
on_a_platform	wh_dlc03_spell_wild_bray_scream
climbing_manning_eq_on_platform	wh_dlc03_spell_wild_savage_dominion
flying_currently	wh_dlc03_spell_wild_viletide_upgraded
flying_currently	wh_dlc03_spell_wild_viletide
climbing_manning_eq_on_platform	wh_dlc04_quest_abilities_servant_of_nagash
health_above_20%	wh_dlc04_quest_abilities_servant_of_nagash
on_a_platform	wh_dlc04_spell_bound_banishment_innate
on_a_platform	wh_dlc04_spell_bound_banishment
hp_replenish_cap_reached	wh_dlc04_spell_vampires_invocation_of_nehek_helman
living_unit	wh_dlc04_spell_vampires_invocation_of_nehek_helman
on_a_platform	wh_dlc04_spell_vampires_invocation_of_nehek_helman
hp_replenish_cap_reached	wh_dlc04_spell_vampires_invocation_of_nehek_strigoi
living_unit	wh_dlc04_spell_vampires_invocation_of_nehek_strigoi
on_a_platform	wh_dlc04_spell_vampires_invocation_of_nehek_strigoi
climbing_manning_eq_on_platform	wh_dlc04_spell_vampires_raise_dead_helman
climbing_manning_eq_on_platform	wh_dlc04_spell_vampires_raise_dead_strigoi
climbing_manning_eq_on_platform	wh_dlc04_spell_vampires_raise_dead_upgraded_helman
climbing_manning_eq_on_platform	wh_dlc04_spell_vampires_raise_dead_upgraded_strigoi
flying_currently	wh_dlc04_spell_vampires_wind_of_death_helman
on_a_platform	wh_dlc04_spell_vampires_wind_of_death_helman
living_unit	wh_dlc04_unit_passive_the_reliquary_binding
living_unit	wh_dlc04_unit_passive_unholy_lodestone
climbing_manning_eq_on_platform	wh_dlc05_lord_abilities_spirit_essence_of_chaos
health_above_20%	wh_dlc05_lord_abilities_spirit_essence_of_chaos
unit_is_commander_class	wh_dlc05_lord_abilities_spirit_essence_of_chaos
climbing_manning_eq_on_platform	wh_dlc05_lord_abilities_spirit_essence_of_eternal_chaos
health_above_20%	wh_dlc05_lord_abilities_spirit_essence_of_eternal_chaos
unit_is_commander_class	wh_dlc05_lord_abilities_spirit_essence_of_eternal_chaos
flying_currently	wh_dlc05_lord_ablities_grey_wolves
on_a_platform	wh_dlc05_lord_ablities_grey_wolves
climbing_manning_eq_on_platform	wh_dlc05_quest_passive_gift_of_slaanesh
flying_currently	wh_dlc05_spell_life_awakening_of_the_wood
flying_currently	wh_dlc05_spell_life_awakening_the_wood_branchwraith
hp_replenish_cap_reached	wh_dlc05_spell_life_earth_blood_branchwraith
hp_replenish_cap_reached	wh_dlc05_spell_life_earth_blood_upgraded
hp_replenish_cap_reached	wh_dlc05_spell_life_earth_blood
hp_replenish_cap_reached	wh_dlc05_spell_life_regrowth_upgraded
hp_replenish_cap_reached	wh_dlc05_spell_life_regrowth
flying_currently	wh_dlc05_spell_life_the_dwellers_below_upgraded
on_a_platform	wh_dlc05_spell_life_the_dwellers_below_upgraded
flying_currently	wh_dlc05_spell_life_the_dwellers_below
on_a_platform	wh_dlc05_spell_life_the_dwellers_below
flying_currently	wh_dlc05_spell_shadow_the_penumbral_pendulum_branchwraith
on_a_platform	wh_dlc05_spell_shadow_the_penumbral_pendulum_branchwraith
flying_currently	wh_dlc05_spell_shadow_the_penumbral_pendulum_upgraded
on_a_platform	wh_dlc05_spell_shadow_the_penumbral_pendulum_upgraded
flying_currently	wh_dlc05_spell_shadow_the_penumbral_pendulum
on_a_platform	wh_dlc05_spell_shadow_the_penumbral_pendulum
unit_is_not_commander_class	wh_dlc05_weapon_abilities_el_syf
climbing_manning_eq_on_platform	wh_dlc05_weapon_abilities_stave_of_ruinous_corruption
other_abilities_none_on_wind_up	wh_dlc06_lord_passive_locus_of_power
flying_currently	wh_dlc06_rune_abilities_master_rune_of_wrath_and_ruin
on_a_platform	wh_dlc06_rune_abilities_master_rune_of_wrath_and_ruin
climbing_manning_eq_on_platform	wh_dlc06_unit_abilities_maternal_instinct
climbing	wh_dlc06_unit_abilities_the_loons_of_eight_peaks
flying_currently	wh_dlc06_unit_abilities_the_loons_of_eight_peaks
on_a_platform	wh_dlc06_unit_abilities_the_loons_of_eight_peaks
flying_currently	wh_dlc07_item_abilities_wrath_of_manann
on_a_platform	wh_dlc07_item_abilities_wrath_of_manann
unit_is_not_commander_class	wh_dlc08_character_abilities_hunter_of_champions
on_a_platform	wh_dlc08_item_abilities_ancient_frost_wyrm_scale
on_a_platform	wh_dlc08_item_abilities_great_horn_of_dragon_ogre
flying_currently	wh_dlc08_lord_abilities_copious_vomit
flying_currently	wh_dlc08_lord_abilities_seafang
on_a_platform	wh_dlc08_lord_abilities_seafang
on_a_platform	wh_dlc08_quest_abilities_howling_winter
health_above_20%	wh_dlc08_quest_abilities_master_of_souls
unit_is_commander_class	wh_dlc08_quest_abilities_master_of_souls
unit_is_commander_class	wh_dlc08_quest_passive_exploding_fart
