armory_item	variant	ui_info	battle_animation	campaign_animation	use_as_default
wh3_main_dae_cha_daemon_prince_arm_l_bird_2	wh3_main_dae_cha_daemon_prince_arm_bird_02	wh3_main_dae_cha_daemon_prince_arm_l_bird_02			true
wh3_main_dae_cha_daemon_prince_arm_l_bird_3	wh3_main_dae_cha_daemon_prince_arm_bird_03	wh3_main_dae_cha_daemon_prince_arm_l_bird_03			true
wh3_main_dae_cha_daemon_prince_arm_l_bird_4	wh3_main_dae_cha_daemon_prince_arm_bird_04	wh3_main_dae_cha_daemon_prince_arm_l_bird_04			true
wh3_main_dae_cha_daemon_prince_arm_l_bird_5	wh3_main_dae_cha_daemon_prince_arm_bird_05	wh3_main_dae_cha_daemon_prince_arm_l_bird_05			true
wh3_main_dae_cha_daemon_prince_arm_l_bird_6	wh3_main_dae_cha_daemon_prince_arm_bird_06	wh3_main_dae_cha_daemon_prince_arm_l_bird_06			true
wh3_main_dae_cha_daemon_prince_arm_l_corpulent_1	wh3_main_dae_cha_daemon_prince_arm_corpulent_01	wh3_main_dae_cha_daemon_prince_arm_l_corpulent_01			true
wh3_main_dae_cha_daemon_prince_arm_l_corpulent_2	wh3_main_dae_cha_daemon_prince_arm_corpulent_02	wh3_main_dae_cha_daemon_prince_arm_l_corpulent_02			true
wh3_main_dae_cha_daemon_prince_arm_l_corpulent_3	wh3_main_dae_cha_daemon_prince_arm_corpulent_03	wh3_main_dae_cha_daemon_prince_arm_l_corpulent_03			true
wh3_main_dae_cha_daemon_prince_arm_l_corpulent_4	wh3_main_dae_cha_daemon_prince_arm_corpulent_04	wh3_main_dae_cha_daemon_prince_arm_l_corpulent_04			true
wh3_main_dae_cha_daemon_prince_arm_l_corpulent_5	wh3_main_dae_cha_daemon_prince_arm_corpulent_05	wh3_main_dae_cha_daemon_prince_arm_l_corpulent_05			true
wh3_main_dae_cha_daemon_prince_arm_l_corpulent_6	wh3_main_dae_cha_daemon_prince_arm_corpulent_06	wh3_main_dae_cha_daemon_prince_arm_l_corpulent_06			true
wh3_main_dae_cha_daemon_prince_arm_l_scythe_1	wh3_main_dae_cha_daemon_prince_arm_scythe_01	wh3_main_dae_cha_daemon_prince_arm_l_scythe_01			true
wh3_main_dae_cha_daemon_prince_arm_l_scythe_2	wh3_main_dae_cha_daemon_prince_arm_scythe_02	wh3_main_dae_cha_daemon_prince_arm_l_scythe_02			true
wh3_main_dae_cha_daemon_prince_arm_l_scythe_3	wh3_main_dae_cha_daemon_prince_arm_scythe_03	wh3_main_dae_cha_daemon_prince_arm_l_scythe_03			true
wh3_main_dae_cha_daemon_prince_arm_l_scythe_4	wh3_main_dae_cha_daemon_prince_arm_scythe_04	wh3_main_dae_cha_daemon_prince_arm_l_scythe_04			true
wh3_main_dae_cha_daemon_prince_arm_l_scythe_5	wh3_main_dae_cha_daemon_prince_arm_scythe_05	wh3_main_dae_cha_daemon_prince_arm_l_scythe_05			true
wh3_main_dae_cha_daemon_prince_arm_l_scythe_6	wh3_main_dae_cha_daemon_prince_arm_scythe_06	wh3_main_dae_cha_daemon_prince_arm_l_scythe_06			true
wh3_main_dae_cha_daemon_prince_arm_r_armoured_1	wh3_main_dae_cha_daemon_prince_arm_armoured_01	wh3_main_dae_cha_daemon_prince_arm_r_armoured_01			true
wh3_main_dae_cha_daemon_prince_arm_r_armoured_2	wh3_main_dae_cha_daemon_prince_arm_armoured_02	wh3_main_dae_cha_daemon_prince_arm_r_armoured_02			true
wh3_main_dae_cha_daemon_prince_arm_r_armoured_3	wh3_main_dae_cha_daemon_prince_arm_armoured_03	wh3_main_dae_cha_daemon_prince_arm_r_armoured_03			true
wh3_main_dae_cha_daemon_prince_arm_r_armoured_4	wh3_main_dae_cha_daemon_prince_arm_armoured_04	wh3_main_dae_cha_daemon_prince_arm_r_armoured_04			true
wh3_main_dae_cha_daemon_prince_arm_r_armoured_5	wh3_main_dae_cha_daemon_prince_arm_armoured_05	wh3_main_dae_cha_daemon_prince_arm_r_armoured_05			true
wh3_main_dae_cha_daemon_prince_arm_r_armoured_6	wh3_main_dae_cha_daemon_prince_arm_armoured_06	wh3_main_dae_cha_daemon_prince_arm_r_armoured_06			true
wh3_main_dae_cha_daemon_prince_arm_r_base_1	wh3_main_dae_cha_daemon_prince_arm_base_01	wh3_main_dae_cha_daemon_prince_arm_r_base_01			true
wh3_main_dae_cha_daemon_prince_arm_r_base_2	wh3_main_dae_cha_daemon_prince_arm_base_02	wh3_main_dae_cha_daemon_prince_arm_r_base_02			true
wh3_main_dae_cha_daemon_prince_arm_r_base_3	wh3_main_dae_cha_daemon_prince_arm_base_03	wh3_main_dae_cha_daemon_prince_arm_r_base_03			true
wh3_main_dae_cha_daemon_prince_arm_r_base_4	wh3_main_dae_cha_daemon_prince_arm_base_04	wh3_main_dae_cha_daemon_prince_arm_r_base_04			true
wh3_main_dae_cha_daemon_prince_arm_r_base_5	wh3_main_dae_cha_daemon_prince_arm_base_05	wh3_main_dae_cha_daemon_prince_arm_r_base_05			true
wh3_main_dae_cha_daemon_prince_arm_r_base_6	wh3_main_dae_cha_daemon_prince_arm_base_06	wh3_main_dae_cha_daemon_prince_arm_r_base_06			true
wh3_main_dae_cha_daemon_prince_arm_r_bird_1	wh3_main_dae_cha_daemon_prince_arm_bird_01	wh3_main_dae_cha_daemon_prince_arm_r_bird_01			true
wh3_main_dae_cha_daemon_prince_arm_r_bird_2	wh3_main_dae_cha_daemon_prince_arm_bird_02	wh3_main_dae_cha_daemon_prince_arm_r_bird_02			true
wh3_main_dae_cha_daemon_prince_arm_r_bird_3	wh3_main_dae_cha_daemon_prince_arm_bird_03	wh3_main_dae_cha_daemon_prince_arm_r_bird_03			true
wh3_main_dae_cha_daemon_prince_arm_r_bird_4	wh3_main_dae_cha_daemon_prince_arm_bird_04	wh3_main_dae_cha_daemon_prince_arm_r_bird_04			true
wh3_main_dae_cha_daemon_prince_arm_r_bird_5	wh3_main_dae_cha_daemon_prince_arm_bird_05	wh3_main_dae_cha_daemon_prince_arm_r_bird_05			true
wh3_main_dae_cha_daemon_prince_arm_r_bird_6	wh3_main_dae_cha_daemon_prince_arm_bird_06	wh3_main_dae_cha_daemon_prince_arm_r_bird_06			true
wh3_main_dae_cha_daemon_prince_arm_r_corpulent_1	wh3_main_dae_cha_daemon_prince_arm_corpulent_01	wh3_main_dae_cha_daemon_prince_arm_r_corpulent_01			true
wh3_main_dae_cha_daemon_prince_arm_r_corpulent_2	wh3_main_dae_cha_daemon_prince_arm_corpulent_02	wh3_main_dae_cha_daemon_prince_arm_r_corpulent_02			true
wh3_main_dae_cha_daemon_prince_arm_r_corpulent_3	wh3_main_dae_cha_daemon_prince_arm_corpulent_03	wh3_main_dae_cha_daemon_prince_arm_r_corpulent_03			true
wh3_main_dae_cha_daemon_prince_arm_r_corpulent_4	wh3_main_dae_cha_daemon_prince_arm_corpulent_04	wh3_main_dae_cha_daemon_prince_arm_r_corpulent_04			true
wh3_main_dae_cha_daemon_prince_arm_r_corpulent_5	wh3_main_dae_cha_daemon_prince_arm_corpulent_05	wh3_main_dae_cha_daemon_prince_arm_r_corpulent_05			true
wh3_main_dae_cha_daemon_prince_arm_r_corpulent_6	wh3_main_dae_cha_daemon_prince_arm_corpulent_06	wh3_main_dae_cha_daemon_prince_arm_r_corpulent_06			true
wh3_main_dae_cha_daemon_prince_arm_r_scythe_1	wh3_main_dae_cha_daemon_prince_arm_scythe_01	wh3_main_dae_cha_daemon_prince_arm_r_scythe_01	hu10e_wh3_daemon_prince_1h	cam_lord_hu10e_wh3_daemon_prince_sword	true
wh3_main_dae_cha_daemon_prince_arm_r_scythe_2	wh3_main_dae_cha_daemon_prince_arm_scythe_02	wh3_main_dae_cha_daemon_prince_arm_r_scythe_02	hu10e_wh3_daemon_prince_1h	cam_lord_hu10e_wh3_daemon_prince_sword	true
wh3_main_dae_cha_daemon_prince_arm_r_scythe_3	wh3_main_dae_cha_daemon_prince_arm_scythe_03	wh3_main_dae_cha_daemon_prince_arm_r_scythe_03	hu10e_wh3_daemon_prince_1h	cam_lord_hu10e_wh3_daemon_prince_sword	true
wh3_main_dae_cha_daemon_prince_arm_r_scythe_4	wh3_main_dae_cha_daemon_prince_arm_scythe_04	wh3_main_dae_cha_daemon_prince_arm_r_scythe_04	hu10e_wh3_daemon_prince_1h	cam_lord_hu10e_wh3_daemon_prince_sword	true
wh3_main_dae_cha_daemon_prince_arm_r_scythe_5	wh3_main_dae_cha_daemon_prince_arm_scythe_05	wh3_main_dae_cha_daemon_prince_arm_r_scythe_05	hu10e_wh3_daemon_prince_1h	cam_lord_hu10e_wh3_daemon_prince_sword	true
wh3_main_dae_cha_daemon_prince_arm_r_scythe_6	wh3_main_dae_cha_daemon_prince_arm_scythe_06	wh3_main_dae_cha_daemon_prince_arm_r_scythe_06	hu10e_wh3_daemon_prince_1h	cam_lord_hu10e_wh3_daemon_prince_sword	true
wh3_main_dae_cha_daemon_prince_fe_arm_l_armoured_06	wh3_main_dae_cha_daemon_prince_arm_armoured_06	wh3_main_dae_cha_daemon_prince_fe_arm_l_armoured_06			true
wh3_main_dae_cha_daemon_prince_fe_arm_l_base_01	wh3_main_dae_cha_daemon_prince_arm_base_01	wh3_main_dae_cha_daemon_prince_fe_arm_l_base_01			true
wh3_main_dae_cha_daemon_prince_fe_arm_l_base_03	wh3_main_dae_cha_daemon_prince_arm_base_03	wh3_main_dae_cha_daemon_prince_fe_arm_l_base_03			true
wh3_main_dae_cha_daemon_prince_fe_arm_l_bird_03	wh3_main_dae_cha_daemon_prince_arm_bird_03	wh3_main_dae_cha_daemon_prince_fe_arm_l_bird_03			true
wh3_main_dae_cha_daemon_prince_fe_arm_l_corpulent_03	wh3_main_dae_cha_daemon_prince_arm_corpulent_03	wh3_main_dae_cha_daemon_prince_fe_arm_l_corpulent_03			true
wh3_main_dae_cha_daemon_prince_fe_arm_r_armoured_06	wh3_main_dae_cha_daemon_prince_arm_armoured_06	wh3_main_dae_cha_daemon_prince_fe_arm_r_armoured_06			true
wh3_main_dae_cha_daemon_prince_fe_arm_r_base_01	wh3_main_dae_cha_daemon_prince_arm_base_01	wh3_main_dae_cha_daemon_prince_fe_arm_r_base_01			true
wh3_main_dae_cha_daemon_prince_fe_arm_r_bird_03	wh3_main_dae_cha_daemon_prince_arm_bird_03	wh3_main_dae_cha_daemon_prince_fe_arm_r_bird_03			true
wh3_main_dae_cha_daemon_prince_fe_arm_r_corpulent_03	wh3_main_dae_cha_daemon_prince_arm_corpulent_03	wh3_main_dae_cha_daemon_prince_fe_arm_r_corpulent_03			true
wh3_main_dae_cha_daemon_prince_fe_arm_r_scythe_06	wh3_main_dae_cha_daemon_prince_arm_scythe_06	wh3_main_dae_cha_daemon_prince_fe_arm_r_scythe_06			true
wh3_main_dae_cha_daemon_prince_fe_head_adornedhelmet_06	wh3_main_dae_cha_daemon_prince_head_adornedhelmet_06	wh3_main_dae_cha_daemon_prince_fe_head_adornedhelmet_06			true
wh3_main_dae_cha_daemon_prince_fe_head_base_01	wh3_main_dae_cha_daemon_prince_head_base_01	wh3_main_dae_cha_daemon_prince_fe_head_base_01			true
wh3_main_dae_cha_daemon_prince_fe_head_beast_06	wh3_main_dae_cha_daemon_prince_head_beast_06	wh3_main_dae_cha_daemon_prince_fe_head_beast_06			true
wh3_main_dae_cha_daemon_prince_fe_head_bird_02	wh3_main_dae_cha_daemon_prince_head_bird_02	wh3_main_dae_cha_daemon_prince_fe_head_bird_02			true
wh3_main_dae_cha_daemon_prince_fe_head_corpulent_06	wh3_main_dae_cha_daemon_prince_head_corpulent_06	wh3_main_dae_cha_daemon_prince_fe_head_corpulent_06			true
wh3_main_dae_cha_daemon_prince_fe_legs_base_01	wh3_main_dae_cha_daemon_prince_legs_base_01	wh3_main_dae_cha_daemon_prince_fe_legs_base_01			true
wh3_main_dae_cha_daemon_prince_fe_legs_beast_06	wh3_main_dae_cha_daemon_prince_legs_beast_06	wh3_main_dae_cha_daemon_prince_fe_legs_beast_06			true
wh3_main_dae_cha_daemon_prince_fe_legs_bird_06	wh3_main_dae_cha_daemon_prince_legs_bird_06	wh3_main_dae_cha_daemon_prince_fe_legs_bird_06			true
wh3_main_dae_cha_daemon_prince_fe_legs_corpulent_03	wh3_main_dae_cha_daemon_prince_legs_corpulent_03	wh3_main_dae_cha_daemon_prince_fe_legs_corpulent_03			true
wh3_main_dae_cha_daemon_prince_fe_legs_daemonette_04	wh3_main_dae_cha_daemon_prince_legs_daemonette_04	wh3_main_dae_cha_daemon_prince_fe_legs_daemonette_04			true
wh3_main_dae_cha_daemon_prince_fe_tail_base_01	wh3_main_dae_cha_daemon_prince_tail_base_01	wh3_main_dae_cha_daemon_prince_fe_tail_base_01			true
wh3_main_dae_cha_daemon_prince_fe_tail_corpulent_05	wh3_main_dae_cha_daemon_prince_tail_corpulent_05	wh3_main_dae_cha_daemon_prince_fe_tail_corpulent_05			true
wh3_main_dae_cha_daemon_prince_fe_tail_fiend_06	wh3_main_dae_cha_daemon_prince_tail_fiend_06	wh3_main_dae_cha_daemon_prince_fe_tail_fiend_06			true
wh3_main_dae_cha_daemon_prince_fe_tail_living_06	wh3_main_dae_cha_daemon_prince_tail_living_06	wh3_main_dae_cha_daemon_prince_fe_tail_living_06			true
wh3_main_dae_cha_daemon_prince_fe_tail_snapping_06	wh3_main_dae_cha_daemon_prince_tail_flamer_06	wh3_main_dae_cha_daemon_prince_fe_tail_snapping_06			true
wh3_main_dae_cha_daemon_prince_fe_torso_adornedarmour_06	wh3_main_dae_cha_daemon_prince_torso_adornedarmour_06	wh3_main_dae_cha_daemon_prince_fe_torso_adornedarmour_06			true
wh3_main_dae_cha_daemon_prince_fe_torso_base_01	wh3_main_dae_cha_daemon_prince_torso_base_01	wh3_main_dae_cha_daemon_prince_fe_torso_base_01			true
wh3_main_dae_cha_daemon_prince_fe_torso_bird_06	wh3_main_dae_cha_daemon_prince_torso_bird_06	wh3_main_dae_cha_daemon_prince_fe_torso_bird_06			true
wh3_main_dae_cha_daemon_prince_fe_torso_brasscollar_04	wh3_main_dae_cha_daemon_prince_torso_brasscollar_04	wh3_main_dae_cha_daemon_prince_fe_torso_brasscollar_04			true
wh3_main_dae_cha_daemon_prince_fe_torso_corpulent_06	wh3_main_dae_cha_daemon_prince_torso_corpulent_06	wh3_main_dae_cha_daemon_prince_fe_torso_corpulent_06			true
wh3_main_dae_cha_daemon_prince_fe_weapon_bloodthirster_great_axe_01	wh3_main_dae_cha_daemon_prince_weapon_bloodthirster_great_axe_01	wh3_main_dae_cha_daemon_prince_fe_weapon_bloodthirster_great_axe_01	hu10e_wh3_daemon_prince_2h	cam_lord_hu10e_wh3_daemon_prince_2handed	true
wh3_main_dae_cha_daemon_prince_fe_weapon_exalted_great_unclean_one_sword_01	wh3_main_dae_cha_daemon_prince_weapon_great_unclean_one_sword_01	wh3_main_dae_cha_daemon_prince_fe_weapon_exalted_great_unclean_one_sword_01	hu10e_wh3_daemon_prince_1h	cam_lord_hu10e_wh3_daemon_prince_sword	true
wh3_main_dae_cha_daemon_prince_fe_weapon_exalted_keeper_of_secrets_shield_01	wh3_main_dae_cha_daemon_prince_weapon_exalted_keeper_of_secrets_shield_01	wh3_main_dae_cha_daemon_prince_fe_weapon_exalted_keeper_of_secrets_shield_01	hu10e_wh3_daemon_prince_1h	cam_lord_hu10e_wh3_daemon_prince_sword	true
wh3_main_dae_cha_daemon_prince_fe_weapon_exalted_lord_of_change_staff_01	wh3_main_dae_cha_daemon_prince_weapon_exalted_lord_of_change_staff_01	wh3_main_dae_cha_daemon_prince_fe_weapon_exalted_lord_of_change_staff_01	hu10e_wh3_daemon_prince_1h	cam_lord_hu10e_wh3_daemon_prince_sword	true
wh3_main_dae_cha_daemon_prince_fe_weapon_sword_01	wh3_main_dae_cha_daemon_prince_weapon_sword	wh3_main_dae_cha_daemon_prince_fe_weapon_sword_01	hu10e_wh3_daemon_prince_1h	cam_lord_hu10e_wh3_daemon_prince_sword	true
wh3_main_dae_cha_daemon_prince_fe_wings_base_02	wh3_main_dae_cha_daemon_prince_wings_base_02	wh3_main_dae_cha_daemon_prince_fe_wings_base_02			true
wh3_main_dae_cha_daemon_prince_fe_wings_beast_05	wh3_main_dae_cha_daemon_prince_wings_beast_05	wh3_main_dae_cha_daemon_prince_fe_wings_beast_05			true
wh3_main_dae_cha_daemon_prince_fe_wings_bird_06	wh3_main_dae_cha_daemon_prince_wings_bird_06	wh3_main_dae_cha_daemon_prince_fe_wings_bird_06			true
wh3_main_dae_cha_daemon_prince_fe_wings_corpulent_04	wh3_main_dae_cha_daemon_prince_wings_corpulent_04	wh3_main_dae_cha_daemon_prince_fe_wings_corpulent_04			true
wh3_main_dae_cha_daemon_prince_fe_wings_sensuous_06	wh3_main_dae_cha_daemon_prince_wings_sensuous_06	wh3_main_dae_cha_daemon_prince_fe_wings_sensuous_06			true
wh3_main_dae_cha_daemon_prince_head_adornedhelmet_1	wh3_main_dae_cha_daemon_prince_head_adornedhelmet_01	wh3_main_dae_cha_daemon_prince_head_adornedhelmet_01			true
wh3_main_dae_cha_daemon_prince_head_adornedhelmet_2	wh3_main_dae_cha_daemon_prince_head_adornedhelmet_02	wh3_main_dae_cha_daemon_prince_head_adornedhelmet_02			true
wh3_main_dae_cha_daemon_prince_head_adornedhelmet_3	wh3_main_dae_cha_daemon_prince_head_adornedhelmet_03	wh3_main_dae_cha_daemon_prince_head_adornedhelmet_03			true
wh3_main_dae_cha_daemon_prince_head_adornedhelmet_4	wh3_main_dae_cha_daemon_prince_head_adornedhelmet_04	wh3_main_dae_cha_daemon_prince_head_adornedhelmet_04			true
wh3_main_dae_cha_daemon_prince_head_adornedhelmet_5	wh3_main_dae_cha_daemon_prince_head_adornedhelmet_05	wh3_main_dae_cha_daemon_prince_head_adornedhelmet_05			true
wh3_main_dae_cha_daemon_prince_head_adornedhelmet_6	wh3_main_dae_cha_daemon_prince_head_adornedhelmet_06	wh3_main_dae_cha_daemon_prince_head_adornedhelmet_06			true
wh3_main_dae_cha_daemon_prince_head_adornedhelmet_7	wh3_main_dae_cha_daemon_prince_head_adornedhelmet_7	wh3_main_dae_cha_daemon_prince_head_adornedhelmet_07			true
wh3_main_dae_cha_daemon_prince_head_adornedhelmet_8	wh3_main_dae_cha_daemon_prince_head_adornedhelmet_8	wh3_main_dae_cha_daemon_prince_head_adornedhelmet_08			true
wh3_main_dae_cha_daemon_prince_head_base_10	wh3_main_dae_cha_daemon_prince_head_base_10	wh3_main_dae_cha_daemon_prince_head_base_10			true
wh3_main_dae_cha_daemon_prince_head_base_11	wh3_main_dae_cha_daemon_prince_head_base_11	wh3_main_dae_cha_daemon_prince_head_base_11			true
wh3_main_dae_cha_daemon_prince_head_base_1	wh3_main_dae_cha_daemon_prince_head_base_01	wh3_main_dae_cha_daemon_prince_head_base_01			true
wh3_main_dae_cha_daemon_prince_head_base_2	wh3_main_dae_cha_daemon_prince_head_base_02	wh3_main_dae_cha_daemon_prince_head_base_02			true
wh3_main_dae_cha_daemon_prince_head_base_3	wh3_main_dae_cha_daemon_prince_head_base_03	wh3_main_dae_cha_daemon_prince_head_base_04			true
wh3_main_dae_cha_daemon_prince_head_base_4	wh3_main_dae_cha_daemon_prince_head_base_04	wh3_main_dae_cha_daemon_prince_head_base_03			true
wh3_main_dae_cha_daemon_prince_head_base_5	wh3_main_dae_cha_daemon_prince_head_base_05	wh3_main_dae_cha_daemon_prince_head_base_05			true
wh3_main_dae_cha_daemon_prince_head_base_6	wh3_main_dae_cha_daemon_prince_head_base_06	wh3_main_dae_cha_daemon_prince_head_base_06			true
wh3_main_dae_cha_daemon_prince_head_base_7	wh3_main_dae_cha_daemon_prince_head_base_7	wh3_main_dae_cha_daemon_prince_head_base_07			true
wh3_main_dae_cha_daemon_prince_head_base_8	wh3_main_dae_cha_daemon_prince_head_base_8	wh3_main_dae_cha_daemon_prince_head_base_08			true
wh3_main_dae_cha_daemon_prince_head_base_9	wh3_main_dae_cha_daemon_prince_head_base_9	wh3_main_dae_cha_daemon_prince_head_base_09			true
wh3_main_dae_cha_daemon_prince_head_beast_1	wh3_main_dae_cha_daemon_prince_head_beast_01	wh3_main_dae_cha_daemon_prince_head_beast_01			true
wh3_main_dae_cha_daemon_prince_head_beast_2	wh3_main_dae_cha_daemon_prince_head_beast_02	wh3_main_dae_cha_daemon_prince_head_beast_02			true
wh3_main_dae_cha_daemon_prince_head_beast_3	wh3_main_dae_cha_daemon_prince_head_beast_03	wh3_main_dae_cha_daemon_prince_head_beast_03			true
wh3_main_dae_cha_daemon_prince_head_beast_4	wh3_main_dae_cha_daemon_prince_head_beast_04	wh3_main_dae_cha_daemon_prince_head_beast_04			true
wh3_main_dae_cha_daemon_prince_head_beast_5	wh3_main_dae_cha_daemon_prince_head_beast_05	wh3_main_dae_cha_daemon_prince_head_beast_05			true
wh3_main_dae_cha_daemon_prince_head_beast_6	wh3_main_dae_cha_daemon_prince_head_beast_06	wh3_main_dae_cha_daemon_prince_head_beast_06			true
wh3_main_dae_cha_daemon_prince_head_bird_1	wh3_main_dae_cha_daemon_prince_head_bird_01	wh3_main_dae_cha_daemon_prince_head_bird_01			true
wh3_main_dae_cha_daemon_prince_head_bird_2	wh3_main_dae_cha_daemon_prince_head_bird_02	wh3_main_dae_cha_daemon_prince_head_bird_02			true
wh3_main_dae_cha_daemon_prince_head_bird_3	wh3_main_dae_cha_daemon_prince_head_bird_03	wh3_main_dae_cha_daemon_prince_head_bird_03			true
wh3_main_dae_cha_daemon_prince_head_bird_4	wh3_main_dae_cha_daemon_prince_head_bird_04	wh3_main_dae_cha_daemon_prince_head_bird_04			true
wh3_main_dae_cha_daemon_prince_head_bird_5	wh3_main_dae_cha_daemon_prince_head_bird_05	wh3_main_dae_cha_daemon_prince_head_bird_05			true
wh3_main_dae_cha_daemon_prince_head_bird_6	wh3_main_dae_cha_daemon_prince_head_bird_06	wh3_main_dae_cha_daemon_prince_head_bird_06			true
wh3_main_dae_cha_daemon_prince_head_bird_7	wh3_main_dae_cha_daemon_prince_head_bird_7	wh3_main_dae_cha_daemon_prince_head_bird_07			true
wh3_main_dae_cha_daemon_prince_head_bird_8	wh3_main_dae_cha_daemon_prince_head_bird_8	wh3_main_dae_cha_daemon_prince_head_bird_08			true
wh3_main_dae_cha_daemon_prince_head_corpulent_1	wh3_main_dae_cha_daemon_prince_head_corpulent_01	wh3_main_dae_cha_daemon_prince_head_corpulent_01			true
wh3_main_dae_cha_daemon_prince_head_corpulent_2	wh3_main_dae_cha_daemon_prince_head_corpulent_02	wh3_main_dae_cha_daemon_prince_head_corpulent_02			true
wh3_main_dae_cha_daemon_prince_head_corpulent_3	wh3_main_dae_cha_daemon_prince_head_corpulent_03	wh3_main_dae_cha_daemon_prince_head_corpulent_03			true
wh3_main_dae_cha_daemon_prince_head_corpulent_4	wh3_main_dae_cha_daemon_prince_head_corpulent_04	wh3_main_dae_cha_daemon_prince_head_corpulent_04			true
wh3_main_dae_cha_daemon_prince_head_corpulent_5	wh3_main_dae_cha_daemon_prince_head_corpulent_05	wh3_main_dae_cha_daemon_prince_head_corpulent_05			true
wh3_main_dae_cha_daemon_prince_head_corpulent_6	wh3_main_dae_cha_daemon_prince_head_corpulent_06	wh3_main_dae_cha_daemon_prince_head_corpulent_06			true
wh3_main_dae_cha_daemon_prince_legs_base_1	wh3_main_dae_cha_daemon_prince_legs_base_01	wh3_main_dae_cha_daemon_prince_legs_base_01			true
wh3_main_dae_cha_daemon_prince_legs_base_2	wh3_main_dae_cha_daemon_prince_legs_base_02	wh3_main_dae_cha_daemon_prince_legs_base_02			true
wh3_main_dae_cha_daemon_prince_legs_base_3	wh3_main_dae_cha_daemon_prince_legs_base_03	wh3_main_dae_cha_daemon_prince_legs_base_03			true
wh3_main_dae_cha_daemon_prince_legs_base_4	wh3_main_dae_cha_daemon_prince_legs_base_04	wh3_main_dae_cha_daemon_prince_legs_base_04			true
wh3_main_dae_cha_daemon_prince_legs_base_5	wh3_main_dae_cha_daemon_prince_legs_base_05	wh3_main_dae_cha_daemon_prince_legs_base_05			true
wh3_main_dae_cha_daemon_prince_legs_base_6	wh3_main_dae_cha_daemon_prince_legs_base_06	wh3_main_dae_cha_daemon_prince_legs_base_06			true
wh3_main_dae_cha_daemon_prince_legs_beast_1	wh3_main_dae_cha_daemon_prince_legs_beast_01	wh3_main_dae_cha_daemon_prince_legs_beast_01			true
wh3_main_dae_cha_daemon_prince_legs_beast_2	wh3_main_dae_cha_daemon_prince_legs_beast_02	wh3_main_dae_cha_daemon_prince_legs_beast_02			true
wh3_main_dae_cha_daemon_prince_legs_beast_3	wh3_main_dae_cha_daemon_prince_legs_beast_03	wh3_main_dae_cha_daemon_prince_legs_beast_03			true
wh3_main_dae_cha_daemon_prince_legs_beast_4	wh3_main_dae_cha_daemon_prince_legs_beast_04	wh3_main_dae_cha_daemon_prince_legs_beast_04			true
wh3_main_dae_cha_daemon_prince_legs_beast_5	wh3_main_dae_cha_daemon_prince_legs_beast_05	wh3_main_dae_cha_daemon_prince_legs_beast_05			true
wh3_main_dae_cha_daemon_prince_legs_beast_6	wh3_main_dae_cha_daemon_prince_legs_beast_06	wh3_main_dae_cha_daemon_prince_legs_beast_06			true
