provincial_initiative_key	subculture	province	faction
wh3_main_edict_cth_the_great_bastion_replenish	wh3_main_sc_cth_cathay	wh3_main_chaos_province_central_great_bastion	
wh3_main_edict_cth_the_great_bastion_replenish	wh3_main_sc_cth_cathay	wh3_main_chaos_province_eastern_great_bastion	
wh3_main_edict_cth_the_great_bastion_replenish	wh3_main_sc_cth_cathay	wh3_main_chaos_province_western_great_bastion	
wh3_main_edict_cth_the_great_bastion_replenish	wh3_main_sc_cth_cathay	wh3_main_combi_province_central_great_bastion	
wh3_main_edict_cth_the_great_bastion_replenish	wh3_main_sc_cth_cathay	wh3_main_combi_province_eastern_great_bastion	
wh3_main_edict_cth_the_great_bastion_replenish	wh3_main_sc_cth_cathay	wh3_main_combi_province_western_great_bastion	
wh3_main_edict_cth_the_great_bastion_train	wh3_main_sc_cth_cathay	wh3_main_chaos_province_central_great_bastion	
wh3_main_edict_cth_the_great_bastion_train	wh3_main_sc_cth_cathay	wh3_main_chaos_province_eastern_great_bastion	
wh3_main_edict_cth_the_great_bastion_train	wh3_main_sc_cth_cathay	wh3_main_chaos_province_western_great_bastion	
wh3_main_edict_cth_the_great_bastion_train	wh3_main_sc_cth_cathay	wh3_main_combi_province_central_great_bastion	
wh3_main_edict_cth_the_great_bastion_train	wh3_main_sc_cth_cathay	wh3_main_combi_province_eastern_great_bastion	
wh3_main_edict_cth_the_great_bastion_train	wh3_main_sc_cth_cathay	wh3_main_combi_province_western_great_bastion	
wh3_main_edict_cth_the_iron_dragons_statute	wh3_main_sc_cth_cathay		
wh3_main_edict_cth_the_jade_dragons_statute	wh3_main_sc_cth_cathay		
wh3_main_edict_cth_the_sea_dragons_statute	wh3_main_sc_cth_cathay		
wh3_main_edict_cth_the_storm_dragons_statute	wh3_main_sc_cth_cathay		
wh3_main_edict_dae_foster_cults			wh3_dlc20_chs_kholek
wh3_main_edict_dae_foster_cults			wh3_dlc20_chs_sigvald
wh3_main_edict_dae_foster_cults			wh3_main_chs_shadow_legion
wh3_main_edict_dae_foster_cults	wh3_main_sc_dae_daemons		
wh3_main_edict_dae_foster_cults			wh_main_chs_chaos
wh3_main_edict_dae_khorne	wh3_main_sc_dae_daemons		
wh3_main_edict_dae_nurgle	wh3_main_sc_dae_daemons		
wh3_main_edict_dae_slaanesh	wh3_main_sc_dae_daemons		
wh3_main_edict_dae_tzeentch	wh3_main_sc_dae_daemons		
wh3_main_edict_kho_destroy	wh3_main_sc_kho_khorne		
wh3_main_edict_kho_foster_cults			wh3_dlc20_chs_valkia
wh3_main_edict_kho_foster_cults	wh3_main_sc_kho_khorne		
wh3_main_edict_kho_kill	wh3_main_sc_kho_khorne		
wh3_main_edict_kho_maim	wh3_main_sc_kho_khorne		
wh3_main_edict_ksl_awaken_the_land	wh3_main_sc_ksl_kislev		
wh3_main_edict_ksl_purge_the_steppes	wh3_main_sc_ksl_kislev		
wh3_main_edict_ksl_relief_columns	wh3_main_sc_ksl_kislev		
wh3_main_edict_ksl_the_power_of_the_church	wh3_main_sc_ksl_kislev		
wh3_main_edict_nur_foster_cults			wh3_dlc20_chs_festus
wh3_main_edict_nur_foster_cults	wh3_main_sc_nur_nurgle		
wh3_main_edict_nur_plague_gods_greenhouse	wh3_main_sc_nur_nurgle		
wh3_main_edict_nur_plague_gods_nursery	wh3_main_sc_nur_nurgle		
wh3_main_edict_nur_plague_gods_pasture	wh3_main_sc_nur_nurgle		
wh3_main_edict_ogr_crude_ingenuity	wh3_main_sc_ogr_ogre_kingdoms		
wh3_main_edict_ogr_feasts_for_the_strong	wh3_main_sc_ogr_ogre_kingdoms		
wh3_main_edict_ogr_might_makes_right	wh3_main_sc_ogr_ogre_kingdoms		
wh3_main_edict_sla_cavalcade_of_dark_desires	wh3_main_sc_sla_slaanesh		
wh3_main_edict_sla_festival_of_drinking_and_delights	wh3_main_sc_sla_slaanesh		
wh3_main_edict_sla_foster_cults			wh3_dlc20_chs_azazel
wh3_main_edict_sla_foster_cults	wh3_main_sc_sla_slaanesh		
wh3_main_edict_sla_revels_of_eternal_pleasure	wh3_main_sc_sla_slaanesh		
wh3_main_edict_tze_egrimms_contrivance_algorithm	wh3_main_sc_tze_tzeentch		
wh3_main_edict_tze_foster_cults			wh3_dlc20_chs_vilitch
wh3_main_edict_tze_foster_cults	wh3_main_sc_tze_tzeentch		
wh3_main_edict_tze_mutalith_prism_formulae	wh3_main_sc_tze_tzeentch		
wh3_main_edict_tze_the_architects_theorem	wh3_main_sc_tze_tzeentch		
wh3_main_ie_edict_nor_construction	wh_dlc08_sc_nor_norsca		
wh3_main_ie_edict_nor_corruption	wh_dlc08_sc_nor_norsca		
wh3_main_ie_edict_nor_defence	wh_dlc08_sc_nor_norsca		
wh3_main_ie_edict_nor_recruitment	wh_dlc08_sc_nor_norsca		
wh_main_edict_brt_extensive_patrols	wh_main_sc_brt_bretonnia		
wh_main_edict_brt_levy_tithes	wh_main_sc_brt_bretonnia		
wh_main_edict_brt_realm_of_chivalry	wh_main_sc_brt_bretonnia		
wh_main_edict_brt_the_peasants_duty	wh_main_sc_brt_bretonnia		
wh_main_edict_brt_venerate_the_lady	wh_main_sc_brt_bretonnia		
wh_main_edict_dwf_empower_the_guilds	wh_main_sc_dwf_dwarfs		
wh_main_edict_dwf_high_kings_tribute	wh_main_sc_dwf_dwarfs		
wh_main_edict_dwf_masters_of_steel_and_stone	wh_main_sc_dwf_dwarfs		
wh_main_edict_dwf_venerate_the_ancestors	wh_main_sc_dwf_dwarfs		
wh_main_edict_emp_collect_tribute	wh_main_sc_teb_teb		
wh_main_edict_emp_council_of_burgomeisters	wh_main_sc_emp_empire		
wh_main_edict_emp_foster_independence	wh_main_sc_teb_teb		
wh_main_edict_emp_host_festag	wh_main_sc_emp_empire		
wh_main_edict_emp_host_festag	wh_main_sc_teb_teb		
wh_main_edict_emp_imperial_taxation	wh_main_sc_emp_empire		
wh_main_edict_emp_levy_conscripts	wh_main_sc_teb_teb		
wh_main_edict_emp_sigmarite_dogma	wh_main_sc_emp_empire		
wh_main_edict_emp_state_troop_levy	wh_main_sc_emp_empire		
wh_main_edict_emp_stimulate_trade	wh_main_sc_teb_teb		
wh_main_edict_grn_brag_about_da_boss	wh_main_sc_grn_greenskins		
wh_main_edict_grn_brag_about_da_boss	wh_main_sc_grn_savage_orcs		
wh_main_edict_grn_camp_ruckus	wh_main_sc_grn_greenskins		
wh_main_edict_grn_camp_ruckus	wh_main_sc_grn_savage_orcs		
wh_main_edict_grn_give_it_ere	wh_main_sc_grn_greenskins		
wh_main_edict_grn_give_it_ere	wh_main_sc_grn_savage_orcs		
wh_main_edict_vmp_evocation_of_nagash	wh_main_sc_vmp_vampire_counts		
wh_main_edict_vmp_foster_terror	wh_main_sc_vmp_vampire_counts		
wh_main_edict_vmp_harvest_corpses	wh_main_sc_vmp_vampire_counts		
wh_main_edict_vmp_repress_mortals	wh_main_sc_vmp_vampire_counts		
