member	value
wh2_main_event_feed_scripted_intro_kroq_gar	776
wh2_main_event_feed_scripted_intro_lord_mazdamundi	775
wh2_main_event_feed_scripted_intro_lord_skrolk	778
wh2_main_event_feed_scripted_intro_malekith	773
wh2_main_event_feed_scripted_intro_morathi	774
wh2_main_event_feed_scripted_intro_queek_headtaker	777
wh2_main_event_feed_scripted_intro_teclis	772
wh2_main_event_feed_scripted_intro_tyrion	771
wh2_main_event_feed_scripted_rite_expired_def	891
wh2_main_event_feed_scripted_rite_expired_hef	890
wh2_main_event_feed_scripted_rite_expired_lzd	892
wh2_main_event_feed_scripted_rite_expired_skv	893
wh2_main_event_feed_scripted_rite_unlocked_def	811
wh2_main_event_feed_scripted_rite_unlocked_hef	810
wh2_main_event_feed_scripted_rite_unlocked_lzd	812
wh2_main_event_feed_scripted_rite_unlocked_skv	813
wh2_main_event_feed_scripted_scout_ruins_success	900
wh3_main_event_feed_cult_cathay_battle_attack_outcome_defeat	-1
wh3_main_event_feed_cult_cathay_battle_attack_outcome_draw	0
wh3_main_event_feed_cult_cathay_battle_attack_outcome_victory	1
wh3_main_event_feed_cult_daemons_battle_attack_outcome_defeat	-1
wh3_main_event_feed_cult_daemons_battle_attack_outcome_draw	0
wh3_main_event_feed_cult_daemons_battle_attack_outcome_victory	1
wh3_main_event_feed_cult_khorne_battle_attack_outcome_defeat	-1
wh3_main_event_feed_cult_khorne_battle_attack_outcome_draw	0
wh3_main_event_feed_cult_khorne_battle_attack_outcome_victory	1
wh3_main_event_feed_cult_kislev_battle_attack_outcome_defeat	-1
wh3_main_event_feed_cult_kislev_battle_attack_outcome_draw	0
wh3_main_event_feed_cult_kislev_battle_attack_outcome_victory	1
wh3_main_event_feed_cult_nurgle_battle_attack_outcome_defeat	-1
wh3_main_event_feed_cult_nurgle_battle_attack_outcome_draw	0
wh3_main_event_feed_cult_nurgle_battle_attack_outcome_victory	1
wh3_main_event_feed_cult_ogre_kingdoms_battle_attack_outcome_defeat	-1
wh3_main_event_feed_cult_ogre_kingdoms_battle_attack_outcome_draw	0
wh3_main_event_feed_cult_ogre_kingdoms_battle_attack_outcome_victory	1
wh3_main_event_feed_cult_slaanesh_battle_attack_outcome_defeat	-1
wh3_main_event_feed_cult_slaanesh_battle_attack_outcome_draw	0
wh3_main_event_feed_cult_slaanesh_battle_attack_outcome_victory	1
wh3_main_event_feed_cult_tzeentch_battle_attack_outcome_defeat	-1
wh3_main_event_feed_cult_tzeentch_battle_attack_outcome_draw	0
wh3_main_event_feed_cult_tzeentch_battle_attack_outcome_victory	1
wh3_main_event_feed_scripted_intro_cathay	17
wh3_main_event_feed_scripted_intro_daemon_prince	10
wh3_main_event_feed_scripted_intro_khorne	11
wh3_main_event_feed_scripted_intro_kislev	15
wh3_main_event_feed_scripted_intro_nurgle	12
wh3_main_event_feed_scripted_intro_ogre_kingdoms	16
wh3_main_event_feed_scripted_intro_slaanesh	13
wh3_main_event_feed_scripted_intro_tzeentch	14
wh3_main_event_feed_scripted_realm_entered_khorne	165
wh3_main_event_feed_scripted_realm_entered_nurgle	166
wh3_main_event_feed_scripted_realm_entered_slaanesh	167
wh3_main_event_feed_scripted_realm_entered_tzeentch	168
wh3_main_pro_event_feed_cult_kislev_scripted	1312
wh_dlc03_event_beastmen_horde_encountered	301
wh_dlc05_event_feed_cult_wood_elves_battle_attack_outcome_defeat	-1
wh_dlc05_event_feed_cult_wood_elves_battle_attack_outcome_draw	0
wh_dlc05_event_feed_cult_wood_elves_battle_attack_outcome_victory	1
wh_dlc05_event_feed_scripted_intro_wood_elves	605
wh_dlc05_event_feed_scripted_wild_hunt_end	556
wh_dlc05_event_feed_scripted_wild_hunt_start	555
wh_dlc05_event_feed_scripted_worldroots_encounter	554
wh_dlc06_event_feed_scripted_captured_karak_eight_peaks	601
wh_dlc06_event_feed_scripted_intro_belegar	602
wh_dlc06_event_feed_scripted_intro_skarsnik	603
wh_dlc06_event_feed_scripted_intro_wurrzag	604
wh_dlc07_event_feed_scripted_blessing_given	710
wh_dlc07_event_feed_scripted_blessing_lost	711
wh_dlc07_event_feed_scripted_green_knight_appears	701
wh_dlc07_event_feed_scripted_green_knight_disappears	702
wh_dlc07_event_feed_scripted_intro_bordeleaux	752
wh_dlc07_event_feed_scripted_intro_bretonnia	751
wh_dlc07_event_feed_scripted_intro_carcassonne	753
wh_dlc07_event_feed_scripted_peasant_economy_negative	703
wh_dlc07_feed_cult_bretonnia_battle_attack_outcome_defeat	-1
wh_dlc07_feed_cult_bretonnia_battle_attack_outcome_draw	0
wh_dlc07_feed_cult_bretonnia_battle_attack_outcome_victory	1
wh_dlc08_event_feed_scripted_intro_norsca	800
wh_event_feed_cult_beastmen_battle_attack_outcome_defeat	-1
wh_event_feed_cult_beastmen_battle_attack_outcome_draw	0
wh_event_feed_cult_beastmen_battle_attack_outcome_victory	1
wh_event_feed_cult_chaos_battle_attack_outcome_defeat	-1
wh_event_feed_cult_chaos_battle_attack_outcome_draw	0
wh_event_feed_cult_chaos_battle_attack_outcome_victory	1
wh_event_feed_cult_dwarfs_battle_attack_outcome_defeat	-1
wh_event_feed_cult_dwarfs_battle_attack_outcome_draw	0
wh_event_feed_cult_dwarfs_battle_attack_outcome_victory	1
wh_event_feed_cult_empire_battle_attack_outcome_defeat	-1
wh_event_feed_cult_empire_battle_attack_outcome_draw	0
wh_event_feed_cult_empire_battle_attack_outcome_victory	1
wh_event_feed_cult_greenskins_battle_attack_outcome_defeat	-1
wh_event_feed_cult_greenskins_battle_attack_outcome_draw	0
wh_event_feed_cult_greenskins_battle_attack_outcome_victory	1
wh_event_feed_cult_norsca_battle_attack_outcome_defeat	-1
wh_event_feed_cult_norsca_battle_attack_outcome_draw	0
wh_event_feed_cult_norsca_battle_attack_outcome_victory	1
wh_event_feed_cult_vampire_counts_battle_attack_outcome_defeat	-1
wh_event_feed_cult_vampire_counts_battle_attack_outcome_draw	0
wh_event_feed_cult_vampire_counts_battle_attack_outcome_victory	1
wh_event_feed_scripted_beastmen	102
wh_event_feed_scripted_chaos_invasion_defeated	35
wh_event_feed_scripted_chaos_invasion_early	29
wh_event_feed_scripted_chaos_invasion_end	31
wh_event_feed_scripted_chaos_invasion_mid	30
wh_event_feed_scripted_chaos_invasion_wave	32
wh_event_feed_scripted_greenskins	101
wh_event_feed_scripted_lord_of_change_defeated	34
wh_event_feed_scripted_lord_of_change_spawn	33
wh_main_event_feed_scripted_intro_beastmen	596
wh_main_event_feed_scripted_intro_dwarfs	592
wh_main_event_feed_scripted_intro_empire	591
wh_main_event_feed_scripted_intro_greenskins	593
wh_main_event_feed_scripted_intro_vampire_counts	594
wh_main_event_feed_scripted_intro_warriors_of_chaos	595
wh_pro02_event_feed_scripted_intro_isabella	770
