choice_key	dilemma_key	associated_audio_trigger
FIRST	wh2_dlc09_tmb_dilemma_liche_priest	
SECOND	wh2_dlc09_tmb_dilemma_liche_priest	
FIRST	wh2_dlc09_tmb_dilemma_lost_tombs	
SECOND	wh2_dlc09_tmb_dilemma_lost_tombs	
FIRST	wh2_dlc09_tmb_dilemma_scaly_sacrifice	
SECOND	wh2_dlc09_tmb_dilemma_scaly_sacrifice	
FIRST	wh2_dlc09_tmb_dilemma_sinking_pyramid	
SECOND	wh2_dlc09_tmb_dilemma_sinking_pyramid	
FIRST	wh2_dlc09_tmb_dilemma_soulless_sphinx	
SECOND	wh2_dlc09_tmb_dilemma_soulless_sphinx	
FIRST	wh2_dlc09_tmb_dilemma_stray_mortals	
SECOND	wh2_dlc09_tmb_dilemma_stray_mortals	
FIRST	wh2_dlc09_tmb_dilemma_the_banisher	
SECOND	wh2_dlc09_tmb_dilemma_the_banisher	
FIRST	wh2_dlc09_tmb_settra_the_crown_of_nehekhara_stage_3	
SECOND	wh2_dlc09_tmb_settra_the_crown_of_nehekhara_stage_3	
FIRST	wh2_dlc10_monster_hunt_10_stage_2	
SECOND	wh2_dlc10_monster_hunt_10_stage_2	
FIRST	wh2_dlc10_nor_monster_hunt_10_dilemma_reward	
FOURTH	wh2_dlc10_nor_monster_hunt_10_dilemma_reward	
SECOND	wh2_dlc10_nor_monster_hunt_10_dilemma_reward	
THIRD	wh2_dlc10_nor_monster_hunt_10_dilemma_reward	
FIRST	wh2_dlc10_nor_monster_hunt_11_dilemma_reward	
FOURTH	wh2_dlc10_nor_monster_hunt_11_dilemma_reward	
SECOND	wh2_dlc10_nor_monster_hunt_11_dilemma_reward	
THIRD	wh2_dlc10_nor_monster_hunt_11_dilemma_reward	
FIRST	wh2_dlc10_nor_monster_hunt_8_dilemma_reward	
FOURTH	wh2_dlc10_nor_monster_hunt_8_dilemma_reward	
SECOND	wh2_dlc10_nor_monster_hunt_8_dilemma_reward	
THIRD	wh2_dlc10_nor_monster_hunt_8_dilemma_reward	
FIRST	wh2_dlc10_nor_monster_hunt_9_dilemma_reward	
FOURTH	wh2_dlc10_nor_monster_hunt_9_dilemma_reward	
SECOND	wh2_dlc10_nor_monster_hunt_9_dilemma_reward	
THIRD	wh2_dlc10_nor_monster_hunt_9_dilemma_reward	
FIRST	wh2_dlc10_qb_nor_monster_hunt_8_stage_2	
SECOND	wh2_dlc10_qb_nor_monster_hunt_8_stage_2	
FIRST	wh2_dlc10_sword_of_khaine_lv1	
SECOND	wh2_dlc10_sword_of_khaine_lv1	
FIRST	wh2_dlc10_sword_of_khaine_lv2	
SECOND	wh2_dlc10_sword_of_khaine_lv2	
FIRST	wh2_dlc10_sword_of_khaine_lv3	
SECOND	wh2_dlc10_sword_of_khaine_lv3	
FIRST	wh2_dlc10_sword_of_khaine_pick_or_not	
SECOND	wh2_dlc10_sword_of_khaine_pick_or_not	
FIRST	wh2_dlc11_cst_cylostra_the_bordeleaux_flabellum_stage_4	
SECOND	wh2_dlc11_cst_cylostra_the_bordeleaux_flabellum_stage_4	
FIRST	wh2_dlc11_cst_dilemma_ancient_treasure	
SECOND	wh2_dlc11_cst_dilemma_ancient_treasure	
FIRST	wh2_dlc11_cst_dilemma_camp_fortune	
SECOND	wh2_dlc11_cst_dilemma_camp_fortune	
FIRST	wh2_dlc11_cst_dilemma_great_golden_idol	
SECOND	wh2_dlc11_cst_dilemma_great_golden_idol	
FIRST	wh2_dlc11_cst_dilemma_great_naval_battle	
SECOND	wh2_dlc11_cst_dilemma_great_naval_battle	
FIRST	wh2_dlc11_cst_dilemma_grim_tidings	
SECOND	wh2_dlc11_cst_dilemma_grim_tidings	
FIRST	wh2_dlc11_cst_dilemma_ocean_of_opportunities	
FOURTH	wh2_dlc11_cst_dilemma_ocean_of_opportunities	
SECOND	wh2_dlc11_cst_dilemma_ocean_of_opportunities	
THIRD	wh2_dlc11_cst_dilemma_ocean_of_opportunities	
FIRST	wh2_dlc11_cst_dilemma_pirate_haven	
SECOND	wh2_dlc11_cst_dilemma_pirate_haven	
FIRST	wh2_dlc11_cst_dilemma_plan_of_action	
SECOND	wh2_dlc11_cst_dilemma_plan_of_action	
FIRST	wh2_dlc11_cst_dilemma_rotten_wood	
SECOND	wh2_dlc11_cst_dilemma_rotten_wood	
FIRST	wh2_dlc11_cst_dilemma_salvage_supplies	
SECOND	wh2_dlc11_cst_dilemma_salvage_supplies	
FIRST	wh2_dlc11_cst_dilemma_shipping_ledger	
SECOND	wh2_dlc11_cst_dilemma_shipping_ledger	
FIRST	wh2_dlc11_cst_dilemma_shyish_wanes	
SECOND	wh2_dlc11_cst_dilemma_shyish_wanes	
FIRST	wh2_dlc11_cst_dilemma_supplies_adrift	
SECOND	wh2_dlc11_cst_dilemma_supplies_adrift	
FIRST	wh2_dlc11_dilemma_neo_encounter_at_sea_1_a	
SECOND	wh2_dlc11_dilemma_neo_encounter_at_sea_1_a	
FIRST	wh2_dlc11_dilemma_neo_encounter_at_sea_1_b	
SECOND	wh2_dlc11_dilemma_neo_encounter_at_sea_1_b	
FIRST	wh2_dlc11_dilemma_neo_encounter_at_sea_1_c	
SECOND	wh2_dlc11_dilemma_neo_encounter_at_sea_1_c	
FIRST	wh2_dlc11_dilemma_neo_encounter_at_sea_2_a	
SECOND	wh2_dlc11_dilemma_neo_encounter_at_sea_2_a	
FIRST	wh2_dlc11_dilemma_neo_encounter_at_sea_2_b	
SECOND	wh2_dlc11_dilemma_neo_encounter_at_sea_2_b	
FIRST	wh2_dlc11_dilemma_neo_encounter_at_sea_2_c	
SECOND	wh2_dlc11_dilemma_neo_encounter_at_sea_2_c	
FIRST	wh2_dlc11_dilemma_neo_encounter_at_sea_3_a	
SECOND	wh2_dlc11_dilemma_neo_encounter_at_sea_3_a	
FIRST	wh2_dlc11_dilemma_neo_encounter_at_sea_3_b	
SECOND	wh2_dlc11_dilemma_neo_encounter_at_sea_3_b	
FIRST	wh2_dlc11_dilemma_neo_encounter_at_sea_3_c	
SECOND	wh2_dlc11_dilemma_neo_encounter_at_sea_3_c	
FIRST	wh2_dlc11_dilemma_neo_encounter_at_sea_4_a	
SECOND	wh2_dlc11_dilemma_neo_encounter_at_sea_4_a	
FIRST	wh2_dlc11_great_vortex_cst_cylostra_the_bordeleaux_flabellum_stage_4	
SECOND	wh2_dlc11_great_vortex_cst_cylostra_the_bordeleaux_flabellum_stage_4	
FIRST	wh2_dlc11_th_puzzle_1_1	
FOURTH	wh2_dlc11_th_puzzle_1_1	
SECOND	wh2_dlc11_th_puzzle_1_1	
THIRD	wh2_dlc11_th_puzzle_1_1	
FIRST	wh2_dlc11_th_puzzle_1_2	
FOURTH	wh2_dlc11_th_puzzle_1_2	
SECOND	wh2_dlc11_th_puzzle_1_2	
THIRD	wh2_dlc11_th_puzzle_1_2	
FIRST	wh2_dlc11_th_puzzle_1_3	
FOURTH	wh2_dlc11_th_puzzle_1_3	
SECOND	wh2_dlc11_th_puzzle_1_3	
THIRD	wh2_dlc11_th_puzzle_1_3	
FIRST	wh2_dlc11_th_puzzle_1_4	
FOURTH	wh2_dlc11_th_puzzle_1_4	
SECOND	wh2_dlc11_th_puzzle_1_4	
THIRD	wh2_dlc11_th_puzzle_1_4	
FIRST	wh2_dlc11_th_puzzle_1_5	
FOURTH	wh2_dlc11_th_puzzle_1_5	
SECOND	wh2_dlc11_th_puzzle_1_5	
THIRD	wh2_dlc11_th_puzzle_1_5	
FIRST	wh2_dlc11_th_puzzle_1_6	
FOURTH	wh2_dlc11_th_puzzle_1_6	
SECOND	wh2_dlc11_th_puzzle_1_6	
THIRD	wh2_dlc11_th_puzzle_1_6	
FIRST	wh2_dlc11_th_puzzle_1_7	
FOURTH	wh2_dlc11_th_puzzle_1_7	
SECOND	wh2_dlc11_th_puzzle_1_7	
THIRD	wh2_dlc11_th_puzzle_1_7	
FIRST	wh2_dlc11_th_puzzle_1_8	
FOURTH	wh2_dlc11_th_puzzle_1_8	
SECOND	wh2_dlc11_th_puzzle_1_8	
THIRD	wh2_dlc11_th_puzzle_1_8	
FIRST	wh2_dlc11_th_puzzle_1_9	
FOURTH	wh2_dlc11_th_puzzle_1_9	
SECOND	wh2_dlc11_th_puzzle_1_9	
THIRD	wh2_dlc11_th_puzzle_1_9	
FIRST	wh2_dlc11_th_puzzle_2_10	
FOURTH	wh2_dlc11_th_puzzle_2_10	
SECOND	wh2_dlc11_th_puzzle_2_10	
THIRD	wh2_dlc11_th_puzzle_2_10	
FIRST	wh2_dlc11_th_puzzle_2_11	
FOURTH	wh2_dlc11_th_puzzle_2_11	
SECOND	wh2_dlc11_th_puzzle_2_11	
THIRD	wh2_dlc11_th_puzzle_2_11	
FIRST	wh2_dlc11_th_puzzle_2_12	
FOURTH	wh2_dlc11_th_puzzle_2_12	
SECOND	wh2_dlc11_th_puzzle_2_12	
THIRD	wh2_dlc11_th_puzzle_2_12	
FIRST	wh2_dlc11_th_puzzle_2_1	
FOURTH	wh2_dlc11_th_puzzle_2_1	
SECOND	wh2_dlc11_th_puzzle_2_1	
THIRD	wh2_dlc11_th_puzzle_2_1	
FIRST	wh2_dlc11_th_puzzle_2_2	
FOURTH	wh2_dlc11_th_puzzle_2_2	
SECOND	wh2_dlc11_th_puzzle_2_2	
THIRD	wh2_dlc11_th_puzzle_2_2	
FIRST	wh2_dlc11_th_puzzle_2_3	
FOURTH	wh2_dlc11_th_puzzle_2_3	
SECOND	wh2_dlc11_th_puzzle_2_3	
THIRD	wh2_dlc11_th_puzzle_2_3	
FIRST	wh2_dlc11_th_puzzle_2_4	
FOURTH	wh2_dlc11_th_puzzle_2_4	
SECOND	wh2_dlc11_th_puzzle_2_4	
THIRD	wh2_dlc11_th_puzzle_2_4	
FIRST	wh2_dlc11_th_puzzle_2_5	
FOURTH	wh2_dlc11_th_puzzle_2_5	
SECOND	wh2_dlc11_th_puzzle_2_5	
THIRD	wh2_dlc11_th_puzzle_2_5	
FIRST	wh2_dlc11_th_puzzle_2_6	
FOURTH	wh2_dlc11_th_puzzle_2_6	
SECOND	wh2_dlc11_th_puzzle_2_6	
THIRD	wh2_dlc11_th_puzzle_2_6	
FIRST	wh2_dlc11_th_puzzle_2_7	
FOURTH	wh2_dlc11_th_puzzle_2_7	
SECOND	wh2_dlc11_th_puzzle_2_7	
THIRD	wh2_dlc11_th_puzzle_2_7	
FIRST	wh2_dlc11_th_puzzle_2_8	
FOURTH	wh2_dlc11_th_puzzle_2_8	
SECOND	wh2_dlc11_th_puzzle_2_8	
THIRD	wh2_dlc11_th_puzzle_2_8	
FIRST	wh2_dlc11_th_puzzle_2_9	
FOURTH	wh2_dlc11_th_puzzle_2_9	
SECOND	wh2_dlc11_th_puzzle_2_9	
THIRD	wh2_dlc11_th_puzzle_2_9	
FIRST	wh2_dlc11_th_puzzle_3_10	
FOURTH	wh2_dlc11_th_puzzle_3_10	
SECOND	wh2_dlc11_th_puzzle_3_10	
THIRD	wh2_dlc11_th_puzzle_3_10	
FIRST	wh2_dlc11_th_puzzle_3_11	
FOURTH	wh2_dlc11_th_puzzle_3_11	
SECOND	wh2_dlc11_th_puzzle_3_11	
THIRD	wh2_dlc11_th_puzzle_3_11	
FIRST	wh2_dlc11_th_puzzle_3_12	
FOURTH	wh2_dlc11_th_puzzle_3_12	
SECOND	wh2_dlc11_th_puzzle_3_12	
THIRD	wh2_dlc11_th_puzzle_3_12	
FIRST	wh2_dlc11_th_puzzle_3_1	
FOURTH	wh2_dlc11_th_puzzle_3_1	
SECOND	wh2_dlc11_th_puzzle_3_1	
THIRD	wh2_dlc11_th_puzzle_3_1	
FIRST	wh2_dlc11_th_puzzle_3_2	
FOURTH	wh2_dlc11_th_puzzle_3_2	
SECOND	wh2_dlc11_th_puzzle_3_2	
THIRD	wh2_dlc11_th_puzzle_3_2	
FIRST	wh2_dlc11_th_puzzle_3_3	
FOURTH	wh2_dlc11_th_puzzle_3_3	
SECOND	wh2_dlc11_th_puzzle_3_3	
THIRD	wh2_dlc11_th_puzzle_3_3	
FIRST	wh2_dlc11_th_puzzle_3_4	
FOURTH	wh2_dlc11_th_puzzle_3_4	
SECOND	wh2_dlc11_th_puzzle_3_4	
THIRD	wh2_dlc11_th_puzzle_3_4	
FIRST	wh2_dlc11_th_puzzle_3_5	
FOURTH	wh2_dlc11_th_puzzle_3_5	
SECOND	wh2_dlc11_th_puzzle_3_5	
THIRD	wh2_dlc11_th_puzzle_3_5	
FIRST	wh2_dlc11_th_puzzle_3_6	
FOURTH	wh2_dlc11_th_puzzle_3_6	
SECOND	wh2_dlc11_th_puzzle_3_6	
THIRD	wh2_dlc11_th_puzzle_3_6	
FIRST	wh2_dlc11_th_puzzle_3_7	
FOURTH	wh2_dlc11_th_puzzle_3_7	
SECOND	wh2_dlc11_th_puzzle_3_7	
THIRD	wh2_dlc11_th_puzzle_3_7	
FIRST	wh2_dlc11_th_puzzle_3_8	
FOURTH	wh2_dlc11_th_puzzle_3_8	
SECOND	wh2_dlc11_th_puzzle_3_8	
THIRD	wh2_dlc11_th_puzzle_3_8	
FIRST	wh2_dlc11_th_puzzle_3_9	
FOURTH	wh2_dlc11_th_puzzle_3_9	
SECOND	wh2_dlc11_th_puzzle_3_9	
THIRD	wh2_dlc11_th_puzzle_3_9	
FIRST	wh2_dlc11_th_puzzle_4_1	
FOURTH	wh2_dlc11_th_puzzle_4_1	
SECOND	wh2_dlc11_th_puzzle_4_1	
THIRD	wh2_dlc11_th_puzzle_4_1	
FIRST	wh2_dlc11_th_puzzle_4_2	
FOURTH	wh2_dlc11_th_puzzle_4_2	
SECOND	wh2_dlc11_th_puzzle_4_2	
THIRD	wh2_dlc11_th_puzzle_4_2	
FIRST	wh2_dlc11_th_puzzle_4_3	
FOURTH	wh2_dlc11_th_puzzle_4_3	
SECOND	wh2_dlc11_th_puzzle_4_3	
THIRD	wh2_dlc11_th_puzzle_4_3	
FIRST	wh2_dlc11_th_puzzle_4_4	
FOURTH	wh2_dlc11_th_puzzle_4_4	
SECOND	wh2_dlc11_th_puzzle_4_4	
THIRD	wh2_dlc11_th_puzzle_4_4	
FIRST	wh2_dlc11_th_puzzle_4_5	
FOURTH	wh2_dlc11_th_puzzle_4_5	
SECOND	wh2_dlc11_th_puzzle_4_5	
THIRD	wh2_dlc11_th_puzzle_4_5	
FIRST	wh2_dlc11_th_puzzle_4_6	
FOURTH	wh2_dlc11_th_puzzle_4_6	
SECOND	wh2_dlc11_th_puzzle_4_6	
THIRD	wh2_dlc11_th_puzzle_4_6	
FIRST	wh2_dlc11_th_puzzle_4_7	
FOURTH	wh2_dlc11_th_puzzle_4_7	
SECOND	wh2_dlc11_th_puzzle_4_7	
THIRD	wh2_dlc11_th_puzzle_4_7	
FIRST	wh2_dlc11_th_puzzle_4_8	
FOURTH	wh2_dlc11_th_puzzle_4_8	
SECOND	wh2_dlc11_th_puzzle_4_8	
THIRD	wh2_dlc11_th_puzzle_4_8	
FIRST	wh2_dlc11_th_puzzle_4_9	
FOURTH	wh2_dlc11_th_puzzle_4_9	
SECOND	wh2_dlc11_th_puzzle_4_9	
THIRD	wh2_dlc11_th_puzzle_4_9	
FIRST	wh2_dlc13_demand_return_wh3_main_combi_region_altdorf	
SECOND	wh2_dlc13_demand_return_wh3_main_combi_region_altdorf	
FIRST	wh2_dlc13_demand_return_wh3_main_combi_region_averheim	
SECOND	wh2_dlc13_demand_return_wh3_main_combi_region_averheim	
FIRST	wh2_dlc13_demand_return_wh3_main_combi_region_bechafen	
SECOND	wh2_dlc13_demand_return_wh3_main_combi_region_bechafen	
FIRST	wh2_dlc13_demand_return_wh3_main_combi_region_brass_keep	
SECOND	wh2_dlc13_demand_return_wh3_main_combi_region_brass_keep	
FIRST	wh2_dlc13_demand_return_wh3_main_combi_region_carroburg	
SECOND	wh2_dlc13_demand_return_wh3_main_combi_region_carroburg	
FIRST	wh2_dlc13_demand_return_wh3_main_combi_region_castle_von_rauken	
SECOND	wh2_dlc13_demand_return_wh3_main_combi_region_castle_von_rauken	
FIRST	wh2_dlc13_demand_return_wh3_main_combi_region_dietershafen	
SECOND	wh2_dlc13_demand_return_wh3_main_combi_region_dietershafen	
FIRST	wh2_dlc13_demand_return_wh3_main_combi_region_eilhart	
SECOND	wh2_dlc13_demand_return_wh3_main_combi_region_eilhart	
FIRST	wh2_dlc13_demand_return_wh3_main_combi_region_essen	
SECOND	wh2_dlc13_demand_return_wh3_main_combi_region_essen	
FIRST	wh2_dlc13_demand_return_wh3_main_combi_region_flensburg	
SECOND	wh2_dlc13_demand_return_wh3_main_combi_region_flensburg	
FIRST	wh2_dlc13_demand_return_wh3_main_combi_region_grenzstadt	
SECOND	wh2_dlc13_demand_return_wh3_main_combi_region_grenzstadt	
FIRST	wh2_dlc13_demand_return_wh3_main_combi_region_grunburg	
SECOND	wh2_dlc13_demand_return_wh3_main_combi_region_grunburg	
FIRST	wh2_dlc13_demand_return_wh3_main_combi_region_helmgart	
SECOND	wh2_dlc13_demand_return_wh3_main_combi_region_helmgart	
FIRST	wh2_dlc13_demand_return_wh3_main_combi_region_hergig	
SECOND	wh2_dlc13_demand_return_wh3_main_combi_region_hergig	
FIRST	wh2_dlc13_demand_return_wh3_main_combi_region_kappelburg	
SECOND	wh2_dlc13_demand_return_wh3_main_combi_region_kappelburg	
FIRST	wh2_dlc13_demand_return_wh3_main_combi_region_kemperbad	
SECOND	wh2_dlc13_demand_return_wh3_main_combi_region_kemperbad	
FIRST	wh2_dlc13_demand_return_wh3_main_combi_region_krugenheim	
SECOND	wh2_dlc13_demand_return_wh3_main_combi_region_krugenheim	
FIRST	wh2_dlc13_demand_return_wh3_main_combi_region_middenheim	
SECOND	wh2_dlc13_demand_return_wh3_main_combi_region_middenheim	
FIRST	wh2_dlc13_demand_return_wh3_main_combi_region_middenstag	
SECOND	wh2_dlc13_demand_return_wh3_main_combi_region_middenstag	
FIRST	wh2_dlc13_demand_return_wh3_main_combi_region_mordheim	
SECOND	wh2_dlc13_demand_return_wh3_main_combi_region_mordheim	
FIRST	wh2_dlc13_demand_return_wh3_main_combi_region_nagenhof	
SECOND	wh2_dlc13_demand_return_wh3_main_combi_region_nagenhof	
FIRST	wh2_dlc13_demand_return_wh3_main_combi_region_niedling	
SECOND	wh2_dlc13_demand_return_wh3_main_combi_region_niedling	
FIRST	wh2_dlc13_demand_return_wh3_main_combi_region_norden	
SECOND	wh2_dlc13_demand_return_wh3_main_combi_region_norden	
FIRST	wh2_dlc13_demand_return_wh3_main_combi_region_nuln	
SECOND	wh2_dlc13_demand_return_wh3_main_combi_region_nuln	
FIRST	wh2_dlc13_demand_return_wh3_main_combi_region_pfeildorf	
SECOND	wh2_dlc13_demand_return_wh3_main_combi_region_pfeildorf	
FIRST	wh2_dlc13_demand_return_wh3_main_combi_region_salzenmund	
SECOND	wh2_dlc13_demand_return_wh3_main_combi_region_salzenmund	
FIRST	wh2_dlc13_demand_return_wh3_main_combi_region_talabheim	
SECOND	wh2_dlc13_demand_return_wh3_main_combi_region_talabheim	
FIRST	wh2_dlc13_demand_return_wh3_main_combi_region_the_moot	
SECOND	wh2_dlc13_demand_return_wh3_main_combi_region_the_moot	
FIRST	wh2_dlc13_demand_return_wh3_main_combi_region_weismund	
SECOND	wh2_dlc13_demand_return_wh3_main_combi_region_weismund	
FIRST	wh2_dlc13_demand_return_wh3_main_combi_region_wissenburg	
SECOND	wh2_dlc13_demand_return_wh3_main_combi_region_wissenburg	
FIRST	wh2_dlc13_demand_return_wh3_main_combi_region_wolfenburg	
SECOND	wh2_dlc13_demand_return_wh3_main_combi_region_wolfenburg	
FIRST	wh2_dlc13_demand_return_wh3_main_combi_region_wurtbad	
SECOND	wh2_dlc13_demand_return_wh3_main_combi_region_wurtbad	
FIRST	wh2_dlc13_emp_elector_civil_war	
FOURTH	wh2_dlc13_emp_elector_civil_war	
SECOND	wh2_dlc13_emp_elector_civil_war	
THIRD	wh2_dlc13_emp_elector_civil_war	
FIRST	wh2_dlc13_emp_elector_confederate_averland	
SECOND	wh2_dlc13_emp_elector_confederate_averland	
FIRST	wh2_dlc13_emp_elector_confederate_golden	
SECOND	wh2_dlc13_emp_elector_confederate_golden	
FIRST	wh2_dlc13_emp_elector_confederate_hochland	
SECOND	wh2_dlc13_emp_elector_confederate_hochland	
FIRST	wh2_dlc13_emp_elector_confederate_middenland	
SECOND	wh2_dlc13_emp_elector_confederate_middenland	
FIRST	wh2_dlc13_emp_elector_confederate_nordland	
SECOND	wh2_dlc13_emp_elector_confederate_nordland	
FIRST	wh2_dlc13_emp_elector_confederate_ostermark	
SECOND	wh2_dlc13_emp_elector_confederate_ostermark	
FIRST	wh2_dlc13_emp_elector_confederate_ostland	
SECOND	wh2_dlc13_emp_elector_confederate_ostland	
FIRST	wh2_dlc13_emp_elector_confederate_reikland	
SECOND	wh2_dlc13_emp_elector_confederate_reikland	
FIRST	wh2_dlc13_emp_elector_confederate_stirland	
SECOND	wh2_dlc13_emp_elector_confederate_stirland	
FIRST	wh2_dlc13_emp_elector_confederate_talabecland	
SECOND	wh2_dlc13_emp_elector_confederate_talabecland	
FIRST	wh2_dlc13_emp_elector_confederate_wissenland	
SECOND	wh2_dlc13_emp_elector_confederate_wissenland	
FIRST	wh2_dlc13_emp_elector_invasion_beastmen	
FOURTH	wh2_dlc13_emp_elector_invasion_beastmen	
SECOND	wh2_dlc13_emp_elector_invasion_beastmen	
THIRD	wh2_dlc13_emp_elector_invasion_beastmen	
FIRST	wh2_dlc13_emp_elector_invasion_greenskins	
FOURTH	wh2_dlc13_emp_elector_invasion_greenskins	
SECOND	wh2_dlc13_emp_elector_invasion_greenskins	
THIRD	wh2_dlc13_emp_elector_invasion_greenskins	
FIRST	wh2_dlc13_emp_elector_invasion_norsca	
FOURTH	wh2_dlc13_emp_elector_invasion_norsca	
SECOND	wh2_dlc13_emp_elector_invasion_norsca	
THIRD	wh2_dlc13_emp_elector_invasion_norsca	
FIRST	wh2_dlc13_emp_elector_invasion_skaven	
FOURTH	wh2_dlc13_emp_elector_invasion_skaven	
SECOND	wh2_dlc13_emp_elector_invasion_skaven	
THIRD	wh2_dlc13_emp_elector_invasion_skaven	
FIRST	wh2_dlc13_emp_elector_politics_10	
SECOND	wh2_dlc13_emp_elector_politics_10	
THIRD	wh2_dlc13_emp_elector_politics_10	
FIRST	wh2_dlc13_emp_elector_politics_11	
SECOND	wh2_dlc13_emp_elector_politics_11	
THIRD	wh2_dlc13_emp_elector_politics_11	
FIRST	wh2_dlc13_emp_elector_politics_12	
SECOND	wh2_dlc13_emp_elector_politics_12	
THIRD	wh2_dlc13_emp_elector_politics_12	
FIRST	wh2_dlc13_emp_elector_politics_13	
SECOND	wh2_dlc13_emp_elector_politics_13	
FIRST	wh2_dlc13_emp_elector_politics_14	
SECOND	wh2_dlc13_emp_elector_politics_14	
FIRST	wh2_dlc13_emp_elector_politics_15	
SECOND	wh2_dlc13_emp_elector_politics_15	
FIRST	wh2_dlc13_emp_elector_politics_16	
SECOND	wh2_dlc13_emp_elector_politics_16	
FIRST	wh2_dlc13_emp_elector_politics_17	
SECOND	wh2_dlc13_emp_elector_politics_17	
THIRD	wh2_dlc13_emp_elector_politics_17	
FIRST	wh2_dlc13_emp_elector_politics_18	
SECOND	wh2_dlc13_emp_elector_politics_18	
THIRD	wh2_dlc13_emp_elector_politics_18	
FIRST	wh2_dlc13_emp_elector_politics_19	
SECOND	wh2_dlc13_emp_elector_politics_19	
THIRD	wh2_dlc13_emp_elector_politics_19	
FIRST	wh2_dlc13_emp_elector_politics_1	
SECOND	wh2_dlc13_emp_elector_politics_1	
FIRST	wh2_dlc13_emp_elector_politics_20	
SECOND	wh2_dlc13_emp_elector_politics_20	
THIRD	wh2_dlc13_emp_elector_politics_20	
FIRST	wh2_dlc13_emp_elector_politics_2	
SECOND	wh2_dlc13_emp_elector_politics_2	
FIRST	wh2_dlc13_emp_elector_politics_3	
SECOND	wh2_dlc13_emp_elector_politics_3	
FIRST	wh2_dlc13_emp_elector_politics_4	
SECOND	wh2_dlc13_emp_elector_politics_4	
FIRST	wh2_dlc13_emp_elector_politics_5	
SECOND	wh2_dlc13_emp_elector_politics_5	
THIRD	wh2_dlc13_emp_elector_politics_5	
FIRST	wh2_dlc13_emp_elector_politics_6	
SECOND	wh2_dlc13_emp_elector_politics_6	
THIRD	wh2_dlc13_emp_elector_politics_6	
FIRST	wh2_dlc13_emp_elector_politics_7	
SECOND	wh2_dlc13_emp_elector_politics_7	
THIRD	wh2_dlc13_emp_elector_politics_7	
FIRST	wh2_dlc13_emp_elector_politics_8	
SECOND	wh2_dlc13_emp_elector_politics_8	
THIRD	wh2_dlc13_emp_elector_politics_8	
FIRST	wh2_dlc13_emp_elector_politics_9	
SECOND	wh2_dlc13_emp_elector_politics_9	
THIRD	wh2_dlc13_emp_elector_politics_9	
FIRST	wh2_dlc13_emp_elector_prestige_endgame_1	
FOURTH	wh2_dlc13_emp_elector_prestige_endgame_1	
SECOND	wh2_dlc13_emp_elector_prestige_endgame_1	
THIRD	wh2_dlc13_emp_elector_prestige_endgame_1	
FIRST	wh2_dlc13_emp_elector_succeeds	
SECOND	wh2_dlc13_emp_elector_succeeds	
FIRST	wh2_dlc13_emp_elector_succeeds_fealty	
SECOND	wh2_dlc13_emp_elector_succeeds_fealty	
