faction_set	unit	recruitment_cost
warriors_factions	525	wh3_main_nur_inf_nurglings_0
subcult_nurgle	1400	wh3_main_nur_inf_plaguebearers_0
warriors_factions	1125	wh3_main_nur_inf_plaguebearers_0
subcult_nurgle	2200	wh3_main_nur_inf_plaguebearers_1
warriors_factions	1650	wh3_main_nur_inf_plaguebearers_1
subcult_nurgle	1600	wh3_main_nur_mon_beast_of_nurgle_0
warriors_factions	1200	wh3_main_nur_mon_beast_of_nurgle_0
subcult_nurgle	4000	wh3_main_nur_mon_great_unclean_one_0
warriors_factions	3000	wh3_main_nur_mon_great_unclean_one_0
subcult_nurgle	1200	wh3_main_nur_mon_plague_toads_0
subcult_nurgle	1800	wh3_main_nur_mon_rot_flies_0
warriors_factions	1350	wh3_main_nur_mon_rot_flies_0
subcult_nurgle	3800	wh3_main_nur_mon_soul_grinder_0
warriors_factions	2850	wh3_main_nur_mon_soul_grinder_0
subcult_nurgle	2000	wh3_main_nur_mon_spawn_of_nurgle_0_warriors
warriors_factions	1500	wh3_main_nur_mon_spawn_of_nurgle_0_warriors
subcult_nurgle	2000	wh3_main_nur_mon_spawn_of_nurgle_0
warriors_factions	1200	wh3_main_sla_inf_daemonette_0
warriors_factions	1875	wh3_main_sla_inf_daemonette_1
warriors_factions	1950	wh3_main_sla_mon_fiends_of_slaanesh_0
warriors_factions	3000	wh3_main_sla_mon_keeper_of_secrets_0
warriors_factions	2850	wh3_main_sla_mon_soul_grinder_0
warriors_factions	1500	wh3_main_sla_mon_spawn_of_slaanesh_0
warriors_factions	1200	wh3_main_sla_veh_seeker_chariot_0
warriors_factions	1275	wh3_main_tze_inf_forsaken_0
warriors_factions	1050	wh3_main_tze_inf_pink_horrors_0
warriors_factions	1650	wh3_main_tze_inf_pink_horrors_1
warriors_factions	1275	wh3_main_tze_mon_flamers_0
warriors_factions	2550	wh3_main_tze_mon_lord_of_change_0
warriors_factions	1050	wh3_main_tze_mon_screamers_0
warriors_factions	2850	wh3_main_tze_mon_soul_grinder_0
warriors_factions	1500	wh3_main_tze_mon_spawn_of_tzeentch_0
warriors_factions	1125	wh_dlc01_chs_inf_forsaken_0
warriors_factions	3000	wh_dlc01_chs_mon_dragon_ogre_shaggoth
warriors_factions	2475	wh_dlc01_chs_mon_dragon_ogre
warriors_factions	1200	wh_dlc06_chs_feral_manticore
warriors_factions	1650	wh_dlc06_chs_inf_aspiring_champions_0
warriors_factions	1950	wh_main_chs_art_hellcannon
warriors_factions	1425	wh_main_chs_cav_chaos_chariot
warriors_factions	2175	wh_main_chs_cav_chaos_knights_0
warriors_factions	750	wh_main_chs_cav_marauder_horsemen_0
warriors_factions	560	wh_main_chs_inf_chaos_marauders_0
warriors_factions	1200	wh_main_chs_inf_chaos_warriors_0
warriors_factions	1350	wh_main_chs_mon_chaos_spawn
warriors_factions	600	wh_main_chs_mon_chaos_warhounds_0
subcult_nurgle	900	wh_main_chs_mon_chaos_warhounds_1
warriors_factions	675	wh_main_chs_mon_chaos_warhounds_1
warriors_factions	2250	wh_main_chs_mon_giant
warriors_factions	1200	wh_main_chs_mon_trolls
warriors_factions	2300	wh_pro04_chs_art_hellcannon_ror_0
warriors_factions	1450	wh_pro04_chs_inf_chaos_warriors_ror_0
warriors_factions	1500	wh_pro04_chs_inf_forsaken_ror_0
warriors_factions	1850	wh_pro04_chs_mon_chaos_spawn_ror_0
warriors_factions	3000	wh_pro04_chs_mon_dragon_ogre_ror_0
