key	unit_attribute	unit_set
wh2_dlc15_grn_vanguard_deployment_boyz_big_uns	guerrilla_deploy	wh2_dlc15_grn_all_boyz_and_big_uns
wh2_dlc15_immune_to_psychology_orc_cav	immune_to_psychology	grn_cav_orc
wh2_dlc15_immune_to_psychology_savage_orc_cav	immune_to_psychology	grn_dlc06_savage_orc_riders
wh2_dlc15_perfect_vigour_grn_chariots	fatigue_immune	grn_chariots
wh2_dlc15_perfect_vigour_pumpwagons	fatigue_immune	wh2_dlc15_grn_veh_snotling_pump_wagon_all
wh2_dlc15_rampage_squig_herds	rampage	grn_dlc06_squigs
wh2_dlc16_attribute_enable_expendable	expendable	all_units
wh2_dlc16_cause_fear_wef_elves	causes_fear	wef_dlc05_wood_elf_elf_units
wh2_dlc16_effect_enable_attribute_cause_fear_hawk_riders	causes_fear	wef_dlc05_hawk_riders
wh2_dlc16_effect_enable_attribute_cause_terror_for_glade_captain_on_eagle	causes_terror	wh2_twa02_wef_glade_captain_eagle
wh2_dlc16_effect_enable_attribute_guerilla_deployment_wildwood_rangers	guerrilla_deploy	wef_dlc05_wildwood_rangers
wh2_dlc16_effect_enable_attribute_stalk_glade_guard	stalk	wef_dlc05_glade_guard
wh2_dlc16_effect_enable_attribute_stalk_unmounted_glade_captain	stalk	wh2_twa02_wef_glade_captain_unmounted
wh2_dlc16_effect_enable_attribute_strider_for_glade_captain_on_mount	strider	wh2_twa02_wef_glade_captain_horse_stag
wh2_dlc16_effect_enable_attribute_strider_wef_cavalry	strider	wef_dlc05_wood_elf_cavalry
wh2_dlc16_effect_enable_vanguard_deployment_wardancers	guerrilla_deploy	wef_dlc05_wardancers
wh2_dlc16_effect_expert_charge_defence_eternal_guard	charge_defense	wef_dlc05_eternal_guard
wh2_dlc16_effect_perfect_vigour_sisters_of_the_thorn	fatigue_immune	wef_dlc05_wood_elf_sisters_thorn
wh2_dlc16_effect_snipe_missile_infantry	snipe	infantry_units_missile
wh2_dlc16_effect_unit_enable_attribute_expert_charge_defence_empire_halberds	charge_defense	emp_halberds
wh2_dlc16_expendable_wef_elves	expendable	wef_dlc05_wood_elf_elf_units
wh2_dlc16_flying_guerilla_deploy	guerrilla_deploy	flying_units
wh2_dlc16_immune_to_psychology_elf_units	immune_to_psychology	wef_dlc05_wood_elf_elf_units
wh2_dlc16_stalk_drycha_beasts	stalk	wh2_dlc16_wef_drycha_wolves_spiders
wh2_dlc16_stalk_treekin	stalk	wh_dlc05_wef_mon_treekin
wh2_dlc16_stalk_wardancers	stalk	wef_dlc05_wardancers
wh2_dlc17_effect_attribute_stalk_khazrak_focus_units	stalk	wh2_dlc11_bst_ungor_gor_bestigor
wh2_dlc17_effect_attribute_stalk_khazrak_focus_units_2	stalk	wh2_dlc11_bst_warhounds_razorgor_herd_harpies
wh2_dlc17_effect_enable_attribute_cause_fear_bst_tuskgor_chariots	causes_fear	wh2_dlc17_bst_chariot_units
wh2_dlc17_effect_enable_attribute_cause_fear_bst_wargor_chariot_mounts	causes_fear	wh2_dlc17_bst_wargor_chariot_mounts
wh2_dlc17_effect_enable_attribute_cause_fear_bst_warhounds_harpies	causes_fear	wh2_dlc17_bst_warhounds_harpies
wh2_dlc17_effect_enable_attribute_cause_terror_bst_minotaurs_units	causes_terror	bst_dlc03_minotaurs
wh2_dlc17_effect_enable_attribute_cause_terror_bst_razorgor_chariots	causes_terror	wh2_dlc17_bst_chariot_units
wh2_dlc17_effect_enable_attribute_cause_terror_bst_wargor_chariot_mounts	causes_terror	wh2_dlc17_bst_wargor_chariot_mounts
wh2_dlc17_effect_enable_attribute_cause_terror_throgg_units	causes_terror	wh2_dlc17_throgg_focus_units
wh2_dlc17_effect_enable_attribute_encourage_bst_bestigors	encourages	bst_dlc03_bestigors
wh2_dlc17_effect_enable_attribute_fire_while_moving_gyrocopters	mounted_fire_move	dwf_gyros
wh2_dlc17_effect_enable_attribute_vanguard_deployment_bst_bestigors	guerrilla_deploy	bst_dlc03_bestigors
wh2_dlc17_effect_enable_attribute_vanguard_deployment_bst_chariot_units	guerrilla_deploy	wh2_dlc17_bst_unit_cap_razorgor_chariots
wh2_dlc17_effect_enable_attribute_vanguard_deployment_bst_wargor_chariot_mounts	guerrilla_deploy	wh2_dlc17_bst_wargor_chariot_mounts
wh2_dlc17_effect_enable_attribute_vanguard_deployment_bst_wargor_unmounted	guerrilla_deploy	wh2_dlc17_bst_wargor_unmounted
wh2_dlc17_effect_enable_fear_harpies	causes_fear	wh2_dlc17_bst_unit_cap_harpies
wh2_dlc17_snipe_chameleon_skink_skirmishers	snipe	lzd_chameleon_skink_skirmishers
wh2_dlc17_snipe_rangers	snipe	dwf_dlc06_rangers
wh2_dlc17_stalk_all_skinks	stalk	lzd_skinks
wh2_dlc17_unspottable_chameleon_stalkers	unspottable	lzd_chameleon_skink_stalkers
wh2_dlc17_vanguard_minotaurs	guerrilla_deploy	bst_dlc03_minotaurs
wh2_dlc17_vanguard_skinks	guerrilla_deploy	lzd_skinks
wh2_main_grn_goblin_guerilla_deploy	guerrilla_deploy	grn_infantry_goblin
wh2_main_hef_moranions_wayshard	guerrilla_deploy	wh2_main_hef_moranions_wayshard
wh2_twa03_stalk_cold_ones	stalk	feral_cold_ones_def_cold_one_riders
wh2_twa03_vanguard_corsairs	guerrilla_deploy	def_corsairs
wh3_dlc20_cause_fear_rank_4_chs_great_weapons	causes_fear	wh3_dlc20_chs_great_weapon_units_rank_4
wh3_dlc20_effect_attribute_devastating_flanker_chaos_chariots	devastating_flanker	merc_set_chs_chariot_sla
wh3_dlc20_effect_attribute_fear_chosen_und	causes_fear	chosen_und
wh3_dlc20_effect_attribute_fear_forsaken	causes_fear	merc_set_chs_forsaken_spawn_und
wh3_dlc20_effect_attribute_fear_terror_aspiring_champions	causes_fear	wh3_dlc20_chs_aspiring_champions_only
wh3_dlc20_effect_attribute_immpsy_aspiring_champions	immune_to_psychology	wh3_dlc20_chs_aspiring_champions_only
wh3_dlc20_effect_attribute_perfect_vigour_aspiring_champions	fatigue_immune	wh3_dlc20_chs_aspiring_champions_only
wh3_dlc20_effect_attribute_perfect_vigour_chosen	fatigue_immune	chs_chosen
wh3_dlc20_effect_attribute_perfect_vigour_chosen_und	fatigue_immune	chosen_und
wh3_dlc20_effect_attribute_perfect_vigour_forsaken	fatigue_immune	chs_forsaken
wh3_dlc20_effect_attribute_strider_aspiring_champions	strider	wh3_dlc20_chs_aspiring_champions_only
wh3_dlc20_effect_attribute_vanguard_chosen	guerrilla_deploy	chs_chosen
wh3_dlc20_effect_attribute_vanguard_marauders	guerrilla_deploy	wh3_dlc20_chs_marauders_inf_only
wh3_dlc20_effect_attribute_vanguard_slaanesh_chariots	guerrilla_deploy	merc_set_chs_chariot_sla
wh3_dlc20_effect_attribute_vanguard_warriors	guerrilla_deploy	chs_warriors
wh3_dlc20_expendable_marauder_horsemen	expendable	wh3_dlc20_marauder_horsemen_all
wh3_dlc20_expendable_marauders	expendable	wh3_dlc20_chs_marauders_inf_only
wh3_dlc20_expert_charge_defence_chs_spear_halberds_rank_4	charge_defense	wh3_dlc20_chs_spear_halberd_units_rank_4
wh3_dlc20_ogre_charge_knights_mkho	ogre_charge	chs_knights_mkho
wh3_dlc20_ogre_charge_skullcrushers	ogre_charge	wh3_main_kho_cav_skullcrushers_0
wh3_dlc20_strider_cav_chariots_msla	strider	cav_chariots_msla
wh3_dlc20_terror_chaos_spawn	causes_terror	wh3_dlc20_chs_chaos_spawn_all
wh3_dlc20_vanguard_chaos_knights	guerrilla_deploy	wh3_dlc20_chs_chaos_knights
wh3_dlc20_vanguard_juggernauts	guerrilla_deploy	wh3_dlc20_chs_juggernauts
wh3_main_cth_cha_storm_dragon_0_rampage	rampage	wh3_main_cth_cha_storm_dragon_0
wh3_main_cth_cha_storm_dragon_1_rampage	rampage	wh3_main_cth_cha_storm_dragon_1
wh3_main_effect_attribute_enable_causes_terror_flesh_hounds_minotaurs	causes_terror	wh3_main_kho_flesh_hounds_minotaurs
wh3_main_effect_attribute_enable_causes_terror_iridescent_horror	causes_terror	tze_iridescent_horrors
wh3_main_effect_attribute_enable_causes_terror_ogr_gorger	causes_terror	ogr_gorgers
wh3_main_effect_attribute_enable_devestating_flanker_jade_lancer	devastating_flanker	wh3_main_cth_cav_jade_lancers_0
wh3_main_effect_attribute_enable_devestating_flanker_sla_cavalry_chariots	devastating_flanker	sla_cavalry_chariots
wh3_main_effect_attribute_enable_perfect_vigour_cth_peasant_horsemen_archer	fatigue_immune	wh3_main_cth_cav_peasant_horsemen_0
wh3_main_effect_attribute_enable_perfect_vigour_kho_bloodletters	fatigue_immune	kho_bloodletters
wh3_main_effect_attribute_enable_perfect_vigour_kho_crushers	fatigue_immune	kho_crushers
wh3_main_effect_attribute_enable_perfect_vigour_sla_cavalry	fatigue_immune	wh3_main_sla_cav
wh3_main_effect_attribute_enable_stalk_peasant_archer	stalk	wh3_main_cth_inf_peasant_archers_0
wh3_main_effect_attribute_enable_unbreakable_kho_bloodthirster	unbreakable	wh3_main_kho_mon_bloodthirster_0
wh3_main_effect_attribute_enable_vanguard_deployment_nur_plague_toad_rot_flies	guerrilla_deploy	nur_plague_toad_rot_flies
wh3_main_effect_attribute_spell_mastery_ancient_treemen	spell_mastery	wh2_dlc16_wef_ancient_treemen
wh3_main_effect_attribute_spell_mastery_spellsingers	spell_mastery	wef_dlc05_spellsingers
wh3_main_effect_attribute_wallbreaker_ancient_treemen	wallbreaker	wh2_dlc16_wef_ancient_treemen
wh3_main_effect_attribute_wallbreaker_treemen	wallbreaker	wef_dlc05_treemen
wh3_main_effect_enable_attribute_expert_charge_defence_vs_large_nur_plaguebearer	charge_defense_vs_large	nur_plaguebearers
wh3_main_flesh_hounds_strider	strider	wh3_main_kho_inf_flesh_hounds_of_khorne_0
wh3_main_ogr_cha_hunter_1_perfect_vigour	fatigue_immune	wh3_main_ogr_cha_hunter_1
wh3_main_ogr_gnoblars_unbreakable	unbreakable	ogr_gnoblars
wh3_main_ogr_sabretusks_enable_guerrilla_deployment	guerrilla_deploy	ogr_sabretusks
wh3_main_ogr_sabretusks_enable_immune_to_psychology	immune_to_psychology	ogr_sabretusks
wh3_main_ogr_sabretusks_enable_stalk	stalk	ogr_sabretusks
wh3_main_ogr_snow_leopard_enable_stalk	stalk	wh3_main_ksl_mon_snow_leopard_0
wh3_main_spell_mastery_tze_cultists	spell_mastery	tze_cultist
wh3_main_spell_mastery_tze_exalted_lords_of_change_kairos	spell_mastery	tze_exalted_lords_of_change_kairos
wh3_main_spell_mastery_tze_iridescent_horrors	spell_mastery	tze_iridescent_horrors
wh3_main_spell_mastery_tze_lords_of_change	spell_mastery	wh3_main_tze_mon_lord_of_change_0
