query_variable	query_variable_set	value
region_range	enemy_army_present_range_1	1
region_range	enemy_army_present_range_2	2
region_range	enemy_army_present_range_3	3
max	enemy_army_strength_present_range_1	0.7
min	enemy_army_strength_present_range_1	0.4
min_max_behaviour	enemy_army_strength_present_range_1	scaled
owned_by	enemy_army_strength_present_range_1	enemy
region_range	enemy_army_strength_present_range_1	1
max	enemy_army_strong	0.8
min	enemy_army_strong	0.2
min_max_behaviour	enemy_army_strong	scaled
max	enemy_territory_range_0	1
min	enemy_territory_range_0	0
min_max_behaviour	enemy_territory_range_0	scaled
owned_by	enemy_territory_range_0	enemy
region_range	enemy_territory_range_0	0
region_range	enemy_territory_range_1	1
region_range	enemy_territory_range_2	2
region_range	enemy_territory_range_3	3
max	equals_0	0
min	equals_0	0
min_max_behaviour	equals_0	bounds
max	equals_1	1
min	equals_1	1
min_max_behaviour	equals_1	bounds
max	equals_2	2
min	equals_2	2
min_max_behaviour	equals_2	bounds
max	equals_3	3
min	equals_3	3
min_max_behaviour	equals_3	bounds
max	equals_4	4
min	equals_4	4
min_max_behaviour	equals_4	bounds
owned_by	friendly_army_present_range_1	self
max	income_high	4000
min	income_high	0
min_max_behaviour	income_high	scaled
max	long_random_bounds	8
max_random_extension	long_random_bounds	7
min	long_random_bounds	0
min_max_behaviour	long_random_bounds	bounds
min_random_extension	long_random_bounds	0
max	max_settlement_level_5	3.5
min_max_behaviour	max_settlement_level_5	bounds
max	military_force_low_on_meat	30
min	military_force_low_on_meat	0
min_max_behaviour	military_force_low_on_meat	scaled
pooled_resource	military_force_low_on_meat	wh3_main_ogr_meat
compass_direction	most_specific_value_between_0_20_scaled_compass_bastion	wh3_main_chaos_compass_bastion
compass_direction	most_specific_value_between_0_20_scaled_compass_lake	wh3_main_chaos_compass_lake
compass_direction	most_specific_value_between_0_20_scaled_compass_wrath	wh3_main_chaos_compass_wrath
max	most_specific_value_between_0_20_scaled	20
min	most_specific_value_between_0_20_scaled	0
min_max_behaviour	most_specific_value_between_0_20_scaled	scaled
pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_chaos	wh3_main_corruption_chaos
pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_khorne	wh3_main_corruption_khorne
pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_nurgle	wh3_main_corruption_nurgle
pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_skaven	wh3_main_corruption_skaven
pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_slaanesh	wh3_main_corruption_slaanesh
pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_tzeentch	wh3_main_corruption_tzeentch
pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_vampire	wh3_main_corruption_vampiric
max	most_specific_value_between_25_100_scaled	100
min	most_specific_value_between_25_100_scaled	25
min_max_behaviour	most_specific_value_between_25_100_scaled	scaled
pooled_resource	most_specific_value_min_50_province_corruption_chaos	wh3_main_corruption_chaos
pooled_resource	most_specific_value_min_50_province_corruption_khorne	wh3_main_corruption_khorne
pooled_resource	most_specific_value_min_50_province_corruption_nurgle	wh3_main_corruption_nurgle
pooled_resource	most_specific_value_min_50_province_corruption_skaven	wh3_main_corruption_skaven
pooled_resource	most_specific_value_min_50_province_corruption_slaanesh	wh3_main_corruption_slaanesh
pooled_resource	most_specific_value_min_50_province_corruption_tzeentch	wh3_main_corruption_tzeentch
pooled_resource	most_specific_value_min_50_province_corruption_vampire	wh3_main_corruption_vampiric
min	most_specific_value_min_50	25
min_max_behaviour	most_specific_value_min_50	bounds
force_stance	nearby_deployed_ogre_camp	MILITARY_FORCE_ACTIVE_STANCE_TYPE_FIXED_CAMP
min_max_behaviour	nearby_deployed_ogre_camp	none
region_range	nearby_deployed_ogre_camp	1
force_stance	ogre_camp_stance_min_1	MILITARY_FORCE_ACTIVE_STANCE_TYPE_FIXED_CAMP
min	ogre_camp_stance_min_1	1
min_max_behaviour	ogre_camp_stance_min_1	bounds
owned_by	own_territory_range_0	self
owned_by	own_territory_range_1	self
owned_by	owned_by_enemy	enemy
queried_domain	owned_by_enemy	source
queried_domain_2	owned_by_enemy	target
personality_region_group_identifier	personality_region_group_identifier_1	1
personality_region_group_identifier	personality_region_group_identifier_2	2
personality_region_group_identifier	personality_region_group_identifier_3	3
min	pooled_resource_belakor_gg_1_uses_min_1	1
min_max_behaviour	pooled_resource_belakor_gg_1_uses_min_1	bounds
pooled_resource	pooled_resource_belakor_gg_1_uses	wh3_main_ritual_belakor_gg_1_uses
min	pooled_resource_belakor_gg_2_uses_min_1	1
min_max_behaviour	pooled_resource_belakor_gg_2_uses_min_1	bounds
pooled_resource	pooled_resource_belakor_gg_2_uses	wh3_main_ritual_belakor_gg_2_uses
min	pooled_resource_belakor_gg_3_uses_min_1	1
min_max_behaviour	pooled_resource_belakor_gg_3_uses_min_1	bounds
pooled_resource	pooled_resource_belakor_gg_3_uses	wh3_main_ritual_belakor_gg_3_uses
min	pooled_resource_bloodkisses_min12	12
min_max_behaviour	pooled_resource_bloodkisses_min12	bounds
queried_domain	pooled_resource_bloodkisses_min12	source
pooled_resource	pooled_resource_bloodkisses	vmp_blood_kiss
min	pooled_resource_chs_souls_bounds_min1000	1000
min_max_behaviour	pooled_resource_chs_souls_bounds_min1000	bounds
queried_domain	pooled_resource_chs_souls_bounds_min1000	source
min	pooled_resource_chs_souls_bounds_min2000	2000
min_max_behaviour	pooled_resource_chs_souls_bounds_min2000	bounds
queried_domain	pooled_resource_chs_souls_bounds_min2000	source
min	pooled_resource_chs_souls_bounds_min500	500
min_max_behaviour	pooled_resource_chs_souls_bounds_min500	bounds
queried_domain	pooled_resource_chs_souls_bounds_min500	source
pooled_resource	pooled_resource_chs_souls	wh3_dlc20_chs_souls
min	pooled_resource_devotees_bounds_min1000	1000
min_max_behaviour	pooled_resource_devotees_bounds_min1000	bounds
queried_domain	pooled_resource_devotees_bounds_min1000	source
pooled_resource	pooled_resource_devotees	wh3_main_sla_devotees
min	pooled_resource_grimoires_bounds_min120	120
min_max_behaviour	pooled_resource_grimoires_bounds_min120	bounds
queried_domain	pooled_resource_grimoires_bounds_min120	source
min	pooled_resource_grimoires_bounds_min200	200
pooled_resource	pooled_resource_grimoires	wh3_main_tze_grimoires
min	pooled_resource_ogre_meat_bounds_min60	60
min_max_behaviour	pooled_resource_ogre_meat_bounds_min60	bounds
queried_domain	pooled_resource_ogre_meat_bounds_min60	source
pooled_resource	pooled_resource_ogre_meat	wh3_main_ogr_meat
min	pooled_resource_old_ones_favour_500	500
min_max_behaviour	pooled_resource_old_ones_favour_500	bounds
queried_domain	pooled_resource_old_ones_favour_500	source
min	pooled_resource_old_ones_favour_800	800
pooled_resource	pooled_resource_old_ones_favour	lzd_old_ones_favour
pooled_resource	pooled_resource_province_corruption_chaos	wh3_main_corruption_chaos
pooled_resource	pooled_resource_province_corruption_khorne	wh3_main_corruption_khorne
pooled_resource	pooled_resource_province_corruption_nurgle	wh3_main_corruption_nurgle
pooled_resource	pooled_resource_province_corruption_skaven	wh3_main_corruption_skaven
pooled_resource	pooled_resource_province_corruption_slaanesh	wh3_main_corruption_slaanesh
pooled_resource	pooled_resource_province_corruption_tzeentch	wh3_main_corruption_tzeentch
pooled_resource	pooled_resource_province_corruption_vampire	wh3_main_corruption_vampiric
min	pooled_resource_skaven_food_min40	40
min_max_behaviour	pooled_resource_skaven_food_min40	bounds
queried_domain	pooled_resource_skaven_food_min40	source
pooled_resource	pooled_resource_skaven_food	skaven_food
pooled_resource	pooled_resource_skulls	wh3_main_kho_skulls
max	public_order_low	20
min	public_order_low	-50
min_max_behaviour	public_order_low	scaled
max	public_order_negative	0
min	public_order_negative	-100
min_max_behaviour	public_order_negative	bounds
min	queried_domain_most_specific_min_100	100
min_max_behaviour	queried_domain_most_specific_min_100	bounds
queried_domain	queried_domain_most_specific	most_specific
faction_feature	queried_domain_source_faction_feature_primary	primary_faction
owned_by	queried_domain_source_to_most_specific_ally	only_allied
owned_by	queried_domain_source_to_most_specific_enemy	enemy
trespass_warning_round_horizon	queried_domain_source_to_most_specific_recent_warning	10
owned_by	queried_domain_source_to_most_specific_self	self
queried_domain	queried_domain_source_to_most_specific	source
queried_domain_2	queried_domain_source_to_most_specific	most_specific
max	queried_domain_source_to_target_bounds_max-15	-15
min_max_behaviour	queried_domain_source_to_target_bounds_max-15	bounds
max	queried_domain_source_to_target_bounds_max-35	-35
min_max_behaviour	queried_domain_source_to_target_bounds_max-35	bounds
max	queried_domain_source_to_target_bounds_max_0.3	0.3
min_max_behaviour	queried_domain_source_to_target_bounds_max_0.3	bounds
max	queried_domain_source_to_target_bounds_max_50	50
min_max_behaviour	queried_domain_source_to_target_bounds_max_50	bounds
min	queried_domain_source_to_target_bounds_min_0.7	0.7
min_max_behaviour	queried_domain_source_to_target_bounds_min_0.7	bounds
min	queried_domain_source_to_target_bounds_min_0	0
min_max_behaviour	queried_domain_source_to_target_bounds_min_0	bounds
min	queried_domain_source_to_target_bounds_min_300	300
min_max_behaviour	queried_domain_source_to_target_bounds_min_300	bounds
owned_by	queried_domain_source_to_target_enemy	enemy
max	queried_domain_source_to_target_scaled_0_300	300
min	queried_domain_source_to_target_scaled_0_300	0
min_max_behaviour	queried_domain_source_to_target_scaled_0_300	scaled
max	queried_domain_source_to_target_scaled_50_300	300
min	queried_domain_source_to_target_scaled_50_300	50
min_max_behaviour	queried_domain_source_to_target_scaled_50_300	scaled
queried_domain	queried_domain_source_to_target	source
queried_domain_2	queried_domain_source_to_target	target
shared_state	queried_domain_source_value_between_-3_0_scaled_faction_shared_state_relative_souls	faction_relative_soul_count_to_best_human_player
max	queried_domain_source_value_between_-3_0_scaled	0
min	queried_domain_source_value_between_-3_0_scaled	-3
min_max_behaviour	queried_domain_source_value_between_-3_0_scaled	scaled
max	queried_domain_source_value_between_0_100_scaled	100
min	queried_domain_source_value_between_0_100_scaled	0
min_max_behaviour	queried_domain_source_value_between_0_100_scaled	scaled
max	queried_domain_source_value_between_0_4	4
min	queried_domain_source_value_between_0_4	0
min_max_behaviour	queried_domain_source_value_between_0_4	bounds
max	queried_domain_source_value_between_0_5_scaled	5
min	queried_domain_source_value_between_0_5_scaled	0
min_max_behaviour	queried_domain_source_value_between_0_5_scaled	scaled
max	queried_domain_source_value_between_10_30_scaled	30
min	queried_domain_source_value_between_10_30_scaled	10
min_max_behaviour	queried_domain_source_value_between_10_30_scaled	scaled
max	queried_domain_source_value_between_10_40_scaled	40
min	queried_domain_source_value_between_10_40_scaled	10
min_max_behaviour	queried_domain_source_value_between_10_40_scaled	scaled
max	queried_domain_source_value_between_10_60_scaled	60
min	queried_domain_source_value_between_10_60_scaled	10
min_max_behaviour	queried_domain_source_value_between_10_60_scaled	scaled
shared_state	queried_domain_source_value_between_1_3_scaled_shared_state_players_absolute_souls	best_human_players_absolute_soul_count
max	queried_domain_source_value_between_1_3_scaled	3
min	queried_domain_source_value_between_1_3_scaled	1
min_max_behaviour	queried_domain_source_value_between_1_3_scaled	scaled
shared_state	queried_domain_source_value_minimum_1_faction_shared_state_finished_realm_khorne	faction_completed_realm_khorne
shared_state	queried_domain_source_value_minimum_1_faction_shared_state_finished_realm_nurgle	faction_completed_realm_nurgle
shared_state	queried_domain_source_value_minimum_1_faction_shared_state_finished_realm_slaanesh	faction_completed_realm_slaanesh
shared_state	queried_domain_source_value_minimum_1_faction_shared_state_finished_realm_tzeentch	faction_completed_realm_tzeentch
shared_state	queried_domain_source_value_minimum_1_faction_shared_state_is_an_ally_in_realm_khorne	faction_has_any_allies_in_realm_khorne
shared_state	queried_domain_source_value_minimum_1_faction_shared_state_is_an_ally_in_realm_nurgle	faction_has_any_allies_in_realm_nurgle
shared_state	queried_domain_source_value_minimum_1_faction_shared_state_is_an_ally_in_realm_slaanesh	faction_has_any_allies_in_realm_slaanesh
shared_state	queried_domain_source_value_minimum_1_faction_shared_state_is_an_ally_in_realm_tzeentch	faction_has_any_allies_in_realm_tzeentch
shared_state	queried_domain_source_value_minimum_1_shared_state_ai_factions_in_realm_khorne	number_of_ai_factions_in_khorne_realm
shared_state	queried_domain_source_value_minimum_1_shared_state_ai_factions_in_realm_nurgle	number_of_ai_factions_in_nurgle_realm
shared_state	queried_domain_source_value_minimum_1_shared_state_ai_factions_in_realm_slaanesh	number_of_ai_factions_in_slaanesh_realm
shared_state	queried_domain_source_value_minimum_1_shared_state_ai_factions_in_realm_tzeentch	number_of_ai_factions_in_tzeentch_realm
shared_state	queried_domain_source_value_minimum_1_shared_state_collected_soul_this_cycle	collected_soul_this_cycle
shared_state	queried_domain_source_value_minimum_1_shared_state_game_is_won	campaign_game_won
shared_state	queried_domain_source_value_minimum_1_shared_state_player_is_in_a_realm	is_any_human_player_in_any_realm
shared_state	queried_domain_source_value_minimum_1_shared_state_player_is_in_realm_khorne	is_any_human_player_in_khorne_realm
shared_state	queried_domain_source_value_minimum_1_shared_state_player_is_in_realm_nurgle	is_any_human_player_in_nurgle_realm
shared_state	queried_domain_source_value_minimum_1_shared_state_player_is_in_realm_slaanesh	is_any_human_player_in_slaanesh_realm
shared_state	queried_domain_source_value_minimum_1_shared_state_player_is_in_realm_tzeentch	is_any_human_player_in_tzeentch_realm
min	queried_domain_source_value_minimum_1	1
min_max_behaviour	queried_domain_source_value_minimum_1	bounds
shared_state	queried_domain_source_value_minimum_4_faction_shared_state_finished_all_realms	faction_soul_count
min	queried_domain_source_value_minimum_4	4
queried_domain	queried_domain_source	source
region_group	queried_domain_target_in_region_group_bay_of_blades	wh3_main_chaos_bay_of_blades
region_group	queried_domain_target_in_region_group_cathay_shouldnt_enter	wh3_main_cathay_shouldnt_enter
region_group	queried_domain_target_in_region_group_chaos_always_raze	wh3_main_chaos_chaos_always_raze
region_group	queried_domain_target_in_region_group_dark_fortress	wh3_dlc20_dark_fortress_region_group
region_group	queried_domain_target_in_region_group_kislev_major_cities	wh3_main_kislev_major_cities
region_group	queried_domain_target_in_region_group_woodelf_forest	wh3_wood_elf_forests
region_group	queried_domain_target_region_group_rift_target_antichaos	wh3_main_rift_target_antichaos
region_group	queried_domain_target_region_group_rift_target_chaos	wh3_main_rift_target_chaos
min	queried_domain_target_to_third_party_bounds_0_and_above	0
min_max_behaviour	queried_domain_target_to_third_party_bounds_0_and_above	bounds
max	queried_domain_target_to_third_party_min-150_max0	0
min	queried_domain_target_to_third_party_min-150_max0	-150
min_max_behaviour	queried_domain_target_to_third_party_min-150_max0	scaled
queried_domain	queried_domain_target_to_third_party	target
queried_domain_2	queried_domain_target_to_third_party	third_party
max	queried_domain_target_value_maximum_1	1
min_max_behaviour	queried_domain_target_value_maximum_1	bounds
min_max_behaviour	queried_domain_target	none
queried_domain	queried_domain_target	target
max	queried_domain_third_party_to_target_0_200_scaled	200
min	queried_domain_third_party_to_target_0_200_scaled	0
min_max_behaviour	queried_domain_third_party_to_target_0_200_scaled	scaled
min	queried_domain_third_party_to_target_min_200	200
min_max_behaviour	queried_domain_third_party_to_target_min_200	bounds
queried_domain	queried_domain_third_party_to_target	third_party
queried_domain_2	queried_domain_third_party_to_target	target
min_max_behaviour	queried_domain_third_party	none
queried_domain	queried_domain_third_party	third_party
decision_item	recent_accept_decision_in_trespass_warning	trespass_warning_accept
decision_profile	recent_accept_decision_in_trespass_warning	trespass_warning_accept_profile
history_specificity	recent_accept_decision_in_trespass_warning	target_or_third_party
max	recent_accept_decision_in_trespass_warning	10
min_max_behaviour	recent_accept_decision_in_trespass_warning	bounds
region_group	region_group_cathay_bastion	wh3_main_chaos_compass_bastion
region_hint	region_hint_capture_if_owned_by_another_subcultured	CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY
region_range	scaled_combat_potential_range_1	1
max	scaled_combat_potential	50000
min	scaled_combat_potential	1000
min_max_behaviour	scaled_combat_potential	scaled
queried_domain	source_bounds_max_0.5	source
queried_domain	source_own_territory_range_1	source
min	source_pooled_resource_skulls_min1500	1500
min_max_behaviour	source_pooled_resource_skulls_min1500	bounds
queried_domain	source_pooled_resource_skulls_min1500	source
default_query_result	source_to_target_faction_province_enemy	-100
max	source_treasury_below_10000	10000
min_max_behaviour	source_treasury_below_10000	bounds
queried_domain	source_treasury_below_10000	source
max	source_treasury_below_2000	5000
min_max_behaviour	source_treasury_below_2000	bounds
queried_domain	source_treasury_below_2000	source
max	source_treasury_below_5000	5000
min_max_behaviour	source_treasury_below_5000	bounds
queried_domain	source_treasury_below_5000	source
spawnable_force	spawnable_force_ogre_camp	wh3_main_ogr_camp
force_stance	stance_ogre_camp	MILITARY_FORCE_ACTIVE_STANCE_TYPE_FIXED_CAMP
force_stance	stance_recruit	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MUSTER
subculture	subculture_cathay	wh3_main_sc_cth_cathay
max	target_treasury	20000
min	target_treasury	0
min_max_behaviour	target_treasury	scaled
queried_domain	target_treasury	target
teleportation_network	teleportation_network_dlc20	wh3_dlc20_teleportation_network_chaos
teleportation_network	teleportation_network_main	wh3_main_teleportation_network_chaos
max	treasury_low	10000
min	treasury_low	0
min_max_behaviour	treasury_low	scaled
max	value_between_0_15_scaled	40
min	value_between_0_15_scaled	0
min_max_behaviour	value_between_0_15_scaled	scaled
max	value_between_0_40_scaled	40
min	value_between_0_40_scaled	0
min_max_behaviour	value_between_0_40_scaled	scaled
