key	attack	decay	fall_off_distance	horizontal_amplitude	horizontal_frequency	octave_amplitude_multiplier	octave_frequency_multiplier	octaves	pitch_amplitude	pitch_frequency	release	roll_amplitude	roll_frequency	sustain	sustain_multiplier	vertical_amplitude	vertical_frequency	yaw_amplitude	yaw_frequency
wh_main_unit_explosion_light	0.2	0.1	20.0	0.15	8.0	1.0	1.0	1	0.1	3.0	0.2	0.1	3.0	0.1	0.5	0.1	4.0	0.1	3.0
wh_main_unit_explosion_medium	0.3	0.3	55.0	0.0	6.0	3.0	1.0	2	1.0	10.0	1.2	0.0	10.0	0.1	0.4	0.0	8.0	1.0	10.0
wh_main_unit_giant_footstep	0.4	0.2	80.0	0.1	8.0	1.1	1.1	2	0.1	4.0	0.2	0.1	4.0	0.1	1.0	0.2	10.0	0.1	4.0
wh_main_unit_impact_heavy	0.15	0.1	40.0	0.2	8.0	1.0	1.0	1	0.1	3.0	0.1	0.1	3.0	0.1	0.5	0.120000005	4.0	0.1	3.0
wh_main_unit_impact_light	0.1	0.050000004	20.0	0.050000004	8.0	1.0	1.0	1	0.1	3.0	0.050000004	0.1	3.0	0.050000004	0.5	0.08000001	4.0	0.1	3.0
wh_main_unit_impact_medium	0.1	0.050000004	30.0	0.15	8.0	1.0	1.0	1	0.1	3.0	0.1	0.1	3.0	0.050000004	0.5	0.1	4.0	0.1	3.0
wh_main_unit_infantry_footstep	0.1	0.050000004	20.0	0.030000001	5.0	1.0	1.0	1	0.050000004	5.0	0.050000004	0.050000004	5.0	0.050000004	0.5	0.0150000015	6.0	0.050000004	5.0
wh_main_unit_launch_heavy	0.1	0.1	40.0	0.2	10.0	1.0	1.0	1	0.1	6.0	0.5	0.1	6.0	0.3	0.5	0.2	10.0	0.1	6.0
wh_main_unit_launch_light	0.1	0.1	20.0	0.15	6.0	1.0	1.0	1	0.1	3.0	0.5	0.1	3.0	0.3	0.5	0.15	6.0	0.1	3.0
wh_main_unit_launch_medium	0.1	0.1	30.0	0.18	8.0	1.0	1.0	1	0.1	4.0	0.5	0.1	4.0	0.3	0.5	0.18	8.0	0.1	6.0
wh_main_unit_light_cannon_launch	0.1	0.1	30.0	0.15	6.0	1.0	1.0	1	0.1	3.0	0.5	0.1	3.0	0.3	0.5	0.15	6.0	0.1	3.0
wh_main_unit_machine_footstep	0.2	0.8	40.0	0.050000004	10.0	0.5	2.0	2	0.1	1.0	1.0	0.1	1.0	0.5	0.5	0.050000004	10.0	0.1	1.0
wh_main_unit_monster_footstep	0.1	0.1	30.0	0.050000004	6.0	1.0	1.0	1	0.1	3.0	0.1	0.1	3.0	0.1	0.5	0.050000004	6.0	0.1	4.0
