incident_key	mission_key	status_key
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_thanes	wh2_dlc17_grudge_legendary_settlement_karak_ungor	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_brewers	wh2_dlc17_grudge_legendary_settlement_karak_vlag	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_crafters	wh2_dlc17_grudge_legendary_settlement_karak_vlag	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_slayers	wh2_dlc17_grudge_legendary_settlement_karak_vlag	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_thanes	wh2_dlc17_grudge_legendary_settlement_karak_vlag	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_brewers	wh2_dlc17_grudge_legendary_settlement_mount_gunbad	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_crafters	wh2_dlc17_grudge_legendary_settlement_mount_gunbad	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_slayers	wh2_dlc17_grudge_legendary_settlement_mount_gunbad	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_thanes	wh2_dlc17_grudge_legendary_settlement_mount_gunbad	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_brewers	wh2_dlc17_grudge_legendary_settlement_mount_silverspear	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_crafters	wh2_dlc17_grudge_legendary_settlement_mount_silverspear	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_slayers	wh2_dlc17_grudge_legendary_settlement_mount_silverspear	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_thanes	wh2_dlc17_grudge_legendary_settlement_mount_silverspear	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_brewers	wh2_dlc17_grudge_legendary_settlement_silver_pinnacle	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_crafters	wh2_dlc17_grudge_legendary_settlement_silver_pinnacle	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_slayers	wh2_dlc17_grudge_legendary_settlement_silver_pinnacle	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_thanes	wh2_dlc17_grudge_legendary_settlement_silver_pinnacle	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_brewers	wh3_dlc21_grudge_legendary_enemy_throt	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_crafters	wh3_dlc21_grudge_legendary_enemy_throt	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_slayers	wh3_dlc21_grudge_legendary_enemy_throt	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_thanes	wh3_dlc21_grudge_legendary_enemy_throt	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_brewers	wh3_main_grudge_legendary_grombrindal	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_crafters	wh3_main_grudge_legendary_grombrindal	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_slayers	wh3_main_grudge_legendary_grombrindal	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_thanes	wh3_main_grudge_legendary_grombrindal	SUCCESS
wh_dlc08_qb_nor_monster_hunt_0_stage_3b	wh_dlc08_monster_hunt_0_stage_3	SUCCESS
wh_dlc08_qb_nor_monster_hunt_1_stage_4	wh_dlc08_monster_hunt_1_stage_3	SUCCESS
wh_dlc08_qb_nor_monster_hunt_2_stage_3b	wh_dlc08_monster_hunt_2_stage_3a	SUCCESS
wh_dlc08_qb_nor_monster_hunt_4_stage_3_2	wh_dlc08_monster_hunt_4_stage_3_1	CANCELLED
wh_dlc08_qb_nor_monster_hunt_4_stage_3_2	wh_dlc08_monster_hunt_4_stage_3_1	SUCCESS
wh_dlc08_qb_nor_monster_hunt_4_stage_3b	wh_dlc08_monster_hunt_4_stage_3a	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_slayers	wh_main_grudge_defeat_raiding_army_vmp	SUCCESS
wh_main_incident_dwf_a_wrong_put_right	wh_main_grudge_the_abominable_puppet_grudge	SUCCESS
wh_main_incident_dwf_a_wrong_put_right	wh_main_grudge_the_beard_lice_grudge	SUCCESS
wh_main_incident_dwf_a_wrong_put_right	wh_main_grudge_the_boilermaker_grudge	SUCCESS
wh_main_incident_dwf_a_wrong_put_right	wh_main_grudge_the_bretonnian_affair_grudge	SUCCESS
wh_main_incident_dwf_a_wrong_put_right	wh_main_grudge_the_bugman_grudge	SUCCESS
wh_main_incident_dwf_a_wrong_put_right	wh_main_grudge_the_dragonback_grudge	SUCCESS
wh_main_incident_dwf_a_wrong_put_right	wh_main_grudge_the_halfling_pudding_grudge	SUCCESS
wh_main_incident_dwf_a_wrong_put_right	wh_main_grudge_the_lost_beard_grudge	SUCCESS
wh_main_incident_dwf_a_wrong_put_right	wh_main_grudge_the_pride_and_powderkeg_grudge	SUCCESS
