member	region
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_castle_carcassonne	wh3_main_combi_region_castle_carcassonne
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_chaqua	wh3_main_combi_region_chaqua
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_dai_cheng	wh3_main_combi_region_dai_cheng
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_dietershafen	wh3_main_combi_region_dietershafen
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_essen	wh3_main_combi_region_essen
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_evershale	wh3_main_combi_region_evershale
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_gnobbly_gorge	wh3_main_combi_region_gnobbly_gorge
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_grimhold	wh3_main_combi_region_grimhold
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_hag_hall	wh3_main_combi_region_hag_hall
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_ice_rock_gorge	wh3_main_combi_region_ice_rock_gorge
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_itza	wh3_main_combi_region_itza
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_ka_sabar	wh3_main_combi_region_ka_sabar
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_kappelburg	wh3_main_combi_region_kappelburg
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_karag_dromar	wh3_main_combi_region_karag_dromar
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_karak_azgaraz	wh3_main_combi_region_karak_azgaraz
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_karak_bhufdar	wh3_main_combi_region_karak_bhufdar
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_karak_norn	wh3_main_combi_region_karak_norn
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_karak_zorn	wh3_main_combi_region_karak_zorn
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_karaz_a_karak	wh3_main_combi_region_karaz_a_karak
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_krugenheim	wh3_main_combi_region_krugenheim
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_middenheim	wh3_main_combi_region_middenheim
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_mordheim	wh3_main_combi_region_mordheim
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_mount_thug	wh3_main_combi_region_mount_thug
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_nagenhof	wh3_main_combi_region_nagenhof
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_parravon	wh3_main_combi_region_parravon
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_phoenix_gate	wh3_main_combi_region_phoenix_gate
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_pigbarter	wh3_main_combi_region_pigbarter
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_plain_of_spiders	wh3_main_combi_region_plain_of_spiders
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_quenelles	wh3_main_combi_region_quenelles
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_quittax	wh3_main_combi_region_quittax
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_salzenmund	wh3_main_combi_region_salzenmund
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_shattered_cove	wh3_main_combi_region_shattered_cove
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_skrap_towers	wh3_main_combi_region_skrap_towers
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_sun_tree_glades	wh3_main_combi_region_sun_tree_glades
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_temple_of_addaioth	wh3_main_combi_region_temple_of_addaioth
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_the_black_pit	wh3_main_combi_region_the_black_pit
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_the_golden_tower	wh3_main_combi_region_the_golden_tower
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_tor_saroir	wh3_main_combi_region_tor_saroir
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_tower_of_ashung	wh3_main_combi_region_tower_of_ashung
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_unicorn_gate	wh3_main_combi_region_unicorn_gate
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_varenka_hills	wh3_main_combi_region_varenka_hills
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_vauls_anvil_naggaroth	wh3_main_combi_region_vauls_anvil_naggaroth
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_vitevo	wh3_main_combi_region_vitevo
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_waili_village	wh3_main_combi_region_waili_village
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_wreckers_point	wh3_main_combi_region_wreckers_point
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_xhotl	wh3_main_combi_region_xhotl
wh3_dlc20_chaos_campaign_tunnelling_excluded_regions_wh3_dlc20_chaos_region_zanbaijin	wh3_dlc20_chaos_region_zanbaijin
wh3_main_chaos_abandoned_regions_wh3_main_kho_khorne	wh3_main_chaos_region_the_blood_gods_domain
wh3_main_chaos_abandoned_regions_wh3_main_nur_nurgle	wh3_main_chaos_region_land_of_the_plaguelord
wh3_main_chaos_abandoned_regions_wh3_main_sla_slaanesh	wh3_main_chaos_region_the_dark_princes_realm
wh3_main_chaos_abandoned_regions_wh3_main_tze_tzeentch_wh3_main_chaos_region_realm_of_the_sorcerer_1	wh3_main_chaos_region_realm_of_the_sorcerer_1
wh3_main_chaos_abandoned_regions_wh3_main_tze_tzeentch_wh3_main_chaos_region_realm_of_the_sorcerer_2	wh3_main_chaos_region_realm_of_the_sorcerer_2
wh3_main_chaos_abandoned_regions_wh3_main_tze_tzeentch_wh3_main_chaos_region_realm_of_the_sorcerer_3	wh3_main_chaos_region_realm_of_the_sorcerer_3
wh3_main_chaos_abandoned_regions_wh3_main_tze_tzeentch_wh3_main_chaos_region_realm_of_the_sorcerer_4	wh3_main_chaos_region_realm_of_the_sorcerer_4
wh3_main_chaos_abandoned_regions_wh3_main_tze_tzeentch_wh3_main_chaos_region_realm_of_the_sorcerer_5	wh3_main_chaos_region_realm_of_the_sorcerer_5
wh3_main_chaos_abandoned_regions_wh3_main_tze_tzeentch_wh3_main_chaos_region_realm_of_the_sorcerer_6	wh3_main_chaos_region_realm_of_the_sorcerer_6
wh3_main_chaos_abandoned_regions_wh3_main_tze_tzeentch_wh3_main_chaos_region_realm_of_the_sorcerer_7	wh3_main_chaos_region_realm_of_the_sorcerer_7
wh3_main_chaos_campaign_tunnelling_excluded_regions_wh3_main_chaos_region_bloodwind_keep	wh3_main_chaos_region_bloodwind_keep
wh3_main_chaos_campaign_tunnelling_excluded_regions_wh3_main_chaos_region_dragon_gate	wh3_main_chaos_region_dragon_gate
wh3_main_chaos_campaign_tunnelling_excluded_regions_wh3_main_chaos_region_dragons_crossroad	wh3_main_chaos_region_dragons_crossroad
wh3_main_chaos_campaign_tunnelling_excluded_regions_wh3_main_chaos_region_fortress_of_eyes	wh3_main_chaos_region_fortress_of_eyes
wh3_main_chaos_campaign_tunnelling_excluded_regions_wh3_main_chaos_region_foundry_of_bones	wh3_main_chaos_region_foundry_of_bones
wh3_main_chaos_campaign_tunnelling_excluded_regions_wh3_main_chaos_region_iron_storm	wh3_main_chaos_region_iron_storm
wh3_main_chaos_campaign_tunnelling_excluded_regions_wh3_main_chaos_region_land_of_the_plaguelord	wh3_main_chaos_region_land_of_the_plaguelord
wh3_main_chaos_campaign_tunnelling_excluded_regions_wh3_main_chaos_region_realm_of_chaos	wh3_main_chaos_region_realm_of_chaos
wh3_main_chaos_campaign_tunnelling_excluded_regions_wh3_main_chaos_region_realm_of_the_sorcerer_1	wh3_main_chaos_region_realm_of_the_sorcerer_1
wh3_main_chaos_campaign_tunnelling_excluded_regions_wh3_main_chaos_region_realm_of_the_sorcerer_2	wh3_main_chaos_region_realm_of_the_sorcerer_2
wh3_main_chaos_campaign_tunnelling_excluded_regions_wh3_main_chaos_region_realm_of_the_sorcerer_3	wh3_main_chaos_region_realm_of_the_sorcerer_3
wh3_main_chaos_campaign_tunnelling_excluded_regions_wh3_main_chaos_region_realm_of_the_sorcerer_4	wh3_main_chaos_region_realm_of_the_sorcerer_4
wh3_main_chaos_campaign_tunnelling_excluded_regions_wh3_main_chaos_region_realm_of_the_sorcerer_5	wh3_main_chaos_region_realm_of_the_sorcerer_5
wh3_main_chaos_campaign_tunnelling_excluded_regions_wh3_main_chaos_region_realm_of_the_sorcerer_6	wh3_main_chaos_region_realm_of_the_sorcerer_6
wh3_main_chaos_campaign_tunnelling_excluded_regions_wh3_main_chaos_region_realm_of_the_sorcerer_7	wh3_main_chaos_region_realm_of_the_sorcerer_7
wh3_main_chaos_campaign_tunnelling_excluded_regions_wh3_main_chaos_region_red_fortress	wh3_main_chaos_region_red_fortress
wh3_main_chaos_campaign_tunnelling_excluded_regions_wh3_main_chaos_region_slaanesh_fifth	wh3_main_chaos_region_slaanesh_fifth
wh3_main_chaos_campaign_tunnelling_excluded_regions_wh3_main_chaos_region_slaanesh_first	wh3_main_chaos_region_slaanesh_first
wh3_main_chaos_campaign_tunnelling_excluded_regions_wh3_main_chaos_region_slaanesh_fourth	wh3_main_chaos_region_slaanesh_fourth
wh3_main_chaos_campaign_tunnelling_excluded_regions_wh3_main_chaos_region_slaanesh_second	wh3_main_chaos_region_slaanesh_second
wh3_main_chaos_campaign_tunnelling_excluded_regions_wh3_main_chaos_region_slaanesh_sixth	wh3_main_chaos_region_slaanesh_sixth
wh3_main_chaos_campaign_tunnelling_excluded_regions_wh3_main_chaos_region_slaanesh_start_01	wh3_main_chaos_region_slaanesh_start_01
wh3_main_chaos_campaign_tunnelling_excluded_regions_wh3_main_chaos_region_slaanesh_start_02	wh3_main_chaos_region_slaanesh_start_02
wh3_main_chaos_campaign_tunnelling_excluded_regions_wh3_main_chaos_region_slaanesh_start_03	wh3_main_chaos_region_slaanesh_start_03
wh3_main_chaos_campaign_tunnelling_excluded_regions_wh3_main_chaos_region_slaanesh_start_04	wh3_main_chaos_region_slaanesh_start_04
wh3_main_chaos_campaign_tunnelling_excluded_regions_wh3_main_chaos_region_slaanesh_start_05	wh3_main_chaos_region_slaanesh_start_05
wh3_main_chaos_campaign_tunnelling_excluded_regions_wh3_main_chaos_region_slaanesh_start_06	wh3_main_chaos_region_slaanesh_start_06
wh3_main_chaos_campaign_tunnelling_excluded_regions_wh3_main_chaos_region_slaanesh_start_07	wh3_main_chaos_region_slaanesh_start_07
wh3_main_chaos_campaign_tunnelling_excluded_regions_wh3_main_chaos_region_slaanesh_start_08	wh3_main_chaos_region_slaanesh_start_08
wh3_main_chaos_campaign_tunnelling_excluded_regions_wh3_main_chaos_region_slaanesh_third	wh3_main_chaos_region_slaanesh_third
wh3_main_chaos_campaign_tunnelling_excluded_regions_wh3_main_chaos_region_snake_gate	wh3_main_chaos_region_snake_gate
wh3_main_chaos_campaign_tunnelling_excluded_regions_wh3_main_chaos_region_the_blood_gods_domain	wh3_main_chaos_region_the_blood_gods_domain
wh3_main_chaos_campaign_tunnelling_excluded_regions_wh3_main_chaos_region_the_dark_princes_realm	wh3_main_chaos_region_the_dark_princes_realm
wh3_main_chaos_campaign_tunnelling_excluded_regions_wh3_main_chaos_region_the_forge_of_souls	wh3_main_chaos_region_the_forge_of_souls
wh3_main_chaos_campaign_tunnelling_excluded_regions_wh3_main_chaos_region_turtle_gate	wh3_main_chaos_region_turtle_gate
wh3_main_combi_campaign_tunnelling_excluded_regions_wh3_main_combi_region_angerrial	wh3_main_combi_region_angerrial
wh3_main_combi_campaign_tunnelling_excluded_regions_wh3_main_combi_region_avethir	wh3_main_combi_region_avethir
wh3_main_combi_campaign_tunnelling_excluded_regions_wh3_main_combi_region_cairn_thel	wh3_main_combi_region_cairn_thel
wh3_main_combi_campaign_tunnelling_excluded_regions_wh3_main_combi_region_eagle_gate	wh3_main_combi_region_eagle_gate
wh3_main_combi_campaign_tunnelling_excluded_regions_wh3_main_combi_region_elessaeli	wh3_main_combi_region_elessaeli
wh3_main_combi_campaign_tunnelling_excluded_regions_wh3_main_combi_region_elisia	wh3_main_combi_region_elisia
wh3_main_combi_campaign_tunnelling_excluded_regions_wh3_main_combi_region_evershale	wh3_main_combi_region_evershale
wh3_main_combi_campaign_tunnelling_excluded_regions_wh3_main_combi_region_gaean_vale	wh3_main_combi_region_gaean_vale
wh3_main_combi_campaign_tunnelling_excluded_regions_wh3_main_combi_region_griffon_gate	wh3_main_combi_region_griffon_gate
wh3_main_combi_campaign_tunnelling_excluded_regions_wh3_main_combi_region_lothern	wh3_main_combi_region_lothern
wh3_main_combi_campaign_tunnelling_excluded_regions_wh3_main_combi_region_mistnar	wh3_main_combi_region_mistnar
wh3_main_combi_campaign_tunnelling_excluded_regions_wh3_main_combi_region_phoenix_gate	wh3_main_combi_region_phoenix_gate
wh3_main_combi_campaign_tunnelling_excluded_regions_wh3_main_combi_region_port_elistor	wh3_main_combi_region_port_elistor
wh3_main_combi_campaign_tunnelling_excluded_regions_wh3_main_combi_region_shrine_of_asuryan	wh3_main_combi_region_shrine_of_asuryan
wh3_main_combi_campaign_tunnelling_excluded_regions_wh3_main_combi_region_shrine_of_khaine	wh3_main_combi_region_shrine_of_khaine
wh3_main_combi_campaign_tunnelling_excluded_regions_wh3_main_combi_region_shrine_of_kurnous	wh3_main_combi_region_shrine_of_kurnous
wh3_main_combi_campaign_tunnelling_excluded_regions_wh3_main_combi_region_shrine_of_loec	wh3_main_combi_region_shrine_of_loec
wh3_main_combi_campaign_tunnelling_excluded_regions_wh3_main_combi_region_tor_achare	wh3_main_combi_region_tor_achare
wh3_main_combi_campaign_tunnelling_excluded_regions_wh3_main_combi_region_tor_anlec	wh3_main_combi_region_tor_anlec
wh3_main_combi_campaign_tunnelling_excluded_regions_wh3_main_combi_region_tor_anroc	wh3_main_combi_region_tor_anroc
wh3_main_combi_campaign_tunnelling_excluded_regions_wh3_main_combi_region_tor_dranil	wh3_main_combi_region_tor_dranil
wh3_main_combi_campaign_tunnelling_excluded_regions_wh3_main_combi_region_tor_elyr	wh3_main_combi_region_tor_elyr
wh3_main_combi_campaign_tunnelling_excluded_regions_wh3_main_combi_region_tor_finu	wh3_main_combi_region_tor_finu
wh3_main_combi_campaign_tunnelling_excluded_regions_wh3_main_combi_region_tor_koruali	wh3_main_combi_region_tor_koruali
wh3_main_combi_campaign_tunnelling_excluded_regions_wh3_main_combi_region_tor_saroir	wh3_main_combi_region_tor_saroir
wh3_main_combi_campaign_tunnelling_excluded_regions_wh3_main_combi_region_tor_sethai	wh3_main_combi_region_tor_sethai
wh3_main_combi_campaign_tunnelling_excluded_regions_wh3_main_combi_region_tor_yvresse	wh3_main_combi_region_tor_yvresse
wh3_main_combi_campaign_tunnelling_excluded_regions_wh3_main_combi_region_tower_of_lysean	wh3_main_combi_region_tower_of_lysean
wh3_main_combi_campaign_tunnelling_excluded_regions_wh3_main_combi_region_tralinia	wh3_main_combi_region_tralinia
wh3_main_combi_campaign_tunnelling_excluded_regions_wh3_main_combi_region_unicorn_gate	wh3_main_combi_region_unicorn_gate
wh3_main_combi_campaign_tunnelling_excluded_regions_wh3_main_combi_region_vauls_anvil_ulthuan	wh3_main_combi_region_vauls_anvil_ulthuan
wh3_main_combi_campaign_tunnelling_excluded_regions_wh3_main_combi_region_white_tower_of_hoeth	wh3_main_combi_region_white_tower_of_hoeth
wh3_main_combi_campaign_tunnelling_excluded_regions_wh3_main_combi_region_whitefire_tor	wh3_main_combi_region_whitefire_tor
wh3_main_combi_campaign_tunnelling_excluded_regions_wh3_main_combi_region_whitepeak	wh3_main_combi_region_whitepeak
