deactivate_flag	special_ability
health_above_25%	wh2_dlc15_unit_passive_rubble_and_ruin_tier_3
health_below_25%	wh2_dlc15_unit_passive_spirit_of_gork_or_mork
out_of_melee	wh2_dlc16_character_passive_murder_of_spites
health_above_50%_base	wh2_dlc16_hero_passive_fickle_guardian
health_below_50%_base	wh2_dlc16_hero_passive_loyal_guardian
friendly_battle_leader_not_killed_or_routed	wh2_dlc16_hero_passive_power_grab
out_of_melee	wh2_dlc16_hero_passive_running_with_the_pack
other_abilities_just_activated_after_wind_up	wh2_dlc16_item_passive_fang_of_taalroth
health_above_50%	wh2_dlc16_lord_passive_ceithin_hars_tenacity
health_above_20%	wh2_dlc16_lord_passive_conjoined_destiny
health_above_75%	wh2_dlc16_lord_passive_fanatical_resolve_1
health_below_50%	wh2_dlc16_lord_passive_fanatical_resolve_1
health_above_50%	wh2_dlc16_lord_passive_fanatical_resolve_2
health_below_25%	wh2_dlc16_lord_passive_fanatical_resolve_2
health_above_25%	wh2_dlc16_lord_passive_fanatical_resolve_3
enemies_in_intercept_range	wh2_dlc16_lord_passive_gwindalors_vantage
other_abilities_just_activated_after_wind_up	wh2_dlc16_lore_passive_ancients_protection
other_abilities_just_activated_after_wind_up	wh2_dlc16_lore_passive_wrath_of_the_wood
health_below_75%	wh2_dlc16_unit_passive_instability_1
health_below_50%	wh2_dlc16_unit_passive_instability_2
health_below_25%	wh2_dlc16_unit_passive_instability_3
morale_is_higher_than_wavering	wh2_dlc16_unit_passive_scurry_away_improved
out_of_melee	wh2_dlc17_rune_passive_master_rune_of_spite
out_of_melee	wh2_dlc17_spell_bound_unending_flock_of_doom
out_of_melee	wh2_dlc17_unit_passive_aura_of_madness
morale_is_wavering_or_lower	wh2_dlc17_unit_passive_drunken_bravado
out_of_melee	wh2_dlc17_unit_passive_greater_aura_of_madness
phase_is_the_end_phase	wh2_dlc17_unit_passive_horrible_regeneration
grounded	wh2_dlc17_unit_passive_master_of_the_sacred_places
out_of_melee	wh2_dlc17_unit_passive_strength_from_flesh
health_above_10%	wh2_main_character_passive_fallen_mages
morale_is_broken_or_lower	wh2_main_faction_abilities_murderous_mastery
unit_does_not_have_murderous_prowess	wh2_main_faction_abilities_murderous_mastery
unit_is_not_pre_murderous_prowess	wh2_main_faction_abilities_murderous_prowess_indicator
morale_is_broken_or_lower	wh2_main_faction_abilities_murderous_prowess
unit_does_not_have_murderous_prowess	wh2_main_faction_abilities_murderous_prowess
health_above_25%	wh2_main_item_passive_heart_of_averlorn
engaged_in_melee	wh2_main_item_passive_pipes_of_piebald
out_of_melee	wh2_main_item_passive_portents_of_verminous_doom
out_of_melee	wh2_main_item_passive_shield_of_ghrond
health_above_10%	wh2_main_item_passive_the_book_of_the_phoenix
engaged_in_melee	wh2_main_item_passive_war_drum_of_xahutec
out_of_melee	wh2_main_item_passive_warpstone_armour
other_abilities_just_activated_after_wind_up	wh2_main_lore_passive_musk_of_fear
other_abilities_just_activated_after_wind_up	wh2_main_lore_passive_plague_rash
other_abilities_just_activated_after_wind_up	wh2_main_lore_passive_shield_of_saphery
other_abilities_just_activated_after_wind_up	wh2_main_lore_passive_spiteful_conjuration
morale_is_broken_or_lower	wh2_main_mount_passive_billowing_death
out_of_melee	wh2_main_mount_passive_billowing_death
morale_is_broken_or_lower	wh2_main_mount_passive_wall_of_unholy_sound
mana_below_value_15	wh2_main_unit_passive_attuned_to_magic
health_below_25%	wh2_main_unit_passive_martial_mastery
health_below_25%	wh2_main_unit_passive_martial_prowess
health_above_50%	wh2_main_unit_passive_primal_instincts
health_above_10%	wh2_main_unit_passive_rebirth
morale_is_higher_than_wavering	wh2_main_unit_passive_scurry_away
health_below_50%_base	wh2_main_unit_passive_strength_in_numbers
unit_alive	wh2_main_unit_passive_the_rats_emerge
health_above_10%	wh2_main_unit_passive_too_horrible_to_die
out_of_melee	wh2_main_weapon_passive_heartrender_and_the_darksword
out_of_melee	wh2_pro08_character_passive_blood_oath
health_above_10%	wh2_pro08_character_passive_heroic_fortitude
no_enemies_in_intercept_range_large	wh2_twa03_item_passive_beast_armour_of_karond_kar
other_abilities_just_activated_after_wind_up	wh3_dlc20_character_passive_soul_feeder
health_below_50%	wh3_dlc20_item_passive_armour_of_damnation
out_of_melee	wh3_dlc20_item_passive_armour_of_damnation
other_abilities_just_activated_after_wind_up	wh3_dlc20_item_passive_vessel_of_chaos
engaged_in_melee	wh3_dlc20_item_the_passive_festering_shroud
enemies_in_intercept_range	wh3_dlc20_quest_passive_daemonblade_mages
health_above_20%	wh3_dlc20_unit_passive_gift_of_chaos
unit_is_not_charging	wh3_dlc20_unit_passive_murderous_charge
out_of_melee	wh3_main_banner_passive_banner_of_ecstacy
health_above_50%	wh3_main_banner_passive_banner_of_praag
losing_melee_combat	wh3_main_banner_passive_banner_of_unholy_victory
engaged_in_melee	wh3_main_character_passive_bigbellower
health_above_25%	wh3_main_character_passive_deathcheater
out_of_melee	wh3_main_character_passive_enduring_devotion
health_above_50%_base	wh3_main_character_passive_heroic_resilience
health_below_50%_base	wh3_main_character_passive_kineater
allies_in_intercept_range	wh3_main_character_passive_loner
out_of_melee	wh3_main_daemon_arms_passive_for_the_slaughter_upgraded
out_of_melee	wh3_main_daemon_arms_passive_for_the_slaughter
out_of_melee	wh3_main_daemon_arms_passive_unending_feast_upgraded
out_of_melee	wh3_main_daemon_arms_passive_unending_feast
health_above_10%	wh3_main_daemon_body_passive_foreboding_ignition
health_above_10%	wh3_main_daemon_body_passive_restore_the_blighted
out_of_melee	wh3_main_daemon_body_passive_soporific_musk
out_of_melee	wh3_main_daemon_body_passive_tempered_rage
cannot_find_enemies_in_intercept_range	wh3_main_daemon_legs_passive_sinful_footing
out_of_melee	wh3_main_daemon_tail_passive_serpentine_tail
mana_below_value_15	wh3_main_daemon_wings_abilities_eldritch_aura
grounded	wh3_main_daemon_wings_abilities_winds_of_flight
mana_below_value_15	wh3_main_daemon_wings_abilities_winds_of_flight
unit_is_not_skaven	wh3_main_hidden_dummy_ogre_pre_battle_meat_1
unit_is_not_skaven	wh3_main_hidden_dummy_ogre_pre_battle_meat_2
unit_is_not_skaven	wh3_main_hidden_dummy_ogre_pre_battle_meat_3
unit_is_not_skaven	wh3_main_hidden_dummy_ogre_pre_battle_meat_4
unit_is_not_skaven	wh3_main_hidden_dummy_ogre_pre_battle_meat_5
health_above_50%_base	wh3_main_item_passive_armour_of_ursun
engaged_in_melee	wh3_main_item_passive_cloak_of_po_mei
other_abilities_just_activated_after_wind_up	wh3_main_item_passive_crystal_cloak
out_of_melee	wh3_main_item_passive_crystal_of_kunlan
engaged_in_melee	wh3_main_item_passive_gnoblar_thiefstone
out_of_melee	wh3_main_item_passive_icon_of_endless_war
out_of_melee	wh3_main_item_passive_icon_of_eternal_virulence
other_abilities_just_activated_after_wind_up	wh3_main_item_passive_jade_amulet
out_of_melee	wh3_main_item_passive_jade_lion
out_of_melee	wh3_main_item_passive_mirror_of_the_ice_queen
health_above_25%	wh3_main_item_passive_shield_of_sacrifice
out_of_melee	wh3_main_item_passive_shield_of_sacrifice
moving	wh3_main_item_passive_shield_of_the_nan_gau
ground_unit	wh3_main_lord_passive_aura_of_majesty
out_of_melee	wh3_main_lord_passive_blaze_of_devotion
flying_unit	wh3_main_lord_passive_disdain_of_the_dragons
health_above_50%_base	wh3_main_lord_passive_fuelled_by_rage
ground_unit	wh3_main_lord_passive_hardened_scale
health_above_25%	wh3_main_lord_passive_hardened_scale
no_enemy_unit_died_within_range	wh3_main_lord_passive_harvester_of_souls_upgraded
no_enemy_unit_died_within_range	wh3_main_lord_passive_harvester_of_souls
morale_is_broken_or_lower	wh3_main_lord_passive_hoardmaster
out_of_melee	wh3_main_lord_passive_kill_for_khorne
engaged_in_melee	wh3_main_lord_passive_master_of_fates
out_of_melee	wh3_main_lord_passive_pestilent_decay
other_abilities_just_activated_after_wind_up	wh3_main_lord_passive_prismatic_plurality
out_of_melee	wh3_main_lord_passive_revel_in_slaughter
engaged_in_melee	wh3_main_lord_passive_seer_of_destiny
out_of_melee	wh3_main_lord_passive_snacks
health_above_25%	wh3_main_lord_passive_ursuns_ward
other_abilities_just_activated_after_wind_up	wh3_main_lore_passive_blissful_rapture
other_abilities_just_activated_after_wind_up	wh3_main_lore_passive_bloodgruel
other_abilities_just_activated_after_wind_up	wh3_main_lore_passive_children_of_nurgle
other_abilities_just_activated_after_wind_up	wh3_main_lore_passive_fires_of_change
other_abilities_just_activated_after_wind_up	wh3_main_lore_passive_freezing_winds
other_abilities_just_activated_after_wind_up	wh3_main_lore_passive_frost_shield
other_abilities_just_activated_after_wind_up	wh3_main_lore_passive_power_of_yin
other_abilities_just_activated_after_wind_up	wh3_main_lore_passive_strength_of_yang
morale_is_higher_than_wavering	wh3_main_unit_abilities_mimic_by_our_blood
engaged_in_melee	wh3_main_unit_passive_arcane_mirth
out_of_melee	wh3_main_unit_passive_aura_of_mutation
no_harmony_yin_in_proximity	wh3_main_unit_passive_battle_harmony_yang
no_harmony_yang_in_proximity	wh3_main_unit_passive_battle_harmony_yin
morale_is_higher_than_wavering	wh3_main_unit_passive_by_our_blood
out_of_melee	wh3_main_unit_passive_cloud_of_flies
morale_is_higher_than_shattered	wh3_main_unit_passive_daemonic_instability_daemon_ii
morale_is_higher_than_broken	wh3_main_unit_passive_daemonic_instability_daemon
morale_is_higher_than_shattered	wh3_main_unit_passive_daemonic_instability_khorne_ii
morale_is_higher_than_broken	wh3_main_unit_passive_daemonic_instability_khorne
morale_is_higher_than_shattered	wh3_main_unit_passive_daemonic_instability_nurgle_ii
morale_is_higher_than_broken	wh3_main_unit_passive_daemonic_instability_nurgle
morale_is_higher_than_shattered	wh3_main_unit_passive_daemonic_instability_slaanesh_ii
morale_is_higher_than_broken	wh3_main_unit_passive_daemonic_instability_slaanesh
morale_is_higher_than_shattered	wh3_main_unit_passive_daemonic_instability_tzeentch_ii
morale_is_higher_than_broken	wh3_main_unit_passive_daemonic_instability_tzeentch
moving	wh3_main_unit_passive_defensive_stance
out_of_melee	wh3_main_unit_passive_gorefeast
unit_tier2_kills	wh3_main_unit_passive_hellblade
out_of_melee	wh3_main_weapon_passive_blood_cleaver
health_above_50%_base	wh3_main_weapon_passive_brazier_mace_of_ursun
out_of_melee	wh3_main_weapon_passive_dawn_glaive
out_of_melee	wh3_main_weapon_passive_dazhs_brazier
out_of_melee	wh3_main_weapon_passive_plague_flail
other_abilities_just_activated_after_wind_up	wh3_main_weapon_passive_wand_of_whimsey
winning_melee_combat	wh3_twa06_unit_passive_adaptive_tactics
out_of_melee	wh3_twa06_unit_passive_festering_gate
out_of_melee	wh3_twa06_unit_passive_gloom_of_flies
unit_tier1_kills	wh3_twa06_unit_passive_hungering_blades
out_of_melee	wh3_twa07_unit_passive_wasting_sickness
morale_is_broken_or_lower	wh_dlc01_weapon_passive_auric_armour
engaged_in_melee	wh_dlc02_unit_passive_the_flag_of_blood_keep
health_above_50%_base	wh_dlc03_item_passive_banner_of_the_fallen_kings
out_of_melee	wh_dlc03_item_passive_the_dark_mail
other_abilities_just_activated_after_wind_up	wh_dlc03_lore_passive_bestial_surge
other_abilities_just_activated_after_wind_up	wh_dlc03_lore_passive_wild_heart
health_above_25%	wh_dlc03_quest_passive_poisoning
out_of_melee	wh_dlc03_unit_abilities_slaughterers_call
morale_is_wavering_or_lower	wh_dlc03_unit_passive_drunken
morale_is_lower_than_half_of_base_morale	wh_dlc03_unit_passive_primal_fury
out_of_melee	wh_dlc04_unit_passive_strength_of_the_penitent
out_of_melee	wh_dlc04_unit_passive_the_reliquary_corruption
unit_is_not_in_forest	wh_dlc05_hero_passive_blessing_of_the_ancients
cannot_find_enemies_in_intercept_range	wh_dlc05_hero_passive_hawkish_finesse
enemies_in_intercept_range	wh_dlc05_hero_passive_hawkish_precision
health_above_25%	wh_dlc05_item_passive_cloak_of_isha
other_abilities_just_activated_after_wind_up	wh_dlc05_lore_passive_life_bloom
other_abilities_just_activated_after_wind_up	wh_dlc05_lore_passive_smoke_and_mirrors
unit_is_not_in_forest	wh_dlc05_unit_passive_guardians_of_the_wildwood
out_of_melee	wh_dlc06_quest_passive_squigs_go_boom
manning_equipment	wh_dlc06_unit_abilities_smoke_bomb
morale_is_wavering_or_lower	wh_dlc06_unit_passive_liquid_fortification
out_of_melee	wh_dlc06_unit_passive_opportunist_murderer
out_of_melee	wh_dlc06_unit_passive_power_of_the_dragonback
cannot_find_enemies_in_intercept_range	wh_dlc06_unit_passive_squigs_go_wild
other_abilities_just_activated_after_wind_up	wh_dlc06_weapon_passive_bonewood_staff
morale_is_lower_than_half_of_base_morale	wh_dlc06_weapon_passive_hammer_of_angrund
unit_is_not_in_forest	wh_dlc07_hero_passive_sacred_guardian
out_of_melee	wh_dlc07_lord_passive_mist_of_the_lady
health_above_20%	wh_dlc08_lord_passive_daring_deathblow
health_above_50%	wh_dlc08_lord_passive_determined_deathblow
morale_is_broken_or_lower	wh_dlc08_lord_passive_rage
out_of_melee	wh_dlc08_lord_passive_rage
other_abilities_just_activated_after_wind_up	wh_dlc08_quest_abilities_soul_binding
morale_is_broken_or_lower	wh_dlc08_unit_passive_berserk
out_of_melee	wh_dlc08_unit_passive_berserk
morale_is_lower_than_half_of_base_morale	wh_dlc08_unit_passive_from_the_mist
morale_is_broken_or_lower	wh_dlc08_unit_passive_rage
out_of_melee	wh_dlc08_unit_passive_rage
morale_is_lower_than_half_of_base_morale	wh_dlc08_weapon_passive_flaming_axe_of_cormac
morale_is_broken_or_lower	wh_dlc15_quest_passive_primal_rage
morale_is_broken_or_lower	wh_main_character_passive_master_of_the_dead
morale_is_broken_or_lower	wh_main_item_passive_seed_of_rebirth
out_of_melee	wh_main_item_passive_seed_of_rebirth
health_above_50%_base	wh_main_lord_passive_beloved_son_of_bretonnia
health_above_20%	wh_main_lord_passive_deathblow
out_of_melee	wh_main_lord_passive_high_king
morale_is_broken_or_lower	wh_main_lord_passive_the_blessing_of_the_lady
morale_is_broken_or_lower	wh_main_lord_passive_the_hunger
out_of_melee	wh_main_lord_passive_the_hunger
morale_is_broken_or_lower	wh_main_lord_passive_the_ladys_champion
other_abilities_just_activated_after_wind_up	wh_main_lore_passive_exorcism
other_abilities_just_activated_after_wind_up	wh_main_lore_passive_kindleflame
other_abilities_just_activated_after_wind_up	wh_main_lore_passive_life_leeching
other_abilities_just_activated_after_wind_up	wh_main_lore_passive_metalshifting
other_abilities_just_activated_after_wind_up	wh_main_lore_passive_power_of_da_waaagh
other_abilities_just_activated_after_wind_up	wh_main_lore_passive_roiling_skies
other_abilities_just_activated_after_wind_up	wh_main_lore_passive_sneaky_stealin
morale_is_broken_or_lower	wh_main_lore_passive_the_curse_of_undeath
other_abilities_just_activated_after_wind_up	wh_main_lore_passive_the_curse_of_undeath
morale_is_lower_than_half_of_base_morale	wh_main_mark_passive_mark_of_khorne
mana_below_value_15	wh_main_mount_passive_aura_of_protection
out_of_melee	wh_main_mount_passive_bloodroar
health_above_25%	wh_main_rune_abilities_ancestor_rune
unit_tier3_kills	wh_main_unit_abilities_black_nimbus
unit_tier1_kills	wh_main_unit_abilities_black_scythes
unit_tier2_kills	wh_main_unit_abilities_unholy_vigour
health_above_20%	wh_main_unit_passive_deathblow
morale_is_lower_than_half_of_base_morale	wh_main_unit_passive_frenzy
health_above_25%	wh_main_unit_passive_unbinding_critical
morale_is_higher_than_shattered	wh_main_unit_passive_unstable_mark_ii
morale_is_higher_than_broken	wh_main_unit_passive_unstable
morale_is_broken_or_lower	wh_main_weapon_passive_chaos_tomb_blade
out_of_melee	wh_main_weapon_passive_chaos_tomb_blade
out_of_melee	wh_main_weapon_passive_sword_of_unholy_power
cannot_find_enemies_in_intercept_range	wh_pro04_unit_abilities_soul_devourer
