component_id	source	target	attitude_base	negative_attitude_multiplier	positive_attitude_multiplier
anti_chaos	wh_main_sc_teb_teb	wh2_main_sc_lzd_lizardmen	50.0	0.75	1.5
anti_chaos	wh_main_sc_teb_teb	wh_main_sc_brt_bretonnia	50.0	0.75	1.5
anti_chaos	wh_main_sc_teb_teb	wh_main_sc_dwf_dwarfs	50.0	0.75	1.5
anti_chaos	wh_main_sc_teb_teb	wh_main_sc_emp_empire	50.0	0.75	1.5
anti_chaos	wh_main_sc_teb_teb	wh_main_sc_teb_teb	50.0	0.75	1.5
arkhan_likes_vampires_dislikes_tombkings	wh2_dlc09_sc_tmb_tomb_kings	wh2_dlc09_sc_tmb_tomb_kings	-50.0	1.0	1.0
arkhan_likes_vampires_dislikes_tombkings	wh2_dlc09_sc_tmb_tomb_kings	wh2_dlc11_sc_cst_vampire_coast	20.0	1.0	1.0
arkhan_likes_vampires_dislikes_tombkings	wh2_dlc09_sc_tmb_tomb_kings	wh_main_sc_vmp_vampire_counts	20.0	1.0	1.0
dislikes_bretonnia	wh_main_sc_brt_bretonnia	wh_main_sc_brt_bretonnia	-15.0	1.0	1.0
dislikes_bretonnia	wh_main_sc_dwf_dwarfs	wh_main_sc_brt_bretonnia	-15.0	1.0	1.0
dislikes_bretonnia	wh_main_sc_emp_empire	wh_main_sc_brt_bretonnia	-15.0	1.0	1.0
dislikes_darkelves_internal	wh2_main_sc_def_dark_elves	wh2_main_sc_def_dark_elves	-30.0	1.0	1.0
dislikes_dwarfs	wh_main_sc_brt_bretonnia	wh_main_sc_dwf_dwarfs	-15.0	1.0	1.0
dislikes_dwarfs	wh_main_sc_dwf_dwarfs	wh_main_sc_dwf_dwarfs	-15.0	1.0	1.0
dislikes_dwarfs	wh_main_sc_emp_empire	wh_main_sc_dwf_dwarfs	-15.0	1.0	1.0
dislikes_elves	wh_main_sc_dwf_dwarfs	wh2_main_sc_def_dark_elves	-60.0	1.0	0.75
dislikes_elves	wh_main_sc_dwf_dwarfs	wh2_main_sc_hef_high_elves	-60.0	1.0	0.75
dislikes_elves	wh_main_sc_dwf_dwarfs	wh_dlc05_sc_wef_wood_elves	-60.0	1.0	0.75
dislikes_empire	wh_main_sc_brt_bretonnia	wh_main_sc_emp_empire	-15.0	1.0	1.0
dislikes_empire	wh_main_sc_dwf_dwarfs	wh_main_sc_emp_empire	-15.0	1.0	1.0
dislikes_empire	wh_main_sc_emp_empire	wh_main_sc_emp_empire	-15.0	1.0	1.0
dislikes_highelves_internal	wh2_main_sc_hef_high_elves	wh2_main_sc_hef_high_elves	-30.0	1.0	1.0
dislikes_lizardmen_internal	wh2_main_sc_lzd_lizardmen	wh2_main_sc_lzd_lizardmen	-15.0	1.0	1.0
dislikes_lizardmen	wh2_dlc11_sc_cst_vampire_coast	wh2_main_sc_lzd_lizardmen	-60.0	1.0	1.0
dislikes_lizardmen	wh_main_sc_emp_empire	wh2_main_sc_lzd_lizardmen	-50.0	1.0	1.0
dislikes_norsca	wh2_dlc11_sc_cst_vampire_coast	wh3_main_sc_ksl_kislev	-100.0	1.0	1.0
dislikes_skaven_internal	wh2_main_sc_skv_skaven	wh2_main_sc_skv_skaven	-30.0	1.0	1.0
dislikes_tomb_kings	wh2_dlc09_sc_tmb_tomb_kings	wh2_dlc09_sc_tmb_tomb_kings	-50.0	1.0	1.0
dislikes_tomb_kings	wh2_dlc09_sc_tmb_tomb_kings	wh_main_sc_vmp_vampire_counts	20.0	1.0	1.0
dislikes_vampires	wh2_dlc09_sc_tmb_tomb_kings	wh_main_sc_vmp_vampire_counts	-50.0	1.0	1.0
dislikes_woodelves	wh_dlc05_sc_wef_wood_elves	wh_dlc05_sc_wef_wood_elves	-50.0	2.0	0.5
dislikes_woodelves	wh_dlc05_sc_wef_wood_elves	wh_main_sc_emp_empire	-30.0	1.0	1.0
dislikes_woodelves	wh_dlc05_sc_wef_wood_elves	wh_main_sc_vmp_vampire_counts	0.0	1.0	1.0
likes_highelves_internal	wh2_main_sc_hef_high_elves	wh2_main_sc_hef_high_elves	30.0	1.0	1.0
likes_lizardmen_internal	wh2_main_sc_lzd_lizardmen	wh2_main_sc_lzd_lizardmen	20.0	1.0	1.0
likes_vampires	wh_main_sc_grn_greenskins	wh_main_sc_vmp_vampire_counts	10.0	1.0	1.0
woc_dislike_chaos	wh_main_sc_chs_chaos	wh_main_sc_chs_chaos	-20.0	2.0	0.5
