key	player_prestige	army_cap	level	navy_cap	ai_prestige	province_initiative_cap	campaign	description_lookup	effect_bundle	title_lookup	tooltip_lookup	all_agents_cap
1835070185	42	1	7	0	42	9999	wh3_main_chaos	imperium_07_description		imperium_07_title	imperium_tooltip_07	-1
183967987	0	1	0	0	0	9999	wh3_main_combi	imperium_01_description		imperium_01_title	imperium_tooltip_01	-1
1847877542	0	1	0	0	0	9999	wh3_main_chaos	imperium_01_description		imperium_01_title	imperium_tooltip_01	-1
1848430167	70	1	10	0	70	9999	wh3_main_combi	imperium_07_description		imperium_07_title	imperium_tooltip_07	-1
1862391538	120	1	15	0	120	9999	wh3_main_chaos	imperium_07_description		imperium_07_title	imperium_tooltip_07	-1
1935064686	100	1	13	0	100	9999	wh3_main_chaos	imperium_07_description		imperium_07_title	imperium_tooltip_07	-1
1947314309	80	1	11	0	80	9999	wh3_main_combi	imperium_07_description		imperium_07_title	imperium_tooltip_07	-1
2037047857	140	1	17	0	140	9999	wh3_main_prologue	imperium_07_description		imperium_07_title	imperium_tooltip_07	-1
2053725232	70	1	10	0	70	9999	wh3_main_chaos	imperium_07_description		imperium_07_title	imperium_tooltip_07	-1
2079048479	120	1	15	0	120	9999	wh3_main_combi	imperium_07_description		imperium_07_title	imperium_tooltip_07	-1
2112957621	36	1	6	0	36	9999	wh3_main_chaos	imperium_07_description		imperium_07_title	imperium_tooltip_07	-1
2119733508	18	1	3	0	18	9999	wh3_main_combi	imperium_04_description		imperium_04_title	imperium_tooltip_04	-1
2122468383	24	1	4	0	24	9999	wh3_main_prologue	imperium_05_description		imperium_05_title	imperium_tooltip_05	-1
234991103	24	1	4	0	24	9999	wh3_main_combi	imperium_05_description		imperium_05_title	imperium_tooltip_05	-1
23510121	12	1	2	0	12	9999	wh3_main_prologue	imperium_03_description		imperium_03_title	imperium_tooltip_03	-1
235541012	6	1	1	0	6	9999	wh3_main_chaos	imperium_02_description		imperium_02_title	imperium_tooltip_02	-1
291620572	12	1	2	0	12	9999	wh3_main_chaos	imperium_03_description		imperium_03_title	imperium_tooltip_03	-1
414431428	30	1	5	0	30	9999	wh3_main_prologue	imperium_06_description		imperium_06_title	imperium_tooltip_06	-1
497745825	36	1	6	0	36	9999	wh3_main_prologue	imperium_07_description		imperium_07_title	imperium_tooltip_07	-1
558386984	0	1	0	0	0	9999	wh3_main_prologue	imperium_01_description		imperium_01_title	imperium_tooltip_01	-1
627115813	6	1	1	0	6	9999	wh3_main_combi	imperium_02_description		imperium_02_title	imperium_tooltip_02	-1
655128030	140	1	17	0	140	9999	wh3_main_combi	imperium_07_description		imperium_07_title	imperium_tooltip_07	-1
686604972	90	1	12	0	90	9999	wh3_main_chaos	imperium_07_description		imperium_07_title	imperium_tooltip_07	-1
689420216	36	1	6	0	36	9999	wh3_main_combi	imperium_07_description		imperium_07_title	imperium_tooltip_07	-1
704780821	100	1	13	0	100	9999	wh3_main_prologue	imperium_07_description		imperium_07_title	imperium_tooltip_07	-1
713190735	6	1	1	0	6	9999	wh3_main_prologue	imperium_02_description		imperium_02_title	imperium_tooltip_02	-1
717578617	130	1	16	0	130	9999	wh3_main_prologue	imperium_07_description		imperium_07_title	imperium_tooltip_07	-1
78025659	42	1	7	0	42	9999	wh3_main_prologue	imperium_07_description		imperium_07_title	imperium_tooltip_07	-1
890308960	140	1	17	0	140	9999	wh3_main_chaos	imperium_07_description		imperium_07_title	imperium_tooltip_07	-1
901381999	30	1	5	0	30	9999	wh3_main_chaos	imperium_06_description		imperium_06_title	imperium_tooltip_06	-1
915645680	90	1	12	0	90	9999	wh3_main_combi	imperium_07_description		imperium_07_title	imperium_tooltip_07	-1
91795524	18	1	3	0	18	9999	wh3_main_prologue	imperium_04_description		imperium_04_title	imperium_tooltip_04	-1
93134777	42	1	7	0	42	9999	wh3_main_combi	imperium_07_description		imperium_07_title	imperium_tooltip_07	-1
940586027	80	1	11	0	80	9999	wh3_main_chaos	imperium_07_description		imperium_07_title	imperium_tooltip_07	-1
946235613	60	1	9	0	60	9999	wh3_main_combi	imperium_07_description		imperium_07_title	imperium_tooltip_07	-1
994021197	12	1	2	0	12	9999	wh3_main_combi	imperium_03_description		imperium_03_title	imperium_tooltip_03	-1
