key	texture_filename_base	category
hef_tiranoc_chariot_destruct	warmachines\tex	animation
hef_tiranoc_chariot_hero	warmachines\tex	animation
hef_tiranoc_chariot_hero_destruct	warmachines\tex	animation
hef_white_lion_chariot	warmachines\tex	animation
hef_white_lion_chariot_destruct	warmachines\tex	animation
ksl_little_grom_01	warmachines/engines/ksl_little_grom/tex/	animation
ksl_little_grom_01_destruct	warmachines/engines/ksl_little_grom/tex/	animation
ksl_warsled_heavy	warmachines\tex	animation
ksl_warsled_heavy_destruct	warmachines\tex	animation
ksl_warsled_light	warmachines\tex	animation
ksl_warsled_light_destruct	warmachines\tex	animation
lzd_lord_kroak_platform	warmachines\tex	animation
lzd_lord_kroak_platform_destruct	warmachines\tex	animation
lzd_mazdamundi_palanquin	warmachines\tex	animation
lzd_mazdamundi_palanquin_destruct	warmachines\tex	animation
lzd_slann_palanquin	warmachines\tex	animation
lzd_slann_palanquin_destruct	warmachines\tex	animation
nor_hellcannon	warmachines\tex	animation
nor_hellcannon_destruct	warmachines\tex	animation
oar_L_anim_loop	RigidModels/Naval/Textures	animation
oar_L_anim_lower	RigidModels/Naval/Textures	animation
oar_L_anim_raise	RigidModels/Naval/Textures	animation
oar_R_anim_loop	RigidModels/Naval/Textures	animation
oar_R_anim_lower	RigidModels/Naval/Textures	animation
oar_R_anim_raise	RigidModels/Naval/Textures	animation
ogr_ironblaster	warmachines\tex	animation
ogr_ironblaster_destruct	warmachines\tex	animation
ogr_scrap_launcher	warmachines\tex	animation
ogr_scrap_launcher_destruct	warmachines\tex	animation
positional_oar_L01_anim	RigidModels/Naval/Textures	animation
positional_oar_L02_anim	RigidModels/Naval/Textures	animation
rome_ballista_giant	RigidModels/buildings/textures	animation
rome_ballista_giant_destruction_anim	RigidModels/buildings/textures	animation
rome_ballista_medium	RigidModels/buildings/textures	animation
rome_ballista_medium_destruction_anim	RigidModels/buildings/textures	animation
rome_ballista_medium_ship	RigidModels/buildings/textures	animation
rome_ballista_medium_ship_destruction_anim	RigidModels/buildings/textures	animation
rome_battering_ram_heavy	RigidModels/buildings/textures	animation
rome_battering_ram_light	RigidModels/buildings/textures	animation
rome_battering_ram_medium	RigidModels/buildings/textures	animation
rome_cheiroballistra	RigidModels/buildings/textures	animation
rome_cheiroballistra_destruction_anim	RigidModels/buildings/textures	animation
rome_fireraiser	RigidModels/buildings/textures	animation
rome_harpax	RigidModels/buildings/textures	animation
rome_harpax_destruction_anim	RigidModels/buildings/textures	animation
rome_onager	RigidModels/buildings/textures	animation
rome_onager_destruction_anim	RigidModels/buildings/textures	animation
rome_onager_large	RigidModels/buildings/textures	animation
rome_onager_large_destruction_anim	RigidModels/buildings/textures	animation
rome_onager_ship	RigidModels/buildings/textures	animation
rome_onager_ship_destruction_anim	RigidModels/buildings/textures	animation
rome_polybolos	RigidModels/buildings/textures	animation
rome_polybolos_destruction_anim	RigidModels/buildings/textures	animation
rome_scorpio	RigidModels/buildings/textures	animation
rome_scorpio_destruction_anim	RigidModels/buildings/textures	animation
skv_doom_flayer	warmachines\tex	animation
skv_doom_flayer_blackhole_01	warmachines\tex	animation
skv_doom_flayer_blackhole_01_destruct	warmachines\tex	animation
skv_doom_flayer_destruct	warmachines\tex	animation
skv_doom_flayer_destruct_ror	warmachines\tex	animation
skv_doom_flayer_destruct_tech_lab_ror	warmachines\tex	animation
skv_doom_flayer_ror	warmachines\tex	animation
skv_doom_flayer_tech_lab_ror	warmachines\tex	animation
skv_doomwheel	warmachines\tex	animation
skv_doomwheel_destruct	warmachines\tex	animation
skv_doomwheel_destruct_ror	warmachines\tex	animation
skv_doomwheel_destruct_tech_lab_ror	warmachines\tex	animation
skv_doomwheel_ror	warmachines\tex	animation
skv_doomwheel_tech_lab_ror	warmachines\tex	animation
skv_doomwheel_warp_01	warmachines\tex	animation
skv_doomwheel_warp_01_destruct	warmachines\tex	animation
skv_lightning_cannon	warmachines\tex	animation
skv_lightning_cannon_destruct	warmachines\tex	animation
skv_lightning_cannon_destruct_ror	warmachines\tex	animation
skv_lightning_cannon_ror	warmachines\tex	animation
skv_plague_furnace	warmachines\tex	animation
skv_plague_furnace_destruct	warmachines\tex	animation
skv_plagueclaw_catapult	warmachines\tex	animation
skv_plagueclaw_catapult_destruct	warmachines\tex	animation
skv_screaming_bell	warmachines\tex	animation
skv_screaming_bell_destruct	warmachines\tex	animation
target_marker	RigidModels/3DIndicators/Textures	animation
tmb_casket_of_souls	 	animation
tmb_casket_of_souls_destruct	 	animation
tmb_skull_catapult	warmachines\tex	animation
tmb_skull_catapult_destruct	warmachines\tex	animation
tmb_tomb_chariot	warmachines\tex	animation
tmb_tomb_chariot_arkhan	warmachines\tex	animation
tmb_tomb_chariot_arkhan_destruct	warmachines\tex	animation
tmb_tomb_chariot_destruct	warmachines\tex	animation
tmb_tomb_chariot_general	warmachines\tex	animation
tmb_tomb_chariot_general_destruct	warmachines\tex	animation
tmb_tomb_chariot_settra	warmachines\tex	animation
tmb_tomb_chariot_settra_destruct	warmachines\tex	animation
trade_camel	RigidModels\CampaignTradeRoutes	campaign_animation
trade_camel_lead	RigidModels\CampaignTradeRoutes	campaign_animation
trade_ox	RigidModels/campaign/trade_models/textures	campaign_animation
trade_ox_cart	RigidModels/campaign/trade_models/textures	campaign_animation
trade_ship_barbarian	RigidModels/campaign/trade_models/textures	campaign_animation
vmp_black_coach_01	warmachines\tex	animation
vmp_black_coach_destruct	warmachines\tex	animation
vmp_corpse_cart	warmachines\tex	animation
vmp_corpse_cart_balefire	warmachines\tex	animation
vmp_corpse_cart_balefire_destruct	warmachines\tex	animation
vmp_corpse_cart_destruct	warmachines\tex	animation
vmp_corpse_cart_helman	warmachines\tex	animation
vmp_corpse_cart_helman_destruct	warmachines\tex	animation
vmp_corpse_cart_lodestone	warmachines\tex	animation
vmp_corpse_cart_lodestone_destruct	warmachines\tex	animation
vmp_mortis_engine	warmachines\tex	animation
vmp_mortis_engine_destruct	warmachines\tex	animation
vmp_mortis_engine_nagash	warmachines\tex	animation
