key	group	icon	area_of_interest	spline_material	spline_colour	icon_height_offset
wh3_main_ie_black_fire_pass	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_ie_black_fire_pass	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_ie_bloodpine_woods	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_ie_bloodpine_woods	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_ie_brazen_altar	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_ie_brazen_altar	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_ie_burial_ground_of_grudsnik	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_ie_burial_ground_of_grudsnik	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_ie_estalian_tomb	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_ie_estalian_tomb	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_ie_firemouth_volcano	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_ie_firemouth_volcano	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_ie_floating_chaos_island	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_ie_floating_chaos_island	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_ie_glacial_lake	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_ie_glacial_lake	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_ie_golden_monolith	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_ie_golden_monolith	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_ie_gouger_gully	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_ie_gouger_gully	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_ie_grimmenhagen	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_ie_grimmenhagen	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_ie_hel_fenn	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_ie_hel_fenn	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_ie_ice_caverns_of_ymirdrak	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_ie_ice_caverns_of_ymirdrak	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_ie_la_maisontall_abbey	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_ie_la_maisontall_abbey	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_ie_leitziger_ford	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_ie_leitziger_ford	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_ie_lucent_maze	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_ie_lucent_maze	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_ie_marbads_tomb	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_ie_marbads_tomb	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_ie_ogham_shard	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_ie_ogham_shard	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_ie_pillar_of_bone	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_ie_pillar_of_bone	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_ie_shrine_of_ill_omen	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_ie_shrine_of_ill_omen	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_ie_shrine_of_ursun	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_ie_shrine_of_ursun	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_ie_stir_river	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_ie_stir_river	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_ie_the_fallen_gates	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_ie_the_fallen_gates	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_ie_the_frozen_falls	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_ie_the_frozen_falls	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_ie_the_great_maw	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_ie_the_great_maw	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_ie_the_great_vortex	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_ie_the_great_vortex	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_ie_the_howling_citadel	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_ie_the_howling_citadel	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_ie_warpshard_caverns	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_ie_warpshard_caverns	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_kho_machina_daemonium	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_kho_machina_daemonium	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_kho_skull_of_the_first	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_kho_skull_of_the_first	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_kho_the_tree_of_souls	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_kho_the_tree_of_souls	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_kho_the_wrathgate	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_kho_the_wrathgate	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_leitziger_ford	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_leitziger_ford	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_lucent_maze	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_lucent_maze	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_marbads_tomb	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_marbads_tomb	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_nur_arghus_the_plague_moon	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_nur_arghus_the_plague_moon	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_nur_lair_of_the_maggot_lord	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_nur_lair_of_the_maggot_lord	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_nur_the_great_tree	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_nur_the_great_tree	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_nur_the_septic_isle	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_nur_the_septic_isle	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_shrine_of_ursun	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_shrine_of_ursun	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_the_frozen_falls	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_the_frozen_falls	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_the_great_maw	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_the_great_maw	materials/ui/arrow_shaft_turn_1.xml.material		5.0000
wh3_main_the_howling_citadel	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_the_howling_citadel	materials/ui/arrow_shaft_turn_1.xml.material		5.0000
wh3_main_tze_citadel_of_the_iron_knight	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_tze_citadel_of_the_iron_knight	materials/ui/arrow_shaft_turn_1.xml.material		5.0000
wh3_main_tze_the_eternity_stair	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_tze_the_eternity_stair	materials/ui/arrow_shaft_turn_1.xml.material		5.0000
wh3_main_tze_the_eyrie_of_the_watcher	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_tze_the_eyrie_of_the_watcher	materials/ui/arrow_shaft_turn_1.xml.material		5.0000
wh3_main_tze_the_heavenward_halls	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_tze_the_heavenward_halls	materials/ui/arrow_shaft_turn_1.xml.material		5.0000
wh3_main_tze_the_ruins_of_the_dead_king	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_tze_the_ruins_of_the_dead_king	materials/ui/arrow_shaft_turn_1.xml.material		5.0000
wh3_main_tze_the_true_liars_monolith	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_tze_the_true_liars_monolith	materials/ui/arrow_shaft_turn_1.xml.material		5.0000
