bonus_value_id	effect	unit_set_attribute
enable	wh2_dlc16_effect_unit_enable_attribute_expert_charge_defence_empire_halberds	wh2_dlc16_effect_unit_enable_attribute_expert_charge_defence_empire_halberds
enable	wh2_dlc16_effect_unit_enable_attribute_expert_charge_defence_eternal_guard	wh2_dlc16_effect_expert_charge_defence_eternal_guard
enable	wh2_dlc16_effect_vanguard_flying	wh2_dlc16_flying_guerilla_deploy
enable	wh2_dlc16_wef_immune_to_psychology_all_elf_units	wh2_dlc16_immune_to_psychology_elf_units
enable	wh2_dlc17_effect_attribute_stalk_khazrak_focus_units	wh2_dlc17_effect_attribute_stalk_khazrak_focus_units
enable	wh2_dlc17_effect_attribute_stalk_khazrak_focus_units	wh2_dlc17_effect_attribute_stalk_khazrak_focus_units_2
enable	wh2_dlc17_effect_cause_fear_harpies	wh2_dlc17_effect_enable_fear_harpies
enable	wh2_dlc17_effect_enable_attribute_cause_fear_bst_tuskgor_chariots	wh2_dlc17_effect_enable_attribute_cause_fear_bst_tuskgor_chariots
enable	wh2_dlc17_effect_enable_attribute_cause_fear_bst_warhounds_harpies	wh2_dlc17_effect_enable_attribute_cause_fear_bst_warhounds_harpies
enable	wh2_dlc17_effect_enable_attribute_cause_terror_bst_minotaurs_units	wh2_dlc17_effect_enable_attribute_cause_terror_bst_minotaurs_units
enable	wh2_dlc17_effect_enable_attribute_cause_terror_bst_razorgor_chariots	wh2_dlc17_effect_enable_attribute_cause_terror_bst_razorgor_chariots
enable	wh2_dlc17_effect_enable_attribute_cause_terror_bst_wargor_chariot_mounts	wh2_dlc17_effect_enable_attribute_cause_fear_bst_wargor_chariot_mounts
enable	wh2_dlc17_effect_enable_attribute_cause_terror_bst_wargor_chariot_mounts	wh2_dlc17_effect_enable_attribute_cause_terror_bst_wargor_chariot_mounts
enable	wh2_dlc17_effect_enable_attribute_cause_terror_throgg_focus_units	wh2_dlc17_effect_enable_attribute_cause_terror_throgg_units
enable	wh2_dlc17_effect_enable_attribute_encourage_bst_bestigors	wh2_dlc17_effect_enable_attribute_encourage_bst_bestigors
enable	wh2_dlc17_effect_enable_attribute_fire_while_moving_gyrocopters	wh2_dlc17_effect_enable_attribute_fire_while_moving_gyrocopters
enable	wh2_dlc17_effect_enable_attribute_snipe_chameleon_skinks	wh2_dlc17_snipe_chameleon_skink_skirmishers
enable	wh2_dlc17_effect_enable_attribute_snipe_rangers	wh2_dlc17_snipe_rangers
enable	wh2_dlc17_effect_enable_attribute_stalk_all_skink_units	wh2_dlc17_stalk_all_skinks
enable	wh2_dlc17_effect_enable_attribute_unspottable_chameleon_stalkers	wh2_dlc17_unspottable_chameleon_stalkers
enable	wh2_dlc17_effect_enable_attribute_vanguard_deployment_bst_bestigors	wh2_dlc17_effect_enable_attribute_vanguard_deployment_bst_bestigors
enable	wh2_dlc17_effect_enable_attribute_vanguard_deployment_bst_chariot_units	wh2_dlc17_effect_enable_attribute_vanguard_deployment_bst_chariot_units
enable	wh2_dlc17_effect_enable_attribute_vanguard_deployment_bst_wargor_chariot_mounts	wh2_dlc17_effect_enable_attribute_vanguard_deployment_bst_wargor_chariot_mounts
enable	wh2_dlc17_effect_enable_attribute_vanguard_deployment_bst_wargor_unmounted	wh2_dlc17_effect_enable_attribute_vanguard_deployment_bst_wargor_unmounted
enable	wh2_dlc17_effect_enable_attribute_vanguard_deployment_minotaurs	wh2_dlc17_vanguard_minotaurs
enable	wh2_dlc17_effect_vanguard_deployment_skinks	wh2_dlc17_vanguard_skinks
enable	wh2_main_effect_attribute_enable_causes_fear_blackguard	def_enable_fear_blackguard
enable	wh2_main_effect_attribute_enable_causes_fear_shades	def_enable_fear_shades
enable	wh2_main_effect_attribute_enable_vanguard_deployment_archers_spearmen	wh2_main_hef_moranions_wayshard
enable	wh2_main_effect_attribute_enable_vanguard_deployment_lzd_units	lzd_astromancy_guerilla_units_deploy
enable	wh2_main_spawning_blessed_kroxigors_cause_terror	lzd_enable_terror_blessed_kroxigors
enable	wh2_twa03_effect_attribute_stalk_cold_ones	wh2_twa03_stalk_cold_ones
enable	wh2_twa03_effect_unit_enable_attribute_guerrilla_deployment_corsairs	wh2_twa03_vanguard_corsairs
enable	wh3_dlc20_attribute_expendable_marauders_marauder_cav	wh3_dlc20_expendable_marauder_horsemen
enable	wh3_dlc20_attribute_expendable_marauders_marauder_cav	wh3_dlc20_expendable_marauders
enable	wh3_dlc20_effect_attribute_cause_fear_undivided_units	cause_fear_undivided_units
enable	wh3_dlc20_effect_attribute_enable_ogre_charge_skullcrushers_knights_mkho	wh3_dlc20_ogre_charge_knights_mkho
enable	wh3_dlc20_effect_attribute_enable_ogre_charge_skullcrushers_knights_mkho	wh3_dlc20_ogre_charge_skullcrushers
enable	wh3_dlc20_effect_attribute_enable_perfect_vigour_chs_forsaken	wh3_dlc20_effect_attribute_perfect_vigour_forsaken
enable	wh3_dlc20_effect_attribute_expert_charge_defence_chs_spear_halberd_units_rank_4	wh3_dlc20_expert_charge_defence_chs_spear_halberds_rank_4
enable	wh3_dlc20_effect_attribute_fear_aspiring_champions	wh3_dlc20_effect_attribute_fear_terror_aspiring_champions
enable	wh3_dlc20_effect_attribute_immpsy_aspiring_champions	wh3_dlc20_effect_attribute_immpsy_aspiring_champions
enable	wh3_dlc20_effect_attribute_perfect_vigour_aspiring_champions	wh3_dlc20_effect_attribute_fear_chosen_und
enable	wh3_dlc20_effect_attribute_perfect_vigour_aspiring_champions	wh3_dlc20_effect_attribute_perfect_vigour_aspiring_champions
enable	wh3_dlc20_effect_attribute_perfect_vigour_aspiring_champions	wh3_dlc20_effect_attribute_perfect_vigour_chosen_und
enable	wh3_dlc20_effect_attribute_perfect_vigour_chosen	wh3_dlc20_effect_attribute_perfect_vigour_chosen
enable	wh3_dlc20_effect_attribute_strider_aspiring_champions	wh3_dlc20_effect_attribute_strider_aspiring_champions
enable	wh3_dlc20_effect_attribute_terror_chaos_spawn	wh3_dlc20_terror_chaos_spawn
enable	wh3_dlc20_effect_attribute_vanguard_marauders_warriors	wh3_dlc20_effect_attribute_vanguard_chosen
enable	wh3_dlc20_effect_attribute_vanguard_marauders_warriors	wh3_dlc20_effect_attribute_vanguard_marauders
enable	wh3_dlc20_effect_attribute_vanguard_marauders_warriors	wh3_dlc20_effect_attribute_vanguard_warriors
enable	wh3_dlc20_effect_attribute_vanguard_slaanesh_units	vanguard_slaanesh_units
enable	wh3_dlc20_effect_cause_fear_chs_great_weapons_units_rank_4	wh3_dlc20_cause_fear_rank_4_chs_great_weapons
enable	wh3_dlc20_effect_enable_attribute_vanguard_deployment_chs_chaos_knights	wh3_dlc20_vanguard_chaos_knights
enable	wh3_dlc20_effect_enable_attribute_vanguard_deployment_chs_juggernauts	wh3_dlc20_vanguard_juggernauts
enable	wh3_dlc20_effect_expendable_all_non_characters	expendable_all_non_characters
enable	wh3_main_effect_attribute_devastating_flanker_wraiths	devastating_flanker_wraiths
enable	wh3_main_effect_attribute_enable_causes_terror_iridescent_horror	wh3_main_effect_attribute_enable_causes_terror_iridescent_horror
enable	wh3_main_effect_attribute_enable_causes_terror_ogr_gorger	wh3_main_effect_attribute_enable_causes_terror_ogr_gorger
enable	wh3_main_effect_attribute_enable_devestating_flanker_cth_jade_lancer	wh3_main_effect_attribute_enable_devestating_flanker_jade_lancer
enable	wh3_main_effect_attribute_enable_devestating_flanker_sla_cavalry_chariots	wh3_main_effect_attribute_enable_devestating_flanker_sla_cavalry_chariots
enable	wh3_main_effect_attribute_enable_immune_to_psychology_ogr_sabretusk	wh3_main_ogr_sabretusks_enable_immune_to_psychology
enable	wh3_main_effect_attribute_enable_perfect_vigour_cth_peasant_horsemen	wh3_main_effect_attribute_enable_perfect_vigour_cth_peasant_horsemen_archer
enable	wh3_main_effect_attribute_enable_perfect_vigour_kho_bloodletters	wh3_main_effect_attribute_enable_perfect_vigour_kho_bloodletters
enable	wh3_main_effect_attribute_enable_perfect_vigour_kho_crushers	wh3_main_effect_attribute_enable_perfect_vigour_kho_crushers
enable	wh3_main_effect_attribute_enable_perfect_vigour_sla_cavalry	wh3_main_effect_attribute_enable_perfect_vigour_sla_cavalry
enable	wh3_main_effect_attribute_enable_perfect_vigour_stonehorn_mount	wh3_main_ogr_cha_hunter_1_perfect_vigour
enable	wh3_main_effect_attribute_enable_stalk_cth_peasant_archer	wh3_main_effect_attribute_enable_stalk_peasant_archer
enable	wh3_main_effect_attribute_enable_stalk_ogr_sabretusk	wh3_main_ogr_sabretusks_enable_stalk
enable	wh3_main_effect_attribute_enable_stalk_snow_leopards	wh3_main_ogr_snow_leopard_enable_stalk
enable	wh3_main_effect_attribute_enable_unbreakable_kho_bloodthirster	wh3_main_effect_attribute_enable_unbreakable_kho_bloodthirster
enable	wh3_main_effect_attribute_enable_unbreakable_ogr_gnoblars	wh3_main_ogr_gnoblars_unbreakable
enable	wh3_main_effect_attribute_enable_vanguard_deployment_nur_plague_toad_rot_flies	wh3_main_effect_attribute_enable_vanguard_deployment_nur_plague_toad_rot_flies
enable	wh3_main_effect_attribute_enable_vanguard_deployment_ogr_sabretusk	wh3_main_ogr_sabretusks_enable_guerrilla_deployment
enable	wh3_main_effect_attribute_perfect_vigour_skeletons	perfect_vigour_skeletons_0
enable	wh3_main_effect_attribute_perfect_vigour_skeletons	perfect_vigour_skeletons_1
enable	wh3_main_effect_attribute_strider_kho_flesh_hounds	wh3_main_flesh_hounds_strider
enable	wh3_main_effect_enable_attribute_expert_charge_defence_vs_large_nur_plaguebearer	wh3_main_effect_enable_attribute_expert_charge_defence_vs_large_nur_plaguebearer
enable	wh3_main_effect_immunity_to_contact_effects_saurus_temple_guard	contact_immune_saurus_temple_guard
enable	wh3_main_effect_unit_enable_spell_mastery_tzeentch_chars	wh3_main_spell_mastery_tze_cultists
enable	wh3_main_effect_unit_enable_spell_mastery_tzeentch_chars	wh3_main_spell_mastery_tze_exalted_lords_of_change_kairos
enable	wh3_main_effect_unit_enable_spell_mastery_tzeentch_chars	wh3_main_spell_mastery_tze_iridescent_horrors
enable	wh3_main_effect_unit_enable_spell_mastery_tzeentch_chars	wh3_main_spell_mastery_tze_lords_of_change
enable	wh3_main_effect_vanguard_deployment_stalk_lokhir_unmounted	stalk_lokhir_unmounted
enable	wh3_main_effect_vanguard_deployment_stalk_lokhir_unmounted	vanguard_lokhir_unmounted
enable	wh3_main_effect_vanguard_deployment_zombies	vanguard_zombies
enable	wh_dlc13_effect_saurus_temple_guard_enable_attribute_unbreakable	wh2_dlc13_saurus_temple_guard_unbreakable
enable	wh_dlc15_effect_force_unit_attribute_perfect_vigour_grn_chariots_pumpwagons	wh2_dlc15_perfect_vigour_grn_chariots
enable	wh_dlc15_effect_force_unit_attribute_perfect_vigour_grn_chariots_pumpwagons	wh2_dlc15_perfect_vigour_pumpwagons
enable	wh_main_effect_enable_attribute_expert_charge_defence_saurus_temple_guard	wh2_dlc13_saurus_temple_guard_charge_defence
enable	wh_main_effect_unit_enable_attribute_guerrilla_deployment_goblins	wh2_main_grn_goblin_guerilla_deploy
