id	max_payment_value	payment_treachery_value	payment_offered_multiplier_under	payment_requested_multiplier	payment_offered_multiplier_over	peace_penalty	peace_penalty_turns	war_penalty	war_penalty_turns	trespassing_peace_effect_multiplier	trespassing_peace_effect_cap	trespassing_war_effect_multiplier	trespassing_war_effect_cap	confederation_bonus	short_description	long_description	war_break_treaty_bonus_towards_victory_region_owners	peace_sign_treaty_penalty_towards_victory_region_owners	our_citizenry_confederation_multiplier	their_citizenry_confederation_multiplier	nonpenalised_trade_agreement_base	additional_nonpenalised_trade_agreements_per_region	trade_agreement_modifier_per_exceeded_trade_agreements	recent_treaty_modifier	recent_treaty_modifier_turns	recent_treaty_broken_modifier	recent_treaty_broken_modifier_turns	original_offer_modifier	confederation_territory_gain_modifier	confederation_territory_gain_modifier_turns
wh3_deal_eval_chaos_minor	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_darkelf	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			8.0	8.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_darkelf_major	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			8.0	8.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_darkelf_minor	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			8.0	8.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_darkelf_unfriendly	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			8.0	8.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_default	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_dwarf	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_dwarf_major	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_dwarf_minor	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_dwarf_unfriendly	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_empire	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_empire_major	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_empire_minor	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_empire_unfriendly	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_greenskin	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_greenskin_major	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_greenskin_minor	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_greenskin_unfriendly	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_highelf	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_highelf_major	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_highelf_minor	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_highelf_passive	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_highelf_unfriendly	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_kislev	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_kislev_minor	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_lizardmen	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_lizardmen_major	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_lizardmen_minor	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_lizardmen_nakai_vassal	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_lizardmen_passive	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_lizardmen_unfriendly	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_minor	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_norsca	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_norsca_awoken	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_norsca_confederated	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_norsca_major	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_norsca_minor	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_norsca_vassal	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_ogre	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_ogre_greedy	30.0	0.0	10.0	4.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_ogre_minor	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_passive	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_prologue	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_regionless	15.0	0.0	5.0	1.0	50.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_rogue	15.0	0.0	5.0	1.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_sentinels	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			8.0	8.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_skaven	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			8.0	8.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_skaven_major	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			8.0	8.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_skaven_minor	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			8.0	8.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_skaven_unfriendly	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			8.0	8.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_slaanesh	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			8.0	8.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_slaanesh_minor	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			8.0	8.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_tombkings	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			8.0	8.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_tombkings_major	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			8.0	8.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_tombkings_minor	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			8.0	8.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_tombkings_passive	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			8.0	8.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_vampire	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_vampire_major	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_vampire_minor	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_vampire_unfriendly	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_vampirecoast	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			8.0	8.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_vampirecoast_major	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			8.0	8.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_vampirecoast_minor	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			8.0	8.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_woc	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_woodelf	15.0	0.0	5.0	1.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_woodelf_major	15.0	0.0	5.0	1.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_woodelf_major_secondary	15.0	0.0	5.0	1.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_woodelf_minor	15.0	0.0	5.0	1.0	50.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
