key	ammo_caisson_destroyed_model	ammo_caisson_destruction	ammo_caisson_entity	ammo_caisson_model	articulated_entity	articulation_node_1_offset	articulation_node_1_radius	articulation_node_2_offset	articulation_node_2_radius	articulation_node_3_offset	articulation_node_3_radius	articulation_max_angle	head_offset
wh3_main_vehicle_sla_seeker_chariot		vmp_black_coach_01			wh3_main_vehicle_sla_seeker_chariot_articulation	0.5	1.75	3.2	0.25	5.0	1.5	45.0	1.8
wh3_main_vehicle_war_compass		vmp_black_coach_01			wh3_main_cth_veh_war_compass_articulation	0.45	2.1499999	3.5	0.25	6.0	1.9	30.0	2.2
wh_dlc01_chs_chariot_gorebeast		vmp_black_coach_01			wh_dlc01_vehicle_chs_chariot_gorebeast_articulation	0.5	1.75	3.2	0.25	5.0	1.5	75.0	2.0
wh_dlc03_bst_razorgor_chariot		vmp_black_coach_01			wh_dlc03_vehicle_bst_chariot_razorgor_articulation	0.5	1.75	3.2	0.25	6.0	1.9	75.0	2.0
wh_dlc04_emp_war_altar		vmp_black_coach_01			wh_dlc04_vehicle_war_altar_articulation	1.25	2.1499999	3.7	0.25	6.0	1.9	57.0	2.2
wh_dlc04_vmp_corpse_cart		vmp_black_coach_01			wh_dlc04_vehicle_vmp_corpse_cart_articulation	1.25	1.75	4.0	0.95	6.0	0.95	45.0	2.0
wh_dlc04_vmp_mortis_engine		vmp_black_coach_01			wh_dlc04_vehicle_vmp_mortis_engine_articulation	1.25	1.75	4.0	0.95	6.0	0.95	45.0	2.0
wh_dlc08_nor_chariot_wolf		vmp_black_coach_01			wh_dlc08_vehicle_nor_war_wolf_chariot_articulation	0.5	1.75	3.2	0.25	5.0	1.5	75.0	1.8
wh_main_chs_chariot_horse		vmp_black_coach_01			wh_main_vehicle_chs_chariot_articulation	0.5	1.75	3.2	0.25	5.0	1.5	75.0	1.8
wh_main_emp_luminark		vmp_black_coach_01			wh_main_vehicle_luminark_articulation	1.25	2.1499999	3.7	0.25	6.0	1.9	57.0	2.2
wh_main_grn_boar_chariot	 	vmp_black_coach_01			wh_main_vehicle_grn_boar_chariot_articulation	1.25	2.0	3.5	0.22000001	5.45	1.7	50.0	2.0
wh_main_grn_wolf_chariot		vmp_black_coach_01			wh_main_vehicle_grn_wolf_chariot_articulation	0.65	1.4499999	2.3	0.15	3.5	1.0	35.0	1.3
wh_main_vmp_black_coach		vmp_black_coach_01			wh_main_vehicle_vmp_black_coach_articulation	1.25	1.75	4.0	0.95	6.0	0.95	45.0	2.0
