key	close_formation_spacing_horizontal	close_formation_spacing_variation	close_formation_spacing_vertical	dismounted_close_formation_spacing_horizontal	dismounted_close_formation_spacing_variation	dismounted_close_formation_spacing_vertical	dismounted_loose_formation_spacing_horizontal	dismounted_loose_formation_spacing_variation	dismounted_loose_formation_spacing_vertical	loose_formation_spacing_horizontal	loose_formation_spacing_variation	loose_formation_spacing_vertical	routing_space_variation	is_chaotic_formation
wh3_main_cth_infantry_2handed	1.6	0.0	1.7	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	false
wh3_main_cth_infantry_celestial_guard_2handed	1.6	0.0	1.7	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	false
wh3_main_cth_infantry_long_spears	1.4	0.0	1.4	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	false
wh3_main_flying_infantry_furies	3.8	1.4	4.2	2.4	0.4	2.4	4.0	1.0	24.0	5.6	1.6	10.0	3.0	false
wh3_main_gorgers	6.0	1.8	6.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	4.0	12.0	3.0	false
wh3_main_hellflayer	12.0	1.0	14.0	1.0	0.0	1.0	2.0	0.0	2.0	12.0	0.0	14.0	3.0	false
wh3_main_infantry_chaotic_bloodletters	2.1	0.85	2.1	1.0	0.0	1.0	1.0	0.0	1.0	2.5	0.0	2.5	3.0	false
wh3_main_infantry_plaguebearers	2.3	0.8	2.3	1.0	0.0	1.0	1.0	0.0	1.0	2.1	0.8	2.1	3.0	false
wh3_main_infantry_sla_marauders	1.7	0.3	1.7	1.0	0.0	1.0	1.0	0.0	1.0	2.1	0.8	2.1	3.0	false
wh3_main_infantry_sla_marauders_spears	1.9000001	0.4	1.9000001	1.0	0.0	1.0	1.0	0.0	1.0	2.1	0.8	2.1	3.0	false
wh3_main_infantry_sla_marauders_whips	2.0	0.4	2.0	1.0	0.0	1.0	1.0	0.0	1.0	2.1	0.8	2.1	3.0	false
wh3_main_kislev_infantry	1.7	0.2	1.8	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	false
wh3_main_kislev_infantry_2handed	1.9000001	0.2	2.0	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	false
wh3_main_kislev_infantry_kossars	1.9000001	0.5	2.0	1.0	0.0	1.0	1.0	0.0	1.0	3.0	0.0	3.0	3.0	false
wh3_main_monstrous_fiends	6.2	1.2	6.2	1.0	1.0	1.0	1.0	1.0	1.0	10.0	4.0	12.0	3.0	false
wh3_main_ogr_ironguts	6.4	1.8	5.4	1.0	1.0	1.0	1.0	1.0	1.0	10.0	4.0	12.0	3.0	false
wh3_main_ogr_maneaters_great_weapons	6.4	1.8	5.4	1.0	1.0	1.0	1.0	1.0	1.0	10.0	4.0	12.0	3.0	false
wh3_main_ogr_mournfangs	7.0	1.0	7.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	4.0	12.0	3.0	false
wh3_main_ogr_sabretusk	4.2	1.8	5.4	1.2	1.0	1.0	1.0	1.0	1.0	2.8	0.8	5.0	3.0	false
wh3_main_rot_flies	8.0	3.5	7.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	4.0	12.0	3.0	true
wh3_main_screamers	7.0	3.5	6.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	4.0	12.0	3.0	true
wh3_main_skullcrushers	3.5	0.8	4.5	2.4	0.4	2.4	4.0	1.0	24.0	5.6	1.6	10.0	3.0	false
wh3_main_sla_daemonettes	2.0	1.1	2.0	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	true
wh3_main_swm_nurglings_chaotic	1.7	2.8	1.9000001	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	true
wh3_main_tze_inf_blue_horrors	2.4	1.0	2.4	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	false
wh3_main_tze_inf_pink_horrors	2.9	0.8	2.9	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	false
wh_dlc03_bst_centigors_rabble	3.0	1.5	4.2	2.4	0.4	2.4	4.0	1.0	24.0	5.6	1.6	10.0	3.0	false
wh_dlc03_bst_gor_rabble	2.7	1.2	2.7	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	false
wh_dlc03_bst_gorebull	2.5	0.8	3.0	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	false
wh_dlc03_bst_minotaur	6.0	2.5	5.5	1.0	1.0	1.0	1.0	1.0	1.0	10.0	4.0	12.0	3.0	false
wh_dlc03_bst_razorgor	5.0	2.1	5.7	1.2	1.0	1.0	1.0	1.0	1.0	2.8	0.8	5.0	3.0	false
wh_dlc03_bst_ungor_rabble	1.6	0.7	1.7	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	false
wh_dlc05_cavalry_hawk_riders	9.8	0.5	5.5	1.2	1.0	1.0	1.0	1.0	1.0	0.6	0.8	5.0	3.0	false
wh_dlc05_wef_infantry_dryad	2.7	1.3	2.7	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	false
wh_dlc05_wef_infantry_ranged	1.6	0.7	1.8	1.0	1.0	1.0	1.0	1.0	1.0	3.9	1.5	3.6	3.0	false
wh_dlc05_wef_infantry_skirmish	2.8	1.5	2.6	1.0	0.0	1.0	1.0	0.0	1.0	2.0	1.5	2.0	3.0	false
wh_dlc05_wef_infantry_spear	1.5	0.2	1.6	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	false
wh_dlc05_wef_infantry_wardancer	2.2	1.2	2.4	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	false
wh_dlc06_grn_Krimson	3.0	1.4	3.0	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	false
wh_dlc06_infantry_spider	2.7	1.3	2.7	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	false
wh_dlc07_brt_infantry_peasant_mob	2.2	1.5	2.2	1.0	1.0	1.0	1.0	1.0	1.0	1.7	1.0	1.5	1.0	false
wh_dlc07_brt_infantry_rabble	2.2	1.0	2.2	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.5	1.0	false
wh_dlc07_brt_royal_hippogryph_knights	12.0	0.5	8.0	1.2	1.0	1.0	1.0	1.0	1.0	9.0	2.0	13.0	3.0	false
wh_dlc07_monstrous_cavalry_flying	8.0	2.0	7.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	4.0	12.0	3.0	false
wh_dlc08_nor_infantry_berserkers	2.6	1.2	2.6	1.0	1.0	1.0	1.0	0.0	1.0	2.0	0.8	2.0	3.0	false
wh_dlc08_nor_mammoth_herd_ror	9.0	0.5	15.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	2.0	12.0	3.0	false
wh_dlc08_nor_mammoth_ror	9.0	0.5	9.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	2.0	12.0	3.0	false
wh_dlc08_warhounds_ror	2.4	0.8	3.5	1.2	0.2	1.2	2.0	0.5	2.0	3.0	0.8	5.0	3.0	false
wh_main_artillery	10.0	0.0	15.0	2.0	1.0	2.0	1.0	1.0	1.0	10.0	0.0	12.0	3.0	false
wh_main_artillery_small	6.0	0.0	9.0	2.0	1.0	2.0	1.0	1.0	1.0	10.0	0.0	12.0	3.0	false
wh_main_cavalry_chaotic	3.0	1.1	4.1	1.2	1.0	1.0	1.0	1.0	1.0	2.8	0.8	5.0	3.0	false
wh_main_cavalry_ordered	3.0	0.5	4.1	1.2	1.0	1.0	1.0	1.0	1.0	0.6	0.8	5.0	3.0	false
wh_main_cavalry_pegasus_knights	5.0	0.4	5.0	1.2	1.0	1.0	1.0	1.0	1.0	0.6	0.8	5.0	3.0	false
wh_main_cavalry_very_chaotic	3.2	1.25	4.0	1.2	1.0	1.0	1.0	1.0	1.0	2.8	0.8	5.0	3.0	false
wh_main_chariot	10.0	1.0	14.0	1.0	0.0	1.0	2.0	0.0	2.0	10.0	0.0	14.0	3.0	false
wh_main_dwf_infantry_elite	1.5	0.15	1.6	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	false
wh_main_dwf_infantry_elite_hammerer	1.6	0.15	1.7	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	false
wh_main_dwf_infantry_loose	1.9000001	0.3	1.8	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	false
wh_main_dwf_infantry_slayers	3.0	1.1	2.3	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	false
wh_main_dwf_infantry_standard	1.55	0.25	1.6	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	false
wh_main_dwf_infantry_standard_shield	1.4499999	0.25	1.5	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	false
wh_main_fellbats	4.0	3.0	4.0	10.0	4.0	10.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	false
wh_main_grn_cavalry_savage_orc_rabble	3.2	1.5	4.0	1.2	1.0	1.0	1.0	1.0	1.0	2.8	0.8	5.0	3.0	false
wh_main_grn_goblin_infantry_standard	1.5	0.7	1.6	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	false
wh_main_grn_grimgor	2.6	0.7	2.4	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	false
wh_main_grn_orc_infantry_big_uns	2.6	1.2	2.6	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	false
wh_main_grn_orc_infantry_elite	2.6	0.7	2.6	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	false
wh_main_grn_orc_infantry_savage_rabble	2.7	1.3	2.7	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	false
wh_main_grn_orc_infantry_standard	2.3	1.0	2.3	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	false
wh_main_hero	6.0	0.0	6.0	6.0	0.0	6.0	6.0	0.0	6.0	6.0	0.0	6.0	0.0	false
wh_main_infantry	1.48	0.0	1.6	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	false
wh_main_infantry_2handed	1.65	0.0	1.75	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	false
wh_main_infantry_chaos_chosen	2.2	0.8	2.2	1.0	0.0	1.0	1.0	0.0	1.0	2.1	0.8	2.1	3.0	false
wh_main_infantry_chaos_warriors	2.0	0.8	2.0	1.0	0.0	1.0	1.0	0.0	1.0	2.1	0.8	2.1	3.0	false
wh_main_infantry_forsaken	2.5	0.90000004	2.5	1.0	0.0	1.0	1.0	0.0	1.0	2.1	0.8	2.1	3.0	false
wh_main_infantry_greatswords	1.7	0.1	1.75	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	false
wh_main_infantry_ice_guard	1.9000001	0.1	2.0	1.0	0.0	1.0	1.0	0.0	1.0	3.0	0.0	3.0	3.0	false
wh_main_infantry_large	2.35	0.7	2.35	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	false
wh_main_infantry_large_rabble	2.7	1.2	2.7	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	false
wh_main_infantry_large_very_chaotic	3.3	1.0	3.9	2.4	0.4	2.4	4.0	1.0	24.0	5.6	1.6	10.0	3.0	false
wh_main_infantry_rabble	1.6	0.7	1.7	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	false
wh_main_infantry_ranged	1.4	0.5	1.7	1.0	1.0	1.0	1.0	1.0	1.0	3.6	1.5	3.6	3.0	false
wh_main_infantry_zombie	2.5	1.1	2.5	1.0	1.0	1.0	1.0	1.0	1.0	2.5	1.1	2.5	3.0	false
wh_main_monster	18.0	0.0	18.0	1.0	1.0	1.0	1.0	1.0	1.0	18.0	0.0	18.0	3.0	false
wh_main_monstrous_beasts	16.0	0.0	12.0	1.0	1.0	1.0	1.0	1.0	1.0	16.0	0.0	12.0	3.0	false
wh_main_monstrous_cavalry	3.2	1.0	4.4	2.4	0.4	2.4	4.0	1.0	24.0	5.6	1.6	10.0	3.0	false
wh_main_monstrous_infantry	6.0	1.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	4.0	12.0	3.0	false
wh_main_monstrous_infantry_chaotic	6.5	3.5	6.5	1.0	1.0	1.0	1.0	1.0	1.0	10.0	4.0	12.0	3.0	false
wh_main_monstrous_infantry_flying	8.0	2.0	7.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	4.0	12.0	3.0	false
wh_main_monstrous_mourngul_infantry_chaotic	7.0	1.8	7.0	1.0	1.0	1.0	1.0	1.0	1.0	10.5	4.0	12.5	3.0	false
wh_main_monstrous_spiders	3.8	1.1	4.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	0.5	12.0	3.0	false
wh_main_monstrous_trolls	6.0	1.8	5.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	4.0	12.0	3.0	false
wh_main_sled	12.0	1.0	14.0	1.0	0.0	1.0	2.0	0.0	2.0	10.0	0.0	14.0	3.0	false
wh_main_swarms	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	false
wh_main_tze_cavalry_doom_knights	3.8	0.7	4.9	1.2	1.0	1.0	1.0	1.0	1.0	2.8	0.8	5.0	3.0	false
wh_main_vmp_crypt_ghouls	1.9000001	0.90000004	1.9000001	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	false
wh_main_war_beasts	2.0	0.8	3.5	1.2	0.2	1.2	2.0	0.5	2.0	2.8	0.8	5.0	3.0	false
wh_main_war_machines	7.0	0.5	7.0	1.0	1.0	1.0	1.0	1.0	1.0	7.0	0.0	6.0	3.0	false
