additional_effect_list	initiative	technology	visible_in_ui
wh3_dlc20_initiative_upgrade_all_kho_diplomacy	wh3_dlc20_faction_initiative_chs_khorne_3_units_warshrine	wh3_dlc20_chs_kho_shared_gift_upgrade_diplomacy	false
wh3_dlc20_initiative_upgrade_all_kho_diplomacy	wh3_dlc20_faction_initiative_chs_khorne_5_units_bloodthirsters	wh3_dlc20_chs_kho_shared_gift_upgrade_diplomacy	false
wh3_dlc20_initiative_upgrade_all_kho_diplomacy	wh3_dlc20_faction_initiative_chs_khorne_5_units_soul_grinder	wh3_dlc20_chs_kho_shared_gift_upgrade_diplomacy	false
wh3_dlc20_initiative_upgrade_khorne_1_units_bloodletters	wh3_dlc20_faction_initiative_chs_khorne_1_units_bloodletters	wh3_dlc20_chs_kho_shared_gift_upgrade_summons	true
wh3_dlc20_initiative_upgrade_all_kho_weapon_strength	wh3_dlc20_faction_initiative_chs_khorne_1_army_xp	wh3_dlc20_chs_kho_valkia_military_1	false
wh3_dlc20_initiative_upgrade_all_kho_weapon_strength	wh3_dlc20_faction_initiative_chs_khorne_1_economy_post_battle_income	wh3_dlc20_chs_kho_valkia_military_1	false
wh3_dlc20_initiative_upgrade_all_kho_weapon_strength	wh3_dlc20_faction_initiative_chs_khorne_1_units_bloodletters	wh3_dlc20_chs_kho_valkia_military_1	false
wh3_dlc20_initiative_upgrade_all_kho_weapon_strength	wh3_dlc20_faction_initiative_chs_khorne_1_units_flesh_hounds	wh3_dlc20_chs_kho_valkia_military_1	false
wh3_dlc20_initiative_upgrade_all_kho_weapon_strength	wh3_dlc20_faction_initiative_chs_khorne_2_army_upgrades	wh3_dlc20_chs_kho_valkia_military_1	false
wh3_dlc20_initiative_upgrade_all_kho_weapon_strength	wh3_dlc20_faction_initiative_chs_khorne_3_characters_marking	wh3_dlc20_chs_kho_valkia_military_1	false
wh3_dlc20_initiative_upgrade_all_kho_weapon_strength	wh3_dlc20_faction_initiative_chs_khorne_3_units_skullcannons	wh3_dlc20_chs_kho_valkia_military_1	false
wh3_dlc20_initiative_upgrade_all_kho_weapon_strength	wh3_dlc20_faction_initiative_chs_khorne_3_units_warshrine	wh3_dlc20_chs_kho_valkia_military_1	false
wh3_dlc20_initiative_upgrade_all_kho_weapon_strength	wh3_dlc20_faction_initiative_chs_khorne_5_units_bloodthirsters	wh3_dlc20_chs_kho_valkia_military_1	false
wh3_dlc20_initiative_upgrade_all_kho_weapon_strength	wh3_dlc20_faction_initiative_chs_khorne_5_units_soul_grinder	wh3_dlc20_chs_kho_valkia_military_1	false
wh3_dlc20_initiative_upgrade_khorne_1_feature_valkia_xp	wh3_dlc20_faction_initiative_chs_khorne_1_army_xp	wh3_dlc20_chs_kho_valkia_xp	true
wh3_dlc20_initiative_upgrade_all_nur_healing_cap	wh3_dlc20_faction_initiative_chs_nurgle_1_army_replenishment	wh3_dlc20_chs_nur_festus_military_1	false
wh3_dlc20_initiative_upgrade_all_nur_healing_cap	wh3_dlc20_faction_initiative_chs_nurgle_1_economy_growth	wh3_dlc20_chs_nur_festus_military_1	false
wh3_dlc20_initiative_upgrade_all_nur_healing_cap	wh3_dlc20_faction_initiative_chs_nurgle_1_units_beast_of_nurgle	wh3_dlc20_chs_nur_festus_military_1	false
wh3_dlc20_initiative_upgrade_all_nur_healing_cap	wh3_dlc20_faction_initiative_chs_nurgle_1_units_plaguebearers	wh3_dlc20_chs_nur_festus_military_1	false
wh3_dlc20_initiative_upgrade_all_nur_healing_cap	wh3_dlc20_faction_initiative_chs_nurgle_2_army_upgrades	wh3_dlc20_chs_nur_festus_military_1	false
wh3_dlc20_initiative_upgrade_all_nur_healing_cap	wh3_dlc20_faction_initiative_chs_nurgle_3_characters_marking	wh3_dlc20_chs_nur_festus_military_1	false
wh3_dlc20_initiative_upgrade_all_nur_healing_cap	wh3_dlc20_faction_initiative_chs_nurgle_3_units_plague_drones	wh3_dlc20_chs_nur_festus_military_1	false
wh3_dlc20_initiative_upgrade_all_nur_healing_cap	wh3_dlc20_faction_initiative_chs_nurgle_3_units_warshrine	wh3_dlc20_chs_nur_festus_military_1	false
wh3_dlc20_initiative_upgrade_all_nur_healing_cap	wh3_dlc20_faction_initiative_chs_nurgle_5_units_great_unclean_one	wh3_dlc20_chs_nur_festus_military_1	false
wh3_dlc20_initiative_upgrade_all_nur_healing_cap	wh3_dlc20_faction_initiative_chs_nurgle_5_units_soul_grinder	wh3_dlc20_chs_nur_festus_military_1	false
wh3_dlc20_initiative_upgrade_nurgle_1_feature_festus_plagues	wh3_dlc20_faction_initiative_chs_nurgle_1_army_replenishment	wh3_dlc20_chs_nur_festus_plagues	true
wh3_dlc20_initiative_upgrade_all_nur_authority	wh3_dlc20_faction_initiative_chs_nurgle_1_army_replenishment	wh3_dlc20_chs_nur_shared_gift_upgrade_authority	false
wh3_dlc20_initiative_upgrade_all_nur_authority	wh3_dlc20_faction_initiative_chs_nurgle_1_economy_growth	wh3_dlc20_chs_nur_shared_gift_upgrade_authority	false
wh3_dlc20_initiative_upgrade_all_nur_authority	wh3_dlc20_faction_initiative_chs_nurgle_1_units_beast_of_nurgle	wh3_dlc20_chs_nur_shared_gift_upgrade_authority	false
wh3_dlc20_initiative_upgrade_all_nur_authority	wh3_dlc20_faction_initiative_chs_nurgle_1_units_plaguebearers	wh3_dlc20_chs_nur_shared_gift_upgrade_authority	false
wh3_dlc20_initiative_upgrade_all_nur_authority	wh3_dlc20_faction_initiative_chs_nurgle_2_army_upgrades	wh3_dlc20_chs_nur_shared_gift_upgrade_authority	false
wh3_dlc20_initiative_upgrade_all_nur_authority	wh3_dlc20_faction_initiative_chs_nurgle_3_characters_marking	wh3_dlc20_chs_nur_shared_gift_upgrade_authority	false
wh3_dlc20_initiative_upgrade_all_nur_authority	wh3_dlc20_faction_initiative_chs_nurgle_3_units_plague_drones	wh3_dlc20_chs_nur_shared_gift_upgrade_authority	false
wh3_dlc20_initiative_upgrade_all_nur_authority	wh3_dlc20_faction_initiative_chs_nurgle_3_units_warshrine	wh3_dlc20_chs_nur_shared_gift_upgrade_authority	false
wh3_dlc20_initiative_upgrade_all_nur_authority	wh3_dlc20_faction_initiative_chs_nurgle_5_units_great_unclean_one	wh3_dlc20_chs_nur_shared_gift_upgrade_authority	false
wh3_dlc20_initiative_upgrade_all_nur_authority	wh3_dlc20_faction_initiative_chs_nurgle_5_units_soul_grinder	wh3_dlc20_chs_nur_shared_gift_upgrade_authority	false
wh3_dlc20_initiative_upgrade_all_nur_corruption	wh3_dlc20_faction_initiative_chs_nurgle_1_army_replenishment	wh3_dlc20_chs_nur_shared_gift_upgrade_corruption	false
wh3_dlc20_initiative_upgrade_all_nur_corruption	wh3_dlc20_faction_initiative_chs_nurgle_1_economy_growth	wh3_dlc20_chs_nur_shared_gift_upgrade_corruption	false
wh3_dlc20_initiative_upgrade_all_nur_corruption	wh3_dlc20_faction_initiative_chs_nurgle_1_units_beast_of_nurgle	wh3_dlc20_chs_nur_shared_gift_upgrade_corruption	false
wh3_dlc20_initiative_upgrade_all_nur_corruption	wh3_dlc20_faction_initiative_chs_nurgle_1_units_plaguebearers	wh3_dlc20_chs_nur_shared_gift_upgrade_corruption	false
wh3_dlc20_initiative_upgrade_all_nur_corruption	wh3_dlc20_faction_initiative_chs_nurgle_2_army_upgrades	wh3_dlc20_chs_nur_shared_gift_upgrade_corruption	false
wh3_dlc20_initiative_upgrade_all_nur_corruption	wh3_dlc20_faction_initiative_chs_nurgle_3_characters_marking	wh3_dlc20_chs_nur_shared_gift_upgrade_corruption	false
wh3_dlc20_initiative_upgrade_all_nur_corruption	wh3_dlc20_faction_initiative_chs_nurgle_3_units_plague_drones	wh3_dlc20_chs_nur_shared_gift_upgrade_corruption	false
wh3_dlc20_initiative_upgrade_all_nur_corruption	wh3_dlc20_faction_initiative_chs_nurgle_3_units_warshrine	wh3_dlc20_chs_nur_shared_gift_upgrade_corruption	false
wh3_dlc20_initiative_upgrade_all_nur_corruption	wh3_dlc20_faction_initiative_chs_nurgle_5_units_great_unclean_one	wh3_dlc20_chs_nur_shared_gift_upgrade_corruption	false
wh3_dlc20_initiative_upgrade_all_nur_corruption	wh3_dlc20_faction_initiative_chs_nurgle_5_units_soul_grinder	wh3_dlc20_chs_nur_shared_gift_upgrade_corruption	false
wh3_dlc20_initiative_upgrade_all_nur_diplomacy	wh3_dlc20_faction_initiative_chs_nurgle_1_army_replenishment	wh3_dlc20_chs_nur_shared_gift_upgrade_diplomacy	false
wh3_dlc20_initiative_upgrade_all_nur_diplomacy	wh3_dlc20_faction_initiative_chs_nurgle_1_economy_growth	wh3_dlc20_chs_nur_shared_gift_upgrade_diplomacy	false
wh3_dlc20_initiative_upgrade_all_nur_diplomacy	wh3_dlc20_faction_initiative_chs_nurgle_1_units_beast_of_nurgle	wh3_dlc20_chs_nur_shared_gift_upgrade_diplomacy	false
wh3_dlc20_initiative_upgrade_all_nur_diplomacy	wh3_dlc20_faction_initiative_chs_nurgle_1_units_plaguebearers	wh3_dlc20_chs_nur_shared_gift_upgrade_diplomacy	false
wh3_dlc20_initiative_upgrade_all_nur_diplomacy	wh3_dlc20_faction_initiative_chs_nurgle_2_army_upgrades	wh3_dlc20_chs_nur_shared_gift_upgrade_diplomacy	false
wh3_dlc20_initiative_upgrade_all_nur_diplomacy	wh3_dlc20_faction_initiative_chs_nurgle_3_characters_marking	wh3_dlc20_chs_nur_shared_gift_upgrade_diplomacy	false
wh3_dlc20_initiative_upgrade_all_nur_diplomacy	wh3_dlc20_faction_initiative_chs_nurgle_3_units_plague_drones	wh3_dlc20_chs_nur_shared_gift_upgrade_diplomacy	false
wh3_dlc20_initiative_upgrade_all_nur_diplomacy	wh3_dlc20_faction_initiative_chs_nurgle_3_units_warshrine	wh3_dlc20_chs_nur_shared_gift_upgrade_diplomacy	false
wh3_dlc20_initiative_upgrade_all_nur_diplomacy	wh3_dlc20_faction_initiative_chs_nurgle_5_units_great_unclean_one	wh3_dlc20_chs_nur_shared_gift_upgrade_diplomacy	false
wh3_dlc20_initiative_upgrade_all_nur_diplomacy	wh3_dlc20_faction_initiative_chs_nurgle_5_units_soul_grinder	wh3_dlc20_chs_nur_shared_gift_upgrade_diplomacy	false
wh3_dlc20_initiative_upgrade_nurgle_1_units_plaguebearers	wh3_dlc20_faction_initiative_chs_nurgle_1_units_plaguebearers	wh3_dlc20_chs_nur_shared_gift_upgrade_summons	true
wh3_dlc20_initiative_upgrade_slaanesh_1_feature_azazel_bribes	wh3_dlc20_faction_initiative_chs_slaanesh_1_economy_control	wh3_dlc20_chs_sla_azazel_mark	true
wh3_dlc20_initiative_upgrade_all_sla_speed	wh3_dlc20_faction_initiative_chs_slaanesh_1_army_movement	wh3_dlc20_chs_sla_azazel_military_1	false
wh3_dlc20_initiative_upgrade_all_sla_speed	wh3_dlc20_faction_initiative_chs_slaanesh_1_economy_control	wh3_dlc20_chs_sla_azazel_military_1	false
wh3_dlc20_initiative_upgrade_all_sla_speed	wh3_dlc20_faction_initiative_chs_slaanesh_1_units_daemonettes	wh3_dlc20_chs_sla_azazel_military_1	false
wh3_dlc20_initiative_upgrade_all_sla_speed	wh3_dlc20_faction_initiative_chs_slaanesh_1_units_seeker_chariots	wh3_dlc20_chs_sla_azazel_military_1	false
wh3_dlc20_initiative_upgrade_all_sla_speed	wh3_dlc20_faction_initiative_chs_slaanesh_2_army_upgrades	wh3_dlc20_chs_sla_azazel_military_1	false
wh3_dlc20_initiative_upgrade_all_sla_speed	wh3_dlc20_faction_initiative_chs_slaanesh_3_characters_marking	wh3_dlc20_chs_sla_azazel_military_1	false
wh3_dlc20_initiative_upgrade_all_sla_speed	wh3_dlc20_faction_initiative_chs_slaanesh_3_units_fiends	wh3_dlc20_chs_sla_azazel_military_1	false
wh3_dlc20_initiative_upgrade_all_sla_speed	wh3_dlc20_faction_initiative_chs_slaanesh_3_units_warshrine	wh3_dlc20_chs_sla_azazel_military_1	false
wh3_dlc20_initiative_upgrade_all_sla_speed	wh3_dlc20_faction_initiative_chs_slaanesh_5_units_keeper_of_secrets	wh3_dlc20_chs_sla_azazel_military_1	false
wh3_dlc20_initiative_upgrade_all_sla_speed	wh3_dlc20_faction_initiative_chs_slaanesh_5_units_soul_grinder	wh3_dlc20_chs_sla_azazel_military_1	false
wh3_dlc20_initiative_upgrade_all_sla_authority	wh3_dlc20_faction_initiative_chs_slaanesh_1_army_movement	wh3_dlc20_chs_sla_shared_gift_upgrade_authority	false
wh3_dlc20_initiative_upgrade_all_sla_authority	wh3_dlc20_faction_initiative_chs_slaanesh_1_economy_control	wh3_dlc20_chs_sla_shared_gift_upgrade_authority	false
wh3_dlc20_initiative_upgrade_all_sla_authority	wh3_dlc20_faction_initiative_chs_slaanesh_1_units_daemonettes	wh3_dlc20_chs_sla_shared_gift_upgrade_authority	false
wh3_dlc20_initiative_upgrade_all_sla_authority	wh3_dlc20_faction_initiative_chs_slaanesh_1_units_seeker_chariots	wh3_dlc20_chs_sla_shared_gift_upgrade_authority	false
wh3_dlc20_initiative_upgrade_all_sla_authority	wh3_dlc20_faction_initiative_chs_slaanesh_2_army_upgrades	wh3_dlc20_chs_sla_shared_gift_upgrade_authority	false
wh3_dlc20_initiative_upgrade_all_sla_authority	wh3_dlc20_faction_initiative_chs_slaanesh_3_characters_marking	wh3_dlc20_chs_sla_shared_gift_upgrade_authority	false
wh3_dlc20_initiative_upgrade_all_sla_authority	wh3_dlc20_faction_initiative_chs_slaanesh_3_units_fiends	wh3_dlc20_chs_sla_shared_gift_upgrade_authority	false
wh3_dlc20_initiative_upgrade_all_sla_authority	wh3_dlc20_faction_initiative_chs_slaanesh_3_units_warshrine	wh3_dlc20_chs_sla_shared_gift_upgrade_authority	false
wh3_dlc20_initiative_upgrade_all_sla_authority	wh3_dlc20_faction_initiative_chs_slaanesh_5_units_keeper_of_secrets	wh3_dlc20_chs_sla_shared_gift_upgrade_authority	false
wh3_dlc20_initiative_upgrade_all_sla_authority	wh3_dlc20_faction_initiative_chs_slaanesh_5_units_soul_grinder	wh3_dlc20_chs_sla_shared_gift_upgrade_authority	false
wh3_dlc20_initiative_upgrade_all_sla_corruption	wh3_dlc20_faction_initiative_chs_slaanesh_1_army_movement	wh3_dlc20_chs_sla_shared_gift_upgrade_corruption	false
wh3_dlc20_initiative_upgrade_all_sla_corruption	wh3_dlc20_faction_initiative_chs_slaanesh_1_economy_control	wh3_dlc20_chs_sla_shared_gift_upgrade_corruption	false
wh3_dlc20_initiative_upgrade_all_sla_corruption	wh3_dlc20_faction_initiative_chs_slaanesh_1_units_daemonettes	wh3_dlc20_chs_sla_shared_gift_upgrade_corruption	false
wh3_dlc20_initiative_upgrade_all_sla_corruption	wh3_dlc20_faction_initiative_chs_slaanesh_1_units_seeker_chariots	wh3_dlc20_chs_sla_shared_gift_upgrade_corruption	false
wh3_dlc20_initiative_upgrade_all_sla_corruption	wh3_dlc20_faction_initiative_chs_slaanesh_2_army_upgrades	wh3_dlc20_chs_sla_shared_gift_upgrade_corruption	false
wh3_dlc20_initiative_upgrade_all_sla_corruption	wh3_dlc20_faction_initiative_chs_slaanesh_3_characters_marking	wh3_dlc20_chs_sla_shared_gift_upgrade_corruption	false
wh3_dlc20_initiative_upgrade_all_sla_corruption	wh3_dlc20_faction_initiative_chs_slaanesh_3_units_fiends	wh3_dlc20_chs_sla_shared_gift_upgrade_corruption	false
wh3_dlc20_initiative_upgrade_all_sla_corruption	wh3_dlc20_faction_initiative_chs_slaanesh_3_units_warshrine	wh3_dlc20_chs_sla_shared_gift_upgrade_corruption	false
wh3_dlc20_initiative_upgrade_all_sla_corruption	wh3_dlc20_faction_initiative_chs_slaanesh_5_units_keeper_of_secrets	wh3_dlc20_chs_sla_shared_gift_upgrade_corruption	false
wh3_dlc20_initiative_upgrade_all_sla_corruption	wh3_dlc20_faction_initiative_chs_slaanesh_5_units_soul_grinder	wh3_dlc20_chs_sla_shared_gift_upgrade_corruption	false
wh3_dlc20_initiative_upgrade_all_sla_diplomacy	wh3_dlc20_faction_initiative_chs_slaanesh_1_army_movement	wh3_dlc20_chs_sla_shared_gift_upgrade_diplomacy	false
wh3_dlc20_initiative_upgrade_all_sla_diplomacy	wh3_dlc20_faction_initiative_chs_slaanesh_1_economy_control	wh3_dlc20_chs_sla_shared_gift_upgrade_diplomacy	false
wh3_dlc20_initiative_upgrade_all_sla_diplomacy	wh3_dlc20_faction_initiative_chs_slaanesh_1_units_daemonettes	wh3_dlc20_chs_sla_shared_gift_upgrade_diplomacy	false
wh3_dlc20_initiative_upgrade_all_sla_diplomacy	wh3_dlc20_faction_initiative_chs_slaanesh_1_units_seeker_chariots	wh3_dlc20_chs_sla_shared_gift_upgrade_diplomacy	false
wh3_dlc20_initiative_upgrade_all_sla_diplomacy	wh3_dlc20_faction_initiative_chs_slaanesh_2_army_upgrades	wh3_dlc20_chs_sla_shared_gift_upgrade_diplomacy	false
wh3_dlc20_initiative_upgrade_all_sla_diplomacy	wh3_dlc20_faction_initiative_chs_slaanesh_3_characters_marking	wh3_dlc20_chs_sla_shared_gift_upgrade_diplomacy	false
wh3_dlc20_initiative_upgrade_all_sla_diplomacy	wh3_dlc20_faction_initiative_chs_slaanesh_3_units_fiends	wh3_dlc20_chs_sla_shared_gift_upgrade_diplomacy	false
wh3_dlc20_initiative_upgrade_all_sla_diplomacy	wh3_dlc20_faction_initiative_chs_slaanesh_3_units_warshrine	wh3_dlc20_chs_sla_shared_gift_upgrade_diplomacy	false
wh3_dlc20_initiative_upgrade_all_sla_diplomacy	wh3_dlc20_faction_initiative_chs_slaanesh_5_units_keeper_of_secrets	wh3_dlc20_chs_sla_shared_gift_upgrade_diplomacy	false
wh3_dlc20_initiative_upgrade_all_sla_diplomacy	wh3_dlc20_faction_initiative_chs_slaanesh_5_units_soul_grinder	wh3_dlc20_chs_sla_shared_gift_upgrade_diplomacy	false
wh3_dlc20_initiative_upgrade_slaanesh_1_units_daemonettes	wh3_dlc20_faction_initiative_chs_slaanesh_1_units_daemonettes	wh3_dlc20_chs_sla_shared_gift_upgrade_summons	true
wh3_dlc20_initiative_upgrade_all_tze_authority	wh3_dlc20_faction_initiative_chs_tzeentch_1_army_winds	wh3_dlc20_chs_tze_shared_gift_upgrade_authority	false
wh3_dlc20_initiative_upgrade_all_tze_authority	wh3_dlc20_faction_initiative_chs_tzeentch_1_economy_technology	wh3_dlc20_chs_tze_shared_gift_upgrade_authority	false
wh3_dlc20_initiative_upgrade_all_tze_authority	wh3_dlc20_faction_initiative_chs_tzeentch_1_units_pink_horrors	wh3_dlc20_chs_tze_shared_gift_upgrade_authority	false
wh3_dlc20_initiative_upgrade_all_tze_authority	wh3_dlc20_faction_initiative_chs_tzeentch_1_units_screamers	wh3_dlc20_chs_tze_shared_gift_upgrade_authority	false
wh3_dlc20_initiative_upgrade_all_tze_authority	wh3_dlc20_faction_initiative_chs_tzeentch_2_army_upgrades	wh3_dlc20_chs_tze_shared_gift_upgrade_authority	false
wh3_dlc20_initiative_upgrade_all_tze_authority	wh3_dlc20_faction_initiative_chs_tzeentch_3_characters_marking	wh3_dlc20_chs_tze_shared_gift_upgrade_authority	false
wh3_dlc20_initiative_upgrade_all_tze_authority	wh3_dlc20_faction_initiative_chs_tzeentch_3_units_flamers	wh3_dlc20_chs_tze_shared_gift_upgrade_authority	false
wh3_dlc20_initiative_upgrade_all_tze_authority	wh3_dlc20_faction_initiative_chs_tzeentch_3_units_warshrine	wh3_dlc20_chs_tze_shared_gift_upgrade_authority	false
wh3_dlc20_initiative_upgrade_all_tze_authority	wh3_dlc20_faction_initiative_chs_tzeentch_5_units_lord_of_Change	wh3_dlc20_chs_tze_shared_gift_upgrade_authority	false
wh3_dlc20_initiative_upgrade_all_tze_authority	wh3_dlc20_faction_initiative_chs_tzeentch_5_units_soul_grinder	wh3_dlc20_chs_tze_shared_gift_upgrade_authority	false
wh3_dlc20_initiative_upgrade_all_tze_corruption	wh3_dlc20_faction_initiative_chs_tzeentch_1_army_winds	wh3_dlc20_chs_tze_shared_gift_upgrade_corruption	false
wh3_dlc20_initiative_upgrade_all_tze_corruption	wh3_dlc20_faction_initiative_chs_tzeentch_1_economy_technology	wh3_dlc20_chs_tze_shared_gift_upgrade_corruption	false
wh3_dlc20_initiative_upgrade_all_tze_corruption	wh3_dlc20_faction_initiative_chs_tzeentch_1_units_pink_horrors	wh3_dlc20_chs_tze_shared_gift_upgrade_corruption	false
wh3_dlc20_initiative_upgrade_all_tze_corruption	wh3_dlc20_faction_initiative_chs_tzeentch_1_units_screamers	wh3_dlc20_chs_tze_shared_gift_upgrade_corruption	false
wh3_dlc20_initiative_upgrade_all_tze_corruption	wh3_dlc20_faction_initiative_chs_tzeentch_2_army_upgrades	wh3_dlc20_chs_tze_shared_gift_upgrade_corruption	false
wh3_dlc20_initiative_upgrade_all_tze_corruption	wh3_dlc20_faction_initiative_chs_tzeentch_3_characters_marking	wh3_dlc20_chs_tze_shared_gift_upgrade_corruption	false
wh3_dlc20_initiative_upgrade_all_tze_corruption	wh3_dlc20_faction_initiative_chs_tzeentch_3_units_flamers	wh3_dlc20_chs_tze_shared_gift_upgrade_corruption	false
wh3_dlc20_initiative_upgrade_all_tze_corruption	wh3_dlc20_faction_initiative_chs_tzeentch_3_units_warshrine	wh3_dlc20_chs_tze_shared_gift_upgrade_corruption	false
wh3_dlc20_initiative_upgrade_all_tze_corruption	wh3_dlc20_faction_initiative_chs_tzeentch_5_units_lord_of_Change	wh3_dlc20_chs_tze_shared_gift_upgrade_corruption	false
wh3_dlc20_initiative_upgrade_all_tze_corruption	wh3_dlc20_faction_initiative_chs_tzeentch_5_units_soul_grinder	wh3_dlc20_chs_tze_shared_gift_upgrade_corruption	false
wh3_dlc20_initiative_upgrade_all_tze_diplomacy	wh3_dlc20_faction_initiative_chs_tzeentch_1_army_winds	wh3_dlc20_chs_tze_shared_gift_upgrade_diplomacy	false
wh3_dlc20_initiative_upgrade_all_tze_diplomacy	wh3_dlc20_faction_initiative_chs_tzeentch_1_economy_technology	wh3_dlc20_chs_tze_shared_gift_upgrade_diplomacy	false
wh3_dlc20_initiative_upgrade_all_tze_diplomacy	wh3_dlc20_faction_initiative_chs_tzeentch_1_units_pink_horrors	wh3_dlc20_chs_tze_shared_gift_upgrade_diplomacy	false
wh3_dlc20_initiative_upgrade_all_tze_diplomacy	wh3_dlc20_faction_initiative_chs_tzeentch_1_units_screamers	wh3_dlc20_chs_tze_shared_gift_upgrade_diplomacy	false
wh3_dlc20_initiative_upgrade_all_tze_diplomacy	wh3_dlc20_faction_initiative_chs_tzeentch_2_army_upgrades	wh3_dlc20_chs_tze_shared_gift_upgrade_diplomacy	false
