bonus_value_id	effect	unit_upgrade_to_unit_group
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_marauder_horsemen_und_to_chariot
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_marauder_horsemen_und_to_horsemasters
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_marauder_horsemen_und_to_kho
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_marauder_horsemen_und_to_nur
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_marauder_horsemen_und_to_self
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_marauder_horsemen_und_to_sla
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_marauder_horsemen_und_to_tze
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_marauder_inf_kho_to_forsaken
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_marauder_inf_kho_to_self
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_marauder_inf_kho_to_warriors
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_marauder_inf_nur_to_forsaken
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_marauder_inf_nur_to_self
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_marauder_inf_nur_to_warriors
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_marauder_inf_sla_to_forsaken
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_marauder_inf_sla_to_self
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_marauder_inf_sla_to_warriors
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_marauder_inf_tze_to_forsaken
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_marauder_inf_tze_to_self
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_marauder_inf_tze_to_warriors
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_marauder_inf_und_to_forsaken
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_marauder_inf_und_to_kho
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_marauder_inf_und_to_nur
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_marauder_inf_und_to_self
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_marauder_inf_und_to_sla
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_marauder_inf_und_to_tze
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_marauder_inf_und_to_warriors
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_trolls_to_armoured_trolls
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_warriors_kho_to_chosen
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_warriors_kho_to_knights
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_warriors_kho_to_self
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_warriors_nur_to_chosen
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_warriors_nur_to_knights
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_warriors_nur_to_self
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_warriors_sla_to_chosen
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_warriors_sla_to_knights
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_warriors_sla_to_self
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_warriors_tze_to_chosen
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_warriors_tze_to_knights
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_warriors_tze_to_self
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_warriors_und_to_chosen
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_warriors_und_to_kho
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_warriors_und_to_knights
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_warriors_und_to_nur
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_warriors_und_to_self
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_warriors_und_to_sla
percentage_cost_mod	wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_chs_warriors_und_to_tze
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_kho	wh3_dlc20_chs_chariot_kho_to_gorebeast_chariot
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_kho	wh3_dlc20_chs_chariot_und_to_kho
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_kho	wh3_dlc20_chs_chosen_kho_to_self
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_kho	wh3_dlc20_chs_chosen_und_to_kho
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_kho	wh3_dlc20_chs_forsaken_kho_to_spawn
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_kho	wh3_dlc20_chs_forsaken_und_to_kho
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_kho	wh3_dlc20_chs_gorebeast_chariot_und_to_kho
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_kho	wh3_dlc20_chs_knights_kho_skullcrushers
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_kho	wh3_dlc20_chs_knights_kho_to_self
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_kho	wh3_dlc20_chs_knights_und_to_kho
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_kho	wh3_dlc20_chs_knights_und_to_skullcrushers
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_kho	wh3_dlc20_chs_marauder_horsemen_kho_to_chariot
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_kho	wh3_dlc20_chs_marauder_horsemen_kho_to_knights
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_kho	wh3_dlc20_chs_marauder_horsemen_und_to_kho
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_kho	wh3_dlc20_chs_marauder_inf_kho_to_forsaken
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_kho	wh3_dlc20_chs_marauder_inf_kho_to_self
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_kho	wh3_dlc20_chs_marauder_inf_kho_to_warriors
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_kho	wh3_dlc20_chs_marauder_inf_und_to_kho
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_kho	wh3_dlc20_chs_warriors_kho_to_chosen
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_kho	wh3_dlc20_chs_warriors_kho_to_knights
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_kho	wh3_dlc20_chs_warriors_kho_to_self
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_kho	wh3_dlc20_chs_warriors_und_to_kho
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_nur	wh3_dlc20_chs_chariot_und_to_nur
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_nur	wh3_dlc20_chs_chosen_nur_to_self
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_nur	wh3_dlc20_chs_chosen_und_to_nur
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_nur	wh3_dlc20_chs_forsaken_nur_to_spawn
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_nur	wh3_dlc20_chs_forsaken_und_to_nur
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_nur	wh3_dlc20_chs_forsaken_und_to_sla
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_nur	wh3_dlc20_chs_knights_nur_to_self
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_nur	wh3_dlc20_chs_knights_und_to_nur
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_nur	wh3_dlc20_chs_marauder_horsemen_nur_to_chariot
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_nur	wh3_dlc20_chs_marauder_horsemen_nur_to_knights
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_nur	wh3_dlc20_chs_marauder_horsemen_und_to_nur
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_nur	wh3_dlc20_chs_marauder_inf_nur_to_forsaken
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_nur	wh3_dlc20_chs_marauder_inf_nur_to_self
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_nur	wh3_dlc20_chs_marauder_inf_nur_to_warriors
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_nur	wh3_dlc20_chs_marauder_inf_und_to_nur
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_nur	wh3_dlc20_chs_warriors_nur_to_chosen
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_nur	wh3_dlc20_chs_warriors_nur_to_knights
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_nur	wh3_dlc20_chs_warriors_nur_to_self
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_nur	wh3_dlc20_chs_warriors_und_to_nur
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_sla	wh3_dlc20_chs_chariot_und_to_sla
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_sla	wh3_dlc20_chs_chosen_sla_to_self
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_sla	wh3_dlc20_chs_chosen_und_to_sla
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_sla	wh3_dlc20_chs_forsaken_sla_to_spawn
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_sla	wh3_dlc20_chs_forsaken_und_to_nur
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_sla	wh3_dlc20_chs_forsaken_und_to_sla
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_sla	wh3_dlc20_chs_hellstriders_to_knights
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_sla	wh3_dlc20_chs_hellstriders_to_self
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_sla	wh3_dlc20_chs_knights_sla_to_self
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_sla	wh3_dlc20_chs_knights_und_to_sla
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_sla	wh3_dlc20_chs_marauder_horsemen_sla_to_chariot
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_sla	wh3_dlc20_chs_marauder_horsemen_sla_to_hellstriders
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_sla	wh3_dlc20_chs_marauder_horsemen_und_to_sla
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_sla	wh3_dlc20_chs_marauder_inf_sla_to_forsaken
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_sla	wh3_dlc20_chs_marauder_inf_sla_to_self
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_sla	wh3_dlc20_chs_marauder_inf_sla_to_warriors
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_sla	wh3_dlc20_chs_marauder_inf_und_to_sla
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_sla	wh3_dlc20_chs_warriors_sla_to_chosen
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_sla	wh3_dlc20_chs_warriors_sla_to_knights
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_sla	wh3_dlc20_chs_warriors_sla_to_self
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_sla	wh3_dlc20_chs_warriors_und_to_sla
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_tze	wh3_dlc20_chs_chariot_und_to_tze
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_tze	wh3_dlc20_chs_chosen_tze_to_self
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_tze	wh3_dlc20_chs_chosen_und_to_tze
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_tze	wh3_dlc20_chs_forsaken_tze_to_spawn
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_tze	wh3_dlc20_chs_forsaken_und_to_tze
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_tze	wh3_dlc20_chs_knights_tze_doom_knights
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_tze	wh3_dlc20_chs_knights_tze_to_self
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_tze	wh3_dlc20_chs_knights_und_to_doom_knights
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_tze	wh3_dlc20_chs_knights_und_to_tze
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_tze	wh3_dlc20_chs_marauder_horsemen_tze_to_chariot
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_tze	wh3_dlc20_chs_marauder_horsemen_tze_to_knights
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_tze	wh3_dlc20_chs_marauder_horsemen_und_to_tze
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_tze	wh3_dlc20_chs_marauder_inf_tze_to_forsaken
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_tze	wh3_dlc20_chs_marauder_inf_tze_to_self
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_tze	wh3_dlc20_chs_marauder_inf_tze_to_warriors
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_tze	wh3_dlc20_chs_marauder_inf_und_to_tze
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_tze	wh3_dlc20_chs_warriors_tze_to_chosen
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_tze	wh3_dlc20_chs_warriors_tze_to_knights
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_tze	wh3_dlc20_chs_warriors_tze_to_self
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_tze	wh3_dlc20_chs_warriors_und_to_tze
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_und	wh3_dlc20_chs_chariot_und_to_gorebeast_chariot
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_und	wh3_dlc20_chs_chosen_und_to_aspiring_champions
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_und	wh3_dlc20_chs_chosen_und_to_self
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_und	wh3_dlc20_chs_forsaken_und_to_spawn
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_und	wh3_dlc20_chs_knights_und_to_self
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_und	wh3_dlc20_chs_marauder_horsemasters_to_knights
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_und	wh3_dlc20_chs_marauder_horsemasters_to_self
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_und	wh3_dlc20_chs_marauder_horsemen_und_to_chariot
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_und	wh3_dlc20_chs_marauder_horsemen_und_to_horsemasters
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_und	wh3_dlc20_chs_marauder_horsemen_und_to_self
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_und	wh3_dlc20_chs_marauder_inf_und_to_forsaken
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_und	wh3_dlc20_chs_marauder_inf_und_to_self
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_und	wh3_dlc20_chs_marauder_inf_und_to_warriors
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_und	wh3_dlc20_chs_trolls_to_armoured_trolls
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_und	wh3_dlc20_chs_warriors_und_to_chosen
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_und	wh3_dlc20_chs_warriors_und_to_knights
percentage_cost_mod	wh3_dlc20_effect_upgrade_cost_und	wh3_dlc20_chs_warriors_und_to_self
percentage_cost_mod	wh3_main_effect_upgrade_cost_daemons	wh3_main_chs_bloodletters_to_exalted
percentage_cost_mod	wh3_main_effect_upgrade_cost_daemons	wh3_main_chs_daemonette_to_exalted
percentage_cost_mod	wh3_main_effect_upgrade_cost_daemons	wh3_main_chs_pink_horrors_to_exalted
percentage_cost_mod	wh3_main_effect_upgrade_cost_daemons	wh3_main_chs_plaguebearers_to_exalted
