key	outcome	action_result_key	value	effect_record	effect_scope_record	FIXME	opportune_failure_weighting	affects_target	advancement_stage
wh2_dlc16_agent_action_wizard_hinder_settlement_crit_success_ariel_outcome_target_settlement_buildings_damaged	downgrade_settlement_and_damage_buildings	wh2_dlc16_agent_action_wizard_hinder_settlement_success_ariel	40.0			true	0	true	start_round_completed
wh2_dlc16_agent_action_wizard_hinder_settlement_crit_success_ariel_outcome_target_settlement_damage_walls	damage_walls	wh2_dlc16_agent_action_wizard_hinder_settlement_success_ariel	2.0			true	0	true	start_round_completed
wh2_dlc17_agent_action_assist_army_cannot_fail_harden_armour_generic_bonus_value	generic_bonus_value	wh2_dlc17_agent_action_assist_army_cannot_fail_harden_armour	5.0	wh_main_effect_force_stat_armour	agent_to_parent_army_own	true	0	true	start_round_completed
wh2_dlc17_agent_action_assist_army_cannot_fail_sharpen_weapons_generic_bonus_value_1	generic_bonus_value	wh2_dlc17_agent_action_assist_army_cannot_fail_sharpen_weapons	5.0	wh_main_effect_force_stat_missile_damage	agent_to_parent_army_own	true	0	true	start_round_completed
wh2_dlc17_agent_action_assist_army_cannot_fail_sharpen_weapons_generic_bonus_value_2	generic_bonus_value	wh2_dlc17_agent_action_assist_army_cannot_fail_sharpen_weapons	5.0	wh_main_effect_force_stat_weapon_strength	agent_to_parent_army_own	true	0	true	start_round_completed
wh2_main_agent_action_assist_army_cannot_fail_increase_mobility_generic_bonus_value	generic_bonus_value	wh2_main_agent_action_assist_army_cannot_fail_increase_mobility	10.0	wh_main_effect_force_all_campaign_movement_range	force_to_force_own	true	0	true	start_round_completed
wh2_main_agent_action_assist_army_cannot_fail_replenish_troops_generic_bonus_value	generic_bonus_value	wh2_main_agent_action_assist_army_cannot_fail_replenish_troops	8.0	wh_main_effect_force_all_campaign_replenishment_rate	agent_to_parent_army_own	true	0	true	start_round_completed
wh2_main_agent_action_assist_army_cannot_fail_scavenge_generic_bonus_value	generic_bonus_value	wh2_main_agent_action_assist_army_cannot_fail_scavenge	15.0	wh_main_effect_force_all_campaign_post_battle_loot_mod	force_to_general_own	true	0	true	start_round_completed
wh2_main_agent_action_assist_army_cannot_fail_scouting_generic_bonus_value	generic_bonus_value	wh2_main_agent_action_assist_army_cannot_fail_scouting	10.0	wh_main_effect_character_mod_ancillary_drop	agent_to_parent_army_general_own	true	0	true	start_round_completed
wh2_main_agent_action_assist_army_cannot_fail_training_containing_army_unit_xp_gain	containing_army_unit_xp_gain	wh2_main_agent_action_assist_army_cannot_fail_training	50.0	wh_main_effect_agent_action_outcome_parent_army_xp_gain	agent_to_parent_army_own	true	0	true	start_round_completed
wh2_main_agent_action_champion_passive_cannot_fail_increase_trade_generic_bonus_value	generic_bonus_value	wh2_main_agent_action_passive_cannot_fail_increase_trade	20.0	wh2_main_effect_region_tradable_resource_production	character_to_region_own_provincewide	true	0	false	start_round_completed
wh2_main_agent_action_champion_passive_cannot_fail_spread_public_order_generic_bonus_value	generic_bonus_value	wh2_main_agent_action_passive_cannot_fail_spread_public_order	1.0	wh2_main_effect_agent_action_outcome_dummy_effect	character_to_province_own	true	0	false	start_round_completed
wh2_main_agent_action_champion_passive_cannot_fail_spread_public_order_horde_generic_bonus_value	generic_bonus_value	wh2_main_agent_action_passive_cannot_fail_spread_public_order_horde	-1.0	wh2_main_effect_agent_action_outcome_dummy_effect	character_to_province_any	true	0	false	start_round_completed
wh2_main_agent_action_champion_passive_cannot_fail_stimulate_growth_generic_bonus_value	generic_bonus_value	wh2_main_agent_action_passive_cannot_fail_stimulate_growth	10.0	wh2_main_effect_agent_action_outcome_dummy_effect	character_to_province_own	true	0	false	start_round_completed
wh2_main_agent_action_engineer_hinder_settlement_success_warlock_engineer_ritual_outcome_target_settlement_buildings_damaged	downgrade_settlement_and_damage_buildings	wh2_main_agent_action_engineer_hinder_settlement_success_warlock_engineer_ritual	40.0			true	0	true	start_round_completed
wh2_main_agent_action_engineer_hinder_settlement_success_warlock_engineer_ritual_outcome_target_settlement_damage_walls	damage_walls	wh2_main_agent_action_engineer_hinder_settlement_success_warlock_engineer_ritual	2.0			true	0	true	start_round_completed
wh2_main_agent_action_engineer_hinder_settlement_success_warlock_engineer_ritual_outcome_target_settlement_kill_agent	agent_killed	wh2_main_agent_action_wizard_hinder_settlement_success_plague_priest_ritual	0.0			true	0	true	start_round_completed
wh2_main_agent_action_hinder_army_success_assault_unit_target_army_damage_single_unit	target_army_damage_single_unit	wh2_main_agent_action_hinder_army_success_assault_unit	25.0			true	0	true	start_round_completed
wh2_main_agent_action_hinder_army_success_assault_units_target_army_damage_units	target_army_damage_units	wh2_main_agent_action_hinder_army_success_assault_units	10.0			true	0	true	start_round_completed
wh2_main_agent_action_hinder_army_success_block_army_generic_bonus_value	generic_bonus_value	wh2_main_agent_action_hinder_army_success_block_army	-50.0	wh_main_effect_force_all_campaign_movement_range	force_to_force_own	true	0	true	end_turn_completed
wh2_main_agent_action_hinder_army_success_block_army_generic_bonus_value_chance	generic_bonus_value	wh2_main_agent_action_hinder_army_success_block_army	-20.0	wh_main_effect_agent_action_success_chance_enemy	force_to_general_own	true	0	true	end_turn_completed
wh2_main_agent_action_hinder_army_success_hinder_replenishment_generic_bonus_value	generic_bonus_value	wh2_main_agent_action_hinder_army_success_hinder_replenishment	-20.0	wh_main_effect_force_all_campaign_replenishment_rate	army_to_army_own_unseen	true	0	true	end_turn_completed
wh2_main_agent_action_hinder_army_success_hinder_replenishment_generic_bonus_value_chance	generic_bonus_value	wh2_main_agent_action_hinder_army_success_hinder_replenishment	-20.0	wh_main_effect_agent_action_success_chance_enemy	force_to_general_own	true	0	true	end_turn_completed
wh2_main_agent_action_hinder_settlement_cannot_fail_treasure_hunt_target_settlement_exposed	target_settlement_exposed	wh2_main_agent_action_hinder_settlement_cannot_fail_treasure_hunt	0.0			true	0	true	start_round_completed
wh2_main_agent_action_hinder_settlement_success_assault_garrison_target_settlement_garrison_units_damaged	target_settlement_garrison_units_damaged	wh2_main_agent_action_hinder_settlement_success_assault_garrison	15.0			true	0	true	start_round_completed
wh2_main_agent_action_hinder_settlement_success_damage_building_target_settlement_single_building_damaged	target_settlement_single_building_damaged	wh2_main_agent_action_hinder_settlement_success_damage_building	25.0			true	0	true	start_round_completed
wh2_main_agent_action_hinder_settlement_success_damage_walls_damage_walls	damage_walls	wh2_main_agent_action_hinder_settlement_success_damage_walls	2.0			true	0	true	start_round_completed
wh2_main_agent_action_hinder_settlement_success_gain_influence_gain_influence	gain_influence	wh2_main_agent_action_hinder_settlement_success_gain_influence	3.0			true	0	false	start_round_completed
wh2_main_agent_action_hinder_settlement_success_gain_influence_generic_bonus_value	generic_bonus_value	wh2_main_agent_action_hinder_settlement_success_gain_influence	3.0	wh2_main_effect_agent_action_outcome_dummy_effect	character_to_character_own	true	0	false	start_round_completed
wh2_main_agent_action_hinder_settlement_success_steal_technology_generic_bonus_value	generic_bonus_value	wh2_main_agent_action_hinder_settlement_success_steal_technology	20.0	wh_main_effect_technology_research_rate_mod	character_to_faction_unseen	true	0	false	start_round_completed
wh2_main_agent_action_hinder_settlement_success_steal_technology_generic_bonus_value_chance	generic_bonus_value	wh2_main_agent_action_hinder_settlement_success_steal_technology	-20.0	wh_main_effect_agent_action_success_chance_enemy	region_to_region_own	true	0	true	end_turn_completed
wh2_main_agent_action_hinder_settlement_success_steal_technology_generic_bonus_value_enemy	generic_bonus_value	wh2_main_agent_action_hinder_settlement_success_steal_technology	-20.0	wh3_main_effect_technology_research_rate_mod_hidden	region_to_faction_own	true	0	true	start_round_completed
wh2_main_agent_action_passive_cannot_fail_boost_income_generic_bonus_value	generic_bonus_value	wh2_main_agent_action_passive_cannot_fail_boost_income	5.0	wh2_main_effect_agent_action_outcome_dummy_effect	character_to_region_own_provincewide	true	0	false	start_round_completed
wh2_main_agent_action_passive_cannot_fail_increase_slave_income_generic_bonus_value	generic_bonus_value	wh2_main_agent_action_passive_cannot_fail_increase_slave_income	10.0	wh3_main_pooled_resource_def_slaves_characters_gained	character_to_faction_unseen	true	0	false	start_round_completed
wh2_main_agent_action_passive_cannot_fail_spread_corruption_generic_bonus_value	generic_bonus_value	wh2_main_agent_action_passive_cannot_fail_spread_corruption	2.0	wh2_main_effect_agent_action_outcome_dummy_effect	character_to_character_own	true	0	false	start_round_completed
wh2_main_agent_action_scout_settlement_success_expose_settlement	target_settlement_exposed	wh2_main_agent_action_hinder_settlement_cannot_fail_scout_settlement	0.0			true	0	true	start_round_completed
wh2_main_agent_action_wizard_hinder_settlement_success_plague_priest_ritual_outcome_target_settlement_kill_agent	agent_killed	wh2_main_agent_action_engineer_hinder_settlement_success_warlock_engineer_ritual	0.0			true	0	true	start_round_completed
wh2_main_agent_action_wizard_hinder_settlement_success_plague_priest_ritual_outcome_target_settlement_plague	infect_with_plague	wh2_main_agent_action_wizard_hinder_settlement_success_plague_priest_ritual	0.0			true	0	true	start_round_completed
wh3_main_agent_action_all_hinder_army_sucess_plague_cultist_ritual_agent_killed	agent_killed	wh3_main_agent_action_all_hinder_army_sucess_plague_cultist_ritual	0.0			true	0	true	start_round_completed
wh3_main_agent_action_all_hinder_army_sucess_plague_cultist_ritual_infect_with_plague	infect_with_plague	wh3_main_agent_action_all_hinder_army_sucess_plague_cultist_ritual	0.0			true	0	true	start_round_completed
wh3_main_agent_action_all_hinder_settlement_sucess_plague_cultist_ritual_agent_killed	agent_killed	wh3_main_agent_action_all_hinder_settlement_sucess_plague_cultist_ritual	0.0			true	0	true	start_round_completed
wh3_main_agent_action_all_hinder_settlement_sucess_plague_cultist_ritual_infect_with_plague	infect_with_plague	wh3_main_agent_action_all_hinder_settlement_sucess_plague_cultist_ritual	0.0			true	0	true	start_round_completed
wh3_main_agent_action_hinder_settlement_success_establish_cult	establish_foreign_slots	wh3_main_agent_action_hinder_settlement_success_establish_cult	1.0			true	0	true	start_round_completed
wh_main_agent_action_all_hinder_army_critical_failure_outcome_agent_wounded	agent_wounded	wh_main_agent_action_all_hinder_army_critical_failure	0.0			true	0	true	start_round_completed
wh_main_agent_action_all_hinder_character_critical_failure_outcome_agent_wounded	agent_wounded	wh_main_agent_action_all_hinder_character_critical_failure	0.0			true	0	true	start_round_completed
wh_main_agent_action_all_hinder_character_critical_success_outcome_target_agent_killed	target_agent_killed	wh_main_agent_action_all_hinder_agent_critical_success	0.0			true	0	true	start_round_completed
wh_main_agent_action_all_hinder_character_success_outcome_target_agent_wounded	target_agent_wounded	wh_main_agent_action_all_hinder_agent_success	0.0			true	0	true	start_round_completed
wh_main_agent_action_all_hinder_settlement_critical_failure_outcome_agent_wounded	agent_wounded	wh_main_agent_action_all_hinder_settlement_critical_failure	0.0			true	0	true	start_round_completed
